"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",23.04046875,"Up",127490000,-85496000,41994000,-28825000,-17098000,-11402000,13169000,-4879000,-4573000,-306000,8290000,8290000,-2326000,5964000,5964000,5964000,5964000,24334593.2503701,24334593.2503701,-16844485.4830056,-16844485.4830056,116682165.934576,13205538.5998423,-1224744.36044899,137377812.301783,136622458.387607,291955221.648913,239404902.027314,10299191.6894672,1429681.75777394,20476241.6397828,428577680.03652,565955492.338302,-1417669.00461945,-14062215.1542792,-610893.566678736,20423084.9507453,-1662199.74524603,153210559.191287,48245317.2417476,50862615.9916878,-2617298.74994008,201455876.433034,199793676.687788,296115052.668588,104567510.234495,-33134989.6960808,366161815.650514,366161815.650514,565955492.338302,5964000,11427000,377000,10019000,27787000,-3815000,-3751000,-2.7e+07,19000,19000,-296000,-27277000,-3241000,-3241000,580000,-2661000,24596000,0,33126000,0.32939,0.10329,0.04678,0.0459585620365917,0.0258788589134051,5.55433,5.08893728891198,0.604241941373624,0.270686343132712,0.25843,0.25481,5.52431,15.8713479169777,1.43539,0.0275247337558198,0.0268244532204697,22.0546386552152,24.4592282454109
"2","2011_Q1",24.4053225806452,"Up",133111000,-88647000,44464000,-29452000,-15290000,-11416000,15012000,-3842000,-3654000,-188000,11170000,20520000,-6681000,13839000,13839000,13839000,13839000,22883000,22883000,70947000,70947000,101440000,16239000,6078000,211509000,146380000,419087000,307451000,75114000,2427000,13807000,565467000,776976000,60073000,27989000,2829803.21666063,32084000,60587000,220629000,68931000,64290000,4641000,289560000,350147000,298428000,119400000,10470000,426829000,426829000,776976000,13839000,894000,-6757000,-3103000,4873000,-3372000,-4578000,-2.1e+07,0,0,-63000,-21063000,-20768000,-20768000,655000,-20113000,15906000,220629000,16112000,0.33404,0.11278,0.10397,0.03242,0.01781,1.16425,3.491,0.82034,0.28396,0.59987,0.58142,5.76987,18.50147,0.6984,0.01932,0.02249,12.43216,13.17253
"3","2011_Q2",26.9642857142857,"Up",148834000,-101664000,47170000,-29204000,-18649000,-10388000,17966000,-4688000,-4266000,-422000,13278000,17827000,-5883000,11944000,11944000,11944000,11944000,29145718.9165433,29145718.9165433,97131411.8276685,97131411.8276685,102038694.688475,15629320.4667192,7683831.453483,243945145.899406,148390847.204131,444969426.117029,322342365.990895,89359102.7701776,2573189.41407535,10425836.1200724,593360273.32116,837305419.220566,78631306.3348731,39385905.0514264,3624851.07222021,36303555.0164182,79360066.5817487,226876563.602904,75600227.5860841,67785044.6694374,7815182.9166467,302476791.188989,381836857.770737,300701732.443804,130969996.588502,25103579.8986936,455468561.449829,455468561.449829,837305419.220566,11944000,8840000,2166000,2056000,25006000,-6047000,4220000,0,409000,409000,-1090000,-681000,28545000,28545000,250000,28795000,26806000,0,28698000,0.31693,0.12071,0.08025,0.0237529793211361,0.013069547028865,2.40271,3.10991840369601,0.837886852875459,0.271497885622429,0.51483,0.50638,6.41526,19.6867715276741,1.23698,0.0143650887480601,0.0197935155931768,7.53206628159493,8.70954225152969
"4","2011_Q3",22.91140625,"Down",146524000,-99920000,46604000,-28301000,-17571000,-11250000,18303000,-5222000,-4403000,-819000,13081000,12764000,-4214000,8550000,8550000,8550000,8550000,36942000,36942000,90453000,90453000,110066000,13611000,6354000,251072000,146399000,422449000,311816000,78753000,2306000,9286000,568848000,819920000,74348000,34768000,2758000,36822000,75010000,205703000,75178000,66661000,8517000,280881000,355891000,303029000,139894000,22154000,464029000,464029000,819920000,8550000,9139000,7784000,-12669000,12804000,-5476000,-7307000,-2e+07,1559000,1559000,-2126000,-20567000,-15070000,-15070000,334000,-14736000,27442000,205703000,13511000,0.31806,0.12491,0.05835,0.01843,0.01043,1.58023,3.34718,0.76696,0.25088,0.36811,0.35867,6.30835,19.978,0.58169,0.01148,0.01814,6.14973,9.2204
"5","2011_Q4",21.0439682539683,"Down",131718000,-89811000,41907000,-29019000,-17760000,-11072000,12888000,-3649000,-4124000,475000,9239000,9239000,-2250000,6989000,6989000,6989000,6989000,41627000,41627000,82829000,82829000,115293000,13282000,5426000,253031000,144307000,414497000,308557000,74413000,2126000,9113000,558804000,811835000,73158000,30507000,1213000,41438000,73776000,198305000,75829000,67504000,8325000,274134000,347910000,305129000,146883000,12961000,463925000,463925000,811835000,6989000,9161000,5143000,-634000,20659000,-6700000,-6731000,-1e+07,285000,285000,-2000,-9717000,4211000,4211000,474000,4685000,22049000,198305000,16965000,0.31816,0.09785,0.05306,0.01506,0.00861,2.42739,3.42972,0.74993,0.24427,0.3,0.29601,5.65386,19.91351,0.72821,0.00947,0.02299,7.1059,12.15689
"6","2012_Q1",23.7077419354839,"Up",141746000,-97074000,44672000,-32130000,-18568000,-12803000,12542000,-3980000,-4114000,134000,8562000,8562000,-2923000,5639000,5639000,5639000,5639000,36508000,36508000,101946000,101946000,109913000,16589000,7469000,264956000,145806000,470585000,338653000,100258000,2450000,8936000,616391000,881347000,93204000,40665000,0,52539000,94049000,235950000,84065000,75203000,8862000,320015000,414064000,307219000,152522000,8929000,467283000,467283000,881347000,5639000,9166000,12246000,4401000,31452000,-4054000,-70571000,3.5e+07,148000,148000,-495000,34653000,-4466000,-4466000,-653000,-5119000,21708000,235950000,24978000,0.31516,0.08848,0.03978,0.01207,0.0064,4.42951,2.81721,0.88611,0.26772,0.24193,0.23988,6.08143,20.04818,1.07165,0.00716,0.03173,9.18749,15.90193
"7","2012_Q2",22.2022222222222,"Down",159103000,-112215000,46888000,-35690000,-19034000,-13911000,11198000,-5079000,-4359000,-720000,6119000,6119000,-1652000,4467000,4467000,4467000,4467000,9534000,9534000,116374000,116374000,112450000,14590000,6983000,252948000,150900000,483143000,349471000,100075000,2526000,10243000,634043000,886991000,77267000,47690000,165447.453477,29577000,78144000,238639000,86831000,76099000,10732000,325470000,403614000,312896000,156989000,13492000,483377000,483377000,886991000,4467000,11119000,5431000,-21427000,-410000,-9836000,-27022000,0,223000,223000,-118000,105000,-27327000,-27327000,353000,-26974000,22317000,238639000,-7294000,0.2947,0.07038,0.02808,0.00924,0.00504,-1.63286,3.23695,0.83499,0.26904,0.19073,0.18731,6.79347,20.6395,-0.31144,0.00552,-0.00902,10.26594,20.45946
"8","2012_Q3",23.6647619047619,"Up",166548000,-114615000,51933000,-40842000,-20745000,-14174000,11091000,-4221000,-4415000,194000,6870000,6870000,-3019000,3851000,3851000,3851000,3851000,11133000,11133000,114135000,114135000,113657000,14868000,7227000,253793000,156380000,475617000,347290000,95362000,2073000,10064000,631997000,885790000,81370000,44515000,2505000,34350000,82205000,233374000,86168000,75786000,10382000,319542000,401747000,315276000,160840000,7927000,484043000,484043000,885790000,3851000,10985000,6047000,3067000,23950000,-14345000,-14318000,-8e+06,180000,180000,0,-7819999.99999999,1812000,1812000,-213000,1599000,22076000,233374000,13817000,0.31182,0.06659,0.02312,0.00796,0.00435,3.5879,3.08732,0.82998,0.26346,0.1631,0.16129,7.05383,20.50074,0.58519,0.00479,0.01719,10.06709,20.03796
"9","2012_Q4",22.6972580645161,"Down",161340000,-110386000,50954000,-48827000,-20274000,-13240000,2127000,-4299000,-4401000,102000,-2172000,-2172000,-5389000,-7561000,-7561000,-7561000,-7561000,10843000,10843000,124803000,124803000,111163000,14883000,7622000,261692000,156662000,473576000,347803000,91065000,2106000,11774000,630238000,891930000,91070000,44146000,2932000,43992000,92314000,230154000,88796000,78290000,10506000,318950000,411264000,318056000,153279000,9331000,480666000,480666000,891930000,-7561000,11966000,12491000,-892000,16004000,-9464000,-11087000,-6e+06,653000,653000,106000,-5241000,-324000,-324000,34000,-290000,14093000,230154000,9126000,0.31582,0.01318,-0.04686,-0.01573,-0.00848,-1.20698,2.8348,0.85561,0.25804,-0.31976,-0.31976,6.82314,20.32758,0.38594,-0.00946,0.01141,15.5617,103.10813
"10","2013_Q1",27.0865,"Up",159186000,-107312000,51874000,-50469000,-20939000,-11165000,1405000,-5386000,-4879000,-507000,-3981000,-4087000,-1469000,-5556000,-5556000,-5556000,-5556000,20284000,20284000,120923000,120923000,106612000,20314000,12636000,268133000,150893000,470849000,349035000,87345000,2534000,11107000,621742000,889875000,90883000,45274000,93999.9999999981,45515000,91757000,225414000,91844000,82462000,9382000,317258000,409015000,320642000,147723000,12947000,480860000,480860000,889875000,-5556000,12298000,16119000,2426000,25287000,-7424000,-7360000,-8e+06,207000,207000,-705000,-8498000,9429000,9429000,11999.9999999999,9441000,13703000,225414000,10174000,0.32587,0.00883,-0.0349,-0.01155,-0.00624,-1.83117,2.92221,0.85059,0.25331,-0.23484,-0.24192,6.72835,20.32461,0.43003,-0.00696,0.01275,14.96971,146
