"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",12.7979365079365,"Down",24174000,-17183000,6991000,-5285000,-2981000,-881000,-2100000,-1028000,-1276000,1706000,-1242000,-1242000,464000,-306000,164000,-142000,-142000,-142000,1359000,1793000,1793000,7742000,7742000,2609000,941000,636000,305000,13085000,5558000,5558000,55247000,26229000,21726000,7292000,60805000,73890000,9582000,5998000,3584000,11036000,11036000,50061000,43653000,9068000,8761000,52721000,102782000,0,-28892000,-28892000,-28892000,73890000,-142000,1276000,-2345000,-3226000,-4437000,-46000,-625000,-1671000,19347000,0,0,-15745000,3602000,-2506000,-2506000,-2506000,2982000,73096000,-454000,0.2892,0.07057,0.05622,-0.04704,0.01839,-0.33407,0.26138,-3.55746,0.98925,0.27623,0.06421,4.91351,-5.87248,-0.09228,0.02551,-0.00852,23.91113,41.79543
"2","2017_Q1",14.3562903225806,"Up",27313000,-17939000,9374000,-9622000,-6989000,-1349000,-5640000,-933000,-1700000,-248000,-238000,-238000,-486000,-5501000,-530000,-6031000,-6031000,-6031000,-4891000,4345000,4345000,6646000,6646000,2911000,1762000,869000,893000,15664000,6409000,6409000,50666000,25297000,21686000,3683000,57075000,72739000,8274000,6115000,2159000,2061000,2061000,11009000,1072000,4552000,3720000,5624000,16633000,91029000,-34923000,56106000,56106000,72739000,-6031000,1700000,8904000,-276000,4297000,-866000,-653000,-5919000,-51165000,55339000,55339000,-1.86264514923096e-09,4174000,2552000,2552000,2552000,1452000,1746000,840000,0.34321,-0.00908,-0.17907,-0.08717,-0.06724,-0.17174,1.42284,0.29646,0.024,-0.3157,-0.31215,1.76296,3.62145,0.05422,-0.07838,0.01346,-1.78994,10.47984
"3","2017_Q2",13.4966666666667,"Down",27977000,-19655000,8322000,-10744000,-7760000,-1230000,-6530000,-1219000,-1765000,-2422000,-76000,-76000,-2498000,-2498000,-95000,-2593000,-2593000,-2593000,-2593000,2805000,2805000,8589000,8589000,3021000,1955000,883000,1072000,16370000,6889000,6889000,50118000,24347000,21686000,4085000,57007000,73377000,11277000,5940000,5337000,2110000,2110000,14083000,934000,3234000,2307000,4168000,18251000,92930000,-37804000,55126000,55126000,73377000,-2593000,1765000,3959000,-1154000,1977000,-865000,-8e+05,-1665000,-1796000,50000,50000,-106000,-1852000,-1540000,-1540000,-1540000,-657000,1630000,-2581000,0.29746,-0.08657,-0.09268,-0.04704,-0.03534,0.99537,1.16239,0.33108,0.02221,-0.15968,-0.15968,1.72285,3.39472,-0.15894,-0.04322,-0.04302,1.78843,0.48514
"4","2017_Q3",19.0857142857143,"Up",29437000,-20968000,8469000,-9910000,-6820000,-1314000,-5506000,-1291000,-1799000,-1441000,-77000,-77000,-1518000,-1518000,-165000,-1683000,-1683000,-1683000,-1683000,2811000,2811000,8547000,8547000,3202000,1643000,964000,679000,16203000,7794000,7794000,49420000,23400000,21686000,4334000,57214000,73417000,10295000,6166000,4129000,2137000,2137000,13118000,775000,3741000,2671000,4516000,17634000,96010000,-39268000,55783000,55783000,73417000,-1683000,1799000,3211000,1512000,4839000,-1085000,-714000,-1799000,-168999.999999996,-830000,129000.000000004,-2035000,-3034000,6000.00000000047,6000.00000000047,6000.00000000047,358000,1461000,950000,0.2877,-0.04895,-0.05717,-0.03017,-0.02292,-0.56447,1.23517,0.31612,0.0199,-0.10195,-0.10195,1.78319,3.37914,0.05755,-0.0276,0.01558,-3.77095,0.936850000000002
"5","2017_Q4",29.2971428571429,"Up",32731000,-23465000,9266000,-10039000,-6346000,-1325000,-5021000,-1527000,-2166000,-773000,-174000,-174000,-947000,-947000,7112000,6165000,6165000,6165000,6165000,5939000,5939000,16631000,16631000,2781000,2935000,2278000,657000,28286000,8872000,8872000,131383000,63347000,63125000,4911000,140255000,168541000,22467000,14366000,8101000,15274000,15274000,38668000,36019000,17881000,16289000,53900000,92568000,108505000,-31573000,75973000,75973000,168541000,6165000,2166000,-5489000,2042000,4884000,-668000,-709000,-35829000,34810000,15000,15000,-752000,34073000,3128000,3128000,3128000,1393000,36946000,-4345000,0.2831,-0.02362,0.18835,0.08115,0.03658,-0.70479,0.73151,1.21843,0.21921,0.3691,0.27414,1.95963,4.54855,-0.26014,0.04713,-0.03322,22.25915,-40.11255
"6","2018_Q1",35.0432786885246,"Up",44401000,-29567000,14834000,-4997000,375999.999999998,-1673000,2049000,-1591000,-3782000,9837000,-361000,-361000,9476000,9476000,2931000,12407000,12407000,12407000,12407000,10430000,10430000,17087000,17087000,2795000,5139000,2253000,2886000,35451000,9243000,9243000,143138000,62736000,74613000,5789000,152381000,187832000,25206000,16218000,8988000,1640000,1640000,27767000,784000.000000015,35393000,34404000,36177000,63944000,144076000,-19229000,123888000,123888000,187832000,12407000,3782000,-8903000,-678000,6608000,-685000,-1091000,-1774999.99999999,-35474000,35183000,35183000,-51000,-342000,4491000,4491000,4491000,13619000,1705000,9325000,0.33409,0.22155,0.27943,0.10015,0.06605,0.75159,1.27673,0.51614,0.00908,0.7101,0.62466,2.54124,7.09059,0.53371,0.07707,0.05792,-0.640650000000001,-0.886960000000002
"7","2018_Q2",49.05125,"Up",43944000,-31664000,12280000,-27661000,-21400000,-2002000,-19398000,-2213000,-4048000,-15381000,-63000,-63000,-15444000,-15444000,-2650000,-18094000,-18094000,-18094000,-18094000,4252000,4252000,20372000,20372000,2671000,5644000,2227000,3417000,32939000,9873000,9873000,140605000,60208000,74584000,5813000,150478000,183417000,26984000,13809000,13175000,45304000,45304000,73362000,820000,3462000,2567000,4282000,77644000,146921000,-37323000,105773000,105773000,183417000,-18094000,4048000,15393000,-1138000,209000,-1122000,-1060000,-2182000,-2257000,-1946000,920000,-2000,-4205000,-6178000,-6178000,-6178000,-11333000,1894000,-10943000,0.27945,-0.35001,-0.41175,-0.17106,-0.09865,0.60479,0.44899,0.73406,0.01033,-0.963,-0.963,2.33879,5.62945,-0.58241,-0.16282,-0.09847,0.20806,0.15331
"8","2018_Q3",73.2373015873016,"Up",48598000,-32410000,16188000,-51013000,-44125000,-2314000,-41811000,-2922000,-3966000,-34825000,-120000,-120000,-34945000,-34945000,5919000,-29026000,-29026000,-29026000,-29026000,7273000,7273000,21282000,21282000,3388000,7031000,2744000,4287000,38974000,10866000,10866000,149862000,63159000,78153000,6472000,160728000,199702000,25121000,13718000,11403000,82207000,82207000,108411000,8560000,2551000,2551000,11111000,119522000,150354000,-66349000,80180000,80180000,199702000,-29026000,3966000,34539000,-5927000,3552000,-1472000,-1095000,-9524000,7740000,1253000.00000001,1253000,-4.65661287307739e-10,8993000,3021000,3021000,3021000,-30859000,9643000,-44177000,0.3331,-0.71659,-0.59727,-0.36201,-0.14535,1.52198,0.3595,1.49067,0.04829,-1.53112,-1.53112,2.56354,4.22949,-2.33033,-0.31422,-0.47824,-0.0767999999999992,-0.0680499999999989
"9","2018_Q4",70.8115873015873,"Down",54418000,-35058000,19360000,-9550000,-2074000,-2669000,595000,-3380000,-4096000,9810000,-232000,-232000,9578000,9578000,838000,10416000,10416000,10416000,10416000,13947000,13947000,25020000,25020000,3613000,9980000,2469000,7511000,52560000,11025000,11025000,170951000,68677000,90919000,7417000,181976000,234536000,32498000,10553000,21945000,73788000,73788000,107314000,26840000,2785000,2785000,29625000,136939000,157355000,-55933000,97597000,97597000,234536000,10416000,4096000,-6845000,-2185000,5482000,-919000,-1409000,-17352000,18228000,417000,417000,-101000,18544000,6674000,6674000,6674000,13906000,27868000,9964000,0.35576,0.18027,0.19141,0.10672,0.04441,0.95661,0.48978,1.40311,0.11882,0.5419,0.5419,2.83111,5.07752,0.51838,0.08122,0.07769,1.00108,1.41906
"10","2019_Q1",59.5896721311475,"Down",57310000,-38537000,18773000,21352000,29751000,-2682000,32433000,-3707000,-4692000,40125000,-491000,-491000,39634000,-9833999.99999999,-731000,-10565000,-10565000,-10565000,-10565000,20278000,20278000,27950000,27950000,3594000,11489000,2573000,8916000,63311000,11865000,11865000,195781000,77206000,108213000,10287000,207646000,270957000,31386000,14830000,16556000,88397000,88397000,120728000,7952000,3268000,3268000,11220000,131948000,209332000,-66498000,139009000,139009000,270957000,-10565000,4692000,13248000,-788000,6587000,-1505000,-2838000,-14594000,20238000,933000,933000,-2082000,19089000,11082000,11082000,11082000,44817000,8897000,43255000,0.32757,0.70014,-0.18435,-0.0760000000000001,-0.03899,-4.09418,0.52441,0.9492,0.03284,-0.54388,-0.54388,2.9503,7.15613,2.22675,-0.0698899999999999,0.28613,-0.253939999999999,-0.28364
