"","YQ","p","d","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",14.9495238095238,"Down",-1789817,-924780,-924780,-865037,-1772358,-24197,-24197,-1796555,-1803353,-1803353,-1803353,-1803353,-1803353,9459135,9459135,431107,431107,9913960,246298,26011,26011,272309,10186269,1170260,994938,175322,2582925,9429533,9429533,9429533,12012458,433283324,-8034244,-427075269,-1826189,-1826189,10186269,-1803353,16534,422024,155062,-1209733,-1051,-1051,-1051,-1051,-1210784,-1210784,-1210784,-1755824,1412665,0.9875,-0.17704,3.83827,-6.57788,0.13868,-0.5558,-0.5558,-0.56284,-0.20002,4.58273,4.53998
"22","2015_Q3",14.396875,"Down",-2083608,-860334,-860334,-1223274,-2059629,-24292,-24292,-2083921,-2095467,-2095467,-2095467,-2095467,-2095467,7953821,7953821,308512,308512,8286327,245281,46635,46635,291916,8578243,1150753,969035,181718,2586068,9441079,9441079,9441079,12027147,433756076,-8034244,-429170736,-3448904,-3448904,8578243,-2095467,16687,495402.000000001,93734,-1489644,-15670,-15670,-15670,-15670,-1505314,-1505314,-1505314,-2042942,1435315,0.60757,-0.24428,3.20422,-3.48724,0.16732,-0.64584,-0.64584,-1.06297,-0.28212,3.19074,3.16489
"23","2015_Q4",11.34640625,"Down",-1616247,-673910,-673910,-942337,-1616247,-24347,-24347,-1640594,-1604904,-1604904,-1604904,-1604904,-1604904,6423920,6423920,404984,404984,6828904,234739,38174,38174,272913,7101817,970978,801273,169705,970978,9405389,9405389,10863354,11834332,434077369,-8034244,-430775640,-4732515,-4732515,7101817,-1604904,17550,343943,-279482,-1522893,-7008,-7008,-7008,-7008,-1529901,-1529901,-1529901,-1598697,1457965,0.33912,-0.22598,7.03302,-2.50064,0.20529,-0.49464,-0.49464,-1.45859,-0.26178,3.10625,3.07252
"24","2016_Q1",9.68491803278689,"Down",-1704169,-659245,-659245,-1044924,-1704169,-8697,-8697,-1712866,-1702699,-1702699,-1702699,-1702699,-1702699,5131114,5131114,438231,438231,5569345,218796,38174,38174,256970,5826315,1053564,884100,169464,1053564,9395222,9395222,10860192,11913756,434425142,-8034244,-432478339,-6087441,-6087441,5826315,-1702699,17610,354778,39172,-1291139,-1667,-1667,-1667,-1667,-1292806,-1292806,-1292806,-1686559,1464970,0.27971,-0.29224,5.2862,-1.9571,0.25144,-0.52478,-0.52478,-1.87619,-0.35675,2.17374,2.15128
"25","2016_Q2",12.61390625,"Up",-1783832,-765075,-765075,-1018757,-1783832,-8768,-8768,-1792600,-1794366,-1794366,-1794366,-1794366,-1794366,13944509,13944509,319174,319174,14263683,222824,38174,38174,260998,14524681,941438,783339,158099,2413413,7474676,7474676,7474676,9888089,446943541,-8034244,-434272705,4636592,4636592,14524681,-1794366,19037,325950,8697,-1440682,30093,-63664,-63664,30093,8813395,8813395,8813395,-1764795,1471975,-0.387,-0.12354,5.91017,2.13262,0.10134,-0.44628,-0.44628,1.15318,-0.1321,7.06741,6.99199
"26","2016_Q3",10.97109375,"Down",-3277478,-1914802,-1914802,-1362676,-3277478,-8758,-8758,-3286236,-3291870,-3291870,-3291870,-3291870,-3291870,18534467,18534467,230206,230206,18764673,168728,34485,34485,203213,18967886,1106654,945828,160826,2585634,6358276,6358276,6358276,8943910,455622795,-8034244,-437564575,10023976,10023976,18967886,-3291870,13460,1651533,263507,-1363370,741,-63948,-63948,741,4589958,4589958,4589958,-3264018,1478980,-0.3284,-0.17355,7.25728,0.89225,0.07797,-0.76721,-0.76721,2.33622,-0.1843,5.2253,5.20384
"27","2016_Q4",13.6892063492063,"Up",-1690856,-676927,-676927,-1013929,-1690856,-5614,-5614,-1696470,-1693492,-1693492,-1693492,-1693492,-1693492,24137329,24137329,401080,401080,24538409,184090,34485,34485,218575,24756984,1080870,918892,161978,2566855,6167142,6167142,6167142,8733997,463315298,-8034244,-439258067,16022987,16022987,24756984,-1693492,15466,232472,-199635,-1645189,-31632,-31632,-31632,-31632,5602862,5602862,5602862,-1675390,1485985,-0.10569,-0.0684,9.55972,0.54509,0.06002,-0.34362,-0.34362,3.25116,-0.07153,13.52004,13.39638
"28","2017_Q1",13.5870967741935,"Down",-2668444,-1418246,-1418246,-1250198,-2668444,-2950,-2950,-2671394,-2673760,-2673760,-2673760,-2673760,-2673760,27092928,27092928,355891,355891,27448819,229591,34485,34485,264076,27712895,1315576,1064626,250950,1315576,4122266,4122266,5613544,6929120,470749846,-8034244,-441931827,20783775,20783775,27712895,-2673760,18488,799134,282260,-1573878,-63989,-63989,-63989,-63989,2955599,2955599,2955599,-2649956,1491278,-0.12865,-0.09648,20.86449,0.33339,0.05381,-0.29356,-0.29356,2.28195,-0.10129,9.66116,9.59422
"29","2017_Q2",10.6295238095238,"Down",-1693450,-644163,-644163,-1049287,-1693450,142,142,-1693308,-1700182,-1700182,-1700182,-1700182,-1700182,25528952,25528952,335707,335707,25864659,244572,72601,72601,317173,26181832,1319702,1119997,199705,2812849,4129140,4129140,4129140,6941989,470906096,-8034244,-443632009,19239843,19239843,26181832,-1700182,18528,158119,-6932,-1530467,-33509,-33509,-33509,-33509,-1563976,-1563976,-1563976,-1674922,1493147,-0.08837,-0.06494,9.19518,0.36081,0.05703,-0.28244,-0.28244,3.19617,-0.06838,14.3504,14.1934
"30","2017_Q3",11.6766666666667,"Up",-2418829,-691422,-691422,-1727407,-2418829,-72,-72,-2418901,-2408582,-2408582,-2408582,-2408582,-2408582,23360529,23360529,250905,250905,23611434,448477,72601,72601,521078,24132512,1493099,1183271,309828,2988115,4118821,4118821,4118821,7106936,471100411,-8034244,-446040591,17025576,17025576,24132512,-2408582,19390,196184,247880,-1945128,-223295,-223295,-223295,-223295,-2168423,-2168423,-2168423,-2399439,1495016,-0.14147,-0.09981,7.90178,0.41743,0.06195,-0.40012,-0.40012,2.82833,-0.10639,9.11276,9.03971
"31","2017_Q4",27.1706349206349,"Up",-1596867,-625878,-625878,-970989,-1596867,-546,-546,-1597413,-1613523,-1613523,-1613523,-1613523,-1613523,21640068,21640068,441818,441818,22081886,566020,68244,68244,634264,22716150,1506609,1203965,302644,3003494,4134931,4134931,4134931,7138425,471266083,-8034244,-447654114,15577725,15577725,22716150,-1613523,31502,167541,-156936,-1571416,-149045,-149045,-149045,-149045,-1720461,-1720461,-1720461,-1565365,1496885,-0.10358,-0.07103,7.35207,0.45825,0.0659,-0.26804,-0.26804,2.58781,-0.07608,12.86804,12.61419
