"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.061746031746,"Down",172037000,-96076000,75961000,-63608000,-6427000,-57181000,12353000,4461000,-114000,4575000,16814000,16814000,-6407000,10407000,10407000,10407000,8239000,102147000,27789000,74358000,67915000,67915000,7641000,124708000,2679000,122029000,302411000,425847000,613703000,-187856000,61656000,5978000,12900000,26672000,487503000,789914000,178600000,11986000,5740000,160874000,24501000,15154000,203101000,1e+07,43569000,25259000,53569000,256670000,131703000,201807000,29179000,533244000,533244000,789914000,10407000,6427000,-7060000,-11387000,-1613000,-5001000,-5001000,-46824000,47374000,-4451000,-5729000,662000,662000,-102000,-5169000,-11233000,-11233000,-11233000,18780000,1e+07,8799000,0.44154,0.0718,0.04789,0.01545,0.01043,1.06797,1.48897,0.48134,0.01266,0.60747,0.6068,12.68443,26.74136,0.64876,0.4224,0.0238,0.01499,0.69535,-4.90666,-7.45948
"2","2010_Q3",24.14171875,"Up",178209000,-97680000,80529000,-65765000,-6663000,-59102000,14764000,4813000,-146000,4959000,19577000,19577000,-7727000,11850000,11850000,11850000,9682000,95819000,22563000,73256000,70021000,70021000,8356000,126084000,2167000,123917000,300280000,425545000,620290000,-194745000,75398000,20320000,12506000,26356000,500943000,801223000,186143000,10603000,6026000,169514000,23334000,14044000,209477000,1e+07,41959000,25128000,51959000,261436000,132296000,207631000,29312000,539787000,539787000,801223000,11850000,6663000,531000,2134000,21178000,-6664000,-6664000,-2027000,1741000,-21292000,-5739000,346999.999999998,347000,280000,-5112000,-5226000,-5226000,-5226000,21427000,1e+07,24624000,0.45188,0.08285,0.05433,0.01794,0.01208,2.54328,1.43347,0.48433,0.01248,0.70496,0.70484,12.97566,26.88484,1.79291,0.41787,0.02606,0.04161,0.59275,-4.00518,-5.81272
"3","2010_Q4",28.54984375,"Up",178551000,-98531000,80020000,-65614000,-6800000,-58814000,14406000,5288000,-136000,5424000,19694000,19694000,-4611000,15083000,15083000,15083000,12914000,112217000,28868000,83349000,64169000,64169000,7700000,126813000,1531000,125282000,310899000,425697000,622398000,-196701000,73732000,20320000,13110000,26118000,499429000,810328000,185331000,10079000,5983000,169269000,27063000,13425000,212394000,1e+07,37945000,22396000,47945000,260339000,126473000,216739000,36229000,549989000,549989000,810328000,15083000,6800000,2462000,1889000,26234000,-7254000,-7254000,-616000,-71000,-7941000,-6019000,-5941000,3000,-28000,-11988000,6305000,6305000,6305000,21206000,1e+07,20452000,0.44816,0.08068,0.07233,0.02348,0.01594,1.58371,1.46378,0.47335,0.01234,0.9462,0.94608,13.08235,27.80146,1.49851,0.44101,0.03166,0.0342,0.46608,-4.82019,-7.09545
"4","2011_Q1",32.0809677419355,"Up",191856000,-107983000,83873000,-67256000,-7251000,-60005000,16617000,8265000,-117000,8382000,24882000,24882000,-9527000,15355000,15355000,15355000,13187000,113594000,28478000,85116000,77049000,77049000,7853000,124120000,1251000,122869000,322616000,436392000,640150000,-203758000,70497000,20320000,14204000,23973000,506889000,829505000,192215000,10947000,5997000,175271000,32081000,17895000,224296000,1e+07,34063000,20073000,44063000,268359000,128197000,226114000,36287000,561146000,561146000,829505000,15355000,7251000,655000,-5699000,17562000,-13374000,-13374000,10999.9999999995,-293000,-12667000,-5966000,1643000,1643000,-962000,-5285000,-389999.999999998,-389999.999999998,-389999.999999998,23868000,1e+07,14322000,0.43717,0.08661,0.06873,0.0235,0.0159,1.08607,1.43835,0.47823,0.01206,0.97193,0.97084,14.14056,28.78864,1.05559,0.43972,0.03165,0.02366,0.45242,-4.34029,-6.23422
"5","2011_Q2",33.1349206349206,"Up",192948000,-108762000,84186000,-58216000,-6962000,-51254000,25970000,4472000,-89000,4561000,30442000,30442000,-11718000,18724000,18724000,18724000,16556000,124385000,33504000,90881000,68242000,68242000,7699000,132093000,2970000,129123000,332419000,435287000,646312000,-211025000,72034000,20320000,15462000,23774000,507321000,839740000,168366000,11099000,6058000,151209000,39935000,23231000,208301000,1e+07,36921000,19805000,46921000,255222000,135446000,238805000,39726000,584518000,584518000,839740000,18724000,6962000,-5618000,-8674000,11394000,-6160000,-6160000,1350000,-1691000,-6501000,-5972000,5953000,5953000,152000,133000,5026000,5026000,5026000,32932000,1e+07,29816000,0.43631,0.1346,0.08581,0.02832,0.01972,1.80092,1.59586,0.43664,0.01191,1.21022,1.01401,14.10425,30.26118,2.17951,0.43655,0.03568,0.04722,0.36072,-3.47337,-4.40451
"6","2011_Q3",27.43859375,"Down",190783000,-104793000,85990000,-68842000,-7075000,-61767000,17148000,5047000,-108000,5155000,22195000,22195000,-8584000,13611000,13611000,13611000,11443000,122458000,37331000,85127000,66078000,66078000,7639000,130723000,2465000,128258000,326898000,435101000,653501000,-218400000,71564000,20320000,1.6e+07,22934000,506665000,833563000,165936000,11847000,6344000,147745000,31964000,17608000,197900000,1e+07,35158000,19509000,45158000,243058000,137255000,246098000,36637000,590505000,590505000,833563000,13611000,7075000,2678000,-7600000,15764000,-7192000,-7192000,-7841000,8061000,-6972000,-6032000,1199000,1199000,-132000,-4965000,3827000,3827000,3827000,24223000,1e+07,18015000,0.45072,0.08988,0.05998,0.01938,0.01373,1.57432,1.65183,0.41161,0.012,0.82936,0.69604,13.8275,30.43988,1.30568,0.43719,0.02749,0.02834,0.52713,-4.64261,-6.55808
"7","2011_Q4",27.9584126984127,"Up",197064000,-106870000,90194000,-72114000,-7307000,-64807000,18080000,5004000,-136000,5140000,23084000,23084000,-5873000,17211000,17211000,17211000,15044000,133247000,53158000,80089000,66875000,66875000,7242000,136005000,2201000,133804000,343369000,432020000,654498000,-222478000,70938000,20320000,17175000,22510000,502958000,846327000,179854000,9449000,6351000,164054000,26513000,14313000,206367000,1e+07,30964000,17257000,40964000,247331000,137595000,256992000,33894000,598996000,598996000,846327000,17211000,7307000,-3835000,5933000,26616000,-4529000,-4529000,-5884000,6104000,-4309000,-6309000,0,0,-171000,-6480000,15827000,15827000,15827000,25387000,1e+07,32664000,0.45769,0.09175,0.07634,0.02512,0.01778,2.17123,1.66388,0.41291,0.01182,1.08945,0.91478,14.27095,31.02966,2.36546,0.45688,0.03337,0.05104,0.41937,-4.85473,-6.81676
"8","2012_Q1",32.58,"Up",192447000,-108247000,84200000,-66104000,-7557000,-58547000,18096000,5567000,-110000,5677000,23663000,23663000,-8219000,15444000,15444000,15444000,13276000,146059000,61008000,85051000,71696000,71696000,7419000,143024000,1082000,135472000,368198000,429651000,659523000,-229872000,72575000,20320000,20502000,21586000,502226000,870424000,185798000,9834000,6362000,169602000,34861000,20335000,220659000,1e+07,28029000,16244000,38029000,258688000,139321000,265198000,36702000,611736000,611736000,870424000,15444000,7557000,7103000,-1520000,28584000,-5491000,-5491000,1044000,-2017000,-13964000,-6310000,1240000,1240000,-1700000,-6770000,7850000,7850000,7850000,25653000,1e+07,26861000,0.43752,0.09403,0.06899,0.0217,0.01525,2.02328,1.66863,0.42288,0.01149,0.96118,0.80739,13.93306,31.94416,1.94472,0.45684,0.03014,0.04134,0.47529,-5.30382,-7.51873
"9","2012_Q2",31.8014285714286,"Down",190050000,-106471000,83579000,-68755000,-7380000,-61375000,14824000,5750000,-118000,5868000,20574000,20574000,-7920000,12654000,12654000,12654000,10486000,152788000,59714000,93074000,70360000,70360000,6938000,141172000,2779000,138393000,371258000,424715000,661702000,-236987000,78309000,17600000,27601000,22734000,503024000,874282000,170623000,10108000,6411000,154104000,34228000,16990000,204851000,1e+07,30399000,16104000,40399000,245250000,145445000,271511000,41561000,629032000,629032000,874282000,12654000,7380000,-5885000,-10603000,3546000,-2972000,-2972000,-949000,407000,-3514000,-6314000,5578000,5578000,-590000,-1326000,-1294000,-1294000,-1294000,22204000,1e+07,16549000,0.43977,0.078,0.05517,0.01667,0.01199,1.5782,1.81233,0.38988,0.01144,0.75765,0.75394,13.73186,33.12965,1.19573,0.45621,0.0251,0.02472,0.60214,-6.43073,-9.63222
"10","2012_Q3",33.4287301587302,"Up",187668000,-104713000,82955000,-66457000,-7386000,-59071000,16498000,5799000,-108000,5907000,22297000,22297000,-8742000,13555000,13555000,13555000,11387000,166811000,69209000,97602000,63607000,63607000,6794000,142660000,2285000,140375000,379872000,420599000,664754000,-244155000,85722000,17600000,33935000,22706000,506321000,886193000,171681000,6168000,6404000,159109000,35224000,15844000,206905000,1e+07,29316000,16587000,39316000,246221000,146033000,278762000,44663000,639972000,639972000,886193000,13555000,7386000,824000,5964000,27729000,-3270000,-3270000,-1408000,683000,-11495000,-6370000,5000,4999.99999999907,-374000,-6739000,9495000,9495000,9495000,23884000,1e+07,35320000,0.44203,0.08791,0.06068,0.01779,0.01285,3.10178,1.83597,0.38474,0.01128,0.82243,0.81481,13.55443,33.90686,2.55101,0.46008,0.02614,0.052,0.55941,-6.56553,-9.50485
"11","2012_Q4",34.5538709677419,"Up",189307000,-106844000,82463000,-65734000,-7402000,-58332000,16729000,6652000,-119000,6771000,23381000,23381000,-6185000,17196000,17196000,17196000,15029000,181707000,83707000,9.8e+07,63080000,63080000,6479000,146671000,1727000,144944000,397937000,421843000,669084000,-247241000,86313000,17600000,36091000,22269000,508156000,906093000,184084000,5436000,6413000,172235000,34685000,14748000,218769000,1e+07,24822000,13576000,34822000,253591000,146936000,289631000,45421000,652502000,652502000,906093000,17196000,7402000,-2598000,8054000,30054000,-8646000,-8646000,-20817000,20186000,-9277000,-6355000,377000,377000,-301000,-6279000,14498000,14498000,14498000,24131000,1e+07,29724000,0.4356,0.08837,0.07939,0.02303,0.01659,1.97778,1.81898,0.38864,0.01104,1.08491,0.90543,13.6657,34.79377,2.14572,0.45876,0.03111,0.04325,0.42285,-7.11562,-10.26403
"12","2013_Q1",35.9855,"Up",193977000,-108906000,85071000,-64431000,-7624000,-56807000,20640000,6589000,-110000,6699000,27229000,27229000,-11334000,15895000,15895000,15895000,13727000,173951000,66701000,107250000,76959000,76959000,6660000,159675000,1132000,152610000,417245000,420907000,675455000,-254548000,86548000,17600000,40039000,16092000,507455000,924700000,183876000,10555000,6480000,166841000,44885000,20411000,228761000,1e+07,29791000,26361000,39791000,268552000,154833000,279993000,50808000,656148000,656148000,924700000,15895000,7624000,-2679000,-17796000,3044000,-7115000,-7115000,-25868000,26044000,-6939000,-20481000,7452000,7452000,-82000,-13111000,-17006000,-17006000,-17006000,28264000,1e+07,14687000,0.43856,0.1064,0.07077,0.02092,0.01484,1.06994,1.82393,0.40929,0.01081,0.99093,0.82699,14.00282,35.05697,1.06023,1.47848,0.04915,0.0211,1.49202,-5.8007,-7.94336
"13","2013_Q2",35.44328125,"Down",194378000,-107063000,87315000,-71235000,-6956000,-64279000,16080000,6534000,-84000,6618000,22614000,22614000,-8809000,13805000,13805000,13805000,11637000,197416000,73839000,123577000,75687000,75687000,6558000,161025000,2917000,158108000,440686000,420317000,681818000,-261501000,88820000,17600000,41823000,15553000,509137000,949823000,183987000,10948000,6461000,166578000,53602000,23182000,237589000,1e+07,33424000,27090000,43424000,281013000,150633000,287413000,60252000,668810000,668810000,949823000,13805000,6956000,-7006000,11093000,24848000,-6366000,-6366000,-138000,-294000,-6798000,-6404000,-4700000,5442298.61065054,192000,-10912000,7138000,7138000,7138000,23036000,1e+07,36572000,0.4492,0.08273,0.05987,0.0174,0.01225,3.14273,1.85482,0.42017,0.01053,0.83951,0.82463,14.02278,35.94813,2.63837,0.462,0.02533,0.05135,0.55031,-8.13579,-11.65522
"14","2013_Q3",36.5253125,"Up",192011000,-109358000,82653000,-65570000,-6972000,-58598000,17083000,6550000,-82000,6632000,23633000,23633000,-9291000,14342000,14342000,14342000,12174000,188747000,74634000,114113000,76511000,76511000,6349000,157818000,2397000,155421000,429425000,427075000,695485000,-268410000,85960000,17600000,37655000,15721000,513035000,942460000,192790000,11251000,6723000,174816000,38459000,13291000,231249000,1e+07,32388000,27475000,42388000,273637000,151539000,295086000,51686000,668823000,668823000,942460000,14342000,6972000,3917000,-3e+06,22231000,-13730000,-13730000,-4593000,3512000,-14811000,-6407000,270000.000000004,269999.999999996,-488000,-6625000,795000,795000,795000,24055000,1e+07,16616000,0.43046,0.08897,0.0634,0.0182,0.01292,1.36488,1.85698,0.40913,0.01061,0.88113,0.63058,13.89744,36.06692,1.20264,0.46373,0.02613,0.02336,0.52629,-7.43076,-10.46344
"15","2013_Q4",39.34171875,"Up",195772000,-113739000,82033000,-62686000,-7045000,-55641000,19347000,11089000,-82000,11171000,30436000,30436000,-10559000,19877000,19877000,19877000,17710000,196609000,88410000,108199000,79827000,79827000,7078000,156402000,2016000,154386000,439916000,454914000,725732000,-270818000,81142000,17600000,36125000,13334000,536056000,975972000,215616000,12522000,6726000,196368000,40306000,17689000,255922000,1e+07,30394000,26417000,40394000,296316000,151994000,308295000,48857000,679656000,679656000,975972000,19877000,7045000,-4632000,20795000,43085000,-34885000,-34885000,-6343000,18730000,-22498000,-6665000,0,0,-146000,-6811000,13776000,13776000,13776000,26392000,1e+07,22861000,0.41902,0.09882,0.09046,0.02606,0.01815,1.29085,1.71895,0.43598,0.01025,1.28058,1.06056,14.15599,36.8156,1.65305,0.48194,0.03385,0.03175,0.37634,-7.07067,-9.64537
"16","2014_Q1",40.5614754098361,"Up",206796000,-123400000,83396000,-63494000,-7574000,-55920000,19902000,5591000,-83000,5674000,25493000,25493000,-8904000,16589000,16589000,16589000,14421000,186714000,81705000,105009000,79856000,79856000,7146000,25950000,1208000,24742000,299666000,456798000,734682000,-277884000,99918000,17600000,38754000,25400000,684692000,984358000,129186000,13050000,6730000,109406000,38574000,13784000,167760000,1e+07,118486000,115166000,128486000,296246000,153201000,318216000,46185000,688112000,688112000,984358000,16589000,7574000,-1772000,-10207000,12184000,-9457000,-9457000,-692000,-2044000,-12193000,-6664000,721000,721000,-753000,-6696000,-6705000,-6705000,-6705000,27476000,1e+07,16716000,0.40328,0.09624,0.06974,0.02096,0.01465,1.15914,1.78628,0.43052,0.01016,1.04276,0.86359,14.95312,37.42704,1.20871,0.48186,0.02582,0.02047,0.4621,-6.43158,-8.87921
"17","2014_Q2",42.387619047619,"Up",210531000,-119725000,90806000,-73528000,-7900000,-65628000,17278000,4282000,-290000,4572000,21560000,21560000,-8331000,13229000,13229000,13229000,11061000,197598000,84137000,113461000,86949000,86949000,7260000,160503000,2977000,157526000,452310000,497201000,782980000,-285779000,87793000,17600000,36056000,17686000,584994000,1037304000,200248000,17973000,6784000,175491000,45019000,20160000,248220000,45841000,35742000,30047000,81583000,329803000,160270000,324727000,51997000,707501000,707501000,1037304000,13229000,7900000,4670000,-10651000,15148000,-9271000,-9271000,3071000,-5254000,-12160000,-6664000,6476000,6476000,-130000,-556000,2432000,2432000,2432000,25178000,48794000,13587000,0.43132,0.08207,0.05254,0.01563,0.01066,1.22837,1.82221,0.46615,0.04704,0.79902,0.78057,15.20827,38.7912,0.98149,0.48139,0.02238,0.01715,0.60248,-5.91008,-8.61234
"18","2014_Q3",44.24609375,"Up",216555000,-125614000,90941000,-74214000,-8605000,-65609000,16727000,3637000,-644000,4281000,20364000,20364000,-7853000,12511000,12511000,12511000,10344000,193376000,75758000,117618000,80842000,80842000,7179000,29617000,2653000,24135000,311014000,502288000,796510000,-294222000,96586000,17600000,34469000,23517000,733575000,1044589000,114329000,16937000,7040000,90352000,42694000,13357000,160020000,45075000,122687000,117837000,167762000,327782000,160572000,330233000,55508000,716807000,716807000,1044589000,12511000,8605000,-661000,-8608000,11847000,-13692000,-13692000,-5603000,7788000,-12881000,-6749000,276000,275999.999999999,-150000,-7345000,-8379000,-8379000,-8379000,25332000,48072000,10885000,0.41994,0.07724,0.04777,0.01443,0.0099,1.0523,1.94359,0.45728,0.04602,0.74586,0.7242,15.61476,39.39205,0.78487,0.48664,0.01926,0.01226,0.65246,-5.73599,-8.68679
"19","2014_Q4",47.3365625,"Up",218223000,-128938000,89285000,-73917000,-8639000,-65278000,15368000,3305000,-632000,3937000,18673000,18673000,-5844000,12829000,12829000,12829000,10662000,185446000,76917000,108529000,73417000,73417000,7362000,32611000,1913000,24745000,298836000,507413000,806470000,-299057000,97615000,17600000,35226000,23351000,744166000,1043002000,123450000,13607000,6998000,102845000,39851000,14269000,166343000,44297000,122245000,118166000,166542000,332885000,153959000,336102000,49562000,710117000,710117000,1043002000,12829000,8639000,-2980000,12463000,30951000,-13764000,-13764000,-6774000,6001000,-14900000,-7002000,-6990000,5000,-167000,-14892000,1159000,1159000,1159000,24007000,47339000,28550000,0.40915,0.07042,0.04886,0.01501,0.01022,2.67773,1.7965,0.46877,0.04539,0.77171,0.74968,15.79484,39.05756,2.06643,0.5068,0.02008,0.03245,0.65672,-5.75278,-8.98666
"20","2015_Q1",50.2973770491803,"Up",226374000,-135972000,90402000,-69599000,-9240000,-60359000,20803000,3793000,-599000,4392000,24596000,24596000,-9796000,14800000,14800000,14800000,12632000,202302000,69767000,132535000,78843000,78843000,7127000,34253000,2260000,27266000,322525000,514744000,821792000,-307048000,98386000,17600000,37116000,24970000,751598000,1074123000,132492000,15877000,7e+06,109615000,47978000,12472000,183558000,43508000,112909000,109550000,156417000,339975000,155105000,343941000,64608000,734148000,734148000,1074123000,14800000,9240000,9020000,-9067000.00000001,23993000,-16571000,-16571000,-4073000,-6146000,-27090000,-6959000,672000,672000,-301000,-7331000,-10428000,-10428000,-10428000,30043000,46596000,14201000,0.39935,0.0919,0.0558,0.01721,0.01176,1.12421,1.75707,0.46309,0.04338,0.9143,0.88819,16.3848,40.79691,1.02786,0.50369,0.02192,0.01589,0.5509,-5.18277,-7.48479
"21","2015_Q2",50.5433333333333,"Up",222407000,-125716000,96691000,-78665000,-8933000,-69732000,18026000,3632000,-590000,4222000,21658000,21658000,-8416000,13242000,13242000,13242000,11074000,213006000,78211000,134795000,81570000,81570000,7113000,30458000,3118000,27340000,332147000,518391000,834336000,-315945000,97816000,17600000,35607000,24429000,759706000,1091853000,124741000,20716000,7043000,96982000,52554000,16496000,180430000,42706000,120317000,114925000,163023000,343453000,160837000,350181000,66888000,748400000,748400000,1091853000,13242000,8933000,-672000,2878000,24381000,-12580000,-12580000,6991000,-7946000,-13858000,-6960000,5036000,5036000,6e+05,-2079000,8444000,8444000,8444000,26959000,45841000,25673000,0.43475,0.08105,0.04979,0.0148,0.01014,2.31831,1.84086,0.45892,0.04198,0.80471,0.77496,16.16147,41.99422,1.86556,0.50576,0.01972,0.02807,0.6285,-6.20071,-9.27355
"22","2015_Q3",50.214375,"Down",224902000,-131914000,92988000,-76684000,-9236000,-67448000,16304000,3532000,-598000,4130000,19836000,19836000,-7478000,12358000,12358000,12358000,10191000,189406000,71500000,117906000,77957000,77957000,7273000,33503000,2959000,30544000,308139000,519621000,844660000,-325039000,99997000,17600000,35076000,25052000,765486000,1073625000,126043000,17121000,7867000,101055000,41745000,13552000,170970000,41893000,118159000,113267000,160052000,331022000,163337000,354672000,55115000,742603000,742603000,1073625000,12358000,9236000,-3061000,-2738000,15795000,-10466000,-10466000,-14647000,9675000,-15438000,-7042000,707000,707000,33000,-7068000,-6711000,-6711000,-6711000,25540000,45075000,19814000,0.41346,0.07249,0.04531,0.01372,0.00949,1.94426,1.8023,0.44576,0.04198,0.73993,0.70858,16.32927,41.61234,1.43862,0.51129,0.01902,0.02187,0.691,-5.65117,-8.85249
"23","2015_Q4",52.5934375,"Up",225386000,-135136000,90250000,-75895000,-9273000,-66622000,14355000,3956000,-594000,4550000,18311000,18311000,-5744000,12567000,12567000,12567000,10415000,181348000,70781000,110567000,81854000,81854000,7566000,34825000,2488000,31724000,305593000,526255000,856078000,-329823000,99879000,17600000,34925000,25186000,776698000,1082291000,136430000,16107000,7874000,112449000,41027000,15517000,180687000,41067000,114180000,110051000,155247000,335934000,166667000,359365000,51020000,746357000,746357000,1082291000,12567000,9273000,-813000,2127000,23154000,-15907000,-15907000,-2736000,550000,-18143000,-7867000,2488000,2488000,427000,-5730000,-719000,-719000,-719000,23628000,44297000,15592000,0.40042,0.06369,0.04621,0.01395,0.00962,1.49707,1.69128,0.4501,0.04093,0.74987,0.7187,16.22751,41.54701,1.1226,0.56641,0.0202,0.01723,0.75535,-5.80036,-9.54727
"24","2016_Q1",50.87,"Down",233927000,-139969000,93958000,-72909000,-9672000,-63237000,21049000,4420000,-826000,5246000,25469000,25469000,-10493000,14976000,14976000,14976000,14644000,154376000,38208000,116168000,84095000,84095000,7568000,32903000,2171000,27529000,278942000,536046000,875287000,-339241000,78751000,17600000,37683000,23468000,766387000,1045329000,135185000,20128000,5996000,109061000,12192000,12192000,150656000,150228000,113449000,101038000,263677000,414333000,209619000,368013000,53364000,630996000,630996000,1045329000,14976000,9672000,12557000,-17180000,20025000,-19463000,-19463000,-2574000,-3007000,-25345000,-138744000,2403000,2403000,333000,-26798000,-32118000,-32118000,-32118000,30721000,153507000,4571000,0.40166,0.08998,0.0626,0.02321,0.01401,0.31214,1.85152,0.65663,0.14685,1.05435,1.01053,16.84245,45.43091,0.32911,9.98939,0.17082,0.00509,9.47446,-0.028290000000001,-0.0412799999999987
"25","2016_Q2",52.1990625,"Up",229588000,-130020000,99568000,-80990000,-9354000,-71636000,18578000,3819000,-954000,4773000,22397000,22397000,-8698000,13699000,13699000,13699000,13699000,175054000,49183000,125871000,81732000,81732000,7298000,32182000,3124000,29058000,296266000,540124000,888686000,-348562000,78745000,17600000,37246000,23899000,771782000,1068048000,119711000,17891000,6106000,95714000,15769000,15769000,138808000,149378000,125284000,104571000,274662000,413470000,218049000,375607000,60922000,654578000,654578000,1068048000,13699000,9354000,4715000,-3518000,24250000,-13432000,-13432000,4494000,-1767000,-11609000,-5995000,9330000,9330000,-851000,1683000,14324000,14324000,14324000,27932000,152706000,19680000,0.43368,0.08092,0.05967,0.02093,0.01283,1.4366,2.13436,0.63166,0.14298,0.90772,0.90052,15.21283,43.37329,1.30403,0.39724,0.02112,0.0211,0.43762,-0.80009,-1.20293
"26","2016_Q3",53.73453125,"Up",227768000,-135068000,92700000,-77120000,-9495000,-67625000,15580000,3986000,-939000,4925000,19566000,19566000,-7700000,11866000,11866000,11866000,11866000,179299000,37543000,141756000,77228000,77228000,7137000,33614000,3138000,29561000,297278000,553324000,911303000,-357979000,77124000,17600000,36005000,23519000,790288000,1087566000,124678000,21803000,6876000,95999000,12773000,12773000,140829000,148515000,126679000,101568000,275194000,416023000,219049000,380597000,71897000,671543000,671543000,1087566000,11866000,9495000,1305000,-488000,22178000,-22695000,-22695000,-2649000,51000,-25293000,-6106000.00000001,740000,740000,-101000,-6280000,-9395000,-9395000,-9395000,25075000,151893000,9592000,0.40699,0.0684,0.0521,0.01767,0.01091,0.80836,2.11091,0.6195,0.13966,0.78626,0.78003,15.09224,44.49741,0.63558,0.40459,0.01892,0.0101,0.514580000000001,-1.09296,-1.75905
"27","2016_Q4",57.7669841269841,"Up",231281000,-140403000,90878000,-79268000,-9998000,-69270000,11610000,4071000,-1020000,5091000,15681000,15681000,-4571000,11110000,11110000,11110000,11110000,166229000,19212000,147017000,76654000,76654000,7446000,36901000,2875000,29820000,287230000,557665000,921496000,-363831000,77145000,17600000,36574000,22971000,801125000,1088355000,121329000,17359000,6817000,97153000,18044000,18044000,142802000,147638000,127100000,99361000,274738000,417540000,210862000,384890000,75063000,670815000,670815000,1088355000,11110000,9998000,2598000,-5353000,18353000,-14339000,-14339000,-5629000,142000,-20204000,-6876000,-8195000,0,-125000,-16022000,-17873000,-17873000,-17873000,21608000,151067000,6487000,0.39293,0.0502,0.04804,0.01656,0.01021,0.58389,2.01139,0.62244,0.1388,0.73408,0.73058,15.28169,44.32351,0.42862,0.45433,0.01895,0.00684,0.6189,-0.70168,-1.30594
"28","2017_Q1",62.053064516129,"Up",234943000,-142516000,92427000,-73712000,-10176000,-63536000,18715000,3848000,-1028000,4876000,22563000,22563000,-8700000,13863000,13863000,13863000,13863000,164348000,26335000,138013000,82531000,82531000,7508000,36470000,2648000,29157000,290857000,559624000,933140000,-373516000,76035000,17600000,37242000,21193000,796590000,1087447000,134240000,18593000,6818000,108829000,13207000,13207000,150928000,146748000,120160000,94726000,266908000,417836000,211609000,391934000,66068000,669611000,669611000,1087447000,13863000,10176000,-2711000,4773000,26101000,-12135000,-12135000,-10194000,-2041000,-24370000,-6818000,702000,702000,442000,-6512000,-4781000,-4781000,-4781000,28891000,150229000,30229000,0.3934,0.07966,0.05901,0.0207,0.01275,2.18055,1.92712,0.624,0.13815,0.91599,0.91162,15.52365,44.24396,1.99735,0.45049,0.022,0.03216,0.49181,-0.4887,-0.75442
"29","2017_Q2",60.2698412698413,"Down",238538000,-138055000,100483000,-83561000,-10295000,-73266000,16922000,3710000,-1058000,4768000,20632000,20632000,-7999000,12633000,12633000,12728000,12728000,183437000,47096000,136341000,83339000,83339000,7320000,30354000,3928000,26426000,304450000,557395000,941172000,-383777000,75271000,17600000,36351000,21320000,774526000,1078976000,110624000,18579000,6831000,85214000,17905000,17905000,132062000,145845000,124344000,98743000,270189000,402251000,212518000,397831000,65501000,675850000,676725000,1078976000,12633000,10295000,-516000,-9401000,13011000,-8066000,-8066000,31596000,2918000,26272000,-6818000,817000,817000,-211000,-7063000,32220000,32220000,32220000,27217000,149378000,17749000,0.42125,0.07094,0.05336,0.01881,0.0118,1.39448,2.30536,0.59441,0.13844,0.84099,0.83698,15.76119,44.6562,1.17275,0.45049,0.02057,0.01867,0.53567,-1.25139,-2.01271
