"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"41","2020_Q2",61.4425396825397,"Down",256124000,-147469000,108655000,-92438000,-10438000,-8.2e+07,16217000,7734000,-412000,8146000,23951000,-36441000,9625000,-26816000,-26816000,-26852000,-26852000,161553000,69492000,92061000,100411000,100411000,7904000,36814000,5397000,31417000,306682000,540620000,1032795000,-492175000,409005000,21341000,38772000,217766000,949625000,1256307000,120386000,18275000,7980000,94131000,43368000,43368000,217982000,13882000,281088000,267613000,294970000,512952000,223753000,518261000,548000,742562000,743355000,1256307000,-26816000,10438000,43679000,-19547000,7754000,-6628000,-6628000,-2950000,126000,-16225000,-7968000,347000,4e+05,281000,31641000,23170000,23170000,23170000,26655000,68110000,-9145000,0.42423,0.06332,-0.10484,-0.03612,-0.02137,0.34057,1.40691,0.69005,0.05421,-1.75563,-1.75563,16.74585,48.55004,-0.59792,0.52096,-0.01728,-0.00837,-0.29674,-3.50565,-5.76204
"42","2020_Q3",57.80859375,"Down",261642000,-156914000,104728000,-91726000,-10545000,-81181000,13002000,3793000,-453000,4246000,16795000,38556000,-10034000,28522000,28522000,28324000,28324000,261585000,149471000,112114000,85849000,85849000,7200000,35570000,4345000,31225000,390204000,535964000,1038586000,-502622000,409070000,21341000,36897000,211509000,945034000,1335238000,135289000,18442000,7986000,108861000,122561000,122561000,262142000,12785000,291024000,278071000,303809000,565951000,225125000,538599000,4328000,768052000,769287000,1335238000,28522000,10545000,-13829000,121735000,146973000,-5889000,-5889000,3019000,588000,-2342000,-7980000,549000,549000,432000,-58032000,86599000,86599000,86599000,23547000,17077000,149427000,0.40027,0.04969,0.10825,0.03682,0.02121,5.27563,1.48852,0.73568,0.01279,1.85187,1.85187,17.10662,50.21662,9.76981,0.52175,0.0337,0.13869,0.28174,-10.38383,-18.80541
"43","2020_Q4",61.381875,"Up",250626000,-151564000,99062000,-91755000,-10548000,-81207000,7307000,6193000,-285000,6478000,13500000,13259000,-391000,12868000,12868000,12849000,12849000,295638000,183765000,111873000,84595000,84595000,7188000,34807000,3682000,31125000,422228000,530616000,1041832000,-511216000,385935000,21341000,36888000,204915000,916551000,1338779000,134082000,19890000,7987000,106205000,121234000,121234000,259673000,11671000,290258000,276073000,301929000,561602000,225769000,543460000,4731000,773960000,777177000,1338779000,12868000,10548000,1892000,3865000,29173000,-5200000,-5200000,8181000,433000,3294000,-7987000,126000,126000,1782000,-7128000,25339000,25339000,25339000,17855000,16028000,16911000,0.39526,0.02915,0.05127,0.01653,0.0096,1.31613,1.626,0.72262,0.01197,0.83957,0.83605,16.37625,50.57162,1.10499,0.52188,0.01923,0.01561,0.6216,-15.66004,-38.26605
"44","2021_Q1",66.4539344262295,"Up",259825000,-165045000,94780000,-81752000,-10487000,-71265000,13028000,7408000,-249000,7657000,20436000,37049000,-9633000,27416000,27416000,27550000,27550000,323445000,147093000,176352000,89670000,89670000,8781000,34859000,2977000,31882000,456755000,520318000,1030426000,-510108000,385059000,21341000,40782000,197464000,905377000,1362132000,162689000,21112000,7987000,133590000,114116000,114116000,281228000,10540000,272104000,258025000,282644000,563872000,227096000,563024000,5057000,795177000,798260000,1362132000,27416000,10487000,-22894000,4350000,19359000,2594000,-3673889.564124,-52110000,911000,-48605000,-7986000,681000,681000,0,-8370000,-37616000,-37616000,-37616000,23515000,14963000,40092000,0.36478,0.05014,0.10603,0.03451,0.02023,1.45525,1.62414,0.70638,0.01098,1.79924,1.79225,16.96873,51.93165,2.61834,0.52155,0.03274,0.03694,0.28987,-13.11852,-23.67839
"45","2021_Q2",68.7038095238095,"Up",250973000,-149159000,101814000,-86348000,-10161000,-76187000,15466000,6016000,-244000,6260000,21482000,28541000,-7233000,21308000,21308000,21267000,21267000,318845000,134107000,184738000,94292000,94292000,8117000,43364000,3496000,39868000,464618000,514484000,1034747000,-520263000,376210000,21341000,37796000,183114000,890694000,1355312000,135161000,16113000,8003000,111045000,126196000,126196000,265846000,9393000,269885000,254728000,279278000,545124000,227641000,576288000,3135000,807064000,810188000,1355312000,21308000,10161000,-1981000,-16899000,12589000,-4327000,-4327000,-1780000,255000,-5852000,-7988000,49000,327000,-128000,-9148000,-2411000,-2411000,-2411000,25627000,13882000,11634000,0.40568,0.06162,0.08474,0.02625,0.01569,0.54704,1.7477,0.67284,0.01024,1.3875,1.38186,16.37401,52.65457,0.75903,0.52115,0.02674,0.01063,0.37561,-11.90007,-19.71829
"46","2021_Q3",69.26,"Up",263158000,-163866000,99292000,-85282000,-10131000,-75151000,14010000,5371000,-215000,5586000,19381000,108094000,-2764000,105330000,105330000,104883000,104883000,297009000,134692000,162317000,97811000,97811000,7939000,63148000,6160000,56988000,465907000,519617000,1050009000,-530392000,471845000,168295000,1867000,178789000,991462000,1457369000,171393000,22246000,8020000,141127000,97062000,97062000,273012000,8228000,262877000,249414000,271105000,544117000,230402000,673151000,3288000,906841000,913252000,1457369000,105330000,10131000,-91956000,4028000,27533000,-8816000,-8816000,3236000,8150000,-26143000,-8002000,2078000,2078000,127000,-6894000,-5504000,-5504000,-5504000,24141000,12785000,22117000,0.37731,0.05324,0.39856,0.11485,0.07197,0.21087,1.70654,0.5958,0.00877,6.84279,6.81498,17.16899,59.16424,1.44296,0.52207,0.09495,0.0186,0.07629,-11.7735,-20.28722
"47","2021_Q4",66.37453125,"Down",276737000,-170235000,106502000,-93542000,-10229000,-83313000,12960000,3201000,-198000,3399000,16161000,-7636000,4090000,-3546000,-3546000,-3348000,-3348000,254945000,112462000,142483000,99019000,99019000,8696000,62169000,5450000,56719000,424829000,522019000,1062620000,-540601000,468950000,168295000,2231000,172649000,990969000,1415798000,175192000,32900000,8020000,134272000,77852000,77852000,257670000,7045000,249193000,241156000,256238000,513908000,231128000,661783000,2766000,895677000,901890000,1415798000,-3546000,10229000,18492000,-18426000,6749000,-12631000,-10982810.5372331,-8076000,-135000,-20842000,-8020000,0,0,-593000,-9727000,-23820000,-23820000,-23820000,23189000,11671000,-11958000,0.38485,0.04683,-0.0121,-0.00371,-0.00236,3.57168,1.64873,0.56981,0.00824,-0.21815,-0.2172,18.03194,58.36154,-0.77917,0.52258,0.00402,-0.01028,-2.39546,-10.49092,-18.77114
"48","2022_Q1",65.038064516129,"Down",283434000,-182803000,100631000,-83072000,-10151000,-72921000,17559000,2341000,-188000,2529000,19900000,21039000,-5044000,15995000,15995000,15788000,15788000,256025000,107607000,148418000,96577000,96124000,8582000,65454000,7362000,58092000,426638000,520996000,1064337000,-543341000,455762000,168295000,2022000,162344000,976758000,1403396000,186408000,22488000,8493000,155427000,72098000,72098000,263201000,5845000,225890000,219038000,231735000,494936000,232321000,669078000,1605000,903004000,908460000,1403396000,15995000,10151000,-1182000,-9441000,15523000,-13625000,-10463915.796421,353000,570000,-13052000,-8020000,478000,1036000,-822000,-9495000,-7024000,-7024000,-7024000,27710000,10540000,9688000.00000001,0.35504,0.06195,0.0557,0.01738,0.01125,0.613630000000001,1.62096,0.54481,0.00751,1.02419,1.01899,18.38684,58.57939,0.62848,0.52027,0.0208,0.00846,0.50798,-8.85908,-13.98058
"49","2022_Q2",68.2541935483871,"Up",278983000,-170694000,108289000,-93907000,-9757000,-84150000,14382000,3034000,-165000,3199000,17416000,20542000,-5193000,15349000,15349000,15318000,15318000,206028000,56993000,149035000,101748000,101748000,8586000,67658000,11519000,56139000,384020000,520201000,1073293000,-553092000,452790000,168295000,2476000,156883000,972991000,1357011000,156437000,25842000,8509000,122086000,55284000,55284000,216487000,4627000,224841000,216763000,229468000,445955000,232887000,675887000,-3455000,905319000,911056000,1357011000,15349000,9757000,-313000,-52250000,-27457000,-8962000,-8962000,2818000,224000,-5920000,-8493000,-146000,2595843.08202231,-664000,-10450000,-43827000,-43827000,-43827000,24139000,9393000,-31880000,0.38816,0.05155,0.05491,0.01681,0.01129,-2.08121,1.77387,0.48949,0.00692,0.99359,0.99057,18.096,58.72275,-2.06787,0.55089,0.02079,-0.02784,0.55445,-8.14595,-13.6723
"50","2022_Q3",68.25390625,"Down",271359000,-174936000,96423000,-91723000,-10001000,-81722000,4700000,2372000,-149000,2521000,7072000,3523000,-1362000,2161000,2161000,3203000,3203000,219831000,75798000,144033000,100415000,100415000,7363000,67172000,14657000,52515000,394781000,515771000,1076974000,-561203000,439917000,168295000,2047000,149812000,955688000,1350469000,169717000,26140000,8828000,134749000,49810000,49810000,224365000,3390000,220104000,210826000,223494000,447859000,234636000,670262000,-6983000,897915000,902610000,1350469000,2161000,10001000,6382000,7698000,26242000,-5571000,-8071000,3099000,229000,-2243000,-8509000,1120000,1120000,207000,-8347000,15652000,15652000,15652000,14701000,8228000,18190000,0.35533,0.01732,0.0118,0.00355,0.00237,5.67905,1.75955,0.49618,0.00609,0.20728,0.20682,17.56096,58.10844,1.17716,0.55066,0.01036,0.01608,2.65657,-14.39378,-45.02191
