"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",19.0084126984127,"Up",309442000,-211763000,97679000,-71511000,-71448000,26168000,-1948000,-1948000,24220000,24220000,-7059000,1815000,18976000,18976000,-24000,18952000,18952000,651224223.842851,651224223.842851,623212044.479424,623212044.479424,-375049986.042309,-32908744.2226111,-81810042.890893,866477538.057355,290312325.190256,1243609395.31737,252244260.096941,191156297.259941,784371745.550164,1533921720.50762,2400399258.56498,484078446.337312,-85683070.4358121,-33200871.4881911,602962388.261316,234261343.013866,739053668.836154,294299201.159586,176091724.062881,109532567.113806,63979498.5519156,470390925.222467,1209444594.05862,-11817696.5773724,808377882.673937,447648299.889037,1244208485.9856,-53253821.480921,1190954664.50468,2400399258.5633,18976000,10451000,-4340000,-23975000,1112000,-9226000,143749873.023753,-9226000,-3326000,276923000,834000,1210000,-376000,-210956000,63475000,55361000,55361000,-6541000,48820000,36619000,0,10477000,0.31566,0.08457,0.06125,0.693202256676928,0.389616101763385,0.55282,-1.35701930425147,1.30743349676812,0.24676639378419,0.39084,0.38292,6.38143,26.6697588947661,0.21606,0.06859,0.472019694218627,1.56012260578254,0.1755,-3.52896287736881,-21.3965920144262
"2","2010_Q3",17.17796875,"Down",347908000,-246800000,101108000,-73952000,-75292000,27156000,-3043000,-3043000,24113000,15328000,-6022000,1717000,11023000,11023000,-12000,11011000,11011000,366763111.921426,366763111.921426,385161522.239712,385161522.239712,-110535993.021155,21969627.8886945,-2481021.44544648,663358269.028677,265969162.595128,741145697.658683,167102130.048471,159348148.629971,406776872.775082,1007114860.25381,1670473129.28249,308502723.168656,1600964.78209394,-11227435.7440955,318129194.130658,132324171.506933,451183834.418077,248519600.579793,127626862.03144,74146283.556903,52190749.2759578,376146462.611233,827330297.02931,33120151.7113138,709617941.336969,120957149.944519,863695242.992801,-20552410.7404605,843142832.25234,1670473129.28165,11023000,10183000,3621000,-9686999.99999999,15140000,-3226000,0,-3226000.00000001,-3427000,39773000,649000,650000,-1000.00000000012,-28950000,8045000,19959000,19959000,-7845000,12114000,37339000,0,30448000,0.29062,0.07806,0.03165,0.327146128338464,0.183143050881692,2.76523,0.659165347874265,1.08300174838406,0.242388196892095,0.22669,0.22194,7.16273,18.280089447383,0.62686,0.07056,0.223559847109313,0.728101302891272,0.31123,1.51391356131559,-4.91308600721307
"3","2010_Q4",18.0121875,"Up",338568000,-242294000,96274000,-72543000,-73584000,23731000,-2669000,-2669000,21062000,21062000,-4071000,1859000,18850000,18850000,128000,18978000,18978000,204499703.973809,204499703.973809,262446507.413237,262446507.413237,45925668.9929484,48861209.2962315,40710992.8515178,561733089.676226,254196387.531709,471003899.219561,123275376.682824,140506382.876657,204582624.258361,725200286.75127,1286933376.4275,215443574.389552,62940654.9273646,474521.418634824,152028398.043553,74655723.8356443,293551611.472692,218432533.526598,99619954.0104801,53102761.1856343,46087249.7586526,318052487.537078,611604099.00977,59459717.2371046,659836313.77899,-40391283.3518272,678904747.664267,-3575470.24682016,675329277.417447,1286933376.42722,18850000,10083000,4625000,-22626000,10932000,-9046000,-26768000,-35814000,-3427000,39373000,64000,64000,0,-35004000,1006000,-23876000,-23876000,3505000,-20371000,33814000,0,6213000,0.28436,0.07009,0.05605,0.122032042779488,0.0678010169605641,0.32738,1.80361178262475,0.923040582794686,0.231409398964032,0.39053,0.38274,6.96714,14.124506482461,0.12785,0.07052,0.0847799490364378,0.253570434297091,0.18058,3.8950711871052,3.55695133092898
"4","2011_Q1",18.8127419354839,"Up",260907000,-197797000,63110000,-44348000,-43227000,18762000,-2754000,-2754000,16008000,16008000,-3181000,2617000,15444000,21570000,366000,21936000,21936000,133277000,133277000,221020000,221020000,121621000,57699000,57699000,533617000,251075000,368765000,108970000,131517000,128278000,619840000,1153457000,181590000,102107000,4931000,74552000,49743000,231333000,200978000,86756000,42788000,43968000,287734000,519067000,71895000,646596000,-86557000,631934000,2456000,634390000,1153457000,15444000,8091000,1241000,20251000,45027000,-7901000,-805000,-8706000,-3444000,7497000,2026000,2026000,0,-54206000,-48127000,-11806000,-13043000,5603000,-7440000,26853000,250721000,42384000,0.24189,0.07191,0.08408,0.03458,0.01902,1.93217,2.30671,0.81821,0.21736,0.45008,0.44101,5.35326,12.96594,0.86963,0.07066,0.02611,0.04361,0.157,4.37359,6.25967
"5","2011_Q2",18.8353968253968,"Up",339548000,-242644000,96904000,-75359000,-75653000,21545000,-2581000,-2581000,18964000,18632000,-6285000,1860000,14207000,14207000,144000,14351000,14351000,121938000,121938000,226835000,226835000,143836000,58416000,58416000,551025000,252686000,370010000,112392000,129266000,128352000,622696000,1173721000,183631000,122871000,5168000,55592000,46073000,229704000,193096000,83720000,39588000,44132000,276816000,506520000,75120000,657460000,-67700000,664880000,2321000,667201000,1173721000,14207000,10066000,3847000,-26653000,1467000,-5996000,-692635.931413881,-5996000,-3452000,29339000,1679000,4803000,-3124000,-38425000,-10859000,-15388000,-15388000,4049000,-11339000,31611000,239169000,5247000,0.28539,0.06345,0.04227,0.02151,0.01223,0.36562,2.39885,0.75917,0.20377,0.29284,0.28773,6.9287,13.56732,0.10707,0.07044,0.01798,0.00530000000000001,0.24054,3.70855,5.44122
"6","2011_Q3",18.84109375,"Up",339921000,-248266000,91655000,-62564000,-62486000,29091000,-2572000,-2572000,26519000,26519000,-7342000,2476000,21653000,24853000,273000,25126000,25126000,137609000,137609000,245182000,245182000,151849000,54220000,54220000,588860000,256594000,404405000,120488000,129939000,153978000,660999000,1249859000,201880000,133869000,5151000,62860000,50314000,252194000,189521000,84001000,39070000,44931000,273522000,525716000,74664000,678848000,-31421000,722091000,2052000,724143000,1249859000,21653000,8797000,-7101000,-2816000.00000001,20533000,-7382000,-6e+06,-13382000,-3698000,69682000,-2114000,440000,-2554000,-71692000,-7822000,-671000,10611000,5060000,15671000,37888000,239835000,35032000,0.26964,0.08558,0.07392,0.0347,0.0201,1.39425,2.33495,0.72598,0.19189,0.51256,0.50403,6.93419,14.73024,0.71463,0.07544,0.0275,0.03343,0.14718,2.69811,3.51401
"7","2011_Q4",18.678253968254,"Down",363071000,-260059000,103012000,-70337000,-72052000,32675000,-2763000,-2763000,29912000,29912000,-9831000,2095000,22176000,23390000,-171000,23219000,23219000,149133000,149133000,242014000,242014000,172946000,55044000,55044000,619137000,258880000,407531000,121464000,130422000,155645000,666411000,1285548000,213026000,138872000,7906000,66248000,50953000,263979000,187193000,82284000,37620000,44664000,269477000,533456000,75221000,698323000,-27880000,745664000,6428000,752092000,1285548000,22176000,9685000,4982000,-7751000,29092000,-6819000,0,-6819000,-3704000,69015000,-1987000,512000,-2499000,-72064000,-8740000,13533000,12006000,-482000,11524000,42360000,238146000,37621000,0.28372,0.09,0.06395,0.03087,0.01806,1.62027,2.3454,0.7093,0.18525,0.47386,0.46515,7.40961,15.21763,0.76778,0.07559,0.0251,0.03508,0.15952,2.10135,2.72419
"8","2012_Q1",25.4616129032258,"Up",401545000,-289284000,112261000,-74510000,-76680000,37751000,-2895000,-2895000,34856000,27357000,-7753000,2575000,22179000,26597000,-188000,26409000,26409000,154649000,154649000,217424000,217424000,116443000,108074000,55590000,596590000,242587000,388532000,114895000,126710000,130068000,631119000,1227709000,179700000,104418000,7240000,68042000,52685000,254985000,179611000,83649000,39877000,41028000,263260000,518245000,73220000,720989000,-89005000,705204000,4260000,709464000,1227709000,22179000,10502000,-13123000,17438000,36996000,-10095000,3.72529029846191e-09,-10095000,-3696000,51045000,1609000,1942000,-333000,-64354000,-15396000,11505000,13732000,-6716000,7016000,48253000,232296000,63349000,0.27957,0.09401,0.06577,0.03722,0.02151,2.39877,2.33971,0.73047,0.18921,0.53965,0.53009,8.20535,14.41045,1.2945,0.07553,0.02936,0.06178,0.13995,1.60916,2.05682
"9","2012_Q2",27.5912698412698,"Up",345453000,-242766000,102687000,-74613000,-75031000,28074000,-2618000,-2618000,25456000,18974000,-7563000,2196000,13607000,15330000,-25000,15305000,15305000,149877000,149877000,244641000,244641000,163466000,69240000,69240000,627224000,252893000,375540000,114819000,124563000,136158000,628433000,1255657000,215185000,136137000,13391000,65657000,54647000,269832000,172956000,81031000,39156000,41875000,253987000,523819000,81029000,732544000,-85971000,727602000,4236000,731838000,1255657000,13607000,9574000,10686000,-33201000,666000,-5473000,0,-5473000,-3726000,-20000,4006000,5225000,-1219000,-4744000,-4484000,-9291000,-6091000,-181000,-6272000,37648000,227603000,6537000,0.29725,0.08127,0.0443,0.02091,0.01219,0.42712,2.3245,0.71576,0.18126,0.31004,0.30456,6.99793,14.73923,0.13242,0.07548,0.01829,0.00628,0.24345,2.06455,2.76861
"10","2012_Q3",27.0525396825397,"Down",526996000,-390445000,136551000,-92725000,-92955000,43826000,-5749000,-5749000,38077000,5279000,-2367000,2148000,5060000,2007000,-71000,1936000,1936000,154299000,154299000,315475000,315475000,212364000,104083000,59434000,786221000,322621000,626561000,228894000,234194000,146729000,949182000,1735403000,273344000,173471000,8495000,91378000,134508000,426712000,482293000,121197000,51394000,66125000,603490000,1030202000,84286000,730204000,-113363000,701127000,4074000,705201000,1735403000,5060000,16425000,-8877000,21536000,34144000,-6679000,-404725000,-411404000,-4242000,486246000,730000,806000,-75999.9999999998,-97342000,385392000,8132000,11771000,-5849000,5922000,60251000,616801000,77475000,0.25911,0.08316,0.00366999999999999,0.00275,0.00112,40.01808,1.84251,1.46086,0.35542,0.03899,0.0381699999999999,10.61379,14.12082,1.56036,0.08543,0.00428,0.05368,2.19112,7.67625,10.55314
