"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","trading_securities","investment_securities_held_to_maturity","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","securities_sold_under_repo","short_term_borrowings","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","gain_on_sale_of_securities_loans","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_change_in_other_loans","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.68714285714286,"Up",1.524e+09,8.97e+08,1.143e+09,-2.46e+08,6.27e+08,1.4e+07,3.06e+08,3.07e+08,-5.9e+08,9.34e+08,-9.56e+08,-9.56e+08,-2.2e+07,-2.2e+07,-2.2e+07,1.2e+07,-1e+07,-1e+07,-1e+07,-6.2e+07,-7.2e+07,2.133e+09,2.1499e+10,3.05e+08,3.55e+08,3.904e+09,7.3621e+10,-3.802e+09,7.7423e+10,2.876e+09,9.4e+07,2.417e+09,1.0011e+10,1.12651e+11,8.3574e+10,4.9868e+10,1.4224e+10,1.63e+09,2.71e+08,1.359e+09,1.0947e+10,3.092e+09,9.9243e+10,3.62e+09,3.532e+09,1.779e+09,1.753e+09,-2.01e+08,6.169e+09,2.88e+08,1.3408e+10,1.3408e+10,1.12651e+11,-1e+07,9.7e+07,5.9e+08,4.049e+09,4.071e+09,1e+07,-3.2e+07,-3.816e+09,9.1e+08,-4e+07,4.15e+08,8.33e+08,7.84e+08,-4.68e+08,7.4e+08,-5.9e+07,-1.148e+09,-1.78e+08,-9.7e+08,-9.71e+08,1e+06,3.99e+08,-1.027e+09,-1.835e+09,-1.85e+08,-1.85e+08,-1.85e+08,7.5e+07,1.2577e+10,-3.793e+09,-0.01444,-0.04724,-0.00537,-0.00064,52.68056,7.40178,0.11165,-0.09114,-0.09114,1.92911,12.38987,-4.80127,0.07468,-0.00012,-0.03367,-0.81944,139.25333,-474.72727
"2","2010_Q3",8.601875,"Down",1.502e+09,8.82e+08,1.116e+09,-2.34e+08,6.2e+08,7e+06,3.2e+08,2.93e+08,-3.25e+08,1.177e+09,-9.35e+08,-9.35e+08,2.42e+08,2.42e+08,2.42e+08,-5e+07,1.92e+08,1.92e+08,1.92e+08,-6.3e+07,1.29e+08,2.216e+09,2.0967e+10,2.7e+08,3.54e+08,4.322e+09,7.2539e+10,-3.693e+09,7.6232e+10,2.863e+09,8.3e+07,2.417e+09,1.094e+10,1.12025e+11,8.2115e+10,4.8371e+10,1.4488e+10,1.796e+09,2.4e+08,1.556e+09,1.0989e+10,3.424e+09,9.8324e+10,3.631e+09,3.475e+09,1.779e+09,1.696e+09,-1.34e+08,6.289e+09,4.4e+08,1.3701e+10,1.3701e+10,1.12025e+11,1.92e+08,1.09e+08,3.25e+08,3.425e+09,3.297e+09,1.2e+07,1.16e+08,-3.717e+09,3.34e+08,-4.6e+07,1.155e+09,6.02e+08,5.39e+08,-4.26e+08,1.285e+09,-5.9e+07,1.4e+07,1.97e+08,-1.83e+08,-1.82e+08,-1e+06,-1.253e+09,-2.38e+08,-1.536e+09,8.3e+07,8.3e+07,8.3e+07,3.51e+08,1.2785e+10,-3.362e+09,0.16112,0.08589,0.00942,0.00115,-26.06202,7.17641,0.11413,0.16288,0.159259999999992,1.89646,12.71465,-4.24495,0.07449,0.00168,-0.03001,0.45736,30.11111,43.67355
"3","2010_Q4",9.18203125,"Up",1.738e+09,9.11e+08,1.126e+09,-2.15e+08,8.27e+08,4e+06,3.11e+08,5.12e+08,-4.57e+08,1.281e+09,-9.78e+08,-9.78e+08,3.03e+08,3.03e+08,3.03e+08,-6.5e+07,2.38e+08,2.38e+08,2.38e+08,-6.2e+07,1.76e+08,2.215e+09,1.992e+10,3.2e+08,3.54e+08,3.271e+09,7.2815e+10,-3.194e+09,7.6009e+10,2.847e+09,7.2e+07,2.417e+09,1.2036e+10,1.12322e+11,8.1362e+10,4.6864e+10,1.4389e+10,2.143e+09,3.68e+08,1.775e+09,1.0953e+10,3.951e+09,9.8409e+10,3.642e+09,3.486e+09,1.779e+09,1.707e+09,-1.32e+08,6.456e+09,4.32e+08,1.3884e+10,1.3913e+10,1.12322e+11,2.38e+08,1.21e+08,4.57e+08,5.267e+09,5.175e+09,1.1e+07,8.1e+07,-5.036e+09,1.047e+09,-5.9e+07,2.2e+07,-1.485e+09,-1.597e+09,1.06e+09,-4.62e+08,-6e+07,6.6e+07,2.2e+08,-1.54e+08,-1.67e+08,1.3e+07,1.21e+08,-7.11e+08,-5.84e+08,1e+06,1e+06,1e+06,4.24e+08,1.3096e+10,-4.606e+09,0.17434,0.10127,0.01265,0.00157,-26.17045,7.07317,0.11659,0.2225,29.33333,2.19722,12.94817,-5.82301,0.07585,0.0021,-0.04101,0.34091,25.66274,35.91089
"4","2011_Q1",10.1927419354839,"Up",1.569e+09,9.14e+08,1.104e+09,-1.9e+08,6.55e+08,3.6e+07,3.14e+08,3.05e+08,-1.66e+08,1.403e+09,-9.86e+08,-9.86e+08,4.17e+08,4.17e+08,4.17e+08,-8.4e+07,3.33e+08,3.33e+08,3.33e+08,-6.3e+07,2.7e+08,2.159e+09,1.7576e+10,2.94e+08,3.53e+08,1.515e+09,7.4487e+10,-3.004e+09,7.7491e+10,2.868e+09,6.2e+07,2.417e+09,1.1438e+10,1.11007e+11,8.1648e+10,4.7191e+10,1.3044e+10,1.853e+09,2.79e+08,1.574e+09,9.558e+09,3.868e+09,9.6927e+10,3.654e+09,3.494e+09,1.779e+09,1.715e+09,-1.3e+08,6.719e+09,3.14e+08,1.4051e+10,1.408e+10,1.11007e+11,3.33e+08,1.3e+08,1.66e+08,5.956e+09,6.145e+09,3.1e+07,-2.2e+08,-5.571e+09,1.014e+09,-6.9e+07,3.96e+08,-1.919e+09,-2.233e+09,1.737e+09,1.45e+08,-58999999.9999999,-1.353e+09,-2.01e+08,-1.152e+09,-1.153e+09,999999.99999994,1.517e+09,-1.322e+09,-1.217e+09,-5.8e+07,-5.8e+07,-5.8e+07,5.47e+08,1.1411e+10,-5.009e+09,0.26577,0.17208,0.01918,0.00243,-18.55185,6.88402,0.1028,0.3416,0.169650000000001,1.98505,13.15395,-6.33723,0.0746400000000002,0.00296,-0.04512,0.218519999999999,16.91408,22.18705
"5","2011_Q2",9.11936507936508,"Down",1.463e+09,8.79e+08,1.06e+09,-1.81e+08,5.84e+08,1.3e+07,3.02e+08,2.69e+08,-1.68e+08,1.295e+09,-9.18e+08,-9.18e+08,3.77e+08,3.77e+08,3.77e+08,-1.12e+08,2.65e+08,2.65e+08,2.65e+08,-1.77e+08,8.8e+07,2.121e+09,1.8178e+10,2.16e+08,3.46e+08,2.481e+09,7.466e+10,-2.805e+09,7.7465e+10,2.902e+09,5.5e+07,2.417e+09,1.0152e+10,1.10485e+11,8.2317e+10,4.7337e+10,1.2914e+10,1.629e+09,3.32e+08,1.297e+09,1.0555e+10,3.792e+09,9.8293e+10,3.98e+08,4.875e+09,2.051e+09,2.824e+09,-1.25e+08,6.752e+09,2.63e+08,1.2163e+10,1.2192e+10,1.10485e+11,2.65e+08,1.12e+08,1.68e+08,3.979e+09,3.975e+09,1.7e+07,-1.3e+07,-2.641e+09,1.883e+09,-5.6e+07,2.1e+08,-4.48e+08,-5.44e+08,-1.011e+09,-1.305e+09,-3.487e+09,7.8e+08,-2.77e+08,1.057e+09,-2.03e+08,1.26e+09,7.96e+08,-3.53e+08,-6.16e+08,-3.8e+07,-3.8e+07,-3.8e+07,4.89e+08,1.2184e+10,-2.096e+09,0.25769,0.06015,0.00722,8e-04,-23.81818,8.06209,0.11028,0.09991,0.09834,1.66093,13.35672,-2.37957,3.95877,0.03236,-0.01897,39.625,20.57873,26.69231
"6","2011_Q3",7.79765625,"Down",1.52e+09,8.64e+08,1.045e+09,-1.81e+08,6.56e+08,6e+06,3.1e+08,3.4e+08,-1.13e+08,1.407e+09,-9.01e+08,-9.01e+08,5.06e+08,5.06e+08,5.06e+08,-1.69e+08,3.37e+08,3.37e+08,3.37e+08,-8e+06,3.29e+08,2.38e+09,1.7433e+10,2.17e+08,3.44e+08,1.37e+09,7.5353e+10,-2.614e+09,7.7967e+10,2.887e+09,4.9e+07,2.417e+09,1.0286e+10,1.10805e+11,8.0598e+10,4.6235e+10,1.1774e+10,3.105e+09,4.03e+08,2.702e+09,1.0152e+10,4.349e+09,9.8204e+10,3.98e+08,4.82e+09,2.051e+09,2.769e+09,-6.6e+07,7.024e+09,3.96e+08,1.2572e+10,1.2601e+10,1.10805e+11,3.37e+08,1.03e+08,1.13e+08,2.487e+09,2.763e+09,1.4e+07,-2.9e+08,-2.029e+09,1.011e+09,-6.2e+07,-1.94e+08,-8.52e+08,-9.57e+08,1.122e+09,13999999.9999998,-6.4e+07,9.53e+08,1.405e+09,-4.52e+08,-6.55e+08,2.03e+08,-1.202e+09,-4.53e+08,-7.66e+08,2.59e+08,2.59e+08,2.59e+08,6.09e+08,1.3257e+10,-1.313e+09,0.33289,0.21645,0.02611,0.00297,-3.99088,7.79335,0.11964,0.35972,0.344330000000001,1.66193,13.31073,-1.4356,0.0699799999999993,0.00355,-0.01185,0.194530000000007,17.86043,21.49605
"7","2011_Q4",8.44079365079365,"Up",1.563e+09,8.98e+08,1.055e+09,-1.57e+08,6.65e+08,3.3e+07,3.05e+08,3.27e+08,-8.7e+07,1.476e+09,-9.46e+08,-9.46e+08,5.3e+08,5.3e+08,5.3e+08,-1.48e+08,3.82e+08,3.82e+08,3.81e+08,-9e+06,3.72e+08,2.348e+09,1.8781e+10,1.89e+08,3.37e+08,2.028e+09,7.6777e+10,-2.439e+09,7.9216e+10,2.872e+09,4.5e+07,2.417e+09,1.1665e+10,1.14905e+11,8.2047e+10,4.5728e+10,1.1772e+10,5.321e+09,4.27e+08,4.894e+09,9.8e+09,4.679e+09,1.01847e+11,3.98e+08,4.831e+09,2.051e+09,2.78e+09,-6.5e+07,7.323e+09,5.42e+08,1.3029e+10,1.3058e+10,1.14905e+11,3.82e+08,1.11e+08,8.7e+07,3.849e+09,3.099e+09,8e+06,7.42e+08,-4.663e+09,-2.34e+08,-7e+07,-5.01e+08,-1.629e+09,-1.691e+09,-6.38e+08,-2.838e+09,-1.6e+07,1.584e+09,2.192e+09,-6.08e+08,-6.39e+08,3.1e+07,1.907e+09,-4.35e+08,3.04e+09,-3.2e+07,-3.2e+07,-3.2e+07,6.41e+08,1.5121e+10,-3.944e+09,0.33909,0.238,0.02849,0.00324,-10.60215,7.79959,0.1316,0.40658,0.38933,1.7083,13.80518,-4.31063,0.01749,0.00338,-0.03432,0.04301,19.92668,24.1
"8","2012_Q1",9.83451612903226,"Up",1.466e+09,9.16e+08,1.058e+09,-1.42e+08,5.5e+08,3e+06,2.86e+08,2.61e+08,-5.5e+07,1.411e+09,-9.93e+08,-9.93e+08,4.18e+08,4.18e+08,4.18e+08,-1.04e+08,3.14e+08,3.14e+08,3.14e+08,-9e+06,3.05e+08,2.663e+09,1.7642e+10,1.77e+08,3.22e+08,1.781e+09,7.8763e+10,-2.255e+09,8.1018e+10,2.944e+09,4e+07,2.417e+09,1.2498e+10,1.16967e+11,8.571e+10,4.6786e+10,1.1324e+10,3.585e+09,3.46e+08,3.239e+09,9.682e+09,4.739e+09,1.03716e+11,3.98e+08,4.843e+09,2.051e+09,2.792e+09,-6.4e+07,7.554e+09,4.7e+08,1.3201e+10,1.3251e+10,1.16967e+11,3.14e+08,1.29e+08,5.5e+07,4.783e+09,4.743e+09,2e+07,20000000.0000002,-5.575e+09,-2.94e+08,-9.6e+07,8.61e+08,-2.122e+09,-2.23e+09,2.01e+08,-1.156e+09,-8.3e+07,-1.759e+09,-1.655e+09,-1.04e+08,-1.1e+08,6e+06,3.763e+09,-1.56e+08,1.765e+09,3.15e+08,3.15e+08,3.15e+08,5.47e+08,1.3267e+10,-5.02e+09,0.28513,0.20805,0.02302,0.00261,-16.45902,7.82703,0.11343,0.33316,0.30734,1.60137,13.98524,-5.48355,0.0906600000000001,0.00332,-0.04292,0.272129999999998,19.38574,25.36842
"9","2012_Q2",9.8647619047619,"Up",1.667e+09,8.98e+08,1.04e+09,-1.42e+08,7.69e+08,9e+06,2.84e+08,4.76e+08,-9.1e+07,1.576e+09,-9.73e+08,-9.73e+08,6.03e+08,6.03e+08,6.03e+08,-1.73e+08,4.3e+08,4.3e+08,4.3e+08,-9e+06,4.21e+08,2.235e+09,1.8237e+10,1.95e+08,3.21e+08,1.628e+09,7.9987e+10,-2.126e+09,8.2113e+10,2.98e+09,3.6e+07,2.417e+09,1.0855e+10,1.16747e+11,8.5791e+10,5.0662e+10,8.744e+09,3.196e+09,3.19e+08,2.877e+09,9.648e+09,4.502e+09,1.03137e+11,3.98e+08,4.854e+09,2.051e+09,2.803e+09,-6.2e+07,7.902e+09,4.68e+08,1.356e+10,1.361e+10,1.16747e+11,4.3e+08,1.28e+08,9.1e+07,6.854e+09,7.021e+09,1.9e+07,-1.86e+08,-5.608e+09,1.895e+09,-9.5e+07,-7e+08,-1.338e+09,-1.395e+09,1.45e+08,-1.988e+09,-8.3e+07,-3.07e+08,-3.63e+08,5.6e+07,-4.44e+08,5e+08,-5.1e+07,1.06e+08,-3.35e+08,-4.28e+08,-4.28e+08,-4.28e+08,7.31e+08,1.2844e+10,-4.799e+09,0.36173,0.25255,0.03093,0.00361,-11.39905,7.57803,0.11002,0.46,0.43973,1.82141,14.38115,-5.24351,0.09069,0.00432,-0.04111,0.19715,14.513,17.5937
"10","2012_Q3",10.5530158730159,"Up",1.574e+09,8.95e+08,1.027e+09,-1.32e+08,6.79e+08,2e+06,2.88e+08,3.89e+08,-7.1e+07,1.503e+09,-9.38e+08,-9.38e+08,5.65e+08,5.65e+08,5.65e+08,-1.79e+08,3.86e+08,3.86e+08,3.85e+08,-9e+06,3.76e+08,2.393e+09,1.8021e+10,2e+08,3.05e+08,1.964e+09,8.0343e+10,-2.016e+09,8.2359e+10,3.017e+09,3.3e+07,2.417e+09,1.1319e+10,1.17543e+11,8.4273e+10,4.9469e+10,8.553e+09,5.254e+09,6.41e+08,4.613e+09,9.685e+09,4.507e+09,1.03719e+11,3.98e+08,4.803e+09,2.051e+09,2.752e+09,-8.3e+07,8.201e+09,4.54e+08,1.3773e+10,1.3824e+10,1.17543e+11,3.86e+08,1.26e+08,7.1e+07,4.747e+09,4.684e+09,1.8e+07,4.5e+07,-5.152e+09,1.78e+08,-9.6e+07,5.54e+08,-4.51e+08,-5.51e+08,-3.61e+08,-3.54e+08,-7.4e+07,1.695e+09,1.737e+09,-42000000.0000001,-5.4e+07,12000000.0000001,-1.365e+09,1.53e+08,3.34e+08,1.58e+08,1.58e+08,1.58e+08,6.91e+08,1.4939e+10,-4.378e+09,0.35896,0.23888,0.0272,0.0032,-11.64362,7.50282,0.12709,0.41159,0.39387,1.72297,14.64084,-4.79234,0.081,0.00383,-0.03725,0.19681,18.1563,22.20531
