"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_tax_liabilities_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",35.6409523809524,"Up",1206052000,-985662000,220390000,-96665000,-96665000,123725000,-13221000,-13221000,110504000,359000,110863000,-26221000,1046000,85688000,85688000,92000,85780000,85780000,200804000,200804000,688997000,688997000,403485000,132552000,48576000,58464000,1425838000,1102481000,1626838000,1151170000,40958000,173332000,2729319000,4155157000,797181000,797181000,51936000,15432000,15432000,864549000,1200509000,569543000,436900000,90008000,42635000,1770052000,2634601000,405399000,1769553000,-669325000,1505627000,14929000,1520556000,4155157000,85688000,51877000,-33946000,-43289000,60330000,-10246000,-252485021.659949,-13054000,-32263000,10077000,-3026000,-25212000,22064000,22064000,17572000,39636000,175602000,1252445000,148288000,0.18274,0.10259,0.07112,0.05641,0.02064,1.7287,1.64923,1.73266,0.30142,0.84693,0.83961,11.90774,14.86555,1.4641,0.31854,0.03532,0.04436,0.37611,5.98878,8.49983
"22","2015_Q3",32.43078125,"Down",1248590000,-1008274000,240316000,-130887000,-130887000,109429000,-13601000,-13601000,95828000,-10445000,85383000,-24023000,3269000,64629000,64629000,-250000,64379000,64379000,217775000,217775000,676578000,676578000,417969000,136510000,66687000,41003000,1448832000,1114375000,1642282000,1160932000,43239000,172415000,2756657000,4205489000,816004000,816004000,146780000,7541000,7541000,970325000,1124580000,567449000,444293000,77277000,45879000,1692029000,2662354000,406227000,1775042000,-661705000,1519564000,23571000,1543135000,4205489000,64629000,52147000,-11652000,7628000,112752000,-45461000,-15697000,-61125000,-35116000,5383999.99999997,128999.999999996,-29603000,22024000,22024000,-5053000,16971000,161576000,1271360000,147766000,0.19247,0.08764,0.05156,0.04172,0.01531,2.29525,1.49314,1.72529,0.30231,0.63409,0.62774,12.29787,14.9668,1.45541,0.34587,0.02942,0.04369,0.54546,6.52068,9.62802
"23","2015_Q4",33.5103125,"Up",1242592000,-1013219000,229373000,-130341000,-130341000,99032000,-13687000,-13687000,85345000,-19551000,65794000,-24775000,2976000,43995000,43995000,-81000,43914000,43914000,193423000,193423000,688476000,688476000,396809000,124464000,53920000,38063000,1403172000,1102472000,1607992000,1145919000,44594000,161336000,2710464000,4113636000,834574000,834574000,129022000,11117000,11117000,974713000,1073043000,566594000,438724000,89813000,38057000,1639637000,2614350000,406911000,1783384000,-710248000,1480047000,19239000,1499286000,4113636000,43995000,53192000,16608000,31263000,145058000,-53852000,-1750000,-55600000,-35323000,-66147000,0,-101470000,-12012000,-12012000,-12340000,-24352000,152224000,1202065000,154410000,0.18459,0.0797,0.03534,0.02929,0.01068,3.51619,1.43957,1.74373,0.29221,0.43244,0.42869,12.23626,14.57456,1.52053,0.34784,0.02425,0.04725,0.80437,6.62604,10.18501
"24","2016_Q1",34.4909836065574,"Up",1267135000,-1027792000,239343000,-138348000,-138348000,100995000,-14089000,-14089000,86906000,-2.1e+07,65906000,-12719000,3125000,56312000,56312000,-249000,56063000,56063000,182434000,182434000,627962000,627962000,385483000,111499000,64698000,46801000,1307378000,1112036000,1594271000,1140461000,52626000,156089000,2706307000,4013685000,802284000,802284000,113097000,7135000,7135000,922516000,1015270000,543026000,432964000,72933000,37129000,1558296000,2480812000,411635000,1803827000,-702533000,1512929000,19944000,1532873000,4013685000,56312000,55945000,18350000,4183000,134790000,-50206000,3.72529029846191e-09,-50090000,-35330000,-64716000,-24999.9999999995,-100071000,-15371000,-15371000,4382000,-10989000,156940000,1128367000,123636000,0.18889,0.0797,0.04424,0.03657,0.01397,2.2053,1.41719,1.61841,0.28113,0.55199,0.54745,12.47598,14.89602,1.2173,0.34785,0.02852,0.03858,0.63018,6.02735,9.36614
"25","2016_Q2",38.83734375,"Up",1226276000,-981023000,245253000,-134193000,-134193000,111060000,-13787000,-13787000,97273000,-9228000,88045000,-29194000,1339000,60190000,60190000,-276000,59914000,59914000,152338000,152338000,679528000,679528000,402533000,86086000,48037000,38049000,1320485000,1121818000,1605702000,1154955000,53098000,157752000,2727520000,4048005000,776721000,776721000,117134000,22413000,22413000,916268000,1015804000,530591000,412968000,78185000,39438000,1546395000,2462663000,399325000,1828242000,-663857000,1563710000,21632000,1585342000,4048005000,60190000,53572000,3588000,-50963000,66387000,-53093000,0,-53047000,-35396000,12635000,-17211000,-39972000,-26632000,-26632000,-3464000,-30096000,164632000,1132938000,89770000,0.2,0.09057,0.04886,0.03779,0.0148,1.49831,1.44116,1.5534,0.27988,0.58954,0.5855,12.06632,15.38661,0.88332,0.34829,0.02934,0.02763,0.59078,5.95631,8.82946
"26","2016_Q3",42.50171875,"Up",1205680000,-963667000,242013000,-126611000,-126611000,115402000,-13544000,-13544000,101858000,-23278000,78580000,-24790000,2928000,56718000,56718000,-466000,56252000,56252000,107748000,107748000,669085000,669085000,397580000,97340000,50913000,46427000,1271753000,1109013000,1584110000,1151556000,49247000,153605000,2693123000,3964876000,767623000,767623000,51719000,5344000,5344000,824686000,1029943000,534531000,412572000,80072000,41887000,1564474000,2389160000,381507000,1846903000,-675518000,1552892000,22824000,1575716000,3964876000,56718000,51958000,25447000,-14461000,119662000,-42087000,-863000.000000001,-51263000,-37283000,-55271000,-22951000,-115505000,-47106000,-47106000,2516000,-44590000,167360000,1081662000,135602000,0.20073,0.09572,0.04666,0.0357,0.01419,2.41062,1.54211,1.51624,0.27281,0.55475,0.55167,11.89034,15.31452,1.3373,0.36768,0.0293,0.04248,0.66279,5.81928,8.43932
"27","2016_Q4",43.3339682539683,"Up",1208724000,-973351000,235373000,-121583000,-121583000,113790000,-12437000,-12437000,101353000,-8947000,92406000,-29618000,3190000,65978000,65978000,-583000,65395000,65395000,159321000,159321000,669200000,669200000,376317000,275369000,43090000,48995000,1480207000,1068432000,1495910000,1076493000,48451000,153195000,2564342000,4044549000,792734000,792734000,60787000,32176000,12050000,885697000,1030338000,538877000,409464000,81319000,48094000,1569215000,2454912000,363999000,1874829000,-672235000,1566593000,23044000,1589637000,4044549000,65978000,51012000,9798000,35840000,162628000,-40328000,-20475000,-60909000,-37142000,10808000,-22447000,-48781000,52938000,52938000,-1365000,51573000,164802000,1091125000,189932000,0.19473,0.09414,0.0541,0.04114,0.01617,2.90438,1.67123,1.54432,0.26978,0.64791,0.64375,11.97563,15.52127,1.88178,0.36799,0.03185,0.05899,0.56796,5.65408,8.1888
"28","2017_Q1",44.961935483871,"Up",1142197000,-918553000,223644000,-120662000,-120662000,102982000,-23598000,-11789000,79384000,102862000,182246000,-81029000,3778000,104995000,104995000,-122000,104873000,104873000,257226000,257226000,625411000,625411000,372814000,93317000,49764000,43553000,1348768000,1060017000,1514418000,1092215000,42130000,155115000,2574435000,3923203000,751827000,751827000,32045000,18744000,18744000,802616000,1020698000,545184000,447339000,59753000,38092000,1565882000,2368498000,328225000,1942513000,-738380000,1532358000,22347000,1554705000,3923203000,104995000,48640000,-104552000,919000,50002000,229140000,-67294000,162077000,-36543000,-33460000,-41435000,-111438000,100641000,100641000,-2736000,97905000,151622000,1052743000,462710000,0.1958,0.09016,0.09182,0.06746,0.02673,4.4121,1.68046,1.52344,0.26834,1.04443,1.0358,11.3751,15.26071,4.60811,0.36393,0.04486,0.14677,0.34845,5.24671,7.72482
"29","2017_Q2",43.3501587301587,"Down",1172324000,-949345000,222979000,-125209000,-125209000,97770000,-15744000,-12058000,82026000,-4111000,77915000,-25539000,1954000,54330000,54330000,-597000,53733000,53733000,212790000,212790000,663312000,663312000,430359000,84834000,41831000,43003000,1391295000,1155192000,1643918000,1156674000,47371000,165979000,2799110000,4190405000,787602000,787602000,76712000,18086000,18086000,882400000,1177188000,521950000,419180000,63467000,39303000,1699138000,2581538000,326540000,1958577000,-699874000,1585243000,23624000,1608867000,4190405000,54330000,49008000,3776000,-39716000,67398000,-48974000,-221417000,-270258000,-36840000,196402000,-5539000,154023000,-48837000,-48837000,4401000,-44436000,146778000,1253900000,83627000,0.1902,0.0834,0.04583,0.0334,0.01282,1.55634,1.57672,1.60457,0.29923,0.53673,0.53212,11.71012,15.8347,0.83533,0.36799,0.02676,0.02471,0.68561,7.09309,10.64856
"30","2017_Q3",41.8361904761905,"Down",1240674000,-1002289000,238385000,-125308000,-125308000,113077000,-47202000,-12792000,65875000,-7897000,57978000,-17167000,2845000,43656000,43656000,-531000,43125000,43125000,207591000,207591000,716312000,716312000,439353000,101721000,60542000,41179000,1464977000,1150990000,1676776000,1177563000,51526000,173368000,2827766000,4292743000,778353000,778353000,117064000,10690000,10690000,906107000,1190646000,514198000,398251000,76967000,38980000,1704844000,2610951000,329220000,1962571000,-633996000,1657795000,23997000,1681792000,4292743000,43656000,54641000,-7924000,-54593000,35780000,-47872000,3928000,-42705000,-38764000,37695000,-344999.999999996,-1414000,-8338999.99999999,-8338999.99999999,3140000,-5198999.99999999,167718000,1307710000,82420000,0.19214,0.09114,0.03476,0.02564,0.01005,1.91119,1.61678,1.55248,0.30463,0.43015,0.42818,12.37506,16.53562,0.8221,0.38665,0.02337,0.02352,0.89888,6.55934,9.72894
"31","2017_Q4",44.7806349206349,"Up",1324634000,-1071763000,252871000,-129128000,-129128000,123743000,-16797000,-13647000,106946000,-511000,106435000,-35545000,2521000,73411000,73411000,-599000,72812000,72812000,247908000,247908000,751445000,751445000,472956000,103016000,51787000,51229000,1575325000,1182384000,1811919000,1240439000,52549000,176615000,2994303000,4569628000,854321000,854321000,125916000,10931000,10931000,991168000,1300191000,519643000,388492000,91009000,40142000,1819834000,2811002000,332882000,1996244000,-596953000,1732173000,26453000,1758626000,4569628000,73411000,55481000,11516000,37419000,177827000,-44149000,-165869000,-208547000,-38764000,104540000,-58000,65718000,34998000,34998000,5319000,40317000,179224000,1426107000,208039000,0.1909,0.09342,0.05497,0.0414,0.01593,2.85721,1.58936,1.59841,0.31208,0.72613,0.7232,13.21014,17.2744,2.07471,0.38658,0.03012,0.05616,0.53238,6.57389,9.52134
"32","2018_Q1",43.7688524590164,"Down",1299018000,-1054601000,244417000,-128179000,-128179000,116238000,-18112000,-14248000,98126000,-25900000,72226000,-68338000,2162000,6050000,6050000,-375000,5675000,5675000,254912000,254912000,725251000,725251000,474063000,109410000,44849000,64561000,1563636000,1169377000,1824708000,1241875000,62053000,189485000,2994085000,4557721000,831664000,831664000,159327000,8979000,8979000,999970000,1288002000,539689000,355187000,74073000,110429000,1827691000,2827661000,337332000,2036006000,-666272000,1707066000,22994000,1730060000,4557721000,6050000,58495000,5108000,-2403999.99999999,67249000,-42647000,-366999.99999997,-43066000,-38769000,24072000,-393000,-15090000,9093000.00000001,9093000.00000001,-2089000,7003999.99999999,174733000,1447329000,198020000,0.18816,0.08948,0.00437000000000001,0.00328,0.00125,34.89339,1.56368,1.63443,0.31756,0.05658,0.0561699999999999,12.95055,17.01858,1.97416,0.38651,0.01196,0.05327,6.83154,6.82422,10.25841
"33","2018_Q2",44.6640625,"Up",1304187000,-1053585000,250602000,-137441000,-137441000,113161000,-13064000,-13355000,100097000,-3063000,97034000,-23356000,1247000,74925000,74925000,-870000,74055000,74055000,305250000,305250000,756102000,756102000,460727000,141957000,50638000,91319000,1664036000,1164968000,1824065000,1252877000,51820000,197600000,2989033000,4653069000,833626000,833626000,175530000,26218000,26218000,1035374000,1289045000,532194000,349819000,72303000,110072000,1821239000,2856613000,336771000,2072423000,-637031000,1772163000,24293000,1796456000,4653069000,74925000,58068000,967000,-14195000,119765000,-36008000,0,-35860000,-38829000,6320000,-4088000,-36597000,47308000,47308000,3030000,50338000,171229000,1464575000,144382000,0.19215,0.08677,0.05678,0.04122,0.01592,1.94966,1.60718,1.59014,0.31475,0.73763,0.73397,12.99043,17.65173,1.43813,0.38676,0.02976,0.03806,0.52433,6.77061,10.24492
"34","2018_Q3",48.758253968254,"Up",1366373000,-1089913000,276460000,-141031000,-141031000,135429000,-15640000,-15127000,119789000,-3567000,116222000,-30293000,3716000,89645000,89645000,-233000,89412000,89412000,197691000,197691000,768338000,768338000,471448000,137491000,46537000,90954000,1574968000,1167665000,1880335000,1287839000,49479000,192602000,3.048e+09,4622968000,841615000,841615000,177645000,10812000,10812000,1030072000,1274325000,528306000,340602000,79891000,107813000,1802631000,2832703000,339703000,2120529000,-692401000,1767831000,22434000,1790265000,4622968000,89645000,62334000,6168000,-26664000,131483000,-46680000,-141305000,-187574000,-40972000,-1361000,-470000,-42803000,-98894000,-98894000,-8665000,-107559000,197763000,1451970000,154712000,0.20233,0.09912,0.06544,0.04994,0.01934,1.73033,1.52899,1.58228,0.31408,0.88907,0.88497,13.58656,17.57846,1.53838,0.40741,0.03458,0.04103,0.45824,6.34233,9.26152
"35","2018_Q4",48.3979365079365,"Down",1364762000,-1105126000,259636000,-136002000,-136002000,123634000,-14477000,-14502000,109157000,-22061000,87096000,-18325000,4049000,72820000,72820000,-405000,72415000,72415000,250424000,250424000,775054000,775054000,467239000,157788000,64318000,93470000,1650505000,1140113000,1868016000,1285368000,50059000,191765000,3008129000,4658634000,904896000,904896000,73899000,15589000,15589000,994384000,1312678000,518642000,335379000,85473000,97790000,1831320000,2825704000,341028000,2151658000,-681865000,1810821000,22109000,1832930000,4658634000,72820000,56493000,14244000,56711000,200268000,-29288000,-9690000,-38638000,-40850000,-66826000,-2429000,-110105000,51525000,51525000,1208000,52733000,180127000,1386577000,225875000,0.19024,0.09059,0.05306,0.03951,0.01554,3.11917,1.65983,1.54163,0.29764,0.71956,0.71663,13.5611,17.99341,2.24443,0.40591,0.0303,0.06042,0.56411,6.30751,9.18965
"36","2019_Q1",51.0322950819672,"Up",1355616000,-1101308000,254308000,-148832000,-148832000,105476000,-15917000,-15173000,89559000,-11380000,78179000,-3034000,2204000,77349000,77349000,329000,77678000,77678000,120389000,120389000,737420000,737420000,493764000,167699000,55784000,111915000,1519272000,1233821000,1830372000,1309167000,47297000,121871000,3064193000,4583465000,878969000,878969000,195445000,8516000,8516000,1082930000,1189717000,538540000,374419000,64273000,99848000,1728257000,2811187000,311884000,2188115000,-740913000,1759086000,13192000,1772278000,4583465000,77349000,59350000,14430000,-12747000,138382000,-56310000,-126182000,-182056000,-40783000,-792000,-42574000,-84149000,-127823000,-127823000,-2212000,-130035000,164826000,1385162000,98803000,0.1876,0.07781,0.0573,0.04383,0.01695,1.27196,1.40293,1.5862,0.30221,0.7725,0.76844,13.48147,17.49394,0.98259,0.40558,0.03205,0.02673,0.52503,7.67338,11.9911
"37","2019_Q2",56.4942857142857,"Up",1351705000,-1081584000,270121000,-142561000,-142561000,127560000,-21426000,-15385000,106134000,-10672000,95462000,-22624000,930000,73768000,73768000,-105000,73663000,73663000,124328000,124328000,773943000,773943000,515665000,154555000,58261000,96294000,1568491000,1224143000,2148870000,1307166000,47872000,452988000,3373013000,4941504000,914969000,914969000,221199000,20060000,20060000,1156228000,1189415000,794722000,369910000,63806000,361006000,1984137000,3140365000,309448000,2213473000,-734745000,1788176000,12963000,1801139000,4941504000,73768000,58614000,6623000,-46686000,92319000,-41664000,-455000,-40969000,-41136000,922000,-7609000,-47823000,3527000,3527000,412000,3939000,186174000,1410614000,120448000,0.19984,0.09437,0.0545,0.0409,0.01491,1.63512,1.35656,1.74354,0.28546,0.73195,0.72882,13.43109,17.76804,1.19682,0.40874,0.02865,0.03006,0.55844,6.90905,10.08377
"38","2019_Q3",53.65171875,"Down",1359721000,-1084385000,275336000,-132213000,-132213000,143123000,-21502000,-15952000,121621000,-13355000,108266000,-28491000,1511000,81286000,81286000,-127000,81159000,81159000,96295000,96295000,784907000,784907000,512249000,185569000,85185000,100384000,1579020000,1233615000,2132929000,1310638000,48100000,445574000,3366544000,4945564000,903040000,903040000,357222000,14626000,14626000,1274888000,1188026000,629030000,178075000,116569000,334386000,1817056000,3091944000,312925000,2251279000,-723846000,1840358000,13262000,1853620000,4945564000,81286000,58364000,52279000,-244167000,-52238000,-59110000,0,-58959000,-43024000,131750000,-6155000,82571000,-28626000,-28626000,593000,-28033000,201487000,1545248000,-73299000,0.20249,0.10526,0.05969,0.04378,0.01641,-0.90315,1.23856,1.66806,0.31245,0.80547,0.80208,13.49465,18.26477,-0.72746,0.42699,0.03083,-0.0182,0.53012,7.1913,10.12383
"39","2019_Q4",53.6925,"Up",1353931000,-1088446000,265485000,-120322000,-120322000,145163000,-21966000,-14756000,123197000,-6615000,116582000,-26098000,1799000,92283000,92283000,-219000,92064000,92064000,115853000,115853000,773490000,773490000,497634000,177045000,71086000,105959000,1564022000,1249761000,2172393000,1345271000,48048000,434828000,3422154000,4986176000,923704000,923704000,374745000,9009000,9009000,1307458000,1180221000,644185000,197453000,117426000,329306000,1824406000,3131864000,316043000,2300006000,-774373000,1841676000,12637000,1854313000,4986177000,92283000,56107000,-15472000,65819000,198737000,-43351000,-110554000,-153712000,-43009000,20866000,-147000,-22290000,22735000,22735000,-3177000,19558000,201270000,1554966000,249836000,0.19608,0.10722,0.068,0.04965,0.01846,2.71372,1.19623,1.68896,0.31186,0.91351,0.90958,13.43439,18.27404,2.479,0.42676,0.03332,0.06164,0.46716,7.15016,9.91377
"40","2020_Q1",48.6827419354839,"Down",1308850000,-1061963000,246887000,-135771000,-135771000,111116000,-21422000,-15510000,89694000,-29238000,60456000,-16056000,931000,45331000,45331000,-432000,44899000,44899000,145283000,145283000,698149000,698149000,503808000,173956000,60202000,113754000,1521196000,1286842000,2318251000,1429346000,46502000,454111000,3605093000,5126289000,904878000,904878000,488234000,11380000,11380000,1404492000,1193135000,712957000,304798000,76206000,331953000,1906092000,3310584000,317953000,2301532000,-816803000,1802682000,13023000,1815705000,5126289000,45331000,66055000,-191043000,266689000,187032000,-37195000,-187371000,-225457000,-43084000,109237000,8197000,64742000,26317000,26317000,3113000,29430000,177171000,1681369000,422721000,0.18863,0.0849,0.0343,0.02473,0.00876,9.41493,1.08309,1.8233,0.32799,0.44548,0.44353,12.9863,17.88606,4.1942,0.42748,0.0209,0.10041,0.95958,8.67008,13.82417
"41","2020_Q2",45.6977777777778,"Down",1303296000,-1036706000,266590000,-123888000,-123888000,142702000,-23624000,-16045000,119078000,-12599000,106479000,-26756000,513000,80236000,80236000,209000,80445000,80445000,123335000,123335000,737760000,737760000,500096000,152637000,53989000,98648000,1513828000,1236827000,2261482000,1412055000,41500000,435203000,3498309000,5012137000,893595000,893595000,452827000,17382000,17382000,1363804000,1187904000,704988000,304361000,81055000,319572000,1892892000,3256696000,314988000,2338429000,-909153000,1744264000,11177000,1755441000,5012137000,80236000,60824000,-9070000,-44277000,87713000,-30663000,-3973000,-34174000,-43202000,-15522000,-3938000,-62662000,-9123000,-9123000,-12825000,-21948000,203526000,1640731000,155342000,0.20455,0.10949,0.06172,0.04583,0.01605,1.93103,1.11,1.8552,0.32735,0.79763,0.79593,12.92247,17.29477,1.54025,0.42836,0.03015,0.03788,0.53704,7.45554,10.63332
"42","2020_Q3",49.2515625,"Up",1245485000,-997502000,247983000,-121371000,-121371000,126612000,-26285000,-18685000,100327000,-22885000,77442000,-23230000,778000,54990000,54990000,221000,55211000,55211000,857272000,857272000,692943000,692943000,523855000,164592000,60195000,104397000,2238662000,1235505000,2264693000,1423712000,41301000,438684000,3500198000,5738860000,908392000,908392000,646623000,21257000,21257000,1576272000,1618640000,736244000,303606000,95962000,336676000,2354884000,3931156000,316602000,2350189000,-869453000,1797338000,10366000,1807704000,5738860000,54990000,62623000,17515000,59150000.0000001,194278000,-40909000,186000.00000003,-40661000,-43135000,608160000,15918000,576993000,730610000,730610000,3327000,733937000,189235000,2265263000,230706000,0.19911,0.10166,0.04433,0.03054,0.00962,4.17862,1.42023,2.17467,0.39472,0.54678,0.54585,12.33459,17.79983,2.28478,0.42718,0.02045,0.04797,0.78128,7.44044,11.12052
"43","2020_Q4",52.730625,"Up",1312314000,-1055304000,257010000,-126117000,-126117000,130893000,-26034000,-18581000,104859000,-24149000,80710000,649000,1939000,83298000,83298000,151000,83449000,83449000,782679000,782679000,693612000,693612000,445827000,361316000,66516000,92731000,2283434000,1227122000,2256676000,1369283000,41629000,471390000,3483798000,5767232000,882142000,882142000,508960000,107941000,14092000,1499043000,1627037000,759819000,303623000,94831000,361365000,2386856000,3885899000,318087000,2390272000,-837214000,1871145000,10188000,1881333000,5767232000,83298000,63155000,29660000,31397000,207510000,-36855000,-45475000,-82283000,-43109000,-155933000,-5e+05,-202927000,-77700000,-77700000,3107000,-74593000,194048000,2135997000,187941000,0.19584,0.09974,0.06359,0.04436,0.01447,2.25217,1.52326,2.0655,0.37037,0.82643,0.82421,12.99642,18.53077,1.86126,0.42693,0.02649,0.03934,0.51659,6.97414,10.33912
"44","2021_Q1",57.5954098360656,"Up",1376348000,-1101592000,274756000,-157063000,-157063000,117693000,-26269000,-18759000,91424000,-100463000,-9039000,-3693000,1449000,-11283000,-11283000,-359000,-11642000,-11642000,564848000,564848000,658808000,658808000,450691000,156200000,52564000,103636000,1830547000,1244110000,2202602000,1389255000,42479000,448934000,3446712000,5277259000,1048428000,1048428000,455784000,7415000,7415000,1511627000,1244440000,610664000,171518000,86018000,353128000,1855104000,3366731000,321231000,2335216000,-756842000,1899605000,10923000,1910528000,5277259000,-11283000,68757000,104168000,54478000,216120000,-72734000,103412000,30791000,-43180000,-429950000,0,-474278000,-227367000,-227367000,9536000,-217831000,186450000,1700224000,171887000,0.19963,0.08551,-0.00846,-0.00609,-0.00221,-14.76439,1.21098,1.7622,0.32218,-0.11532,-0.11485,13.63382,18.8171,1.70268,0.42773,0.00747,0.04072,-3.70898,6.08944,9.64693
"45","2021_Q2",63.1992063492063,"Up",1353304000,-1075403000,277901000,-145230000,-145230000,132671000,-25015000,-17731000,107656000,-12362000,95294000,-24045000,1044000,72293000,72293000,4000,72297000,72297000,587532000,587532000,667060000,667060000,474071000,222076000,45229000,176847000,1950739000,1212516000,2117495000,1328214000,40742000,441802000,3330011000,5280750000,1066687000,1066687000,444171000,19812000,19812000,1530670000,1251512000,585770000,169864000,79682000,336224000,1837282000,3367952000,322916000,2362003000,-782520000,1902399000,10399000,1912798000,5280750000,72293000,61599000,1818000,3005000,138715000,-39315000,-2353000,-38967000,-45142000,-19624000,-9931813.46713915,-69817000,29931000,29931000,-7247000,22684000,194270000,1695683000,182005000,0.20535,0.09803,0.05342,0.0378,0.01369,2.51746,1.27443,1.76075,0.32111,0.71549,0.71234,13.39295,18.82706,1.80121,0.44675,0.028,0.04339,0.6244,5.70418,8.35262
"46","2021_Q3",61.30875,"Down",1382754000,-1120101000,262653000,-128807000,-128807000,133846000,-569803000,-14794000,-435957000,-18739000,-454696000,118151000,2306000,-334239000,-334239000,168000,-334071000,-334071000,263529000,263529000,727967000,727967000,503932000,151414000,51354000,100060000,1646842000,1233065000,2114135000,1333400000,41085000,444457000,3347200000,4994042000,992224000,992224000,404029000,8654000,8654000,1404907000,1194063000,572639000,165997000,79143000,327499000,1766702000,3171609000,173470000,1982430000,-344456000,1811444000,10989000,1822433000,4994042000,-334239000,60193000,451179000,-213895000,-36762000,-53211000,86071000,34463000,-45259000,-108860000,-15724000,-324363000,-326662000,-326662000,2659000,-324003000,194039000,1598092000,-191218000,0.18995,0.0968,-0.2416,-0.18331,-0.06689,0.57239,1.17221,1.74032,0.32,-3.30613,-3.2916,13.6844,17.92692,-1.89239,0.4479,-0.07233,-0.04789,-0.13548,6.87781,9.97088
"47","2021_Q4",57.66,"Down",1415193000,-1157462000,257731000,-130580000,-130580000,127151000,-14744000,-14219000,112407000,-639000,111768000,-2564000,2351000,111555000,111555000,-415000,111140000,111140000,160012000,160012000,755638000,755638000,530111000,154894000,60010000,94884000,1600655000,1232074000,2092421000,1323723000,38398000,448767000,3324495000,4925150000,1052239000,1052239000,275799000,21203000,21203000,1349241000,1192707000,522470000,164584000,67627000,290259000,1715177000,3064418000,179830000,2049072000,-378910000,1849992000,10740000,1860732000,4925150000,111555000,63749000,5901000,-63080000,118125000,-53530000,4696000,-46362000,-44247000,-124708000,0,-169038000,-97275000,-97275000,-6242000,-103517000,190900000,1468506000,76854000,0.18212,0.08985,0.07853,0.0597299999999999,0.02257,0.69151,1.18634,1.64689,0.29816,1.13033,1.11783,14.39303,18.81509,0.78163,0.45001,0.04034,0.01995,0.39812,6.85434,10.29087
"48","2022_Q1",56.2674193548387,"Down",1439187000,-1175562000,263625000,-153563000,-153563000,110062000,-18088999.9999999,-12491000,91973000,-5321000,86652000,-24112000,5140000,67680000.0000001,67680000.0000001,-2523000,65156999.9999999,65156999.9999999,170978000,170978000,755609000,755609000,562113000,169977000,74034000,95943000,1658677000,1297500000,2117058000,1324501000,25818000,488596000,3414558000,5073235000,1102662000,1102662000,411557000,11544000,11544000,1525763000,1199106000,498825000,158265000,70482000,270078000,1697931000,3223694000,126865000,2070005000,-359425000,1837445000,12096000,1849541000,5073235000,67680000.0000001,53545000,12274000.0000001,-54905000,78594000,-96797000,-19053999.9999999,-115036000,-43974000,153089000,-1009000,49675000.0000001,13233000,13233000,-2267000,10966000,163607000,1610663000,36017000,0.18318,0.07648,0.04527,0.03523,0.01284,0.55277,1.08711,1.74297,0.31748,0.66267,0.655340000000001,14.63706,18.68749,0.36631,0.44723,0.02757,0.0091,0.67489,8.79965,13.08067
"49","2022_Q2",58.2879032258065,"Up",1770982000,-1399417000,371565000,-190362000,-190362000,181203000,-20389000,-19065000,160814000,-12142000,148672000,-35289000,2224000,115607000,115607000,-274000,115333000,115333000,151537000,151537000,1000415000,1000415000,868251000,230442000,119711000,110731000,2250645000,1640774000,3064569000,1688308000,25590000,593704000,4705343000,6955988000,1255937000,1255937000,440698000,18370000,18370000,1715005000,2730146000,591906000,153818000,124918000,313170000,3322052000,5037057000,127441000,2141214000,-356869000,1911786000,7145000,1918931000,6955988000,115607000,70602000,-11347000,-173802000,1060000,-67324000,-1348589000,-1415768000,-43747000,1454269000,-14474000,1392638000,-22070000,-22070000,2629000,-19441000,251805000,3170844000,45968000,0.20981,0.10232,0.06512,0.0601,0.01658,0.39857,1.31233,2.62493,0.45584,1.18448,1.16801,18.18817,19.63424,0.4721,0.44929,0.028,0.00809,0.37931,11.99066,16.66257
