"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_tax_liabilities_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",22.1659677419355,"Up",1195530000,-989301000,206229000,-110330000,-110330000,95899000,-14852000,-14852000,81047000,444000,81491000,-25399000,2937000,59029000,59029000,-193000,58836000,58836000,201143000,201143000,673629000,673629000,394955000,109384000,47447000,37361000,1379111000,1034889000,1642302000,1110994000,79129000,168094000,2677191000,4056302000,818441000,818441000,32368000,9262000,9262000,860071000,1204105000,456344000,386827000,15402000,54115000,1660449000,2520520000,447829000,1499976000,-426118000,1521687000,14095000,1535782000,4056302000,59029000,48026000,-912000,46012000,152155000,-40083000,0,-40083000,-30194000,-84086000,1171000,-113109000,-1037000,-1037000,6175000,5138000,143925000,1236473000,175253000,0.1725,0.08021,0.04921,0.03831,0.0145,2.97867,1.60349,1.6412,0.30483,0.57744,0.57391,11.73342,14.93446,1.72,0.29634,0.02758,0.05428,0.51319,7.19354,10.79605
"12","2013_Q1",23.579,"Up",1175870000,-971870000,2.04e+08,-112025000,-112025000,91975000,-14464000,-14464000,77511000,-8694000,68817000,-30558000,4569000,42828000,42828000,-45000,42783000,42783000,373084000,373084000,619761000,619761000,383272000,123779000,65395000,36311000,1499896000,1034906000,1641263000,1110505000,90936000,163013000,2676169000,4176065000,764322000,764322000,273608000,6305000,6305000,1044235000,1099454000,529162000,461881000,15649000,51632000,1628616000,2672851000,452667000,1512145000,-475826000,1488986000,14228000,1503214000,4176065000,42828000,51244000,24096000,-6780000,111388000,-44774000,-3.72529029846191e-09,-44748000,-30234000,133772000,2671000,106209000,172849000,172849000,-908000.000000002,171941000,143219000,1373062000,122223000,0.17349,0.07822,0.03638,0.02846,0.01024,2.85681,1.43636,1.77809,0.32879,0.41952,0.41679,11.53029,14.60062,1.19849,0.29647,0.02144,0.03589,0.70668,6.98216,10.87228
"13","2013_Q2",25.95171875,"Up",1179213000,-973497000,205716000,-120011000,-120011000,85705000,-14268000,-14268000,71437000,-4289000,67148000,-21252000,1897000,47793000,47793000,346000,48139000,48139000,163450000,163450000,644995000,644995000,395487000,86023000,35695000,28248000,1289955000,1041529000,1617638000,1103963000,80940000,163833000,2659167000,3949122000,784683000,784683000,167010000,12113000,12113000,963806000,947568000,518382000,453963000,14523000,49896000,1465950000,2429756000,460496000,1529571000,-484289000,1505778000,13588000,1519366000,3949122000,47793000,47231000,15898000,25402000,136324000,-55293000,-1719985.95850341,-58921000,-30303000,-257436000,4431000,-283308000,-205905000,-205905000,-3729000,-209634000,132936000,1114578000,124297000,0.17445,0.07268,0.04082,0.03168,0.01219,2.58204,1.3384,1.59919,0.28223,0.47069,0.46821,11.53005,14.72312,1.21535,0.2963,0.02488,0.03943,0.62949,7.15478,11.0977
"14","2013_Q3",28.5246875,"Up",1226256000,-1003692000,222564000,-121848000,-121848000,100716000,-14407000,-14407000,86309000,-8678000,77631000,-26409000,3824000,55046000,55046000,-58000.0000000001,54988000,54988000,179361000,179361000,668670000,668670000,391121000,91787000,37699000,30103000,1330939000,1033189000,1592699000,1096483000,73333000,164956000,2625888000,3956827000,800757000,800757000,143517000,12545000,12545000,956819000,947958000,518179000,451327000,14727000,52125000,1466137000,2422956000,468780000,1552687000,-500910000,1520557000,13314000,1533871000,3956827000,55046000,51023000,8507000,-6420000,108156000,-35668000,-3.72529029846191e-09,-35611000,-31418000,-25203999.9999999,5297000,-51325000.0000001,21220000,21220000,-5309000,15911000.0000001,151739000,1091475000,136060000,0.1815,0.08213,0.04484,0.03585,0.0139,2.47436,1.391,1.57963,0.27585,0.53569,0.53303,11.94611,14.81317,1.32549,0.30607,0.02749,0.04328,0.57136,6.01107,9.0563
"15","2013_Q4",30.44078125,"Up",1227749000,-1003712000,224037000,-117935000,-117935000,106102000,-14286000,-14286000,91816000,-5818000,85998000,-27085000,2512000,61425000,61425000,-185000,61240000,61240000,287577000,287577000,688948000,688948000,391572000,91250000,34027000,35105000,1459347000,1049597000,1580411000,1102560000,62169000,164090000,2630008000,4089355000,854908000,854908000,152093000,27250000,27250000,1034251000,947541000,513576000,446487000,14707000,52382000,1461117000,2495368000,469794000,1581978000,-471315000,1580457000,13530000,1593987000,4089355000,61425000,47320000,14177000,53882000,176804000,-44015000,-3728000,-47714000,-31495000,9187000,-1796000,-24104000,104986000,104986000,3230000,108216000,153422000,1099634000,190374000,0.18248,0.08642,0.04988,0.03842,0.01498,3.10865,1.41102,1.56549,0.2689,0.59551,0.5916,11.9389,15.36871,1.85124,0.30626,0.02891,0.05936,0.51429,5.29296,7.65355
"16","2014_Q1",31.6272131147541,"Up",1228439000,-1019112000,209327000,-127377000,-127377000,81950000,-13765000,-13765000,68185000,-6253000,61932000,-18885000,3796000,46843000,46843000,-1385000,45458000,45458000,217567000,217567000,614053000,614053000,410787000,136067000,57666000,38995000,1378474000,1021920000,1578897000,1099207000,67364000,168406000,2600817000,3979291000,823375000,823375000,35201000,8649000,8649000,867225000,946257000,440484000,263718000,128006000,48760000,1386741000,2253966000,464365000,1604892000,-358520000,1710737000,14588000,1725325000,3979291000,46843000,52097000,16903000,9e+05,116743000,-26955000,-277000,-27207000,-31629000,-117767000,-6934000,-156330000,-66794000,-66794000,-3216000,-70010000,134047000,981458000,126877000,0.1704,0.06671,0.037,0.02635,0.01142,2.79108,1.58952,1.3064,0.24664,0.44328,0.43921,11.97893,16.68198,1.23722,0.30843,0.02449,0.04031,0.69579,5.69868,9.32143
"17","2014_Q2",32.448253968254,"Up",1185626000,-973323000,212303000,-123750000,-123750000,88553000,-12643000,-12643000,75910000,-1992000,73918000,-23169000,1476000,52225000,52225000,77000,52302000,52302000,191407000,191407000,683859000,683859000,413765000,115916000,41820000,33857000,1404947000,1016751000,1558621000,1095214000,56364000,170499000,2575372000,3980319000,834064000,834064000,38906000,17211000,17211000,890181000,946512000,402454000,233330000,121854000,47270000,1348966000,2239147000,462939000,1625310000,-361469000,1726780000,14392000,1741172000,3980319000,52225000,47179000,6898000,-60838000,45464000,-35418000,-28646178.7479577,-35396000,-31725000,3877000,-7053000,-34901000,-24833000,-24833000,-1327000,-26160000,135732000,985418000,62645000,0.17906,0.07469,0.04411,0.03004,0.01314,1.19776,1.57827,1.286,0.24757,0.50892,0.50403,11.53658,16.80221,0.60956,0.3087,0.02685,0.02002,0.60657,5.84984,8.96651
"18","2014_Q3",31.5784375,"Down",1252022000,-1025614000,226408000,-126455000,-126455000,99953000,-13135000,-13135000,86818000,-3671000,83147000,-28613000,3126000,57660000,57660000,-125000,57535000,57535000,199780000,199780000,705465000,705465000,423740000,133471000,54479000,37265000,1462456000,1028814000,1547679000,1100978000,40581000,172702000,2576493000,4038949000,840463000,840463000,90067000,5050000,5050000,935580000,947081000,398829000,228013000,123805000,47011000,1345910000,2281490000,448780000,1653954000,-360046000,1742688000,14771000,1757459000,4038949000,57660000,48337000,5931000,-51858000,60070000,-46880000,-10964000,-57728000,-32628000,54573000,-18048000,3896999.99999999,6239000,6239000,2134000,8373000.00000001,148290000,1037148000,78165000,0.18083,0.07983,0.04595,0.03274,0.01425,1.35856,1.56315,1.29818,0.25679,0.56155,0.55636,12.21998,17.00897,0.76291,0.31846,0.02823,0.02448,0.5671,5.64683,8.37762
"19","2014_Q4",32.2603125,"Up",1262503000,-1040059000,222444000,-110507000,-110507000,111937000,-12918000,-12918000,99019000,-5908000,93111000,-27540000,2294000,67865000,67865000,-810000,67055000,67055000,231556000,231556000,707311000,707311000,403580000,128360000,55199000,35427000,1470807000,1018780000,1523417000,1089700000,37723000,173458000,2542197000,4013004000,850813000,850813000,71700000,6161000,6161000,928674000,945900000,402604000,222933000,134583000,45088000,1348504000,2277178000,433263000,1692139000,-404907000,1720495000,15331000,1735826000,4013004000,67865000,49212000,17069000,27717000,161863000,-46538000,0,-51196000,-32093000,-22903000,-18637000,-73633000,37034000,37034000,-5258000,31776000,161149000,1017600000,169868000,0.17619,0.08866,0.05311,0.03863,0.01671,2.53326,1.58377,1.31187,0.25358,0.6566,0.65042,12.36233,16.84695,1.66333,0.31425,0.03142,0.05382,0.47861,4.87775,7.0222
"20","2015_Q1",35.5660655737705,"Up",1316843000,-1070112000,246731000,-146284000,-146284000,100447000,-13695000,-13695000,86752000,-11221000,75531000,-29436000,2990000,49085000,49085000,-61000,49024000,49024000,161168000,161168000,653737000,653737000,420276000,138608000,61071000,38580000,1373789000,1148607000,1671515000,1177962000,45442000,167176000,2820122000,4193911000,851314000,851314000,52280000,8599000,8599000,912193000,1200885000,576986000,444231000,91157000,41598000,1777871000,2690064000,404155000,1692891000,-608851000,1488195000,15652000,1503847000,4193911000,49085000,53990000,31728000,15715000,150518000,-40482000,-323168000,-363113000,-32347000,211010000,-34563000,144100000,-68495000,-68495000,-1893000,-70388000,154437000,1253165000,159106000,0.18737,0.07628,0.03723,0.0326,0.01169,3.24547,1.50603,1.78879,0.29881,0.48296,0.47869,12.97293,14.66101,1.56744,0.31867,0.02441,0.04772,0.65982,7.07082,10.87137
