"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",65.7015625,"Up",-5852000,-1387000,-4465000,-5852000,0,0,0,-5852000,-5852000,-5852000,-5852000,-5852000,-5852000,100521000,100521000,569000,569000,101090000,157000,157000,101247000,6123000,3432000,2691000,6123000,6123000,231294000,-136185000,95124000,95124000,101247000,-5852000,15000,219000,2433000,-3185000,-35000,-35000,-35000,-35000,80876000,80876000,80876000,77656000,77656000,77656000,-5837000,0,-0.06152,-0.0578,16.50988,0.06437,0,-5.62828,-5.62828,91.47295,-0.06152,17.22135,17.1772
"2","2015_Q4",34.139375,"Down",-6101000,-1822000,-4279000,-6101000,12000,12000,12000,-6089000,-6089000,-6089000,-6089000,-6089000,-6089000,92651000,57555000,996000,996000,93647000,195000,195000,93842000,4465000,1552000,2913000,4465000,4465000,231621000,-142274000,89377000,89377000,93842000,-6089000,16000,348000,-1000,-5726000,-55000,-55000,-55000,-35136000,-2104000,-2104000,-2104000,-42966000,-42966000,-42966000,-6085000,0,-0.0681300000000001,-0.06489,20.97357,0.04996,0,-1.57633999999999,-1.57633999999999,23.1343,-0.06813,15.22613,15.1862
"3","2016_Q1",20.0222950819672,"Down",15405000,4066000,11339000,15897000,-11000,-11000,-11000,15886000,15886000,15886000,15886000,15886000,15886000,87254000,24991000,432000,432000,87686000,223000,223000,87909000,4419000,994000,3425000,4419000,4419000,232309000,-148837000,83490000,83490000,87909000,15886000,-46000,-701000,3487000,18626000,135000,135000,135000,35216000,-78772000,-78772000,-78162000,-24320000,-24320000,-24320000,15851000,0,0.19027,0.18071,19.84295,0.05293,0,31.97022,31.97022,167.99155,0.19027,-5.50464,-5.48871
"4","2016_Q2",17.750625,"Down",-7934000,-2367000,-5567000,-7934000,96000,96000,96000,-7838000,-7838000,-7838000,-7838000,-7838000,-7838000,80212000,16030000,501000,501000,80713000,224000,224000,80937000,4578000,1196000,3382000,4578000,4578000,233016000,-156675000,76359000,76359000,80937000,-7838000,30000,707000,89999.9999999995,-7010999.99999999,-31000,-31000,-31000,-1950000.00000001,-53260286.1044658,-53260286.1044658,-56251204.4183393,-8961000,-8961000,-8961000,-7904000,0,-0.10265,-0.09684,17.63062,0.05995,0,-2.02768,-2.02768,19.7501,-0.10265,10.14828,10.10991
"5","2016_Q3",24.3484375,"Up",-8596000,-2172000,-6424000,-8596000,117000,117000,117000,-8479000,-8479000,-8479000,-8479000,-8479000,-8479000,73734000,15416000,480000,480000,74214000,351000,351000,74565000,5873000,2110000,3763000,5873000,5873000,233808000,-165154000,68692000,68692000,74565000,-8479000,36000,7e+05,1196000,-6547000,-43000,-43000,-43000,5841000,92000.0000000298,92000.0000000298,92000,-614000,-614000,-614000,-8560000,0,-0.12344,-0.11371,12.63647,0.0855,0,-2.19351,-2.19351,17.76665,-0.12344,8.61379,8.57771
"6","2016_Q4",19.9260317460317,"Down",14117000,3765000,10352000,16329000,-197000,-197000,-197000,16132000,16132000,16132000,16132000,16132000,16132000,66187000,16168000,843000,843000,67030000,312000,312000,67342000,5238000,1012000,4226000,5238000,5238000,234670000,-172587000,62104000,62104000,67342000,16132000,-36000,-1350000,-3218000,11528000,-385000,-385000,-385000,-4350000,-43000,-43000,10930000,18108000,18108000,18108000,16293000,1.81898940354586e-12,0.25976,0.23955,12.79687,0.08434,0,4.16202,4.16202,16.01858,0.25976,-4.0623,-4.05334
"7","2017_Q1",10.1293548387097,"Down",-1725000,-375000,-1350000,-987000,6000,6000,6000,-981000,-981000,-1047000,-1047000,-1047000,-1047000,11819000,11819000,36000,36000,11855000,740000,740000,12595000,363000,127000,170000,2404000,2517000,144000,-1601000,10078000,10078000,12595000,-1047000,39000,20000,-779000,-1767000,-323000,-323000,-323000,-323000,1000,1000,-47000,-2137000,-2137000,-2137000,-948000,113000,-0.10389,-0.08313,4.93136,0.24975,0.00897,-1.8537,-1.8537,-2.5796,-0.10274,12.3481,11.86018
"8","2017_Q2",9.58349206349206,"Down",-2731000,-873000,-1858000,-1994000,5000,4999.99999999997,4999.99999999997,-1989000,-1989000,-1989000,-1989000,-1989000,-1989000,52674000,12929000,263000,263000,52937000,72000,72000,53009000,3789000,1278000,2511000,3789000,3789000,238434000,-189216000,49220000,49220000,53009000,-1989000,46000,52000,-273000,-2164000,-108000,-108000,-108000,-108000.000000001,21000,21000,4021000,1749000,1749000,1749000,-1948000,-5.82076609134674e-11,-0.04041,-0.0375200000000001,13.97123,0.07698,0,-3.22971,-3.22971,79.89686,-0.0404099999999999,27.04004,26.41625
"9","2017_Q3",9.34825396825397,"Down",-4375000,-2067000,-2308000,-3637000,39000,39000,40000,-3598000,-3598000,-3598000,-3598000,-3598000,-3598000,49497000,27548000,129000,129000,49626000,18000,18000,49644000,3578000,815000,2763000,3578000,3578000,238980000,-192926000,46066000,46066000,49644000,-3598000,55000,247000,-589000,-3885000,-113000,-113000,-113000,-113000,0,0,21666000,17668000,17668000,17668000,-3582000,0,-0.07811,-0.07248,13.86976,0.07767,0,-5.40115,-5.40115,69.12816,-0.07811,13.81826,13.60929
"10","2017_Q4",10.8833333333333,"Up",-4682000,-1932000,-2750000,-4554000,141000,141000,216000,-4413000,2126000,2122000,2122000,2122000,2122000,87201000,11982000,884000,884000,88085000,1116000,2701000,90786000,1785000,1076000,642000,2724000,7814000,88050000,-5066000,82972000,82972000,90786000,2122000,64000,-6267000,-605000,-4686000,-288000,-288000,-288000,-31437000,1000,1000,17001000,-19122000,-19122000,-19122000,-4490000,4990000,0.02557,0.02337,32.33664,0.09418,0.05496,0.20061,0.183140000000001,7.844,0.02396,18.3098,18.05248
"11","2018_Q1",9.88180327868852,"Down",-4917000,-1207000,-3710000,-4789000,205000,205000,281000,-4584000,-4522000,-4318000,-4318000,-4318000,-4318000,81240000,8e+06,1308000,1308000,82548000,1089000,2674000,85222000,575000,193000,382000,1895000,6305000,88360000,-9384000,78917000,78917000,85222000,-4318000,76000,88000,-1683000,-5837000,-77000,-77000,-77000,1855000,0,0,0,-3982000,-3982000,-3982000,-4713000,5034000,-0.05472,-0.05067,43.56095,0.07989,0.05907,-0.30696,-0.33068,5.61012,-0.05121,16.16932,15.91272
"12","2018_Q2",8.238125,"Down",-5900000,-2108000,-3792000,-5585000,227000,227000,305000,-5358000,-5358000,-5306000,-5306000,-5306000,-5306000,76652000,7446000,1335000,1335000,77987000,1127000,2712000,80699000,1114000,528000,586000,2928000,6818000,88878000,-14892000,73881000,73881000,80699000,-5306000,80000,503000,292000,-4431000,-118000,-118000,-118000,3870000,7000,7000,7000,-554000,-554000,-554000,-5505000,5078000,-0.07182,-0.06575,26.6349,0.09228,0.06293,-0.38325,-0.38325,5.3364,-0.06693,13.00163,12.8154
