"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q4",14.028125,"Up",49308000,36972000,45324000,-8352000,12336000,6654000,5676000,-8278000,41030000,-24949000,-511000,-24438000,16081000,16081000,16081000,-3599000,12482000,12482000,12482000,10930000,343628780.65058,272341341.808838,3376077051.84136,-22346488.8782563,3398423540.71961,40070235.0364874,8099473.97537103,165952525.783827,90159509.3571801,4296328918.45364,3388607480.50139,2285095682.59745,1103511797.90395,29385809.9341689,23277687.4420609,64422856.6157678,3505693834.49339,127303066.939534,-52275681.2652215,410603194.268603,18520231.8031208,790635083.960251,790635083.960251,4296328918.45364,15512000,-995000,39096000,19594000,57695000,-5532000,-58536000,7342000,-56200000,17007000,17007000,17007000,0,0.32613,0.22167,-0.00363092244481563,0.00031333461895967,3.5319142346903,0.0109795102823443,0.39315,0.39302,1.77361,17.6793805118303,0.19899,-0.00120918869930821,0.50613,-16.0860816756392
"2","2011_Q1",15.3209677419355,"Up",48336000,36334000,44210000,-7876000,12002000,8858000,3133000,-7676000,40660000,-27018000,-3174000,-23844000,13642000,13642000,13642000,-3352000,10290000,10290000,10290000,8737000,108196000,365314000,3304203000,-51387000,3355590000,39954000,7465000,165273000,123934000,4114339000,3317524000,2289029000,1028495000,131272000,29365000,57513000,3535674000,125855000,-48727000,401734000,-6334000,578665000,578665000,4114339000,33792000,-1578000,-13579000,-99000,-15256000,-102000.000000002,-8019000,12922000,1454000,19990000,19990000,19990000,160637000,0.28223,0.18076,0.0151,0.00212,6.11005,0.03904,0.31356,0.31334,1.73474,16.95862,0.00365999999999994,0.00215,0.0116699999999998,3.84408
"3","2011_Q2",13.3453968253968,"Down",45898000,34872000,42192000,-7320000,11026000,6980000,4033000,-10640000,35258000,-27449000,-1588000,-25861000,7809000,7809000,7809000,-1514000,6295000,6295000,6295000,4740000,81504239.78314,404933802.730387,3215419232.71955,-60698170.3739146,3276117403.09346,39735004.9878375,6957258.67487632,165046491.405391,133094746.88094,4046690777.18212,3269107256.49954,2254888439.13418,1014218817.36535,150148980.021944,32170520.8526464,50860297.7947441,3502287055.16887,125569894.353489,-46516689.5782595,402576435.243799,-10112910.6010403,544403722.01325,544403722.01325,4046690777.18212,12558000,-360000,-42992000,50965000,7613000,-4193000,-2775000,-11717000,-19512000,659000,659000,659000,0,0.17014,0.10327,0.0225861408149385,0.00307222179368011,6.4695919217699,0.0449909965725519,0.17056,0.17042,1.65153,16.9946398293899,0.15088,0.0038705628997694,0.8846,6.72277389187973
"4","2011_Q3",12.1609375,"Down",45652000,34538000,41783000,-7245000,11114000,7271000,3899000,-1097000,44555000,-25594000,-1298000,-24296000,18961000,18961000,18961000,-4051000,14910000,14910000,14910000,13352000,170826000,413477000,3133873000,-58004000,3191877000,39434000,6556000,165273000,128851000,4058290000,3253983000,2215965000,1038018000,131731000,32759000,47280000,3465753000,126389000,-45204000,408868000,-4048000,592537000,592537000,4058290000,18118000,-1162000,-4074000,99479000,94243000,-4208000,6628000,-51885000,-50390000,61971000,61971000,61971000,164490000,0.41534,0.29247,0.02253,0.00329,5.84901,0.04053,0.47817,0.47786,1.6349,17.40494,0.1507,0.00433,0.31516,-0.334159999999999
"5","2011_Q4",13.0204761904762,"Up",44212000,33869000,40845000,-6976000,10343000,7438000,2986000,-1535000,42677000,-24193000,-1172000,-23021000,18484000,18484000,18484000,-4681000,13803000,13803000,13803000,12244000,262406000,415518000,3080650000,-51533000,3132183000,38729000,6142000,165273000,123252000,4091970000,3271431000,2198855000,1072576000,133028000,32319000,51518000,3488296000,126685000,-44441000,416616000,-1919000,603674000,603674000,4091970000,27676000,-481000,125000,51071000,50715000,-4213000,857000,17423000,13189000,91580000,91580000,91580000,165347000,0.41808,0.27694,0.02028,0.00299,5.77844,0.04041,0.43624,0.43588,1.57523,17.70547,0.1501,0.00402,0.34409,-5.25097
"6","2012_Q1",15.2693548387097,"Up",45641000,34067000,40259000,-6192000,11574000,7358000,4216000,-2337000,43304000,-26672000,-1379000,-25293000,16632000,16632000,16632000,-4376000,12256000,12256000,12256000,9317000,270526000,432567000,3080918000,-48841000,3129759000,37755000,5728000,165273000,127227000,4119994000,3335859000,2239081000,1096778000,195989000,31874000,65746000,3629468000,126922000,-43756000,421468000,-14108000,490526000,490526000,4119994000,15550000,-124000,-17118000,-3589000,-20831000,-4216000,62517000,64402000,13401000,8120000,8120000,8120000,227863000,0.36441,0.20414,0.01899,0.00226,7.39913,0.05531,0.3333,0.33289,1.63272,17.54758,0.15082,0.00328,0.45251,-2.56512
"7","2012_Q2",13.2534920634921,"Down",46390000,33321000,39140000,-5819000,13069000,7494000,4735000,-9272000,37118000,-32783000,-1900000,-30883000,4335000,4335000,4335000,-855000,3480000,3480000,3480000,3480000,386640000,443121000,3149953000,-47827000,3197780000,39979000,6202000,171395000,133685000,4330975000,3522355000,2371002000,1151353000,206257000,31426000,66519000,3826557000,141084000,-41843000,419263000,-14086000,504418000,504418000,4330975000,16221000,-912000,65285000,51480000,120370000,-4220000,2822000,-19502000,-20477000,116114000,116114000,116114000,237683000,0.09345,0.07502,0.0069,8e-04,7.58608,0.05488,0.12315,0.12309,1.64169,17.8508,0.14934,0.00178,1.21264,-34.36148
"8","2012_Q3",12.7133333333333,"Down",46351000,33819000,39370000,-5551000,12532000,7849000,4677000,-7024000,39327000,-29344000,-1208000,-28136000,9983000,9983000,9983000,-1383000,8600000,8600000,8600000,8600000,403244000,447798000,3148758000,-46689000,3195447000,39605000,5769000,171457000,130761000,4347392000,3517973000,2325008000,1192965000,212359000,35218000,71266000,3836816000,141816000,-40582000,422731000,-13389000,510576000,510576000,4347392000,26190000,-622000,-5368000,-5227999.99999999,-10876000,-4336000,9895000,-4729000,1289999.99999999,16604000,16604000,16604000,247577000,0.21538,0.18554,0.01684,0.00198,7.51468,0.05695,0.2995,0.29904,1.61422,17.78133,0.15101,0.00298,0.50419,-15.59321
"9","2012_Q4",12.6143548387097,"Down",48541000,33795000,38820000,-5025000,14746000,7929000,4647000,-2304000,46237000,-31019000,-1440000,-29579000,15218000,15218000,15218000,-2623000,12595000,12595000,12595000,12595000,347076000,490154000,3232878000,-46279000,3279157000,39273000,5783000,175733000,131361000,4422258000,3594406000,2349733000,1244673000,164880000,40669000,88061000,3888016000,155223000,-40447000,430936000,-11470000,534242000,534242000,4422258000,36090000,-103000,-33077000,12424000,-6976000,-4341000,-51805000,-29222000,-85282000,-56168000,-56168000,-56168000,205549000,0.31351,0.25947,0.02358,0.00285,7.27763,0.04648,0.4306,0.43,1.65951,18.26461,0.14841,0.00383,0.34466,-9.29997
"10","2013_Q1",13.408,"Up",45857000,34292000,38921000,-4629000,11565000,7662000,3903000,-4215000,41642000,-23749000,-62000,-23687000,17893000,17893000,11925000,-2400000,9525000,9525000,9525000,9525000,337711000,510885000,3300138000,-46484000,3346622000,38676000,5350000,175733000,158209000,4526702000,3638428000,2316215000,1322213000,228201000,34101000,88550000,3989280000,155451000,-40486000,436039000,-13582000,537422000,537422000,4526702000,5389000,-4e+05,-39447000,-70994000,-110841000,-4460000,56753000,43795000,96087000,-9365000,-9365000,-9365000,262302000,0.39019,0.20771,0.01772,0.0021,7.42299,0.05795,0.32087,0.32057,1.5448,18.10433,0.15025,0.00309,0.46824,-4.21444
