"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",14.2165625,"Up",128930000,-90289000,38641000,-24550000,-22804000,-1746000,14091000,-4566000,-4838000,272000,9525000,9015000,-2441000,6574000,6574000,6574000,6574000,39396602.4683331,39396602.4683331,10706046.9567766,10706046.9567766,51099621.9427635,6214881.10916815,-8803407.74318416,9203997.75942284,107417152.477041,63173301.8233967,113310406.296041,65689502.4228543,-2440349.56172191,8743005.5177547,176483708.119438,283900860.596479,54311248.8983077,26029979.0015286,28288411.0247297,6115034.98177423,-1287438.48577512,-1283918.72455925,59138845.3943068,96441979.3124525,5118293.61394385,3396949.7683064,1661532.72161551,101560272.926396,160699118.320703,104872748.464198,50865408.1254088,-32546394.0911392,123191762.498467,123201742.275776,283900860.596479,6574000,5486000,890000,4345000,17295000,-4963000,-4963000,-388000,-566000,-954000,11378000,11378000,2580000,13958000,19577000,0,21400000,0.29971,0.10929,0.05099,0.120565006513898,0.041890776380346,3.25525,2.23313483146718,1.62573237790537,0.397352881236,0.24907,0.24807,4.88482,4.60886402649561,0.81079,0.0504730903253064,-0.0289240718186983,7.16244234237825,8.85132063659581
"2","2011_Q1",17.9875806451613,"Up",130538000,-92698000,37840000,-25062000,-23487000,-1575000,12778000,-5063000,-4904000,-159000,7715000,7187000,-1814000,5373000,5373000,5373000,5373000,72723000,72723000,67403000,67403000,88217000,14192000,4168000,4126000,242535000,105298000,160269000,76897000,82000,14040000,265567000,508102000,59298000,40812000,18486000,3393000,24201000,24142000,86892000,213109000,43349000,20558000,22568000,256458000,343350000,133887000,45536000,-14671000,164752000,164752000,508102000,5373000,4008000,7960000,-11905000,5436000,-3925000,-3925000.00000001,3000,-1199000,-1196000,315000,315000,246999.999999999,561999.99999997,16786000,216502000,2770000,0.28988,0.09789,0.04116,0.03261,0.01057,0.51554,2.79122,2.08404,0.4261,0.20272,0.20117,4.92522,6.21612,0.10451,0.01265,0.00652,8.56541,11.25207
"3","2011_Q2",20.6160317460317,"Up",159847000,-112012000,47835000,-27833000,-25516000,-2317000,20002000,-4877000,-5163000,286000,15125000,15125000,-4403000,10722000,10722000,10722000,10722000,87615132.5105556,87615132.5105556,97569651.0144078,97569651.0144078,109463709.352412,15999872.9636106,7939885.91439472,2852084.08019239,310648365.840986,122987066.058868,180977531.234653,82854832.5257152,545116.520573969,16361331.4940818,303964597.293521,614612963.134507,64710583.7005641,47796840.3328238,16911362.9917568,1855071.67274192,36118562.8285917,36051306.2415197,102684218.201898,264745840.229183,56025818.7953521,28049516.7438979,27828655.7594615,320771659.024535,423455877.226432,146905750.511934,52253447.2915304,-7998785.3029536,191160412.500511,191157085.908075,614612963.134507,10722000,5418000,1380000,-24820000,-7300000,-2754000,-2754000,-317000,81534000,81217000,71163000,71163000,1636000,72799000,25420000,0,2249000,0.29925,0.12513,0.06708,0.0193416644953674,0.00557724120655134,0.20976,3.01629172284427,2.20377587403154,0.433460706254667,0.4048,0.40296,6.03492,7.2231861578348,0.08491,0.00663730322489785,0.0309530239395661,8.35026755254058,11.0336522878014
"4","2011_Q3",15.00578125,"Down",165395000,-116985000,48410000,-29338000,-26912000,-2426000,19072000,-5554000,-6153000,599000,13518000,13518000,-4600000,8918000,8918000,8918000,8918000,90487000,90487000,108373000,108373000,119630000,14959000,6712000,3834000,333449000,125572000,184477000,85072000,78000,16558000,310049000,643498000,69306000,49829000,19477000,958000,38568000,38514000,108832000,274476000,54290000,29987000,24303000,328766000,437598000,149826000,65176000,-9102000,205900000,205900000,643498000,8918000,5865000,1665000,-1993000,14455000,-4660000,-66951000,-2570000,-12999.9999999851,-2583000,-55079000,-55079000,44000,-55035000,24937000,275434000,22884000,0.29269,0.11531,0.05392,0.04331,0.01386,2.56605,3.06389,2.12529,0.42803,0.33659,0.33393,6.2425,7.77128,0.86371,0.01665,0.04272,7.41657,9.6973
"5","2011_Q4",13.5698412698413,"Down",177853000,-124824000,53029000,-34378000,-31577000,-2801000,18651000,-6915000,-6698000,-217000,11736000,11736000,403000,12139000,12139000,12139000,12139000,90261000,90261000,103718000,103718000,123539000,15396000,5091000,5871000,332914000,122650000,179759000,84862000,89000,15248000,302409000,635323000,72377000,50636000,21741000,824000,34693000,34632000,107894000,266417000,50774000,31287000,19487000,317191000,425085000,149033000,77315000,-16110000,210238000,210238000,635323000,12139000,6543000,1823000,1447000,21952000,-4942000,-12111000,-8776000,-849000,-9625000,216000,216000,-442000,-226000,25194000,267241000,21296000,0.29816,0.10487,0.06825,0.05774,0.01911,1.75435,3.08557,2.02192,0.42064,0.45735,0.45258,6.70081,7.92096,0.80235,0.02298,0.04031,7.02469,9.48904
"6","2012_Q1",16.6937096774194,"Up",171717000,-124573000,47144000,-32435000,-29370000,-3065000,14709000,-6657000,-6021000,-636000,8052000,8052000,-2156000,5896000,5896000,5896000,5896000,92515000,92515000,91859000,91859000,125970000,20296000,7141000,7299000,330640000,123464000,175881000,83799000,1614000,13360000,299345000,629985000,72502000,52768000,19734000,688000,28916000,28798000,102106000,263361000,56122000,35798000,20028000,319483000,421589000,150261000,83211000,-25076000,208396000,208396000,629985000,5896000,6857000,8722000,-3681000,17794000,-8402000,-8070999.99999999,-3954000,-289999.999999996,-4244000,5479000,5479000,-3225000,2254000,21566000,264049000,11639000,0.27454,0.08566,0.03434,0.02829,0.00936,1.97405,3.2382,2.02302,0.41914,0.22182,0.22149,6.46038,7.84033,0.43789,0.01115,0.02202,7.95391,11.66184
"7","2012_Q2",14.5061904761905,"Down",192385000,-135712000,56673000,-35024000,-31997000,-3027000,21649000,-5999000,-5774000,-225000,15650000,15650000,-5134000,10516000,10516000,10516000,10516000,79946000,79946000,110451000,110451000,127112000,18946000,8893000,4197000,336455000,128424000,175644000,84597000,1649000,13147000,304068000,640523000,64428000,47349000,17079000,1109000,33656000,33533000,99193000,260512000,55896000,35916000,19702000,316408000,415601000,150994000,93727000,-19799000,224922000,224922000,640523000,10516000,6646000,1931000,-21355000,-2262000,-8237000,-8237000,-3263000,-51000,-3314000,-13813000,-13813000,1244000,-12569000,28295000,261621000,3837000,0.29458,0.11253,0.05466,0.04675,0.01642,0.36487,3.39192,1.84776,0.40845,0.39525,0.39445,7.23089,8.45381,0.14422,0.01939,0.00707,6.42075,8.39184
"8","2012_Q3",14.9595238095238,"Up",187943000,-131941000,56002000,-34826000,-31884000,-2942000,21176000,-7711000,-6504000,-1207000,13465000,13465000,-2856000,10609000,10609000,10609000,10609000,95235000,95235000,101823000,101823000,120973000,17447000,7376000,4222000,335478000,129835000,167489000,83257000,1557000,9347000,297324000,632802000,61777000,43184000,18593000,21475000,32859000,32743000,116111000,240194000,50302000,36157000,13885000,290496000,406607000,151747000,102989000,-28541000,226195000,226195000,632802000,10609000,6637000,2206000,7109000,26561000,-8669000,-8669000,-643000,-6000.00000000186,-649000,17243000,17243000,-1954000,15289000,27813000,261669000,29109000,0.29797,0.11267,0.05645,0.0469,0.01677,2.7438,2.88929,1.79759,0.41351,0.4007,0.39752,7.09862,8.5434,1.09945,0.01971,0.05409,5.98404,7.85956
"9","2012_Q4",15.8856451612903,"Up",174488000,-122477000,52011000,-33608000,-30785000,-2823000,18403000,-7039000,-6637000,-402000,11364000,11364000,-2846000,8518000,8518000,8547000,8547000,88136000,88136000,94513000,94513000,124336000,15605000,6752000,3013000,322590000,136645000,173120000,85027000,1497000,8191000,309765000,632355000,62336000,41495000,20841000,997000,36515000,36413000,99848000,241614000,49782000,36269000,13259000,291396000,391244000,151589000,110160000,-21936000,239813000,241111000,632355000,8518000,6807000,2172000,12697000,30194000,-8256000,-15700000,-21133000,-848000,-23329000,-8835000,-8835000,1736000,-7099000,25210000,242611000,32497000,0.29808,0.10547,0.04898,0.03545,0.01352,3.80215,3.23081,1.62267,0.38366,0.31875,0.31817,6.50735,8.94357,1.21194,0.01855,0.06091,6.12753,8.39401
"10","2013_Q1",21.5581666666667,"Up",177174000,-123312000,53862000,-35043000,-32378000,-2665000,18819000,-21743000,-21875000,132000,-2924000,-6120000,682000,-5438000,-5438000,-5379000,-5379000,85154000,85154000,92933000,92933000,123776000,21893000,6578000,6397000,323756000,138094000,171189000,88225000,1150000,5716000,309283000,633039000,65647000,43042000,19893000,9135000,31118000,31084000,105900000,238460000,55428000,38821000,16607000,293888000,399788000,152215000,103200000,-23403000,232012000,233251000,633039000,-5438000,7286000,6885000,-3308000,5425000,-6184000,-6164000,-176438000,176806000,-2588000,-3327000,-3327000,345000,-2982000,26105000,247595000,15931000,0.30401,0.10622,-0.03036,-0.02306,-0.0085,-2.9617,3.05719,1.71398,0.39112,-0.20125,-0.20061,6.62878,8.68048,0.59604,-0.00452,0.02971,6.2226,8.63176
