"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",1.18904761904762,"Up",15327000,-11904000,3423000,-4140000,-4140000,-717000,-608000,-594000,-1325000,-1325000,191000,-1134000,-1134000,-1134000,-1134000,-22643462.354381,-22643462.354381,54220065.0621423,54220065.0621423,-33892616.2808798,-7113216.90587949,8334179.9683924,-9429230.47899798,10287748.2285068,32156241.8813603,13081635.3014811,15531454.7899052,42443990.1098671,33014759.6308691,-36955225.7921268,-47688414.8545118,1776227.21201867,-207026826.754946,-1608586.09585325,-1608586.09585325,195186488.528338,-11840338.2266085,14232469.2055942,-5698426.2659001,36321054.9177836,44855097.8574777,44855097.8574777,33014759.6308691,-1134000,561000,141000,606000,174000,-92000,-92000,-811000,-811000,-811000,-156000,0,167000,0.22333,-0.04678,-0.07399,1.30394525585234,0.680799164574804,-0.14727,31.9744465931759,-0.579407389314445,0.568354641160562,-0.02969,-0.02969,0.40131,1.1741767366696,0.00437,0.78571045492681,0.694786270637062,-1873.75106841942,7268.65419200721
"2","2011_Q3",1.30671875,"Up",17608000,-12918000,4690000,-4159000,-4159000,531000,-425000,-411000,106000,106000,51000.0000000001,157000,157000,157000,157000,-7656731.17719048,-7656731.17719048,35562032.5310711,35562032.5310711,-5155308.1404399,-2265608.45293974,4365089.9841962,20484384.760501,9018374.11425338,24716120.9406802,12833817.6507406,9156227.3949526,33734495.0549336,54218879.8154346,-10621112.8960634,-19005207.4272559,3905613.60600934,-89570913.3774732,-601793.047926623,-601793.047926623,104044744.264169,14473830.8866957,14254234.6027971,-5656713.13295005,31147527.4588918,39745048.9287388,39745048.9287388,54218879.8154346,157000,567000,1999.99999999994,316000,1042000,-190000,-190000,-1934000,-1934000,-1934000,1098000,0,1173000,0.26636,0.03016,0.00892,0.622522627926168,0.324799582287402,7.47134,16.872608296588,0.297081305342777,0.446817320580281,0.00411,0.00411,0.46104,1.0405433683348,0.03071,0.374935227463405,0.350213135318531,-837.162029209709,3243.87760100361
"3","2011_Q4",1.0815873015873,"Down",17760000,-12247000,5513000,-4856000,-4856000,657000,-341000,-328000,316000,316000,379000,695000,695000,695000,695000,225422.940936507,225422.940936507,23901677.510357,23901677.510357,11853230.6198534,395797.182353419,2041696.66139873,36376128.2535003,8205124.70475113,20612706.9802267,12577939.2169135,5757742.4649842,28817831.6849779,65193959.9384782,3769962.36797887,-2604735.8090853,4590537.86866978,-20165304.4591577,-52597.6826422075,-52597.6826422075,48597248.0880563,28431943.6288986,14266078.2009324,-5628904.37765002,28124842.4862973,36762016.3095796,36762016.3095796,65193959.9384782,695000,575000,307000,-542000,1035000,-172000,-172000,863000,863000,863000,1232000,0,139000,0.31042,0.03699,0.03913,0.22488087597539,0.117069860762467,0.2,7.76209943219599,0.768377101780926,0.37737577352676,0.0182,0.0182,0.46502,0.962527789444934,0.00364,0.135235075821135,0.14281437843951,-249.03163973657,981.271673667869
"4","2012_Q1",1.36629032258065,"Up",20697000,-14222000,6475000,-4433000,-4433000,2042000,-332000,-327000,1710000,1710000,-307000,1403000,1403000,1403000,1403000,3077000,3077000,17640000,17640000,19986000,1478000,950000,42181000,7741000,18873000,12316000,4474000,26614000,68795000,9424000,4649000,4338000,12996000,165000,165000,20370000,33366000,14273000,-5615000,26771000,35429000,35429000,68795000,1403000,608000,416000,-314000,2113000,-283000,-283000,-563000,-563000,-563000,2650000,23777000,2360000,0.31285,0.09866,0.06779,0.0396,0.02039,1.68211,3.24569,0.94177,0.34562,0.03674,0.03613,0.54192,0.92766,0.06179,0.02363,0.03975,7.81132,10.13712
"5","2012_Q2",1.47095238095238,"Up",16203000,-12047000,4156000,-4298000,-4298000,-142000,-318000,-304000,-460000,-460000,293000,-167000,-167000,-167000,-167000,2972000,2972000,15178000,15178000,22096000,1588000,676000,41834000,7519000,18524000,12050000,4443000,26043000,67877000,9547000,5892000,3655000,21719000,177000,177000,10889000,32608000,14280000,-5615000,26604000,35269000,35269000,67877000,-167000,536000,43000,410000,822000,-34000,-34000,-105000,-105000,-105000,394000,22884000,477000,0.2565,-0.00876,-0.01031,-0.00474,-0.00245999999999999,-2.85629,1.92615,0.92455,0.33714,-0.00437,-0.00437,0.42425,0.92347,0.01249,-0.00286,0.00818,50.53807,-140.22535
"6","2012_Q3",1.54507936507937,"Up",17617000,-12722000,4895000,-4e+06,-4e+06,895000,-311000,-298000,584000,584000,-275000,309000,309000,309000,309000,2254000,2254000,14410000,14410000,21085000,1382000,761000,39131000,7432000,18595000,11783000,4820000,26027000,65158000,7468000,4400000,3068000,19640000,120000,120000,9939000,29579000,14281000,-5615000,26913000,35579000,35579000,65158000,309000,544000,36000,-537000,352000,-177000,-177000,-718000,-718000,-718000,1439000,21991000,1e+06,0.27786,0.0508,0.01754,0.00868,0.00474,3.23625,1.99241,0.83136,0.3375,0.00808999999999999,0.00802000000000001,0.46127,0.93158,0.02618,0.00536,0.01733,13.71577,22.05251
"7","2012_Q4",1.67758064516129,"Up",17236000,-12172000,5064000,-4375000,-4375000,689000,-302000,-287000,387000,387000,-84000,303000,303000,303000,303000,2997000,2997000,13737000,13737000,19806000,1467000,791000,38007000,7373000,18113000,11517000,4743000,25486000,63493000,6393000,3309000,3084000,18565000,120000,120000,9046000,27611000,14281000,-5615000,27216000,35882000,35882000,63493000,303000,558000,144000,850000,1855000,-219000,-219000,743000,743000,743000,1247000,21098000,1962000,0.2938,0.03997,0.01758,0.00844,0.00477,6.47525,2.04724,0.76949,0.33229,0.00793,0.00781,0.4513,0.93952,0.05137,0.00531,0.03436,14.51564,26.27141
"8","2013_Q1",1.86833333333333,"Up",19872000,-12835000,7037000,-4668000,-4668000,2369000,-327000,-260000,2042000,2042000,-201000,1841000,1841000,1841000,1841000,2979000,2979000,16408000,16408000,19448000,1614000,964000,40449000,7247000,17054000,11251000,4041000,24301000,64750000,6644000,3163000,3403000,8244000,126000,126000,18783000,27027000,14281000,-5615000,29057000,37723000,37723000,64750000,1841000,637000,498000,-1909000,1067000,-176000,-176000,-18000.0000000002,-18000.0000000002,-18000.0000000002,3006000,20257000,1122000,0.35412,0.11921,0.09264,0.0488,0.02843,0.60945,4.90648,0.71646,0.31285,0.0482,0.04732,0.52032,0.98772,0.02938,0.03168,0.01931,5.74784,7.29337
"9","2013_Q2",2.1609375,"Up",15216000,-11080000,4136000,-4535000,-4535000,-399000,-180000,-177000,-579000,-579000,145000,-434000,-434000,-434000,-434000,2327000,2327000,14549000,14549000,18698000,1783000,989000,37357000,7060000,17701000,11021000,4962000,24761000,62118000,6603000,3707000,2896000,8203000,126000,126000,16626000,24829000,14281000,-5615000,28623000,37289000,37289000,62118000,-434000,484000,37000,1483000,1570000,-65000,-65000,-652000,-652000,-652000,85000,18100000,1358000,0.27182,-0.02622,-0.02852,-0.01164,-0.00698999999999999,-3.12903,4.55407,0.66585,0.29138,-0.01136,-0.01136,0.39839,0.97631,0.03556,-0.00782000000000001,0.02446,185.56471,-39.53133
"10","2013_Q3",2.5296875,"Up",17212000,-12571000,4641000,-4287000,-4287000,354000,-145000,-141000,209000,209000,-74000,135000,135000,135000,135000,2377000,2377000,13888000,13888000,17909000,1930000,1045000,36104000,6963000,17960000,10792000,5498000,24923000,61027000,6593000,3712000,2881000,8193000,126000,126000,15726000,23919000,15657000,-7307000,28758000,37108000,37108000,61027000,135000,490000,54000,746000,1425000,-159000,-159000,50000.0000000002,50000.0000000002,50000.0000000002,844000,17200000,1505000,0.26964,0.02057,0.00783999999999999,0.00364,0.00221,11.14815,4.40669,0.64458,0.28184,0.00352,0.00352,0.44933,0.96873,0.03929,0.00248,0.02765,17.5628,41.87288
