"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",8.55765625,"Up",41502000,-22674000,18828000,-13668000,-10960000,-2708000,5160000,492000,492000,5652000,5652000,-284000,5368000,5368000,5368000,5368000,-243942145.658368,-243942145.658368,14152050.7464805,14152050.7464805,25252321.2381762,978802.374174478,-621381.322928926,-203558971.299536,31526291.321926,-17802360.5088667,-12128070.9684895,7464686.07312557,31905504.5445707,-3115090.32842207,13723930.8130594,-189835040.486477,23248115.0903061,21879798.5360795,1368316.55422663,20165096.9707331,20165096.9707331,43614689.8580768,6103030.65163918,10531119.3352359,-206660663.786642,-163045973.928565,54969905.9365533,-75239410.1168552,-6254161.2958356,-26789237.3165932,-26789066.557912,-189835040.486477,5368000,1926000,513000,3227000,11034000,-636000,-636000,-585000,-3486000,-4122000,-54000,-1148933.19920926,-30000,6882000,6882000,1051000,7933000,7086000,0,9961000,0.45366,0.12433,0.12934,-0.0158938984795645,-0.0167422311971727,1.85563,-2.92827257662214,-0.00434805782828207,-0.405535768571951,0.11627,0.11439,0.89893,2.44127979080035,0.21576,-0.00614905636669991,0.456775178774928,3.32575489193537,6.837257545826
"2","2011_Q1",12.7843548387097,"Up",51595000,-26724000,24871000,-15183000,-12437000,-2746000,9688000,-839000,-839000,8849000,8849000,594000,9443000,9443000,9443000,9443000,37349000,37349000,35800000,35800000,23811000,3180000,1295000,100140000,27669000,80991000,18275000,58978000,16924752.2722853,3738000,108660000,208800000,44525000,26556000,17969000,12916000,12916000,57665000,9961000,9961000,18016000,75681000,186275000,-57925000,4958000,133119000,133119000,208800000,9443000,2165000,-836000,2600000,13372000,-323000,-323000,-264000,-10109000,-10432000,-57000,43000,938000,3878000,3878000,-340000,3538000,11853000,8279000,13536000,0.48204,0.18777,0.18302,0.07094,0.04523,1.43344,1.73658,0.56852,0.03965,0.20454,0.20122,1.11755,2.88336,0.29319,0.06239,0.08943,-2.45254,-3.00062
"3","2011_Q2",13.8788888888889,"Up",47896000,-24699000,23197000,-15786000,-12964000,-2822000,7411000,296000,296000,7707000,7707000,-885000,6822000,6822000,6822000,6822000,112238631.886123,112238631.886123,42625066.4178398,42625066.4178398,25053059.5872746,4535232.54194184,2249293.77430964,184451990.433179,26631486.2260247,116506203.502956,30868440.3228298,76072021.3089581,8621917.42409512,5186030.10947402,143137689.72898,327589680.162159,51473628.3032313,27524483.8213068,23949144.4819245,11098801.0097556,11098801.0097556,62781020.0473077,10825239.7827869,10263210.221588,59580387.9288807,122361407.976188,242911031.354482,-46104196.6277149,8595387.09861187,205228329.105531,205228272.185971,327589680.162159,6822000,2410000,1197000,-10140000,289000,-541000,-541000,-475000,-22125000,-22666000,-55000,-1000,55461000,33084000,33084000,395000,33479000,9821000,0,25000,0.48432,0.15473,0.14243,0.0852912994931882,0.0586207437323909,0.00366,2.97765835887405,0.577335185942761,0.115686922857317,0.09557,0.0935,0.671,2.99917340306655,0.00035,0.0749405187889,-0.028875892924976,-5.80989163064512,-8.02601501527533
"4","2011_Q3",12.59578125,"Down",55129000,-29926000,25203000,-17202000,-14159000,-3043000,8001000,-107000,-107000,7894000,7894000,5479000,13373000,13373000,13373000,13373000,79009000,79009000,42157000,42157000,27388000,5320000,2539000,153874000,27432000,123285000,35405000,78823000,4985000,4072000,150717000,304591000,50072000,26669000,23403000,12532000,12532000,62781000,10638000,10638000,18258000,81039000,253916000,-37756000,7585000,223552000,223552000,304591000,13373000,2590000,-4877000,-5143000,5943000,-648000,-648000,-503000,-5850000,-6498000,-56999.9999999981,-206000,8555000.00000001,8e+06,8e+06,181000,8181000,10591000,7797000,-679000,0.45716,0.14513,0.24258,0.05982,0.0439,-0.0507700000000002,2.45096,0.36251,0.0256,0.1772,0.17357,0.73048,2.96215,-0.009,0.05526,-0.00280999999999999,-6.72382,-8.90039
"5","2011_Q4",10.632380952381,"Down",57538000,-29774000,27764000,-18973000,-15101000,-3872000,8791000,-654000,-654000,8137000,8137000,-917000,7220000,7220000,7220000,7220000,72617000,72617000,42576000,42576000,27841000,5623000,2434000,148657000,28704000,129569000,39658000,82076000,4002000,3833000,158273000,306930000,45022000,25457000,19565000,14372000,14372000,59549000,10233000,10233000,17818000,77367000,255606000,-30536000,4708000,229563000,229563000,306930000,7220000,2402000,1685000,1244000,12551000,-1411000,-1411000,-1317000,-16855000,-18266000,-60000,18000.0000000001,55000,-5660000,-5660000,-732000,-6392000,11193000,7740000,11943000,0.48253,0.15279,0.12548,0.03145,0.02352,1.65416,2.49638,0.33702,0.02522,0.09538,0.09361,0.7601,3.03264,0.15777,0.02917,0.04825,-5.79621,-7.37993
"6","2012_Q1",13.7722580645161,"Up",69860000,-36996000,32864000,-22165000,-17571000,-4594000,10699000,-1991000,-1991000,8708000,8708000,-703000.000000001,8005000,8005000,8005000,8005000,179120000,179120000,51195000,51195000,25283000,5782000,2241000,261380000,29594000,1.72e+08,54040000,107651000,3195000,7114000,201594000,462974000,42727000,25911000,16816000,14658000,14658000,57548000,11922000,8266000,150638000,208186000,274593000,-22531000,2940000,254788000,254788000,462974000,8005000,3691000,1888000,-4707000,8877000,-432000,-606000,-575000,-47847000,-48279000,148911000,-3393000,145904000,106502000,106502000,1000,106503000,14390000,138879000,9954000,0.47043,0.15315,0.11459,0.03142,0.01729,1.24347,4.54195,0.81709,0.29997,0.10541,0.10369,0.91993,3.3551,0.13108,0.01974,0.02454,-2.79646,-3.76119
"7","2012_Q2",19.2287301587302,"Up",77920000,-39067000,38853000,-28883000,-23950000,-4933000,9970000,-2682000,-2682000,7288000,7288000,-1100000,6188000,6188000,6188000,6188000,60027000,60027000,61143000,61143000,34940000,8486000,2536000,164596000,33817000,308769000,96261000,204365000,552000,7591000,342586000,507182000,56284000,33113000,23171000,19188000,19188000,75632000,27917000,6950000,167433000,243065000,276561000,-16343000,4124000,264117000,264117000,507182000,6188000,5391000,3104000,1144000,15827000,-986000,-986000,-755000,-134918000,-135904000,-36000,-2493712.77619313,746000,-119331000,-119331000,238000,-119093000,15361000,139676000,16619000,0.49863,0.12795,0.07941,0.02343,0.0122,2.68568,2.17627,0.92029,0.2754,0.08108,0.07975,1.021,3.46079,0.21776,0.01433,0.0385,5.18514,7.98887
"8","2012_Q3",25.2574603174603,"Up",83610000,-40642000,42968000,-28969000,-24048000,-4921000,13999000,-3740000,-3740000,10259000,10259000,-1935000,8324000,8324000,8324000,8324000,158501000,158501000,63901000,63901000,39994000,10191000,2766000,272587000,35705000,324046000,99156000,217275000,460000,7155000,359751000,632338000,53479000,34225000,19254000,19444000,19444000,73080000,34853000,11226000,175185000,248265000,391199000,-8019000,1121000,384073000,384073000,632338000,8324000,5287000,3069000,-11129000,5551000,-955000,-955000,-797000,-12593000,-13548000,-44999.9999999851,1000,106983000,98986000.0000001,98986000.0000001,-512000,98474000,19286000,140489000,9137000,0.51391,0.16743,0.09956,0.02167,0.01316,1.09767,3.72998,0.6464,0.22217,0.10835,0.10657,1.08829,4.99919,0.11893,0.01488,0.01633,-0.933939999999998,-1.28666
"9","2012_Q4",28.5203225806452,"Up",90532000,-43653000,46879000,-28443000,-22900000,-5543000,18436000,-2167000,-2167000,16269000,16269000,-2752000,13517000,13517000,13517000,13517000,183931000,183931000,69750000,69750000,41281000,6552000,2570000,301514000,34187000,324817000,96902000,220465000,636000,6814000,359004000,660518000,60366000,26730000,33636000,18690000,18690000,79215000,33758000,11667000,164813000,244028000,408088000,5498000,3132000,416490000,416490000,660518000,13517000,5126000,6330000,-2340000,22633000,-496000,-496000,-350000,-767000,-1263000,-40000,-1000,3622000,24992000,24992000,438000,25430000,23562000,131214000,23478000,0.51782,0.20364,0.14931,0.03245,0.02046,1.73692,3.80627,0.58592,0.19865,0.161,0.15915,1.0783,4.96069,0.27964,0.02325,0.04038,-2.23737,-2.85946
"10","2013_Q1",37.8515,"Up",101571000,-49075000,52496000,-34330000,-26524000,-7806000,18166000,-8703000,-8703000,9463000,9463000,1449000,10912000,10912000,10912000,10912000,155859000,155859000,79869000,79869000,41820000,9890000,4010000,287438000,34353000,355651000,108377000,240314000,107000,6853000,390004000,677442000,56884000,32095000,24789000,18095000,18095000,75153000,33982000,10840000,121956000,197109000,460297000,16410000,3866000,480333000,480333000,677442000,10912000,5425000,5216000,-14034000,7519000,-1516000,-1516000,-1322000,-35423000,-36939000,-42000.0000000019,1514000,1289000.00000001,-28131000,-28131000,59000,-28072000,23591000,88148000,6592000,0.51684,0.17885,0.10743,0.02272,0.01611,0.60411,3.8247,0.41036,0.13012,0.12664,0.1265,1.17878,5.57451,0.0765,0.01811,0.01094,-2.8702,-3.72735
