"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.76666666666667,"Up",1.5683e+10,-9.272e+09,6.411e+09,-1.686e+09,-1.288e+09,-3.98e+08,4.725e+09,3.3e+07,3.3e+07,4.758e+09,4.758e+09,-1.38e+09,3.378e+09,3.378e+09,3.378e+09,3.378e+09,2.4796e+10,7.609e+09,1.7187e+10,3.09e+09,3.09e+09,5.76e+08,4.87e+09,3.69e+09,3.3332e+10,3.115e+09,1.5024e+10,2.455e+09,1.961e+09,2.0594e+10,5.3926e+10,1.0507e+10,6.511e+09,2.59e+09,2.59e+09,1.3097e+10,5.061e+09,4.139e+09,5.061e+09,1.8158e+10,8.962e+09,2.6695e+10,1.11e+08,3.5768e+10,3.5768e+10,5.3926e+10,3.378e+09,2.09e+08,6.3e+08,1.564e+09,5.781e+09,-3.81e+08,-3.81e+08,-3.507e+09,9.415e+09,-1.2922e+10,236995450.797406,-7e+07,-3.958e+09,3.74e+08,1.49e+08,5.23e+08,2.346e+09,2.346e+09,2.346e+09,4.934e+09,0,7.497e+09,0.40879,0.30128,0.21539,0.09444,0.06264,2.21936,2.54501,0.50766,0,0.13352,0.13116,0.6199,1.4138,0.29633,7,0.08274,0.18362,-5.02554,-5.24783
"2","2010_Q3",7.92515625,"Up",1.3499e+10,-7.874e+09,5.625e+09,-1.646e+09,-1.22e+09,-4.26e+08,3.979e+09,5e+07,5e+07,4.029e+09,4.029e+09,-9.55e+08,3.074e+09,3.074e+09,3.074e+09,3.074e+09,2.3155e+10,1.0018e+10,1.3137e+10,2.886e+09,2.886e+09,6.38e+08,5.657e+09,4.515e+09,3.2336e+10,3.504e+09,1.8549e+10,2.668e+09,1.925e+09,2.4721e+10,5.7057e+10,9.687e+09,5.666e+09,2.542e+09,2.542e+09,1.2229e+10,5.48e+09,4.539e+09,5.48e+09,1.7709e+10,9.553e+09,2.967e+10,1.25e+08,3.9348e+10,3.9348e+10,5.7057e+10,3.074e+09,2.16e+08,6.99e+08,-1.659e+09,2.33e+09,-3.01e+08,-3.01e+08,4.63e+08,1.2602e+10,-1.2139e+10,-3.25e+08,8e+07,-8.3e+07,1.6e+08,2e+06,1.62e+08,2.409e+09,2.409e+09,2.409e+09,4.195e+09,0,3.19e+09,0.4167,0.29476,0.22772,0.07812,0.05388,1.03774,2.64421,0.45006,0,0.12097,0.11896,0.53122,1.54844,0.12553,6,0.06857,0.07116,-5.51967,-5.8193
"3","2010_Q4",9.4978125,"Up",1.57e+10,-9.564e+09,6.136e+09,-1.902e+09,-1.438e+09,-4.64e+08,4.234e+09,5.8e+07,5.8e+07,4.292e+09,4.292e+09,-1.039e+09,3.253e+09,3.253e+09,3.253e+09,3.253e+09,2.4288e+10,9.705e+09,1.4583e+10,3.447e+09,3.447e+09,9.42e+08,7.356e+09,6.14e+09,3.6033e+10,3.99e+09,2.1551e+10,3.151e+09,2.119e+09,2.8692e+10,6.4725e+10,1.2921e+10,8.469e+09,2.691e+09,2.691e+09,1.5612e+10,6.002e+09,4.981e+09,6.002e+09,2.1614e+10,1.0133e+10,3.287e+10,1.08e+08,4.3111e+10,4.3111e+10,6.4725e+10,3.253e+09,2.73e+08,6.24e+08,6.51e+08,4.801e+09,-6.26e+08,-6.26e+08,-4.468e+09,1.1789e+10,-1.6257e+10,-2.9e+08,-4.6e+07,-5.43e+09,1.99e+08,1.17e+08,3.16e+08,-3.13e+08,-3.13e+08,-3.13e+08,4.507e+09,0,5.571e+09,0.39083,0.26968,0.2072,0.07546,0.05026,1.71257,2.30803,0.50136,0,0.12736,0.12528,0.61469,1.68788,0.21812,6,0.06624,0.11343,-5.38895,-5.73642
"4","2011_Q1",10.54,"Up",2.0343e+10,-1.2831e+10,7.512e+09,-2.065e+09,-1.571e+09,-4.94e+08,5.447e+09,1.4e+07,1.4e+07,5.461e+09,5.461e+09,-1.153e+09,4.308e+09,4.308e+09,4.308e+09,4.308e+09,2.562e+10,1.1261e+10,1.4359e+10,5.51e+09,5.51e+09,1.051e+09,9.497e+09,7.861e+09,4.1678e+10,4.768e+09,2.5391e+10,3.346e+09,2.263e+09,3.3505e+10,7.5183e+10,1.7738e+10,1.2015e+10,2.984e+09,2.984e+09,2.0722e+10,6.67e+09,5.531e+09,6.67e+09,2.7392e+10,1.0668e+10,3.7169e+10,-4.6e+07,4.7791e+10,4.7791e+10,7.5183e+10,4.308e+09,3.29e+08,3.66e+08,6.8e+08,5.683e+09,-8.13e+08,-8.13e+08,-3.563e+09,1.2912e+10,-1.6475e+10,-2.3e+07,1.6e+07,-4.383e+09,1.79e+08,7.7e+07,2.56e+08,1.556e+09,1.556e+09,1.556e+09,5.776e+09,9.09494701772928e-13,6.796e+09,0.36927,0.26776,0.21177,0.09014,0.0573,1.57753,2.01129,0.57316,0,0.16823,0.16565,0.79441,1.86628,0.26539,5,0.0791,0.12479,-4.4356,-4.70351
"5","2011_Q2",10.2938095238095,"Down",2.6741e+10,-1.6443e+10,1.0298e+10,-2.471e+09,-1.896e+09,-5.75e+08,7.827e+09,1.36e+08,1.36e+08,7.963e+09,7.963e+09,-1.959e+09,6.004e+09,6.004e+09,6.004e+09,6.004e+09,2.6977e+10,1.0734e+10,1.6243e+10,6.027e+09,6.027e+09,8.85e+08,1.0038e+10,8.314e+09,4.3927e+10,5.868e+09,3.273e+10,4.217e+09,2.954e+09,4.2815e+10,8.6742e+10,2.0254e+10,1.4301e+10,3.541e+09,3.541e+09,2.3795e+10,8.281e+09,7.065e+09,8.281e+09,3.2076e+10,1.1502e+10,4.305e+10,1.14e+08,5.4666e+10,5.4666e+10,8.6742e+10,6.004e+09,3.56e+08,1.122e+09,2.291e+09,9.773e+09,-1.263e+09,-1.263e+09,-9.443e+09,1.0132e+10,-1.9575e+10,24042054.3561603,-2.3e+07,-1.0729e+10,2.08e+08,2.21e+08,4.29e+08,-5.27e+08,-5.27e+08,-5.27e+08,8.183e+09,0,1.117e+10,0.3851,0.2927,0.22452,0.10983,0.06922,1.86043,1.84606,0.58676,0,0.23325,0.22979,1.03888,2.12376,0.43395,5,0.09538,0.17745,-3.29671,-3.44666
"6","2011_Q3",11.6021875,"Up",2.4667e+10,-1.4449e+10,1.0218e+10,-2.344e+09,-1.763e+09,-5.81e+08,7.874e+09,2.6e+07,2.6e+07,7.9e+09,7.9e+09,-1.913e+09,5.987e+09,5.987e+09,5.987e+09,5.987e+09,2.9234e+10,1.5978e+10,1.3256e+10,5.798e+09,5.798e+09,9.3e+08,1.1035e+10,9.352e+09,4.6997e+10,6.241e+09,3.6533e+10,5.133e+09,3.885e+09,4.7907e+10,9.4904e+10,2.0736e+10,1.3714e+10,3.591e+09,3.591e+09,2.4327e+10,9.1e+09,7.87e+09,9.1e+09,3.3427e+10,1.2326e+10,4.9025e+10,1.26e+08,6.1477e+10,6.1477e+10,9.4904e+10,5.987e+09,4.34e+08,1.027e+09,-1.229e+09,6.219e+09,-6.56e+08,-6.56e+08,-901000000.000002,2.1784e+10,-2.2685e+10,0,3.5e+07,-1.522e+09,2.86e+08,2.61e+08,5.47e+08,5.244e+09,5.244e+09,5.244e+09,8.308e+09,-1.45519152283669e-11,8.336e+09,0.41424,0.31921,0.24271,0.09739,0.06308,1.39235,1.93189,0.54373,-5.29395592033938e-23,0.23161,0.22846,0.95425,2.37827,0.32248,5,0.08483,0.11811,-3.51878,-3.71273
"7","2011_Q4",11.9415873015873,"Up",2.8571e+10,-1.6649e+10,1.1922e+10,-2.543e+09,-1.915e+09,-6.28e+08,9.379e+09,1.72e+08,1.72e+08,9.551e+09,9.551e+09,-2.243e+09,7.308e+09,7.308e+09,7.308e+09,7.308e+09,2.8395e+10,1.2091e+10,1.6304e+10,6.102e+09,6.102e+09,8.89e+08,1.1512e+10,9.62e+09,4.6898e+10,6.749e+09,4.7761e+10,5.35e+09,3.44e+09,5.986e+10,1.06758e+11,2.2867e+10,1.527e+10,3.992e+09,3.992e+09,2.6859e+10,1.0556e+10,9.149e+09,1.0556e+10,3.7415e+10,1.2715e+10,5.6239e+10,3.89e+08,6.9343e+10,6.9343e+10,1.06758e+11,7.308e+09,4.81e+08,9.53e+08,2.366e+09,1.1108e+10,-9.62e+08,-9.62e+08,-1.4092e+10,1.8781e+10,-3.2873e+10,0,2.2e+07,-1.5032e+10,8.3e+07,-4.6e+07,3.7e+07,-3.887e+09,-3.887e+09,-3.887e+09,9.86e+09,0,1.3507e+10,0.41728,0.32827,0.25578,0.10539,0.06845,1.84825,1.74608,0.53956,0,0.28178,0.27826,1.10163,2.67369,0.5208,6,0.09147,0.16905,-2.87982,-3.02751
"8","2012_Q1",15.3570967741935,"Up",2.827e+10,-1.689e+10,1.138e+10,-2.67e+09,-2.025e+09,-6.45e+08,8.71e+09,8.1e+07,8.1e+07,8.791e+09,8.791e+09,-2.168e+09,6.623e+09,6.623e+09,6.623e+09,6.623e+09,2.5952e+10,9.815e+09,1.6137e+10,5.369e+09,5.369e+09,7.76e+08,1.2891e+10,1.0877e+10,4.4988e+10,7.777e+09,5.5618e+10,7.988e+09,3.556e+09,7.1383e+10,1.16371e+11,2.3879e+10,1.4632e+10,4.091e+09,4.091e+09,2.797e+10,1.1786e+10,1.01e+10,1.1786e+10,3.9756e+10,1.3331e+10,6.2841e+10,4.43e+08,7.6615e+10,7.6615e+10,1.16371e+11,6.623e+09,5.43e+08,9.34e+08,2.329e+09,1.0429e+10,-4.571e+09,-4.571e+09,-8.028e+09,1.9156e+10,-2.7184e+10,-2.44e+08,-2.93e+08,-1.3136e+10,2.54e+08,1.77e+08,4.31e+08,-2.276e+09,-2.276e+09,-2.276e+09,9.253e+09,2.3283064365387e-10,9.179e+09,0.40255,0.3081,0.23428,0.08645,0.05691,1.38593,1.60844,0.51891,-8.470329472543e-22,0.25481,0.25176,1.08765,2.94765,0.35315,4,0.07492,0.10383,-2.80471,-2.97956
"9","2012_Q2",17.7177777777778,"Up",4.6333e+10,-2.563e+10,2.0703e+10,-3.363e+09,-2.605e+09,-7.58e+08,1.734e+10,1.37e+08,1.37e+08,1.7477e+10,1.7477e+10,-4.413e+09,1.3064e+10,1.3064e+10,1.3064e+10,1.3064e+10,3.0156e+10,1.031e+10,1.9846e+10,8.93e+09,8.93e+09,1.236e+09,1.4449e+10,1.2512e+10,5.4771e+10,7.816e+09,6.7445e+10,8.649e+09,4.281e+09,8.391e+10,1.38681e+11,2.9721e+10,1.8221e+10,4.886e+09,4.886e+09,3.4607e+10,1.402e+10,1.1833e+10,1.402e+10,4.8627e+10,1.3961e+10,7.5709e+10,3.84e+08,9.0054e+10,9.0054e+10,1.38681e+11,1.3064e+10,7.21e+08,1.876e+09,1.893e+09,1.7554e+10,-1.429e+09,-1.429e+09,-1.5665e+10,2.451e+10,-4.0175e+10,0,-3.4e+07,-1.7128e+10,9.1e+07,-2.2e+07,6.9e+07,4.95e+08,4.95e+08,4.95e+08,1.8061e+10,0,2.2938e+10,0.44683,0.37425,0.28196,0.14507,0.0942,1.75582,1.58266,0.53998,0,0.50113,0.49552,1.77731,3.45443,0.87989,6,0.12553,0.2204,-1.66967,-1.7391
"10","2012_Q3",19.5803174603175,"Up",3.9186e+10,-2.0622e+10,1.8564e+10,-3.18e+09,-2.339e+09,-8.41e+08,1.5384e+10,1.48e+08,1.48e+08,1.5532e+10,1.5532e+10,-3.91e+09,1.1622e+10,1.1622e+10,1.1622e+10,1.1622e+10,2.8538e+10,1.0121e+10,1.8417e+10,7.042e+09,7.042e+09,1.102e+09,1.403e+10,1.1777e+10,5.0712e+10,8.847e+09,8.1638e+10,9.737e+09,4.992e+09,1.00222e+11,1.50934e+11,2.6789e+10,1.7011e+10,5.247e+09,5.247e+09,3.2036e+10,1.64e+10,1.3954e+10,1.64e+10,4.8436e+10,1.485e+10,8.7124e+10,5.24e+08,1.02498e+11,1.02498e+11,1.50934e+11,1.1622e+10,7.4e+08,1.883e+09,-2.68e+08,1.3977e+10,-1.509e+09,-1.509e+09,-1.2603e+10,3.2244e+10,-4.4847e+10,-3.5e+08,-13999999.9999999,-1.4476e+10,2.86e+08,2.4e+07,3.1e+08,-1.89e+08,-1.89e+08,-1.89e+08,1.6124e+10,3.72529029846191e-09,1.8257e+10,0.47374,0.39259,0.29659,0.11339,0.077,1.5709,1.58297,0.47256,0,0.44465,0.43932,1.49921,3.92146,0.69849,5,0.09775,0.15355,-1.76991,-1.85504
