"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital"
"1","2012_Q4",6.91209677419355,"Down",74353000,-70396000,-70396000,3957000,-7294000,-5173000,-1239000,17998144.7073353,-3337000,-731000,-144000,232000,-819000,-4068000,-4068000,0,-4068000,-4068000,-3948000,-3948000,-104255650.944695,-104255650.944695,3519980.16362481,-2103308.22352825,-59604695.0686942,-24730470.1386684,8555880.26466238,13219342.2457538,-11398556.5977744,-71003251.6664687,1215522.79160968,-16495190.2101673,-66816502.3073386,-66816502.3073386,-66328007.4829803,968133.84002951,72051713.5388008,-616857.606458413,-66944865.0894388,137212988.604962,-125867489.987563,11345505.829569,-4058386.57702988,-71003251.6664687,-3948000,1239000,-183000,10583000,7691000,-2489000,-1158000,-5647000,-7650000,0,-7650000,-5606000,-5606000,-5606000,-2098000,0,5996000,0.05322,-0.04488,-0.0531,3.70283084644596,-0.67874187518054,-1.51874,0.779545909079552,-24.7898058256409,0.0172276199615251,-0.19706,-0.19706,3.71134,0.575902172252028,0.29929,-1.76517185467391
"2","2013_Q1",9.08166666666667,"Up",-128768000,118622000,118622000,-10146000,-1726000,-1770000,2541000,-4309000,-11872000,3810000,555000,413000.000000001,2842000,-8062000,-8062000,-14000.0000000001,-8076000,-8076000,-5463000,-5463000,11025000,11025000,2888000,2888000,25291000,44611000,5847000,3997000,50458000,75749000,14266000,6615000,34572000,34572000,49397000,4184000,0,6489000,55886000,63724000,-79765000,-16041000,19863000,75749000,-5463000,-2541000,-2756000,191000,-10569000,5486000,-432000,9359000,4147000,606000,4752999.99999999,3543000,3543000,3543000,-14413000,2864000,-8722000,0.07879,0.0921999999999999,0.04243,-0.27503,-0.07212,1.59656,0.51199,2.81357,0.03781,-0.27551,-0.27551,-6.49392,-0.80897,-0.43986,-0.203
"3","2013_Q4",17.6528125,"Up",74593000,-55460000,-55460000,19133000,-11364000,-8955000,-1433000,-10121881.5691118,7769000,84000,-194000,547000,-269000,7853000,7853000,0,7853000,7853000,1591000,1591000,37087000,37087000,3011000,3011000,56450000,43378000,6587000,4093000,49965000,106415000,17347000,11015000,53802000,53802000,71719000,18916000,0,20793000,92512000,65489000,-83521000,-18032000,13903000,106415000,1591000,1433000,6396000,4744000,14164000,-1263000,1503000,240000,-140000,-11863000,-11986000,2418000,2418000,2418000,9202000,2447000,12683000,0.2565,0.10415,0.02133,0.11444,0.01495,7.97172,0.7871,6.6541,0.02299,0.0798,0.07771,3.74144,-0.90445,0.63615,0.04511
"4","2014_Q1",19.5331147540984,"Up",-188551000,149054000,149054000,-39497000,-1397000,4048000,2554000,-6662000,-40894000,17857000,-404000,14358000,3903000,-23037000,-23037000,-463000,-23500000,-23500000,-12231000,-12231000,12943000,12943000,4011000,681000,55355000,5799000,9004000,9004000,18169000,73524000,14909000,5186000,27650000,27650000,42559000,37132000,37132000,37132000,79691000,106108000,-112275000,-6167000,-6167000,73524000,-12231000,-2554000,-23500000,2097000,-36188000,838000.000000001,13205000,14148000,3417000,12503000,47219000,25179000,25179000,25179000,-43448000,0,-40050000,0.20948,0.21689,0.06487,1.9833,-0.16635,3.27447,1.30066,-12.92217,0,-0.59201,-0.60778,-9.12638,-0.2985,-1.93853,-0.39499
"5","2014_Q2",16.8190476190476,"Down",983000,-451000,-451000,532000,-8102000,-5393000,-438000,-1992000,-7570000,7e+06,-766000,6625000,1141000,-570000,-570000,-13000,-583000,-583000,-583000,-583000,-2095100.02522075,-2095100.02522075,6759113.52560609,-249257.391547932,55312402.569153,-14303371.4199944,9984561.63157658,11371120.7561203,4322771.64894725,59635174.2181003,13975218.9650307,2364433.50211132,12909906.0084549,12909906.0084549,26919940.1785293,45254754.5874032,56604058.7008098,47187449.9586917,74107390.137221,128528082.702468,-126244078.16581,2283980.87172665,-14472215.9191207,59635174.2181003,-583000,438000,-4365000,-3871000,-8381000,-516000,6649000,2481000,0,0,243000,-5657000,-5657000,-5657000,-7132000,0,-11506000,0.5412,-7.70092,-0.59308,-0.612808105525813,-0.205325425188853,19.73585,1.57745978270772,-76.4474774471159,0.0190203407512458,-0.02716,-0.02716,0.0458,0.125771591048034,-0.53604,-0.511670851851246
"6","2014_Q3",16.445625,"Down",3174999.99999997,-1753999.99999997,-1753999.99999997,1421000.00000001,-9841000,-6016000,-456000,-3053000,-8420000,9441000,-1200000,9791000,850000,1021000,1021000,-29000,992000,992000,991999.999999998,991999.999999998,-992918.150963932,-992918.150963932,10197281.3137201,371084.620579808,59178514.2480334,-13568153.9946542,9870218.08119777,11189468.7182848,10791847.8338644,69970362.0818978,14943184.7608298,3540354.02371262,14823954.228205,14823954.228205,30360879.2516076,43987579.659786,54802026.843694,50767055.1468235,81127934.3984311,128884695.114024,-124075685.090171,4808957.73562461,-11157572.3165333,69970362.0818978,991999.999999998,456000,-8886000,-3109000,-10547000,-365000,9733000,9241000,0,-3999.99999999814,-4000.00000000745,-1310000,-1310000,-1310000,-7964000,0,-11409000,0.44756,-2.65197,0.31244,-5.74692126173322,-0.102081529941085,-11.50101,1.58265803417325,-150.685330264104,0.0711325052789432,0.04619,0.0450200000000001,0.147829999999999,0.245359001172799,-0.53122,-0.286812053614182
"7","2014_Q4",15.5225,"Down",9072000,-6512000,-6512000,2560000,-12838000,-7866000,-470000,-4226000,-10278000,6692000,-1175000,5603000,2264000,-3586000,-3586000,-113000,-3699000,-3699000,-3699000,-3699000,7989972.79877485,7989972.79877485,12703058.4449741,1609884.32241764,60901368.802897,-3397109.57198692,10013265.4902201,10605582.3213069,26224750.1018493,87126118.9047464,16272058.176214,6121097.53345762,23552775.3338526,23552775.3338526,41050378.6988821,38211614.9022759,43083981.5647312,50055882.7615436,91106261.4604257,118873709.968568,-115660199.469446,3213455.73171026,-3980142.55567931,87126118.9047464,-3699000,470000,-3374000,-5300000,-11903000,-337000,5431000,3741000,0,-1294000,-1294000,-9456000,-9456000,-9456000,-9808000,0,-15332000,0.28219,-1.13294,-0.40774,-9.18929628707403,0.0230956302772252,4.1449,1.41024476855215,-186.66902294904,0.130128417167169,-0.17176,-0.17176,0.42125,0.159626910711165,-0.71192,0.00705277142997363
"8","2015_Q1",13.1259016393443,"Down",3693000,-2903000,-2903000,790000,-16336000,-7558000,-501000,-7627000,-15546000,20364000,-2510000,20693000,2181000,4818000,4818000,-141000,4677000,4677000,4677000,4677000,16594000,16594000,12654000,2535000,54429000,4808000.00000003,11766000,11766000,39270000,93699000,16421000,7514000.00000001,29257000,29257000,47157000,32808000,32808000,47239000,94396000,110191000,-110888000,-697000,-697000,93699000,4677000,501000,-16272000,1764000,-9330000,-319000,21569000,17185000,-238000,-272000,-510000,7345000,7345000,7345000,-15045000,15910000,-13459000,0.21392,-4.20959,1.26645,-6.71019,0.04992,-2.8777,1.15421,-135.43185,0.1698,0.21515,0.2009,0.16989,-0.0320600000000002,-0.61915,0.0973900000000005
"9","2015_Q2",11.101746031746,"Down",21757000,-15715000,-15715000,6042000,-12940000,-6793000,-531000,-4366000,-6898000,810000,-1775000,314000,2271000,-6088000,-6088000,-44000,-6132000,-6132000,-6132000,-6132000,16999000,16999000,11246000,2582000,39983000,4398000,15110000,15110000,42886000,82869000,16493000,7398000,26406000,26406000,44398000,30901000,30901000,44561000,88959000,110930000,-117020000,-6090000,-6090000,82869000,-6132000,531000,1181000,-3788000,-8208000,-111000,-1600000,-4303000,-717000,-215000,-932000,-13443000,-13443000,-13443000,-6367000,15159000,-10222000,0.2777,-0.31705,-0.28184,1.0069,-0.074,1.66699,0.90056,-14.60739,0.18293,-0.28263,-0.28263,1.00281,-0.2807,-0.47115,-0.15342
"10","2015_Q3",7.4296875,"Down",14895000,-14002000,-14002000,893000,-18670000,-11249000,-573000,-4988000,-17777000,5393000,-1776000,4860000,2309000,-12384000,-12384000,-63000,-12447000,-12447000,-12447000,-12447000,9218000,9218000,13731000,2709000,33362000,4076000,15709000,15709000,43135000,76497000,21824000,10227000,24578000,24578000,48014000,29363000,29363000,43079000,91093000,114871000,-129467000,-14596000,-14596000,76497000,-12447000,573000,-93000,6387000,-5580000,-269000,4630000,4599000,-297000,-47000,-344000,-1325000,-1325000,-1325000,-17204000,15328000,-11023000,0.05995,-1.19349,-0.83565,0.85277,-0.16271,0.885590000000001,0.69484,-6.24096,0.20037,-0.5732,-0.5732,0.68593,-0.67216,-0.50762,-0.41359
"11","2015_Q4",4.19046875,"Down",12885000,-10610000,-10610000,2275000,-12265000,-5695000,-528000,-4019000,-9990000,1380000,-1776000,-41000,3197000,-8610000,-8610000,-44000,-8654000,-8654000,-8654000,-8654000,9196000,9196000,8678000,3358000,26459000,3411000,13777000,13777000,38846000,65305000,21063000,8929000,24944000,24944000,47675000,26254000,26254000,40276000,87951000,115475000,-138121000,-22646000,-22646000,65305000,-8654000,528000,5754000,2520000,148000,-57000,-9e+05,-1810000,-152000,-14000,-166000,-1828000,-1828000,-1828000,-9462000,15690000,-6955000,0.17656,-0.77532,-0.67163,0.38214,-0.13252,0.80367,0.55499,-3.88373,0.24026,-0.39904,-0.39904,0.59413,-1.04422,-0.3207,-0.44844
"12","2016_Q1",4.23213114754098,"Up",13202000,-7225000,-7225000,5977000,-13112000,-5956000,-387000,-6540000,-7135000,4096000,-3051000,3788000,3359000,-3039000,-3039000,131000,-2908000,-2908000,-2908000,-2908000,8361000,8361000,7089000,2306000,24715000,2040000,13676000,13676000,36060000,60775000,18476000,6174000,17103000,17103000,50092000,22149000,22149000,35661000,85753000,116051000,-141029000,-24978000,-24978000,60775000,-2908000,387000,127000.000000002,-13835000,-16229000,872000,6021000,5848000,11471000,-5.82076609134674e-11,11471000,1090000,1090000,1090000,-6748000,28025000,-19842000,0.45273,-0.54045,-0.22027,0.11642,-0.04785,6.82325,0.49339,-3.43314,0.46113,-0.13222,-0.13222,0.60025,-1.13567,-0.90216,-0.11542
"13","2016_Q2",5.51609375,"Up",22357000,-17311000,-17311000,5046000,-8357000,-4547000,-231000,-3377000,-3311000,7740000,-1964000,5577000,4127000,4429000,4429000,-53000,4376000,4376000,4376000,4376000,7354000,7354000,4719000,1810000,17542000,1894000,14168000,14168000,24041000,41583000,16742000,5923000,12188000,12188000,39851000,21793000,21793000,21793000,61644000,116592000,-136653000,-20061000,-20061000,41583000,4376000,231000,-2438000,-4027000,-1858000,-1e+05,336000,1786000,-2996000,-663000,-3659000,-3731000,-3731000,-3731000,-3080000,10921000,-7154000,0.2257,-0.1481,0.19573,-0.21813,0.10524,-1.63483,0.44019,-3.07283,0.26263,0.20028,0.19732,1.02325,-0.91817,-0.32743,0.34585
"14","2016_Q3",5.5590625,"Up",8929000,-5767000,-5767000,3162000,-7796000,-5304000,-223000,-2614000,-4634000,12593000,-1573000,13754000,412000,7959000,7959000,-99000.0000000009,7860000,7860000,7860000,7860000,8950000,8950000,7948000,1781000,19119000,1218000,10414000,10414000,17489000,36608000,18146000,3263000,12124000,12124000,30270000,16829000,16829000,16829000,47099000,118302000,-128793000,-10491000,-10491000,36608000,7860000,223000,-10616000,-4454000,-6987000,-11000.0000000001,14875000,14864000,-11500000,-229000,-11729000,-3852000,-3852000,-3852000,-4411000,0,-8777000,0.35413,-0.51898,0.88028,-0.74921,0.21471,-1.11667,0.63162,-4.48947000000001,0,0.35931,0.35426,0.40818,-0.47959,-0.40123,1.24014
"15","2016_Q4",6.63666666666667,"Up",15711000,-13261000,-13261000,2450000,-5375000,-3636000,-139000,-2124000,-2925000,13119000,-959000,10735000,3343000,10194000,10194000,-582000,9612000,9612000,9612000,9612000,12008000,12008000,7993000,1548000,27604000,1062000,6010000,6010000,12939000,40543000,17548000,2337000,11429000,11429000,28977000,11857000,11857000,11857000,40834000,118890000,-119181000,-291000,-291000,40543000,9612000,139000,-9955000,-6446000,-6650000,-36000,9775000,9739000,0,-107000,-107000,2982000,2982000,2982000,-2786000,0,-8686000,0.15594,-0.18618,0.6118,-33.03093,0.23708,-0.90366,0.95262,-140.32302,0,0.44213,0.43497,0.72268,-0.01339,-0.39954,0.83106
"16","2017_Q1",7.77193548387097,"Up",3625000,-3478000,-3478000,147000,-5375000,-2624000,-386000,-2346000,-5228000,15922000,-302000,15518000,706000.000000001,10694000,14158000,61672000,75830000,75830000,75830000,75830000,8648000,8648000,17052000,1382000,38908000,735000,63694000,2298000,68388000,107296000,14747000,1920000,8964000,8964000,23711000,7420000,7420000,7420000,31131000,119516000,-43351000,76165000,76165000,107296000,75830000,386000,-73483000,-5495000,-2762000,-90000,13600000,13510000,0,-176000,-176000,10572000,10572000,10572000,-4842000,0,-72099000,0.04055,-1.44221,20.91862,0.995600000000003,0.70674,-0.9508,1.64093,0.408729999999991,0,3.40656,3.37412,0.16285,3.42161,-3.23895,0.90722
"17","2017_Q2",7.1068253968254,"Down",9144000,-5901000,-5901000,3243000,-5199000,-3445000,-482000,-1080000,-1956000,16030000,-693000,13814000,2909000,14074000,14074000,-5386000,8688000,8688000,8688000,8688000,1954000,1954000,12027000,1736000,42423000,504000,57735000,1725000,62352000,104775000,6777000,1202000,8165000,8165000,14942000,4552000,4552000,4552000,19494000,119944000,-34663000,85281000,85281000,104775000,8688000,482000,-5866000,-6124000,-2820000,-142000,13175000,13033000,0,-179000,-179000,10034000,10034000,10034000,-1474000,0,-2354000,0.35466,-0.21391,0.95013,0.10187,0.08292,-0.27095,2.83918,0.22859,0,0.39391,0.39059,0.41458,3.86657,-0.10673,0.09671
