"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"20","2016_Q1",340.229508196721,"Down",79169,-7264111,-4098591,-3165520,-7384141,-375558,-7759699,378848.999999999,-7380850,-7380850,-7380850,-7380850,-6060,-7386910,67493047,67493047,98736,98736,789285,789285,68381068,2690579,374004,374004,3064583,71445651,2944665,1040868,1903797,8201097,3297077,0,14543265,22744362,157588472,-108887243,48701289,48701289,71445651,-7380850,128111,929918,-486115,-6808936,-976478,-976478,42602,42602,1128664.00000001,-6656750.00000001,-6656750.00000001,-6656749.99999999,-7256030,16472006,-93.27061,-93.30559,-0.15168,-0.10339,8.33804,0.46702,0.23055,-17.82957,-17.57406,0.19109,117.54875,-0.10788,7.03154,6.90954
"21","2016_Q2",344.446875,"Up",120486,-10269863,-7061799,-3208064,-10458648,-337620,-10796268,533750,-10262518,-10262518,-10262518,-10262518,-6060,-10268578,59989329,59989329,61935,61935,840724,840724,60891988,4745781,371243,371243,5117024,66009012,4271799,1297306,2974493,10121850,4354633,1591306,14727714,24849564,160315860,-119155821,41159448,41159448,66009012,-10262518,156821,2398051,791939,-6915707,-352023,-352023,133613.000000007,133613.000000007,-235954,-7503684,-7503684,-7503718,-10301827,16223132,-86.80384,-85.22632,-0.24948,-0.15556,6.0159,0.60374,0.24577,-24.85233,-24.56079,0.2916,99.61521,-0.16633,4.24839,4.18469
"22","2016_Q3",364.53375,"Up",103400,-9674182,-5597768,-4076414,-9980245,-274909,-10255154,52876.0000000002,-10202278,-10202278,-10202278,-10202278,-6060,-10208338,50583541,22578980,158537,158537,877853,877853,51619931,4731738,371243,371243,5102981,56722912,4742345,1115340,3627005,10889089,4229560,1519109,13260949,24150038,161933637,-129364159,32572874,32572874,56722912,-10202278,332887,1389784,401886,-8077721,-318844,-28270455,98531,98531,-1059734,-37407910,-37407910,-37410349,-9647358,15178133,-96.52074,-98.72667,-0.3134,-0.17997,4.74052,0.74142,0.26758,-24.53924,-24.53924,0.24856,78.29992,-0.19639,3.66996,3.54755
"23","2016_Q4",233.502857142857,"Down",89114,-9589042,-5651644,-3937398,-9924487,-354993,-10279480,88208,-10191272,-10191272,-10191272,-10191272,-6060,-10197332,46946011,22569107,85152,85152,946388,946388,47977551,4654876,371243,371243,5026119,53003670,5483982,925173,4558809,6564716,4069155,1446912,19664555,26229271,166340572,-139561491,26774399,26774399,53003670,-10191272,203777,1913575,1032350,-7041570,-126914,3373086,2428679,2428679,3657682,-10802,-10802,-9873,-9720710,16396424,-111.36844,-114.43019,-0.38086,-0.19239,7.3084,0.97964,0.30935,-24.20436,-24.20436,0.21152,63.5515,-0.21586,3.14273,3.0782
"24","2017_Q1",135.783870967742,"Down",68072,-8472646,-4687880,-3784766,-8991793,-552723,-9544516,996865,-8547651,-8547651,-8547651,-8547651,-6060,-8553711,37893116,13915094,100460,100460,956616,956616,38950192,3826915,1173304,1173304,5000219,43950411,5151901,1130536,4021365,7797256,2208657,1373717,16385016,24182272,167894054,-148115202,19768139,19768139,43950411,-8547651,376062,589695,-1422963,-9004857,-25702,415743,70944,70944,-60618,-8649732,-8649732,-8654013,-8615731,16536468,-132.09239,-125.65682,-0.4327,-0.19462,4.99537,1.2233,0.37625,-20.09996,-20.05251,0.15996,46.45206,-0.2221,2.4788,2.37513
"25","2017_Q2",64.3973015873016,"Down",95038,-7884454,-3604624,-4279830,-8405842,-429397,-8835239,-1164298,-9999537,-9999537,-9999537,-9999537,-6060,-10005597,28803172,10183460,80348,80348,845845,845845,29729365,3567064,628640,628640,4195704,33925069,4799126,968385,3830741,8957810,1587032,1307598,14286771,23244581,168814853,-158120799,10680488,10680488,33925069,-9999537,330968,1054405,-144044,-8758208,-11452,5183944,0,0,-156526,-3730790,-3730790,-3731634,-8074874,16573177,-88.44717,-105.27996,-0.93681,-0.29493,3.31882,2.17636,0.48852,-23.27272,-23.27272,0.22106,24.84236,-0.34693,1.51457,1.45494
"26","2017_Q3",62.3768253968254,"Down",102011,-5655867,-4674152,-981715,-5892059,-430305,-6322364,-1723447,-8045811,-8045811,-8045811,-8045811,-6060,-8051871,7783891,7783891,157445,157445,713913,713913,8655249,3321532,583973,583973,3905505,12560754,5532369,602738,4929631,7462182,1587803,1236941,1587803,9049985,169697029,-166172670,3510769,3510769,12560754,-8045811,314994,2749647,384044,-4597126,-9286,18857104,106791,106791,-16662802,-2402824,-2402824,-2399569,-5577065,1644567,-57.75906,-78.9314,-2.29348,-0.64103,1.15988,2.57778,0.13093,-18.70985,-18.70985,0.23704,8.15771,-1.19408,1.10082,1.04197
"27","2017_Q4",44.2868253968254,"Down",123329,-5494220,-4079514,-1414706,-5844093,-23014,-5867107,1575141,-4291966,-4291966,-4291966,-4291966,-6060,-4298026,7434298,7434298,178127,178127,939200,939200,8551625,3126969,539309,539309,3666278,12217903,3295749,675499,2620250,5082003,3191028,1153316,3191028,8273031,174430702,-170470696,3944872,3944872,12217903,-4291966,311033,-107387,-2505998,-6594318,-115513,-115513,6528012,6528012,6371486,-338345,-338345,-349593,-5533060,1488041,-47.3862,-34.85008,-1.08952,-0.35178,1.68273,2.09716,0.12179,-8.48798,-8.48798,0.24356,7.79043,-0.49838,1.07468,1.01748
"28","2018_Q1",24.6526229508197,"Down",185026,-3080985,-1874586,-1206399,-3279552,-173478,-3453030,883600,-2569430,-2569430,-2569430,-2569430,-6059.99999999994,-2575490,8225764,8225764,77095,77095,1165828,1165828,9468687,2426312,389942,389942,2816254,12284941,2279831,825244,1454587,3945770,1833064,1183677,1833064,5778834,179552233,-173046186,6506107,6506107,12284941,-2569430,290581,38448,-1091014,-3331415,36690,36689.9999999981,5092350,5092350,4069785,775060,775060,791466,-2988971,1331515,-17.72482,-13.91961,-0.39586,-0.20965,2.39971,0.88822,0.10839,-4.60195,-4.60195,0.33061,11.62516,-0.26632,2.30656,2.10219
"29","2018_Q2",16.72046875,"Down",100136,-4388815,-2504977,-1883838,-4655023,-1465,-4656488,-129689,-4786177,-4786177,-4786177,-4786177,-6060,-4792237,6657158,6657158,114343,114343,1068144,1068144,7839645,2223597,345277,345277,2568874,10408519,2336849,651671,1685178,3853762,1875667,1096591,1875667,5729429,182407531,-177728501,4679090,4679090,10408519,-4786177,252480,1535820,141730,-2856147,-5100,-5100,1449167,1449167,1292641,-1568606,-1568606,-1568606,-4402543,1174989,-46.48701,-47.85728,-1.02418,-0.46041,2.03428,1.22448,0.11289,-6.23343,-6.23343,0.13025,6.08617,-0.61997,1.24523,1.17769
