"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",8.8240625,"Up",33176000,-18392000,14784000,-4453000,-1332000,-2636457.22555721,-3121000,10331000,-480000,-480000,9851000,9851000,-3356000,6495000,6495000,6495000,6495000,51133706.5423003,51133702.080866,22091942.5334306,22091942.5334306,4998359.26743161,27011636.9788035,14083511.9721237,105235645.321966,103262798.776343,127296349.213425,-24033550.4370823,4999298.23342526,561740.20929176,561740.20929176,108823837.21906,214059482.541026,48065887.7648393,16869466.2235223,44424989.5546998,15093835.4332387,-5312753.8629862,-8199006.24949931,2886252.38651311,29198242.0898407,73623231.6445406,84622386.9042005,56570144.1734089,140436250.896485,140436250.896485,214059482.541026,0,0.44562,0.3114,0.19577,0.194356128875267,0.131936180654357,0.473190099107662,0.523628738191655,0.165035784287977,0.23378,0.22584,1.19415,5.11002663953696,0.123565277111489,3.0637546690799
"2","2011_Q1",7.93903225806452,"Down",29094000,-15803000,13291000,-5463000,-1628000,-780000,-3055000,7828000,-398000,-398000,7430000,7430000,-3158000,4272000,4272000,4272000,4272000,10277000,10277000,5450000,5450000,4511000,5994000,850000,26232000,145392000,173827000,-28435000,10092000,4948000,4948000,160432000,186664000,8809000,8809000,19501000,17500000,22930000,17435000,5495000,40430000,59931000,84352000,42381000,126733000,126733000,186664000,17500000,0.45683,0.26906,0.14683,0.03371,0.02289,1.34516,0.47289,0.09375,0.15359,0.14987,1.04602,4.55645,0.02556,0.92271
"3","2011_Q2",7.94603174603175,"Up",37861000,-18708000,19153000,-5219000,-1744000,-121000,-3354000,13934000,-364000,-364000,13570000,13570000,-5292000,8278000,8278000,8278000,8278000,4148014.48589989,4148015.97304468,2375269.15552315,2375269.15552315,4982213.5775228,-501712.326267825,-1765003.99070789,11003784.892678,156440900.407886,188432550.262192,-31991649.8543059,12662567.2555249,6618753.26356941,6618753.26356941,175722220.92698,186726005.819658,1751120.74505355,7717844.59215924,15225253.4817667,15968721.5222538,31120001.2876621,25156918.7498331,5963082.53782896,43158002.6367198,58383256.1184865,84606287.6985998,43559951.942197,128342749.701172,128342749.701172,186726005.819658,0,0.50588,0.36803,0.21864,0.00587379037491088,0.00412043978188092,1.81725080029745,0.456377087269448,0.0663472385706745,0.29517,0.29013,1.35001,4.57792528682101,0.0264582409628369,-0.0501048896933008
"4","2011_Q3",6.84265625,"Down",33664000,-17902000,15762000,-5190000,-1657000,-151000,-3382000,10572000,-342000,-342000,10230000,10230000,-3775000,6455000,6455000,6455000,6455000,17532000,17532000,6260000,6260000,5698000,1114000,1114000,30604000,151447000,186618000,-35171000,13735000,6681000,6681000,171863000,202467000,11712000,10156000,22051000,12500000,29094000,23558000,5536000,41594000,63645000,85169000,53609000,138822000,138822000,202467000,12500000,0.46822,0.31404,0.19175,0.0465,0.03188,1.38787,0.45846,0.06174,0.22945,0.2249,1.1966,4.93449,0.06906,-0.47597
"5","2011_Q4",7.2147619047619,"Up",44628000,-19355000,25273000,-5460000,-1695000,-373000,-3392000,19813000,-297000,-297000,19516000,19516000,-6960000,12556000,12556000,12556000,12556000,33550000,33550000,9826000,9826000,5591000,3509000,3509000,52476000,148578000,187103000,-38525000,14314000,6199000,6199000,169091000,221567000,21099000,12140000,31285000,1e+07,28413000,22856000,5557000,38413000,69698000,85791000,66165000,151869000,151869000,221567000,1e+07,0.5663,0.44396,0.28135,0.08268,0.05667,1.67735,0.45894,0.04513,0.44582,0.43597,1.58458,5.39231,0.07912,-1.18861
"6","2012_Q1",7.36387096774194,"Up",41201000,-21129000,20072000,-6363000,-1908000,-487000,-3968000,13709000,-285000,-285000,13424000,13424000,-4904000,8520000,8520000,8520000,8520000,37542000,37542000,6689000,6689000,4065000,580000,580000,48876000,161828000,204321000,-42493000,15430000,6294000,6294000,183552000,232428000,15536000,10411000,33096000,12507591.7974668,38339000,31100000,7239000,38339000,71435000,86267000,74685000,160993000,160993000,232428000,0,0.48717,0.33273,0.20679,0.05292,0.03666,1.47679,0.44371,0,0.30215,0.29643,1.46113,5.70938,0.00512000000000001,-2.73849
"7","2012_Q2",6.10095238095238,"Down",33956000,-18433000,15523000,-6080000,-1855000,-419000,-3806000,9443000,-271000,-271000,9172000,9172000,-3019000,6153000,6153000,6153000,6153000,40581000,40581000,4513000,4513000,5026000,401000,401000,50521000,159667000,205924000,-46257000,17235000,7993000,7993000,184895000,235416000,13780000,10147000,13780000,1.5e+07,43010000,32272000,10738000,58010000,71790000,86813000,76758000,163626000,163626000,235416000,1.5e+07,0.45715,0.2781,0.18121,0.0376,0.02614,3.66626,0.43874,0.06372,0.21735,0.21453,1.19948,5.78,0.02776,-2.70899
"8","2012_Q3",6.22888888888889,"Up",35175000,-18816000,16359000,-6452000,-1805000,-703000,-3944000,9907000,-257000,-257000,9650000,9650000,-3192000,6458000,6458000,6458000,6458000,36258000,36258000,9145000,9145000,5418000,93000.0000000001,93000,50914000,157802000,208003000,-50201000,16979000,8949000,8949000,183730000,234644000,653000,9913504.17113144,652999.999999998,12500000,50797000,33464000,17333000,63297000,63950000,87436000,83216000,170694000,170694000,234644000,12500000,0.46507,0.28165,0.1836,0.03783,0.02752,77.96937,0.37465,0.05327,0.22808,0.22457,1.24227,6.02839,0.04504,-2.3981
"9","2012_Q4",7.18822580645161,"Up",37114000,-20745000,16369000,-6870000,-1947000,-778000,-4145000,9499000,-229000,-229000,9270000,9270000,-3080000,6190000,6190000,6190000,6190000,30213000,30213000,7492000,7492000,5588000,311000,311000,43604000,159196000,213542000,-54346000,17041000,8767000,8767000,185004000,228608000,1502000,9436616.55915019,1502000,1e+07,53805000,34812000,18993000,63805000,65307000,88486000,74765000,163301000,163301000,228608000,1e+07,0.44105,0.25594,0.16678,0.03791,0.02708,29.03063,0.39992,0.04374,0.21854,0.21393,1.31034,5.76546,0.09172,-2.12791
"10","2013_Q1",6.48816666666667,"Down",35078000,-21745000,13333000,-6611000,-1925000,-553000,-4133000,6722000,-339000,-339000,6383000,6383000,-1377000,5006000,5006000,5006000,5006000,21888000,21888000,8127000,8127000,4606000,242000,242000,34863000,166838000,225317000,-58479000,16199000,11307000,11307000,194344000,229207000,11046000,9386000,11046000,11400000,44752000,35863000,8889000,56152000,67198000,86861000,75118000,162009000,162009000,229207000,11400000,0.3801,0.19163,0.14271,0.0309,0.02184,3.15617,0.41478,0.04974,0.17642,0.17263,1.23619,5.70937,0.04427,-1.56025
