"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",16.8246875,"Up",131687000,-162204000,-30517000,-26790000,-519000,-22401000,-57307000,-2865000,-14000,-60172000,-60172000,-438000,-60610000,-60610000,-41102000,-41102000,158006000,158006000,24684000,24684000,19660000,19660000,202350000,4966000,19529000,79062000,68791000,10271000,103557000,305907000,85705000,13547000,72158000,69245000,69245000,154950000,154950000,1409000,70942000,150957000,305907000,-60610000,519000,102410000,45736000,88055000,-72000,-3918000,-4110000,-7560000,-190709000,-106764000,-106764000,1404000,-105360000,-56788000,0,-10686000,-0.23174,-0.43518,-0.31212,-0.27228,-0.13436,0.25999,1.30591,1.02645,0,-1.80055,-1.80055,5.7688,3.10775,-0.46812,0.33118,-0.2222,-0.07079,-0.18393,2.78238,2.75718
"2","2014_Q4",16.85,"Up",128651000,-68148000,60503000,-24730000,-542000,-20243000,35773000,1722000,617000,37495000,37495000,-4710000,32785000,32785000,6500000.00000001,6500000.00000001,142098000,142098000,22951000,22951000,13135000,13135000,178184000,5860000,90633000,77512000,69379000,8133000,174005000,352189000,109645000,13789000,95856000,67856000,67856000,177501000,177501000,521000,79886000,174688000,352189000,32785000,542000,5014999.99999999,36670000,75012000,-1592000,-70190000,-72031000,-11136000,-16679000,-13698000,-13698000,-2210000,-15908000,36315000,0,76103000,0.47029,0.27806,0.0505200000000001,0.03721,0.01846,11.70815,1.00385,1.0161,0,0.42591,0.42591,8.42977,5.23447,4.9866,0.72968,0.10096,0.43565,1.71323,-3.91293,-3.97221
"3","2015_Q1",16.3688524590164,"Down",143895000,-76426000,67469000,-22126000,-632000,-17242000,45343000,895000,114000,46238000,46238000,-7950000,38288000,38288000,9498000,9498000,197944000,197944000,22987000,22987000,11392000,11392000,232323000,7338000,57413000,167175000,160137000,7038000,231926000,464249000,155808000,19888000,135920000,134056000,134056000,289864000,289864000,85000,113377000,174385000,464249000,38288000,632000,5736000,46427000,91083000,-1507000,34111000,32654000,-65339000,-65339000,58398000,58398000,-2552000,55846000,45975000,0,98845000,0.46888,0.31511,0.06601,0.05447,0.02046,10.40693,0.80149,1.66221,0,0.53185,0.53185,8.05753,6.34865,5.53491,3.65871,0.42915,0.56682,6.87924,-4.30547,-4.36548
"4","2015_Q2",15.2555555555556,"Down",99412000,-55393000,44019000,-22638000,-620000,-17917000,21381000,2880000,15000,24261000,24261000,-4300000,19961000,19961000,5336000,5336000,97859000,97859000,18312000,18312000,14321000,14321000,130492000,7290000,30149000,167003000,159206000,7797000,204442000,334934000,37333000,15807000,21526000,135326000,135326000,172659000,172659000,-222000,117573000,162275000,334934000,19961000,620000,6921000,-116061000,-88559000,-569000,3e+07,29385000,-35453000,-39777000,-98951000,-98951000,-1134000,-100085000,22001000,0,-90329000,0.44279,0.21507,0.05368,0.03288,0.01593,-16.92822,0.75578,1.06399,0,0.27045,0.25471,5.03857,5.95904,-4.57821,1.79689,0.25136,-0.55664,6.64412,-4.44793,-4.57691
"5","2015_Q3",14.8778125,"Down",125873000,-69663000,56210000,-23438000,-688000,-18310000,32772000,162000,-33000,32934000,32934000,-6079000,26855000,26855000,7131000,7131000,127635000,127635000,22159000,22159000,17832000,17832000,167626000,8137000,46376000,172208000,163344000,8864000,226721000,394347000,63260000,17595000,45665000,137908000,137908000,201168000,201168000,655000,135361000,193179000,394347000,26855000,688000,12909000,19727000,60179000,-1533000,-16995000,-18441000,-12301000,-14020000,27718000,27718000,2058000,29776000,33460000,0,57733000,0.44656,0.26036,0.05665,0.03691,0.01808,8.09606,0.83326,1.04136,0,0.35315,0.33417,6.23369,6.70357,2.85915,0.60919,0.10059,0.29886,1.725,-3.81455,-3.89464
"6","2015_Q4",15.2309375,"Up",151789000,-86277000,65512000,-25603000,-646000,-20095000,39909000,-6000,-456000,39903000,39903000,-5273000,34630000,34630000,10090000,10090000,87836000,87836000,34103000,34103000,15601000,15601000,137540000,8288000,131233000,173847000,164434000,9413000,313368000,450908000,90655000,17328000,73327000,137679000,137679000,228334000,228334000,65999.9999999998,150879000,222574000,450908000,34630000,646000,14217000,15811000,65304000,-8e+05,-85989000,-86641000,-16640000,-17244000,-38581000,-38581000,-1218000,-39799000.0000001,40555000,0,60839000,0.4316,0.26292,0.06647,0.04533,0.02238,6.02963,0.60236,1.02588,0,0.50866,0.47983,7.65202,7.60615,3.06703,0.83886,0.12009,0.27334,1.64916,-2.16585,-2.20091
"7","2016_Q1",14.0275409836066,"Down",174789000,-99891000,74898000,-31457000,-681000,-25916000,43441000,3525000,2559000,46966000,46966000,-8195000,38771000,38771000,10547000,10547000,248022000,248022000,28937000,28937000,20192000,20192000,297151000,8698000,56083000,177529000,165505000,12024000,242310000,539461000,145436000,21203000,124233000,136607000,136607000,282043000,282043000,108000,168374000,257418000,539461000,38771000,681000,14572000,51816000,105840000,-1094000,75004000,73957000,-16515000,-19161000,160636000,160636000,-450000,160186000,44122000,0,103039000,0.42851,0.24853,0.06034,0.04097,0.01955,9.76951,1.05357,1.09566,0,0.51885,0.47651,8.59861,8.28303,5.06893,0.81244,0.10513,0.40028,1.56585,-5.62128,-5.7094
"8","2016_Q2",15.0071875,"Up",126364000,-74668000,51696000,-22805000,-736000,-16773000,28891000,2172000,103000,31063000,31063000,-5444000,25619000,25619000,6970000,6970000,90554000,90554000,21566000,21566000,23516000,23516000,135636000,8933000,67109000,176750000,165283000,11467000,252792000,388428000,44714000,16686000,28028000,138796000,138796000,183510000,183510000,83000,166682000,204918000,388428000,25619000,736000,16134000,-93117000,-50628000,-989000,-9970000,-11277000,-92844000,-94691000,-156596000,-156596000,-872000,-157468000,29627000,0,-59035000,0.4091,0.22863,0.05516,0.03401,0.01794,-8.46987,0.73912,0.89553,0,0.34206,0.31112,6.20139,8.18002,-2.89718,4.55638,0.48709,-0.28809,13.32052,-3.05647,-3.13433
"9","2016_Q3",14.61203125,"Down",131725000,-78198000,53527000,-22968000,-806000,-16853000,30559000,367000,101000,30926000,30926000,-4721000,26205000,26205000,6893000,6893000,113127000,113127000,26693000,26693000,22102000,22102000,161922000,9434000,82393000,179236000,167498000,11738000,271063000,432985000,64099000,16941000,47158000,141246000,141246000,205345000,205345000,-140000,188729000,227640000,432985000,26205000,806000,20797000,17346000,65154000,-1297000,-14958000,-16259000,-25066000,-25828000,23067000,23067000,-494000,22573000,31365000,0,52135000,0.40635,0.23199,0.05233,0.03028,0.01592,7.56347,0.78854,0.90206,0,0.3293,0.29082,6.29282,9.01603,2.49061,1.19746,0.14039,0.22902,3.63644,-3.60679,-3.70192
"10","2016_Q4",16.3239682539683,"Up",150676000,-88046000,62630000,-22516000,-817000,-16203000,40114000,1749000,187000,41863000,41863000,-6550000,35313000,35313000,9489000,9489000,202611000,202611000,25583000,25583000,20263000,20263000,248457000,9079000,53815000,178997000,168668000,10329000,241891000,490348000,82789000,13139000,69650000,145035000,145035000,227824000,227824000,-444000,208774000,262524000,490348000,35313000,817000,15182000,28077000,79389000,-451000,30009000,29007000,-17841000,-17853000,90543000,90543000,-1059000,89484000,40931000,0,75107000,0.41566,0.26623,0.06298,0.03615,0.01935,7.91516,1.09057,0.86782,0,0.44945,0.38819,7.1369,9.88876,3.55751,0.84505,0.1041,0.2861,1.88018,-4.95006,-5.05088
