"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2018_Q2",23.3215625,"Up",64856000,-16257000,48599000,-44751000,-16777000,-8625000,-19349000,3848000,-19604000,-10372000,-10424000,52000,-9232000,-15756000,-6218000,-21974000,12436000,-9538000,-9538000,-9538000,-9538000,-9538000,19349000,-26609000,-16018000,-32816000,-12478000,21000,21000,-12499000,-2490000,-14968000,-116966000,-5039000,54336000,6552000,6552000,5000,6557000,23197000,500920000,-17735000,0.74934,0.05933,-0.14706,1.8594,-0.30055,-0.30055,2.04367,-0.55885
"2","2018_Q3",29.5960317460317,"Up",72822000,-19121000,53701000,-41672000,-15350000,-6855000,-19467000,12029000,-9307000,-8852000,-8873000,21000,-455000,2722000,-1005000,1717000,-7027000,-5310000,-5310000,-5310000,-5310000,-5310000,19467000,9701000,-1361000,22497000,-10409000,0,0,-10409000,-2678000,-17539000,-2015000,-893000.000000001,-2629000,2329000,2329000,1000,2330000,31496000,499761000,26753000,0.73743,0.16518,-0.07292,-5.03823,-0.15063,-0.15063,2.0657,0.75889
"3","2018_Q4",23.7484126984127,"Down",75526000,-22603000,52923000,-42146000,-15284000,-7894000,-18968000,10777000,-9301000,-8867000,-8956000,89000,-434000,1476000,-667000,809000,3538000,4347000,4347000,4347000,4347000,4347000,18968000,-460000,784000,23639000,-12480000,0,0,-12480000,-3626000,-16106000,-1991000,-916000,-2455000,5078000,5078000,-2000,5076000,29745000,498431000,14511000,0.70073,0.14269,0.05756,3.33816,0.12313,0.12313,2.13936,0.41104
"4","2019_Q1",24.6924590163934,"Up",72095000,-20957000,51138000,-43749000,-15627000,-8371000,-19751000,7389000,-9676000,-9309000,-9354000,45000,-367000,-2287000,-7488000,-9775000,-570000.000000001,-10345000,-10345000,-10345000,-10345000,-10345000,19751000,8273000,14512000,32191000,-19835000,498000,498000,-20333000,-1666000,-21501000,27752000,-981000,26814000,37504000,37504000,-5000,37499000,27140000,527883000,22387000,0.70931,0.10249,-0.14349,-2.16404,-0.29285,-0.29285,2.04091,0.63374
"5","2019_Q2",21.5198412698413,"Down",73042000,-19143000,53899000,-44535000,-14877000,-8125000,-21533000,9364000,-14095000,-8835000,-8874000,39000,-5260000,-4731000,-1016000,-5747000,5758000,11000,11000,-82000,-82000,11000,21533000,3705000,-13594000,11655000,-16227000,109000,109000,-16336000,-2669000,-69675000,-1921000,-1028000,-2393000,-60413000,-60413000,-2000,-60415000,30897000,527156000,-4682000,0.73792,0.1282,-0.00112,57.09756,-0.00232,-0.00232,2.06503,-0.13237
"6","2019_Q3",14.2146875,"Down",74509000,-20835000,53674000,-46643000,-14605000,-8379000,-23659000,7031000,-9483000,-9529000,-9560000,31000,46000,-2452000,-5036000,-7488000,52000,-7436000,-7436000,-7557000,-7557000,-7436000,23659000,8987000,810000,26020000,-11433000,0,0,-11433000,-3630000,-15063000,-2490000,-896000,-3357000,7599999.99999997,7599999.99999997,5000,7604999.99999999,30690000,526349000,20015000,0.72037,0.09436,-0.10142,-2.64853999999998,-0.2133,-0.2133,2.10305,0.564929999999999
"7","2019_Q4",11.41203125,"Down",79377000,-23649000,55728000,-49342000,-16861000,-8671000,-23810000,6386000,-9172000,-9278000,-9320000,42000,106000,-2786000,-807000,-3593000,-1926000,-5519000,-5519000,-5536000,-5536000,-5519000,23810000,6508000,7000,24806000,-15865000,52000,52000,-15917000,-3658000,-23679000,-1899000,-4436000,-7368000,-6241000,-6241000,0,-6241000,30196000,525547000,16264000,0.70207,0.08045,-0.06974,-2.93786,-0.15617,-0.15617,2.23925,0.45881
"8","2020_Q1",8.23967741935484,"Down",77786000,-22841000,54945000,-47077000,-15442000,-9163000,-22472000,7868000,-7957000,-8443000,-8494000,51000,486000,-89000,-52999.9999999991,-142000,1565000,1423000,1423000,1423000,1423000,1423000,22472000,3375000,-1762000,25508000,-12740000,289000,289000,-13029000,-6775000,-19515000,-2221000,-2157000,-4565000,1428000,1428000,1000,1429000,30340000,524727000,14273000,0.70636,0.10115,0.01829,10.03022,0.0401399999999969,0.0401399999999969,2.19436999999997,0.402649999999994
"9","2020_Q2",3.82968253968254,"Down",54313000,-15201000,39112000,-44240000,-11640000,-8231000,-24369000,-5128000,-12629000,-8290000,-8342000,52000,-4339000,-17757000,-55000,-17812000,3393000,-14419000,-14419000,-14419000,-14419000,-14419000,24369000,3557000,5302000,18809000,-6822000,27000,27000,-6849000,-6057000,-12879000,28119000,-3444000,24485000,30415000,30415000,-13000,30402000,19241000,553915000,14328000,0.72012,-0.09442,-0.26548,-0.99369,-405.67763,-405.67763,1528.09273,403.11735
"10","2020_Q3",3.7425,"Down",16788000,-9657000,7131000,-35061000,-8609000,-4931000,-21521000,-27930000,-10739000,-10774000,-10894000,120000,35000,-38669000,-3921000,-42590000,-49000,-42639000,-42639000,-42639000,-42639000,-42639000,21521000,5150000,5026000,-10942000,-2132000,1000,1000,-2133000,-2052000,-4184000,90384000,-5744000,84628000,69502000,69502000,3000,69505000,-6409000,639956000,-3466000,0.42477,-1.66369,-2.53985,0.0812900000000001,-1197.69108,-1197.69108,471.55979,-97.35682
