"","YQ","p","d","revenue","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",36.0579365079365,"Up",1.735e+09,-1.484e+09,-3.69e+08,-7.68e+08,2.51e+08,-2.07e+08,-2.04e+08,-3e+06,4.4e+07,4.3e+07,-1.9e+07,2.4e+07,2.4e+07,2.4e+07,2.4e+07,238237645.883724,238237645.883724,116339379.284751,116339379.284751,127233268.485282,99338938.4497115,481810293.653757,7142369905.97836,8139175121.78108,1458046879.18578,951320494.52487,5729807748.07043,15281545027.7594,15763355321.4132,965627184.701084,966229733.366044,13871807934.1849,1371974825.62808,1395638562.28132,15243782759.813,16210012493.179,1853331933.11721,1853331933.11721,-993187560.415021,-446657171.750322,-446657171.765792,15763355321.4132,2.4e+07,3.69e+08,4.1e+07,1.6e+07,2.5e+07,9.6e+07,2.5e+07,7.1e+07,5.3e+08,-3.1e+08,-3.1e+08,-3.1e+08,-2e+07,-3.3e+08,-6.67e+08,-6.67e+08,-6.67e+08,0,0,0,-3.3e+07,-7e+08,-5e+08,-5e+08,-5e+08,6.2e+08,0,4.25e+08,0.14467,0.01383,-0.212495177835805,-0.0102722006083946,17.70833,0.481406972525949,27.0918134780307,0.880328974367982,0.21235,0.20891,15.35113,-4.44238138463701,3.76036,-0.0109500613435429,-0.0302499328014935,25.381622049953,67.2014563560752
"2","2010_Q3",35.0121875,"Down",1.771e+09,-1.517e+09,-3.8e+08,-7.8e+08,2.54e+08,-2.18e+08,-2.19e+08,999999.999999999,3.6e+07,5000000.00000001,-8.3e+07,-7.8e+07,-7.8e+07,-7.8e+07,-7.8e+07,1.66e+08,1.66e+08,2.43e+08,2.43e+08,8.1e+07,5.3e+07,4.9e+08,6.879e+09,8.44e+09,1.846e+09,9.51e+08,5.643e+09,1.5319e+10,1.5809e+10,1.087e+09,1.087e+09,1.262e+10,1.038e+09,1.038e+09,1.3658e+10,1.4745e+10,1.795e+09,1.795e+09,-4.52e+08,1.064e+09,1.064e+09,1.5809e+10,-8.1e+07,3.8e+08,1.36e+08,8.2e+07,5.4e+07,1.6e+07,-2.6e+07,4.2e+07,4.51e+08,-3.39e+08,-3.39e+08,-3.39e+08,1.6e+07,-3.23e+08,-1.48e+08,-1.48e+08,-1.773e+09,1.625e+09,0,0,-1.67e+08,-3.15e+08,-1.87e+08,-1.87e+08,-1.87e+08,6.34e+08,1.262e+10,3.94e+08,0.14342,-0.04404,-0.07331,-0.00493,-5.05128,0.45078,13.85808,0.79828,-0.68959,-0.68959,15.6572,9.4067,3.48331,-0.0053,0.02676,19.64353,49.0315
"3","2010_Q4",35.0009375,"Down",1.769e+09,-1.529e+09,-3.85e+08,-7.88e+08,2.4e+08,-2.23e+08,-2.22e+08,-1e+06,1.7e+07,1.1e+07,-1.09e+08,-9.8e+07,-9.8e+07,-9.8e+07,-9.8e+07,75587451.372092,75587451.372092,271220206.905083,271220206.905083,68588910.504906,40553687.1834295,415396568.782081,6795210031.34054,8561274959.4063,2000984373.60474,950893168.49171,5609397417.30986,15356484990.7469,15771881559.5289,1094457605.09964,1094256755.54465,12211064021.9384,889341724.790639,881453812.572893,13100405746.729,14194662502.2737,1772722688.96093,1772722688.96093,-236437479.86166,1577219057.25011,1577219057.25526,15771881559.5289,-9.5e+07,3.85e+08,1.36e+08,1.06e+08,3e+07,1.5e+07,8e+06,7e+06,4.41e+08,-2.99e+08,-2.99e+08,-2.99e+08,-1e+07,-3.09e+08,5.02e+08,5.02e+08,-6.3e+08,1.132e+09,0,0,-1.9e+07,4.83e+08,6.15e+08,6.15e+08,6.15e+08,6.25e+08,0,4.5e+08,0.13567,-0.0554,-0.0359024407213982,-0.00398926646386845,-4.59184,0.37933934249135,9.10446217398977,0.774118675210673,-0.86641,-0.86641,15.63952,14.022633794879,3.9784,-0.0043008128854857,0.0430074776004978,17.8689126500157,42.884952047975
"4","2011_Q1",44.7204838709677,"Up",1.784e+09,-1.505e+09,-3.9e+08,-2.175e+09,2.79e+08,-2.33e+08,-2.32e+08,-1e+06,4.6e+07,-1e+06,-8.4e+07,-8.5e+07,-8.5e+07,-8.5e+07,-8.5e+07,4e+06,4e+06,2.47e+08,2.47e+08,7.5e+07,4.7e+07,3.26e+08,6.819e+09,8.562e+09,2e+09,9.51e+08,5.611e+09,1.5381e+10,1.5707e+10,1.049e+09,1.049e+09,1.2306e+10,8.74e+08,8.74e+08,1.318e+10,1.4229e+10,1.776e+09,1.776e+09,-2.35e+08,1.478e+09,1.478e+09,1.5707e+10,-8.5e+07,3.9e+08,1.63e+08,8.3e+07,8e+07,3.8e+07,-6e+06,4.4e+07,5.06e+08,-2.61e+08,-2.61e+08,-2.61e+08,5.3e+07,-2.08e+08,-9.24e+08,-9.24e+08,-1.282e+09,3.58e+08,-5999999.99999999,-5999999.99999999,-1e+06,-9.31e+08,-6.33e+08,-6.33e+08,-6.33e+08,6.69e+08,1.2306e+10,5.3e+08,0.15639,-0.04765,-0.05751,-0.00541,-6.23529,0.31077,9.6272,0.78347,-0.75015,-0.76268,15.74426,13.04373,4.67739,-0.0058,0.03616,18.38864,44.09319
"5","2011_Q2",56.2211111111111,"Up",1.77e+09,-1.501e+09,-3.83e+08,-7.73e+08,2.69e+08,-2.33e+08,-2.33e+08,0,3.6e+07,-3.1e+07,-7.9e+07,-1.1e+08,-1.1e+08,-1.1e+08,-1.1e+08,2.6e+07,2.6e+07,2.23e+08,2.23e+08,8.4e+07,5.6e+07,3.33e+08,6.87e+09,8.502e+09,1.923e+09,9.51e+08,5.628e+09,1.5372e+10,1.5705e+10,1.028e+09,1.028e+09,1.2554e+10,9.41e+08,9.41e+08,1.3495e+10,1.4523e+10,1.786e+09,1.786e+09,-3.45e+08,1.182e+09,1.182e+09,1.5705e+10,-1.1e+08,3.83e+08,1.63e+08,7.7e+07,8.6e+07,1.1e+07,2.4e+07,-1.3e+07,4.47e+08,-3.56e+08,-3.56e+08,-3.56e+08,-2.5e+07,-3.81e+08,1.8e+08,1.8e+08,-1.666e+09,1.846e+09,-2.07e+08,-2.07e+08,-1.7e+07,-4.4e+07,2.2e+07,2.2e+07,2.2e+07,6.52e+08,1.2554e+10,3.86e+08,0.15198,-0.06215,-0.09306,-0.007,-3.50909,0.32393,12.2868,0.79936,-0.97152,-0.97152,15.63269,10.43945,3.40916,-0.00749,0.0263,19.21472,46.57249
"6","2011_Q3",51.00140625,"Down",1.791e+09,-1.521e+09,-3.93e+08,-7.85e+08,2.7e+08,-2.43e+08,-2.41e+08,-2e+06,2.7e+07,-2.6e+07,-8.1e+07,-1.07e+08,-1.07e+08,-1.07e+08,-1.07e+08,1.66e+08,1.66e+08,2.43e+08,2.43e+08,8.1e+07,5.3e+07,4.9e+08,6.879e+09,8.44e+09,1.846e+09,9.51e+08,5.643e+09,1.5319e+10,1.5809e+10,1.087e+09,1.087e+09,1.262e+10,1.038e+09,1.038e+09,1.3658e+10,1.4745e+10,1.795e+09,1.795e+09,-4.52e+08,1.064e+09,1.064e+09,1.5809e+10,-1.07e+08,3.93e+08,1.48e+08,7.8e+07,7e+07,2.6e+07,-1.9e+07,4.5e+07,4.6e+08,-3.24e+08,-3.24e+08,-3.24e+08,1.1e+07,-3.13e+08,1.5e+07,1.5e+07,-1.7e+09,1.715e+09,0,0,-2.2e+07,-7e+06,1.4e+08,1.4e+08,1.4e+08,6.63e+08,1.262e+10,4.46e+08,0.15075,-0.05974,-0.10056,-0.00677,-4.16822,0.45078,13.85808,0.79828,-0.97926,-0.97926,16.39121,9.73772,4.08179,-0.00727,0.03029,18.78431,46.12593
"7","2011_Q4",51.3734920634921,"Up",1.809e+09,-1.572e+09,-4.05e+08,-7.93e+08,2.37e+08,-2.46e+08,-2.44e+08,-2e+06,-9e+06,-1.3e+07,-7.2e+07,-8.5e+07,-8.5e+07,-8.5e+07,-8.5e+07,5e+06,5e+06,2.53e+08,2.53e+08,7.7e+07,5e+07,3.35e+08,6.903e+09,8.4e+09,1.779e+09,9.54e+08,5.667e+09,1.5303e+10,1.5638e+10,1.081e+09,1.081e+09,1.2581e+10,1.112e+09,1.112e+09,1.3693e+10,1.4774e+10,1.807e+09,1.807e+09,-5.37e+08,8.64e+08,8.64e+08,1.5638e+10,-8.5e+07,4.05e+08,9.1e+07,7e+07,2.1e+07,-6e+06,-1e+07,4e+06,4.05e+08,-3.04e+08,-3.04e+08,-3.04e+08,-1.06e+08,-4.1e+08,-3.9e+07,-3.9e+07,-2.79e+08,2.4e+08,-1.16e+08,-1.16e+08,-2e+06,-1.57e+08,-1.62e+08,-1.62e+08,-1.62e+08,6.42e+08,1.2581e+10,4.04e+08,0.13101,-0.04699,-0.09838,-0.00544,-4.75294,0.3099,17.09954,0.80451,-0.78399,-0.78399,16.68509,7.969,3.72624,-0.00584,0.02775,19.58879,53.06329
"8","2012_Q1",60.3843548387097,"Up",1.834e+09,-1.569e+09,-4.11e+08,-2.22e+09,2.65e+08,-2.46e+08,-2.45e+08,-1e+06,1.9e+07,-1.86264514923096e-09,-6.7e+07,-6.7e+07,-6.7e+07,-6.7e+07,-6.7e+07,2000000.00000003,2000000.00000003,2.68e+08,2.68e+08,8.7e+07,6e+07,3.57e+08,6.897e+09,8.347e+09,1.704e+09,9.54e+08,5.689e+09,1.5244e+10,1.5601e+10,1.157e+09,1.157e+09,1.2856e+10,1.179e+09,3.32e+08,1.4035e+10,1.5192e+10,1.556e+09,1.556e+09,-1.082e+09,4.09e+08,4.09e+08,1.5601e+10,-6.7e+07,4.11e+08,9.8e+07,6.5e+07,3.3e+07,-1.7e+07,-1.9e+07,2e+06,4.25e+08,-3.27e+08,-3.27e+08,-3.27e+08,65000000.0000001,-2.62e+08,2.61e+08,2.61e+08,-1.427e+09,1.688e+09,-4.1e+08,-4.1e+08,-1.6e+07,-1.65e+08,-1999999.99999994,-1999999.99999994,-1999999.99999994,6.76e+08,1.2856e+10,3.99e+08,0.14449,-0.03653,-0.16381,-0.00429,-5.95522,0.30856,37.14425,0.82405,-0.6388,-0.6388,17.48601,3.89955,3.80421,-0.00464,0.02762,19.01479,48.50566
"9","2012_Q2",63.8834920634921,"Up",1.827e+09,-1.597e+09,-4.08e+08,-1.189e+09,2.3e+08,-2.38e+08,-2.37e+08,-1e+06,-8e+06,-2.3e+07,-7.1e+07,-9.4e+07,-9.4e+07,-9.4e+07,-9.4e+07,4e+06,4e+06,2.31e+08,2.31e+08,1.03e+08,7.6e+07,3.38e+08,6.906e+09,8.275e+09,1.634e+09,9.54e+08,5.687e+09,1.5181e+10,1.5519e+10,1.14e+09,1.14e+09,1.2802e+10,1.251e+09,3.34e+08,1.4053e+10,1.5193e+10,1.568e+09,1.568e+09,-1.178e+09,3.26e+08,3.26e+08,1.5519e+10,-9.4e+07,4.08e+08,1.1e+08,7e+07,4e+07,3e+07,4e+07,-1e+07,4.54e+08,-3.4e+08,-3.4e+08,-3.4e+08,-2.5e+07,-3.65e+08,-7e+07,-7e+07,-1.539e+09,1.469e+09,-3e+06,-3e+06,-1.4e+07,-8.7e+07,2e+06,2e+06,2e+06,6.38e+08,1.2802e+10,3.99e+08,0.12589,-0.05145,-0.28834,-0.00606,-4.24468,0.29649,46.60429,0.82492,-0.94536,-0.94536,18.37419,3.27859,4.01275,-0.00654,0.02775,20.05956,55.64348
"10","2012_Q3",76.5350793650794,"Up",1.884e+09,-1.615e+09,-4.15e+08,-1.2e+09,2.69e+08,-2.25e+08,-2.25e+08,-1.16415321826935e-10,4.4e+07,-1.5e+07,-6.8e+07,-8.3e+07,-8.3e+07,-8.3e+07,-8.3e+07,4999999.99999997,4999999.99999997,2.56e+08,2.56e+08,1.06e+08,7.9e+07,3.67e+08,7.024e+09,8.162e+09,1.562e+09,9.53e+08,5.647e+09,1.5186e+10,1.5553e+10,1.194e+09,1.194e+09,1.2786e+10,1.329e+09,3.42e+08,1.4115e+10,1.5309e+10,1.582e+09,1.582e+09,-1.261e+09,2.44e+08,2.44e+08,1.5553e+10,-8.3e+07,4.15e+08,1.35e+08,6.6e+07,6.9e+07,2000000.00000001,-2.4e+07,2.6e+07,4.69e+08,-4.68e+08,-4.68e+08,-4.68e+08,4.8e+07,-4.2e+08,-3.2e+07,-3.2e+07,-1.38e+09,1.348e+09,-1e+06,-999999.99999994,-1.5e+07,-48000000.0000001,1e+06,1e+06,1e+06,6.84e+08,1.2786e+10,2.86e+08,0.14278,-0.04406,-0.34016,-0.00534,-3.44578,0.30737,62.7418,0.82209,-0.8342,-0.8342,18.93529,2.45234,2.87447,-0.00578,0.01992,18.68567,47.51301
