"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",15.9771875,"Up",37413000,-14326000,23087000,-9563000,-2513000,-1560000,-5490000,13524000,13524000,13524000,-4913000,8611000,8611000,8611000,8611000,248189500.92293,162423571.340835,85765929.5820949,-4831075.25298571,-4831075.25298571,22468.5687295459,243380894.238674,13079635.6743579,13079635.6743579,49743441.1465455,36401435.6019998,62823076.8209034,306203971.059577,48444607.2048238,16096347.3864245,32348259.8183993,6426388.25805099,54870995.4628748,54870995.4628748,347273365.256895,-59529786.8567735,-35115611.6995416,-1294991.10387785,251332975.596702,251332975.596702,306203971.059577,8611000,1560000,5550000,3305000,19026000,-860000,-559000,-984000,-2658000,-21066000,2192000,958000,-22766000,-4724000,-4724000,-57000,-4781000,15084000,0,22442000,0.61708,0.36148,0.23016,0.0486398336661644,0.0407520017107334,2.6062,1.43758204998258,0.209138964997596,0,0.26138,0.22225,1.13562,8.71659819951992,0.6812,0.08068,0.0544250115336506,0.251622689083719,0.30867,-14.7533131205443,-16.6731863294098
"2","2011_Q1",18.3740322580645,"Up",38605000,-13998000,24607000,-10162000,-3161000,-1552000,-5449000,14445000,14445000,14445000,-5498000,8947000,8947000,8947000,8947000,197546000,124994000,72552000,25682000,25682000,7923000,231151000,12545000,12545000,55825000,36012000,68370000,299521000,30159000,12368000,17791000,4571000,34730000,34730000,340732000,-39685000,-34605000,-1651000,264791000,264791000,299521000,8947000,1552000,7339000,4725000.00000001,22563000,-521000,-569000,-19000,-2591000,-1939000,4803000,-1408000,-5938000,16606000,16606000,-357000,16249000,15997000,0,25699000,0.6374,0.37417,0.23176,0.03379,0.02987,2.87236,6.65566,0.13116,0,0.26982,0.22911,1.16424,7.98549,0.77502,0.07814,0.04357,0.09705,0.28959,-12.34894,-13.67574
"3","2011_Q2",20.0996825396825,"Up",43609000,-16268000,27341000,-9675000,-1975000,-1562000,-6138000,17666000,17666000,17666000,-6886000,10780000,10780000,10780000,10780000,192649833.02569,121317309.553055,71332523.472635,35879691.7509952,35879691.7509952,11701177.1437568,240230701.920442,12764704.775214,12764704.775214,54642019.6178182,35637521.466,67406724.3930322,307637426.313474,23492964.2650587,11398884.2045252,12094080.0605336,4095787.24731634,27588751.5123751,27588751.5123751,336254378.247702,-26164571.0477422,-28308879.4334861,-1732252.96537405,280048674.801099,280048674.801099,307637426.313474,10780000,1562000,6256000,-17532000,1066000,-498000,-870000,-8662000,-3388000,4608000,4608000,-1656000,-436000,-8032000,-8032000,-395000,-8427000,19228000,0,8084000,0.62696,0.4051,0.2472,0.0336708887779452,0.0307443327630889,0.74991,8.84828098333914,0.099322011667468,0,0.29529,0.27429,1.19454,7.8341047668267,0.22144,0.0928,0.0451141628221165,0.0619007703054269,0.31429,-10.7541422931519,-11.7285945568634
"4","2011_Q3",23.3090625,"Up",45791000,-15104000,30687000,-10782000,-3058000,-1627000,-6097000,19905000,19905000,19905000,-7968000,11937000,11937000,11937000,11937000,211464000,135768000,75696000,34494000,34494000,12326000,258284000,13409000,13409000,49574000,35278000,62983000,321267000,23967000,12036000,11931000,4443000,28410000,28410000,332240000,-18998000,-18692000,-1693000,292857000,292857000,321267000,11937000,1627000,6498000,-1719000,18343000,-1018000,-945000,2648000,-3416000,1635000,1635000,133000,-1648000,19343000,19343000,-142000,19201000,21532000,0,26763000,0.67015,0.43469,0.26068,0.04076,0.03716,2.24202,9.09131,0.09701,0,0.3247,0.30227,1.24557,7.96608,0.72799,0.09292,0.05242,0.09139,0.28617,-9.82092,-10.62366
"5","2011_Q4",24.4407936507937,"Up",46564000,-13707000,32857000,-10561000,-3022000,-1799000,-5740000,22296000,22296000,22296000,-8852000,13444000,13444000,13444000,13444000,237822000,157622000,80200000,31858000,31858000,10944000,280624000,14076000,14076000,44500000,34911000,58576000,339200000,28330000,12658000,15672000,5037000,33367000,33367000,335203000,-18998000,-8680000,-1692000,305833000,305833000,339200000,13444000,1799000,6795000,5344000,27382000,-1001000,2415000,-2777000,-3432000,-1380000,-1380000,2375000,-2437000,22168000,22168000,-314000,21854000,24095000,0,37290000,0.70563,0.47882,0.28872,0.04396,0.03963,2.77373,8.41023,0.1091,0,0.36214,0.33758,1.25428,8.23815,1.00447,0.09245,0.05518,0.12193,0.25528,-9.87018,-10.66658
"6","2012_Q1",29.1396774193548,"Up",35910000,-7364000,28546000,-6963000,-2758000,-218000,-3987000,21583000,21583000,21583000,-8297000,13286000,11543000,11543000,11543000,247730000,169620000,78110000,36170000,36170000,8465000,292365000,14460000,14460000,42633000,34544000,57093000,349458000,31693000,12268000,19425000,5326000,37019000,37019000,340838000,-25933000,-584000,-1882000,312439000,312439000,349458000,11543000,1793000,4616000,735000,18687000,-643000,-1133000,215000,-3447000,-4991000,1944000,1760000,-6678000,12224000,12224000,-226000,11998000,23376000,0,31765000,0.79493,0.60103,0.32144,0.03694,0.03303,2.75188,7.8977,0.11848,0,0.30675,0.28992,0.95429,8.30292,0.84414,0.0916,0.04798,0.10167,0.29862,-10.59762,-11.47802
"7","2012_Q2",28.4296825396825,"Down",50735000,-15841000,34894000,-12146000,-3554000,-1854000,-6738000,22748000,22748000,22748000,-9255000,13493000,13493000,13493000,13493000,179895000,119809000,60086000,33039000,33039000,6828000,219762000,14875000,14875000,39873000,34189000,54748000,274510000,20364000,14547000,5817000,5229000,25593000,25593000,270705000,-28283000,8708000,-2213000,248917000,248917000,274510000,13493000,1854000,4939000,-6912000,13374000,-607000,-1326000,15892000,-4201000,-70790000,326000,-3727000,-78718000,-49452000,-49452000,-359000,-49811000,24602000,0,26338000,0.68777,0.44837,0.26595,0.05421,0.04915,1.95198,8.5868,0.10282,0,0.36533,0.3487,1.37367,6.73951,0.71311,0.11374,0.07108,0.10581,0.31135,-7.31221,-7.90817
"8","2012_Q3",27.044126984127,"Down",48825000,-15305000,33520000,-12320000,-3750000,-1961000,-6609000,21200000,21200000,21200000,-8571000,12629000,12629000,12629000,12629000,188187000,129595000,58592000,33209000,33209000,13715000,235111000,14960000,14960000,39657000,33835000,54617000,289728000,22867000,12364000,10503000,5126000,27993000,27993000,275179000,-28283000,17256000,-2417000,261735000,261735000,289728000,12629000,1961000,2625000,-4694000,12521000,-437000,-1241000,-878999.999999996,-4081000,5075000,5102000,-2741000,-1747000,9895000.00000001,9895000.00000001,-109000,9786000.00000001,23161000,0,26601000,0.68653,0.4342,0.25866,0.04825,0.04359,2.10634,8.39892,0.10695,0,0.34956,0.33732,1.35144,7.24466,0.7363,0.11296,0.06384,0.10163,0.32315,-8.12517,-8.87675
"9","2012_Q4",28.2375806451613,"Up",42702000,-10404000,32298000,-9067000,-2192000,-971000,-5904000,23231000,23231000,23231000,-8496000,14735000,13482000,13482000,13482000,204282000,150101000,54181000,33414000,33414000,8584000,246280000,18466000,18466000,40182000,33480000,58648000,304928000,27930000,12495000,15435000,5064000,32994000,32994000,277862000,-29743000,26632000,-2817000,271934000,271934000,304928000,13482000,2081000,1744000,10068000,27375000,-3911000,-1343000,-1214000,-4106000,-891000,569000,-118000,-5115000,21046000,21046000,-540000,20506000,25312000,0,39965000,0.75636,0.54403,0.31572,0.04958,0.04421,2.96432,7.46439,0.12133,0,0.36936,0.35912,1.16989,7.45004,1.0949,0.11249,0.06468,0.14697,0.30455,-8.07056,-8.79351
"10","2013_Q1",34.8903333333333,"Up",48578000,-13128000,35450000,-13259000,-3419000,-1972000,-7868000,22191000,22191000,22191000,-1264000,20927000,20465000,20465000,20465000,180116000,128908000,51208000,31044000,31044000,8096000,219256000,18009000,18009000,42576000,33134000,60585000,279841000,32260000,12344000,19916000,4864000,37124000,37124000,283727000,-32273000,-5644000,-3093000,242717000,242717000,279841000,20465000,2337000,-362000,5872000,28312000,-197999.999999999,-1340000,1231000,-51653000,-1999.99999999627,2528000,1060000,-50595000,-21052000,-21052000,-141000,-21193000,24528000,0,31466000,0.72975,0.45681,0.42128,0.08432,0.07313,1.53755,5.90604,0.15295,0,0.56067,0.54446,1.33087,6.6496,0.86206,1.41511,0.29713,0.12964,2.52397,-7.34328,-8.11662
