"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",126.92296875,"Down",22643295.9792869,-12065000,-2540000,-9525000,-12065000,44000,-12021000,-12021000,-12021000,-12021000,-12021000,-13844000,50116000,50116000,2037000,2037000,52153000,4773000,4020000,4020000,8793000,60946000,5685000,1645000,4040000,163000,301000,301000,6149000,1401000,2000,2000,1403000,7552000,7709000,-76122000,53394000,53394000,60946000,-12021000,316000,1151000,-597000,-11151000,-302000,-302000,-302000,-302000,-36000,357000,357000,-564000,-12017000,-12017000,-12017000,-11749000,1564000,-0.25928,-0.22715,8.48154,0.14144,0.02566,-54.2233,-54.2233,9.65674328156018,-267.95569,-0.25189,4.13244,4.0242
"2","2016_Q4",140.18253968254,"Up",11321647.9896434,-14217000,-2633000,-11584000,-14217000,48000,-14169000,-14169000,-14169000,-14169000,-14169000,-14290000,93494000,93494000,1387000,1387000,94881000,4603000,926000,926000,5529000,100410000,7873000,4039000,3834000,165000,310000,310000,8348000,1281000,0,0,1281000,9629000,181072000,-90291000,90781000,90781000,100410000,-14169000,315000,1694000,2989000,-9171000,-181000,-181000,-181000,-181000,-40000,50458000,50458000,52730000,43378000,43378000,43378000,-13902000,1446000,-0.15741,-0.14232,11.36572,0.10607,0.0144,-6.49169,-6.49169,4.82837164078009,41.2402,-0.15494,6.62121,6.4745
"3","2017_Q1",122.040322580645,"Down",4507882.66321447,-11362000,-2919000,-8443000,-11045000,80000,-10965000,-10965000,-10965000,-10965000,-10965000,-10965000,83593000,58588000,1048000,1048000,85508000,4850000,965000,965000,5815000,91323000,8530000,2415000,6115000,168000,869000,869000,9567000,1154000,0,0,1154000,10721000,181867000,-101256000,80602000,80602000,91323000,-10965000,338000,737000,294000,-9596000,-314000,-314000,-314000,-25334000,-40000,64000,64000,24000,-34906000,-34906000,-34906000,-10707000,1322000,-0.13604,-0.12007,8.93781,0.13301,0.01448,-4.60225,-4.60225,1.92321721359336,33.83043,-0.13384,7.68385,7.44871
"4","2017_Q2",157.104761904762,"Up",1101000,-12714000,-3086000,-9628000,-11613000,98000,-11515000,-11515000,-11515000,-11515000,-11515000,-11515000,70494000,47999000,1460000,1460000,72505000,4546000,972000,972000,5518000,78023000,6366000,2377000,3989000,171000,328000,328000,6865000,1022000,-4.54747350886464e-13,-4.54747350886464e-13,1022000,7887000,182920000,-112771000,70136000,70136000,78023000,-11515000,365000,891000,-2561000,-12820000,-396000,-396000,-396000,2103000,-41000,168999.999999993,168999.999999993,127999.999999993,-10589000,-10589000,-10589000,-11248000,1193000,-0.16418,-0.14758,10.56154,0.11245,0.01529,-4.92232,-4.92232,0.47064,29.98104,-0.16144,6.16118,5.96754
"5","2017_Q3",188.068253968254,"Up",0,-13513000,-3472000,-10041000,-13513000,145000,-13368000,-13368000,-13368000,-13368000,-13368000,-13368000,91521000,79531000,1669000,1669000,93190000,4508000,1333000,1333000,5841000,99031000,6549000,1348000,5201000,130000,337000,337000,7016000,934000,0,0,934000,7950000,217226000,-126139000,91081000,91081000,99031000,-13368000,381000,1162000,15000,-11810000,-312000,-312000,-312000,10194000,-42000,33190000,33190000,33148000,31532000,31532000,31532000,-13132000,1064000,-0.14677,-0.13499,13.2825,0.08728,0.01074,-5.22511,-5.22511,-5.55111512312578e-17,35.60056,-0.14508,6.88829,6.69407
"6","2017_Q4",134.319841269841,"Down",0,-14040000,-3593000,-10447000,-14040000,215000,-13825000,-13825000,-13825000,-13825000,-13825000,-13825000,81948000,42149000,1219000,1026000,83167000,4127000,1383000,1383000,5510000,88677000,8804000,1846000,6958000,89000,346000,346000,9239000,846000,-7.27595761418343e-12,-7.27595761418343e-12,846000,10085000,218566000,-139964000,78592000,78592000,88677000,-13825000,391000,1068000,2834000,-9532000,-46000,-46000,-46000,-27819000,-42000,11000,11000,-31000.0000000037,-37382000,-37382000,-37382000,-13649000,935000,-0.17591,-0.1559,9.00173,0.12832,0.01054,-5.26482,-5.26482,0,29.9293,-0.17384,5.93545,5.77016
"7","2018_Q1",109.339344262295,"Down",0,-15520000,-3740000,-11780000,-15520000,218000,-15302000,-15302000,-15302000,-15302000,-15302000,-15302000,72049000,32205000,1110000,917000,73159000,3938000,1391000,1391000,5329000,78488000,12011000,2283000,9728000,47000,355000,355000,12413000,751000,0,0,751000,13164000,220632000,-155266000,65324000,65324000,78488000,-15302000,390000,1196000,3149000,-10567000,-67000,-67000,-67000,-69000,-43000,735000,735000,692000,-9944000,-9944000,-9944000,-15130000,798000,-0.23425,-0.19496,5.89374,0.20152,0.01017,-5.79828,-5.79828,-6.93889390390723e-18,24.75278,-0.23142,4.70925,4.59091
"8","2018_Q2",123.8375,"Up",370000,-15191000,-4075000,-11116000,-14821000,358000,-14463000,-14463000,-14463000,-14463000,-14463000,-14463000,121741000,94334000,1629000,1436000,123370000,3565000,1165000,1165000,4730000,128100000,10697000,1717000,8980000,4000,10636000,10636000,21337000,654000,1610000,1610000,2264000,23601000,274262000,-169729000,104499000,104499000,128100000,-14463000,388000,1627000,10048000,-2400000,-152000,-152000,-152000,12362000,-44000,52211000,52211000,52167000,62129000,62129000,62129000,-14433000,658000,-0.1384,-0.1129,5.78197,0.22585,0.00514,-4.76773,-4.76773,0.12197,34.44814,-0.13546,8.38932,8.16969
"9","2018_Q3",115.995238095238,"Down",375000,-14923000,-3841000,-11082000,-14548000,501000,-14047000,-14047000,-14047000,-14047000,-14047000,-14047000,124366000,114386000,2585000,2585000,126951000,3275000,1153000,1153000,4428000,131379000,10198000,1263000,8935000,9000,7472000,7472000,17679000,579000,4409000,4409000,4988000,22667000,292495000,-183776000,108712000,108712000,131379000,-14047000,376000,1698000,-2105000,-14078000,-16000,-16000,-16000,17484000,-2000,16455000,16455000,16453000,19859000,19859000,19859000,-14172000,588000,-0.12921,-0.10692,7.18089,0.20851,0.00448,-4.26864,-4.26864,0.11396,33.03569,-0.12353,8.73398,8.50825
"10","2018_Q4",75.9769841269841,"Down",412000,-16732000,-3876000,-12856000,-16320000,583000,-15737000,-15737000,-15737000,-15737000,-15737000,-15737000,113231000,43524000,2313000,1675000,115544000,3908000,1182000,1182000,5090000,120634000,13830000,2671000,11159000,9000,7458000,7458000,21297000,480000,4020000,4020000,4500000,25797000,294363000,-199513000,94837000,94837000,120634000,-15737000,408000,1318000,3986000,-10025000,-1012000,-1021000,-1021000,-60526000,-1999.99999999997,328999.999999996,328999.999999996,326999.999999996,-70224000,-70224000,-70224000,-15912000,489000,-0.16594,-0.13045,5.42537,0.27201,0.00405,-4.67304,-4.67304,0.12234,28.16145,-0.15841,7.08534,6.90821
