"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",25.795625,"Up",299169000,-250830000,48339000,-38817000,-32780000,-3557000,9522000,-828000,-828000,8694000,8694000,-1909000,6785000,6785000,6785000,6785000,20242000,20242000,129812000,129812000,201328000,47611000,39240000,398993000,273033000,787354000,-514321000,140374000,27406000,88753000,20482000,3733000,413407000,812400000,72055000,25985000,45876000,48665000,1575000,1575000,122295000,64730000,204267000,125514000,60011000,804000,17938000,268997000,391292000,421108000,812400000,6785000,8572000,4145000,-24268000,-4766000,-9655000,-9647000,-1544000,19008000,920000,18960000,4547000,4547000,-361000,4186000,18094000,113395000,-13920000,0.16158,0.03183,0.02268,0.01611,0.00835,-2.05158,3.26255,0.9292,0.13958,0.33128,0.32583,14.60715,-0.67965,0.07539,0.01127,-0.01884,0.22756,5.14828,9.78292
"12","2013_Q3",28.1084375,"Up",306141000,-260149000,45992000,-39431000,-33326000,-3154000,6561000,-813000,-813000,5748000,5748000,-1593000,4155000,4155000,4155000,4155000,15726000,15726000,129831000,129831000,200804000,41571000,32666000,387932000,270730000,794389000,-523659000,140081000,26594000,88753000,20483000,4251000,410811000,798743000,75407000,28828000,46579000,36562000,466000,466000,112435000,59578000,200708000,123448000,58837000,614000,17809000,260286000,372721000,426022000,798743000,4155000,10084000,1928000,6719000,22886000,-7683000,-7671000,-1654000,-17367000,-905000,-19653000,-4438000,-4438000,-78000,-4516000,16645000,96140000,17274000,0.15023,0.02143,0.01357,0.00975,0.0052,4.1574,3.45028,0.87489,0.12036,0.20202,0.19913,14.88506,0.83989,0.08042,0.00804,0.0239,0.39807,4.83112,12.25636
"13","2013_Q4",26.765,"Down",275434000,-230951000,44483000,-39155000,-31804000,-3190000,5328000,-715000,-715000,4613000,4613000,379000,4992000,4992000,4992000,4992000,20157000,20157000,121987000,121987000,205301000,49172000,39593000,396617000,265308000,779870000,-514562000,139188000,25908000,88753000,20749000,3778000,404496000,801113000,81750000,30972000,50778000,36013000,461000,461000,118224000,52423000,198073000,1.22e+08,57664000,384000,18025000,250496000,368720000,432393000,801113000,4992000,12186000,1521000,1696000,20395000,-6876000,-6876000,-1649000,-7851000,95000,-9179000,4340000,4340000,91000,4431000,17514000,88436000,11955000,0.1615,0.01934,0.01812,0.01155,0.00623,2.39483,3.35479,0.85274,0.11039,0.24227,0.23849,13.36734,0.5802,0.08003,0.00924,0.01663,0.33033,3.89854,12.81513
"14","2014_Q1",27.4793442622951,"Up",286138000,-236974000,49164000,-42967000,-34566000,-3531000,6197000,-680000,-680000,5517000,5517000,-1237000,4280000,4280000,4280000,4280000,22774000,22774000,113012000,113012000,232800000,26678000,16353000,395264000,261893000,782879000,-520986000,120788000,24248000,86725000,5941000,3874000,382681000,777945000,63242000,36556000,25122000,35566000,30208000,479000,129016000,29267000,156341000,80275000,56490000,1469000,18107000,185608000,314624000,463321000,777945000,4280000,10807000,-4522000,26842000,37407000,-8388000,-8393000,-1650000,-23752000,-986000,-26300000,2714000,2714000,-97000,2617000,17004000,64833000,36695000,0.17182,0.02166,0.01496,0.00924,0.0055,8.5736,3.06368,0.67906,0.08334,0.20745,0.20236,13.86932,1.77863,0.07998,0.00866,0.05361,0.38551,2.47348,6.78699
"15","2014_Q2",32.1184126984127,"Up",258929000,-213467000,45462000,-34409000,-31259000,-2787000,11053000,-695000,-695000,10358000,10358000,-3027000,7331000,7331000,7331000,7331000,19313000,19313000,121527000,121527000,226961000,47985000,38037000,415786000,254967000,784513000,-529546000,120588000,22751000,88753000,4285000,4799000,375555000,791341000,78615000,27404000,46456000,41832000,1941000,1941000,122388000,51107000,138972000,59970000,55317000,6063000,17622000,190079000,312467000,478874000,791341000,7331000,12131000,-1214000,-41459000,-23211000,-3191000,-3191000,-1648000,25796000,13000,22760000,-3642000,-3642000,181000,-3461000,23184000,92939000,-18439000,0.17558,0.04269,0.02831,0.01531,0.00926,-2.51521,3.39728,0.6525,0.11744,0.3558,0.34973,12.56693,-0.89492,0.07998,0.01263,-0.02594,0.2248,3.17572,6.66118
"16","2014_Q3",31.605625,"Down",287965000,-238164000,49801000,-35233000,-34686000,-3443000,14568000,-672000,-672000,13896000,13896000,-3922000,9974000,9974000,9974000,9974000,18062000,18062000,121766000,121766000,254790000,26990000,16645000,421608000,252059000,790154000,-538095000,117187000,21534000,88753000,2049000,4851000,369246000,790854000,87806000,32959000,47832000,33368000,2116000,2116000,123290000,46945000,132762000,56949000,54143000,3842000,17828000,179707000,302997000,487857000,790854000,9974000,9962000,1544000,247000,21727000,-6996000,-6998000,-1757000,-13332000,95999.9999999999,-15904000,-1175000,-1175000,-76000,-1251000,24530000,80313000,21703000,0.17294,0.05059,0.03464,0.02044,0.01261,2.17596,3.41964,0.62108,0.10155,0.48319,0.47493,13.95044,1.0514,0.08512,0.01674,0.03096,0.17616,2.53775,4.27313
"17","2014_Q4",32.130625,"Up",291571000,-236728000,54843000,-37238000,-34639000,-3243000,17605000,-765000,-765000,16840000,16840000,-4280000,12560000,12560000,12560000,12560000,19610000,19610000,126950000,126950000,227286000,27196000,17231000,401042000,248800000,793983000,-545183000,116966000,20046000,86725000,5502000,4693000,365766000,766808000,99675000,32158000,59562000,6613000,1239000,1239000,107527000,43780000,129121000,53493000,52970000,4895000,17763000,172901000,280428000,486380000,766808000,12560000,4715000,9819000,-4583000,22511000,-7242000,-7242000,-1751000,1261000,0,-13433000,1836000,1836000,-288000,1548000,22320000,50393000,14775000,0.18809,0.06038,0.04308,0.02582,0.01638,1.17635,3.72969,0.57656,0.06572,0.61298,0.60182,14.22992,0.72108,0.08546,0.02149,0.02219,0.13941,1.37917,1.74854
"18","2015_Q1",33.5568852459016,"Up",288425000,-232628000,55797000,-41435000,-35903000,-3377000,14362000,-655000,-655000,13707000,13707000,-1441000,12266000,12266000,12266000,12266000,13150000,13150000,112780000,112780000,232409000,28355000,14953000,386694000,247588000,800671000,-553083000,128056000,18559000,86725000,17991000,4781000,375644000,762338000,61780000,36239000,22397000,653000.000000002,41633000,4879000,104066000,23613000,175640000,103891000,51796000,0,19953000,199253000,303319000,459019000,762338000,12266000,15913000,-6429000,17504000,39254000,-10040000,-10040000,-1709000,-26295000,368000,-34304000,-5090000,-5090000,-1370000,-6460000,30275000,24266000,39180000,0.19345,0.04979,0.04253,0.02672,0.01609,3.1942,3.71585,0.6608,0.03183,0.61001,0.59616,14.34379,1.94848,0.08499,0.02121,0.05946,0.13933,0.36717,0.77399
"19","2015_Q2",36.0934920634921,"Up",290024000,-237669000,52355000,-39123000,-37933000,-3348000,13232000,-657000,-657000,12575000,12575000,-3591000,8984000,8984000,8984000,8984000,21938000,21938000,117126000,117126000,237028000,30508000,17161000,406600000,248350000,813806000,-565456000,126196000,17109000,86725000,17494000,4868000,374546000,781146000,83447000,38054000,41171000,667000,10389000,10389000,94503000,50787000,170939000,99701000,49469000,2166000,19603000,221726000,316229000,464917000,781146000,8984000,11909000,2102000,-27062000,-4067000,-10944000,-10944000,-1708000,26957000,757985.182109322,24481000,9470000,9470000,-682000,8788000,25141000,51454000,-9274000,0.18052,0.04562,0.03098,0.01932,0.0115,-1.03228,4.30251,0.68018,0.06587,0.44599,0.43848,14.39754,-0.46039,0.08479,0.01556,-0.01349,0.19012,1.17402,2.23065
"20","2015_Q3",29.9721875,"Down",276855000,-225528000,51327000,-38216000,-34594000,-3586000,13111000,-650000,-650000,12461000,12461000,-3394000,9067000,9067000,9067000,9067000,20629000,20629000,117178000,117178000,229232000,32798000,18992000,399837000,254276000,811645000,-557369000,125149000,15717000,86725000,17722000,4985000,379425000,779262000,86070000,31508000,48687000,3427000,4597000,4597000,94094000,41213000,172492000,100782000,48523000,3377000,19810000,213705000,307799000,471463000,779262000,9067000,8208000,3008000,4826999.99999999,25110000,-15702000,-15702000,-1815000,-7125000,756448.197774133,-10920000,-1512000,-1512000,203000,-1309000,21319000,44640000,13838000,0.18539,0.04736,0.03275,0.01923,0.01164,1.52619,4.24934,0.65286,0.05728,0.44991,0.44231,13.73766,0.68665,0.09006,0.0158,0.0201,0.20018,1.12627,1.83136
"21","2015_Q4",28.46140625,"Down",244354000,-200351000,44003000,-33142000,-29051000,-2501000,10861000,-586000,-586000,10275000,10275000,-2883000,7392000,7392000,7392000,7392000,24826000,24826000,113961000,113961000,221547000,28821000,16902000,389155000,261200000,826286000,-565086000,123782000,14312000,86725000,17722000,5023000,384982000,774137000,82106000,29017000,49325000,15234000,4105000,4105000,101445000,31038000,166518000,98093000,47099000,2232000,19094000,197556000,299001000,475136000,774137000,7392000,8345000,3800000,4264000,23801000,-14368000,-14368000,-1808000,1453000,-5.82076609134674e-11,-4736000,4697000,4697000,-5e+05,4197000,19206000,46272000,11985000,0.18008,0.04445,0.03025,0.01556,0.00955,1.62135,3.83612,0.6293,0.05977,0.368,0.36266,12.16478,0.59665,0.09001,0.01337,0.01742,0.24459,1.11663,1.97459
"22","2016_Q1",23.5345901639344,"Down",214039000,-170944000,43095000,-35031000,-28363000,-3361000,8064000,-557000,-557000,7507000,7507000,-792000,6715000,6715000,6715000,6715000,24236000,24236000,97236000,97236000,211820000,12799000,12799000,346091000,263629000,833834000,-570205000,132573000,13389000,86725000,25743000,6716000,396202000,742293000,54991000,31888000,20730000,8990000,32494000,3695000,96475000,4276000,158585000,92794000,45953000,110000,19728000,162861000,259336000,482957000,742293000,6715000,9355000,4843000,25253000,46166000,-11018000,-11018000,-1801000,-32697000,-1204000,-35702000,-553999.999999998,-553999.999999998,-35999.9999999999,-590000,17419000,13266000,32446000,0.20134,0.03768,0.03137,0.0139,0.00905,4.83187,3.58736,0.53698,0.01787,0.33568,0.33182,10.69981,1.62198,0.09003,0.01301,0.04955,0.26821,-0.62977,-1.36037
"23","2016_Q2",24.3428125,"Up",235511000,-192154000,43357000,-35825000,-30487000,-3452000,7532000,-415000,-415000,7117000,7117000,-1749000,5368000,5368000,5368000,5368000,18868000,18868000,112921000,112921000,213218000,12855000,12855000,357862000,267295000,848495000,-581200000,131859000,12167000,86725000,26971000,5996000,399154000,757016000,57713000,32619000,21087000,23109000,19245000,3442000,100067000,14052000,154750000,90298000,44807000,111000,19534000,168802000,268869000,488147000,757016000,5368000,11308000,-878000,-32474000,-16676000,-9744000,-9744000,-1801000,23635000,-768000,20604000,-5816000,-5816000,448000,-5368000,18840000,37161000,-21629000,0.1841,0.03198,0.02279,0.011,0.00709,-4.02925,3.57622,0.5508,0.04909,0.26816,0.26537,11.76496,-1.08048,0.08997,0.01054,-0.0318,0.33551,0.97097,2.4287
"24","2016_Q3",26.734375,"Up",249776000,-204470000,45306000,-39529000,-32437000,-3171000,5777000,-512000,-512000,5265000,5265000,284000,5549000,5549000,5549000,5549000,20985000,20985000,111752000,111752000,211965000,13663000,13663000,358365000,264678000,856795000,-592117000,130864000,10936000,86725000,27443000,5760000,395542000,753907000,57822000,30213000,23355000,14823000,24618000,2953000,97263000,13884000,150034000,86864000,43661000,167000,19342000,163918000,261181000,492726000,753907000,5549000,12189000,2492000,6307000,26537000,-11561000,-11561000,-1903000,-8653999.99999999,-59000,-12817000,2159000,2159000,-41999.9999999999,2117000,17966000,28707000,12428000,0.18139,0.02313,0.02222,0.01126,0.00736,2.23968,3.68449,0.53007,0.03808,0.27724,0.27451,12.47944,0.62093,0.09508,0.0111,0.01851,0.34294,0.42981,1.33668
"25","2016_Q4",33.6015873015873,"Up",249619000,-198864000,50755000,-40604000,-34177000,-3237000,10151000,-490000,-490000,9661000,9661000,-1616000,8045000,8045000,8045000,8045000,15806000,15806000,118826000,118826000,210213000,13871000,13871000,358716000,260390000,862474000,-602084000,129011000,10706000,86725000,26655000,4925000,389401000,748117000,61067000,32941000,24275000,12803000,24789000,1152000,98659000,3776000,145732000,84003000,42515000,142000,19072000,149508000,248167000,499950000,748117000,8045000,10882000,2885000,-4451000,17361000,-6315000,-6315000,-1897000,-12270000,-1041000,-16343000,-5297000,-5297000,118000,-5179000,21033000,16579000,11883000,0.20333,0.04067,0.03223,0.01609,0.01075,1.47707,3.63592,0.49638,0.02216,0.40312,0.39843,12.50784,0.59543,0.09505,0.01501,0.01794,0.2358,0.03675,0.07615
"26","2017_Q1",35.1382258064516,"Up",234330000,-189220000,45110000,-37104000,-31871000,-2942000,8006000,-2148000,-372000,5858000,3272000,3506000,6778000,6778000,6778000,6778000,31464000,31464000,100817000,100817000,200865000,12138000,12138000,345284000,252631000,861267000,-608636000,143383000,11074000,86950000,39409000,5950000,396014000,741298000,57259000,32533000,19945000,733000.000000004,32385000,1105000,90377000,3605000,153227000,91505000,41369000,274000,20079000,156832000,247209000,494089000,741298000,6778000,11272000,-1742000,24650000,40958000,-7985000,-9735000,-1895000,-12446000,-221000,-14562000,16661000,16661000,-1003000,15658000,19278000,4338000,32437000,0.19251,0.03417,0.02893,0.01372,0.00914,4.78563,3.82049,0.50033,0.00585,0.33989,0.33525,11.75058,1.62657,0.09503,0.01331,0.04978,0.27958,-1.4071,-3.38821
"27","2017_Q2",33.9006349206349,"Down",240669000,-197513000,43156000,-39469000,-33521000,-3130000,3687000,-760000,-493000,2927000,2927000,123000,3050000,3050000,3050000,3050000,16341000,16341000,115497000,115497000,218548000,14157000,14157000,364543000,255751000,868037000,-612286000,151026000,13353000,89732000,41727000,6214000,406777000,771320000,67956000,40654000,23655000,6929000,21470000,2231000,96355000,25430000,152436000,92623000,40223000,275000,19315000,177866000,274221000,497099000,771320000,3050000,10090000,775000,-30744000,-16829000,-6312000,-22718000,-1895000,27816000,-1780000,23736000,-15811000,-15811000,688000,-15123000,13777000,32359000,-23402000,0.17932,0.01532,0.01267,0.00614,0.00395,-7.67279,3.78333,0.55164,0.04195,0.15274,0.14969,12.05213,-1.17192,0.0949,0.00725,-0.03432,0.62131,1.16266,4.34445
"28","2017_Q3",36.8701587301587,"Up",295842000,-241064000,54778000,-44676000,-37928000,-3544000,10102000,-1063000,-695000,9039000,9039000,-1726000,7313000,7313000,7313000,7313000,18497000,18497000,133674000,133674000,215987000,22162000,22162000,390320000,250267000,872618000,-622351000,148835000,12074000,90035000,40543000,6183000,399102000,789422000,75137000,46064000,25878000,3140000,31338000,2797000,109615000,23254000,153596000,94549000,39076000,277000,19694000,176850000,286465000,502957000,789422000,7313000,10635000,2998000,-3814000,17132000,-5422000,-5520000,-2004000,-6174000.00000001,-822000,-9681000,1930999.99999999,1930999.99999999,225000,2156000,20737000,26394000,13227000,0.18516,0.03415,0.02472,0.01454,0.00926,1.8087,3.56083,0.56956,0.03343,0.36543,0.35941,14.78323,0.660950000000001,0.10014,0.01364,0.01937,0.27403,0.38082,0.781729999999999
"29","2017_Q4",45.8798412698413,"Up",294268000,-238821000,55447000,-43483000,-36253000,-3429000,11964000,-939000,-533000,11025000,11025000,-1705000,9320000,9320000,9320000,9320000,22486000,22486000,125417000,125417000,220223000,19115000,19115000,387241000,244567000,877002000,-632435000,147135000,10771000,89720000,40332000,6312000,391702000,778943000,75581000,44678000,27950000,767000,36748000,5859000,113096000,3010000,150845000,92014000,37991000,279000,20561000,153855000,266951000,511992000,778943000,9320000,12719000,3545000,9610000,35194000,-6592000,-6592000,-2004000,-22894000,-95000,-24993000,3609000,3609000,380000,3989000,24683000,3777000,29406000,0.18842,0.04066,0.03167,0.0182,0.01196,3.15515,3.424,0.5214,0.00485,0.46507,0.45662,14.68403,1.46737,0.1,0.01699,0.04411,0.21502,-0.75797,-1.56377
"30","2018_Q1",49.3332786885246,"Up",308668000,-249220000,59448000,-44526000,-36578000,-3878000,14922000,-873000,-462000,14049000,13405000,-21637000,-8232000,-8232000,-8232000,-8232000,41844000,41844000,124014000,124014000,220352000,24733000,24733000,410943000,255578000,891789000,-636211000,124563000,9847000,90677000,17047000,6992000,380141000,791084000,78187000,49059000,28044000,777000,48145000,5451000,127109000,18899000,150095000,93225000,36905000,213000,19752000,168994000,296103000,494981000,791084000,-8232000,9307000,23572000,7651000,32298000,-8528000,-8528000,-2010000,-388000,-2109000,-4507000,19263000,19263000,95000,19358000,24229000,19676000,44989000,0.1926,0.04834,-0.02667,-0.01663,-0.01041,-5.46514,3.233,0.59821,0.02487,-0.40982,-0.40103,15.36656,2.23971,0.10006,-0.00936,0.06768,-0.24417,-0.91494,-1.48559
"31","2018_Q2",52.57015625,"Up",303467000,-245187000,58280000,-45029000,-38462000,-3643000,13251000,-1172000,-730000,12079000,12079000,-1515000,10564000,10564000,10564000,10564000,20206000,20206000,134174000,134174000,216443000,25584000,25584000,396407000,256700000,886653000,-629953000,124771000,8857000,90922000,17616000,7376000,381471000,777878000,83599000,53496000,27423000,787000,29376000,5417000,113762000,2643000,157144000,85660000,35820000,218000,35446000,159787000,273549000,504329000,777878000,10564000,9207000,-145000,-27801000,-8175000,-9525000,-9525000,-2012000,-401000,-2133000,-4546000,-22246000,-22246000,608000,-21638000,22458000,3430000,-13353000,0.19205,0.04367,0.03481,0.02095,0.01358,-1.26401,3.48453,0.5424,0.00441,0.52466,0.51346,15.07162,-0.66317,0.09993,0.01891,-0.02008,0.19046,-0.74699,-1.26602
"32","2018_Q3",58.3652380952381,"Up",309085000,-247247000,61838000,-46646000,-38473000,-3860000,15192000,-1104000,-667000,14088000,14088000,-2944000,11144000,11144000,11144000,11144000,42895000,42895000,135699000,135699000,209204000,19617000,19617000,407415000,256576000,894306000,-637730000,122175000,7899000,90697000,16588000,6991000,378751000,786166000,76416000,46240000,27182000,798000,39875000,7576000,117089000,18349000,134987000,80944000,34734000,210000,19099000,153336000,270425000,515741000,786166000,11144000,9142000,9069000,8124000,37479000,-11026000,-11026000,-2125000,-407000,-632000,-3164000,23289000,23289000,-6e+05,22689000,24334000,19147000,24376000,0.20007,0.04915,0.03605,0.02161,0.01418,2.18737,3.47953,0.52434,0.02435,0.55111,0.54115,15.28535,1.20548,0.10509,0.01981,0.03639,0.19069,-0.97592,-1.56319
"33","2018_Q4",51.6469841269841,"Down",297193000,-232258000,64935000,-46269000,-38872000,-4250000,18666000,-1413000,-613000,17253000,17253000,2713000,19966000,19966000,19966000,19966000,53612000,53612000,133894000,133894000,199913000,19894000,19894000,407313000,253695000,896626000,-642931000,127343000,7156000,90762000,22311000,7114000,381038000,788351000,79822000,42712000,28934000,807000,45965000,7805000,126594000,18195000,106819000,56068000,33649000,210000,16892000,125014000,251608000,536743000,788351000,19966000,8157000,-1621000,-6563000,19939000,-6424000,-6424000,-2125000,-278000,-241000,-2644000,10871000,10871000,-154000,10717000,26823000,19002000,11123000,0.21849,0.06281,0.06718,0.0372,0.02533,0.5571,3.21747,0.46877,0.0241,0.98641,0.96697,14.68272,0.54953,0.10498,0.03334,0.01679,0.10643,-1.29031,-1.85417
