"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"24","2019_Q2",13.9863492063492,"Up",35110000,-10214000,24896000,-15199000,-10901000,-4067000,-231000,9697000,-2960000,-2960000,6737000,-5914000,823000,-2556000,-1733000,-1733000,-1686000,-1686000,86205000,86205000,28624000,28624000,20032000,20032000,134861000,34390000,270468000,170068000,35752000,60163000,362011000,496872000,23688000,3771000,16450000,10271000,10271000,36092000,205131000,24257000,2192000,19520000,229388000,265480000,270678000,-59013000,17756000,530000,229951000,231392000,496872000,-1733000,4067000,10434000,-4746000,8022000,-2914000,-15248000,-534000,-1047000,-8273000,-8273000,-8273000,13764000,207264000,8660000,0.70909,0.27619,-0.04802,-0.00729,-0.00339,-5.13642,3.73659,1.14732,0.41714,-0.0432,-0.0432,0.89954,5.8915,0.22187,-0.00364,0.01871,8.79534,12.48417
"25","2019_Q3",12.40203125,"Down",39147000,-11317000,27830000,-13791000,-10813000,-2556000,-422000,14039000,-3005000,-3005000,11034000,-9739000,1295000,-3643000,-2348000,-2348000,-2358000,-2358000,79481000,79481000,31943000,31943000,19529000,19529000,130953000,34939000,268277000,170068000,33997000,59388000,357074000,488027000,20098000,2347000,17751000,7814000,7814000,30045000,204860000,25371000,2194000,19520000,230231000,260276000,271122000,-59573000,15398000,-647000,226300000,227751000,488027000,-2348000,2556000,14269000,-10668000,3809000,-1389000,-9440000,-426000,-1093000,-6724000,-6724000,-6724000,16595000,206993000,8181000,0.71091,0.35862,-0.06023,-0.01035,-0.00483,-3.46947,4.35856,1.14281,0.42414,-0.06021,-0.06021,0.99954,5.77812,0.20889,-0.00512,0.01778,7.68376,9.0827
"26","2019_Q4",13.036875,"Up",35846000,-10445000,25401000,-14980000,-11869000,-2581000,-530000,10421000,-3113000,-3113000,7308000,-6734000,574000.000000001,-3743000,-3169000,-3169000,-3169000,-3169000,85227000,85227000,29630000,29630000,19430000,19430000,134287000,34758000,266390000,170068000,32243000,58836000,352624000,486911000,21721000,2057000,19664000,7059000,7059000,30914000,203846000,25717000,2239000,19541000,229563000,260477000,273250000,-59540000,12229000,-956000,224983000,226434000,486911000,-3169000,2581000,12090000,712000,12214000,-622000,-5921000,-640000,-547000,5746000,5746000,5746000,13002000,205980000,16835000,0.70861,0.29072,-0.08841,-0.014,-0.00651,-5.3124,4.34389,1.15034,0.42303,-0.08082,-0.08082,0.91423,5.73804,0.42937,-0.00692,0.03675,9.28726,11.58747
"27","2020_Q1",12.4116129032258,"Down",39284000,-11162000,28122000,-14775000,-11178000,-3329000,-268000,13347000,-2875000,-2875000,10472000,-4549000,5923000,-2144000,3779000,3779000,3846000,3846000,92151000,92151000,29269000,29269000,24320000,13317000,145740000,34319000,263089000,167322000,32587000,61972000,347047000,492787000,23531000,1925000,21606000,8522000,8522000,34187000,203226000,24705000,2457000,19331000,227931000,262118000,274523000,-60521000,16075000,-792000,229285000,230669000,492787000,3779000,3329000,13328000,-8862000,11574000,-451000,-3136000,-533000,-1514000,6924000,6924000,6924000,16676000,205360000,9507000,0.71586,0.33976,0.0979,0.01667,0.0078,2.47192,4.26302,1.13634,0.41673,0.09804,0.09804,1.00145,5.84508,0.24236,0.00835,0.02063,6.78874,8.48198
"28","2020_Q2",9.13507936507937,"Down",32409000,-10967000,21442000,-17385000,-11233000,-3131000,-3021000,4057000,-2786000,-2786000,1271000,-12489000,-11218000,1675000,-9543000,-9543000,-9428000,-9428000,95009000,95009000,29212000,29212000,24617000,24617000,148838000,33440000,262647000,167322000,30684000,62893000,338193000,487031000,25203000,2537000,22666000,9202000,9202000,36539000,202916000,27057000,2502000,19331000,229973000,266512000,275803000,-60521000,6647000,-2679000,219250000,220519000,487031000,-9543000,3131000,17942000,-1349000,10181000,-349000,-6789000,-534000,-534000,2858000,2858000,2858000,7188000,205050000,3815000,0.66161,0.12518,-0.29091,-0.04275,-0.01936,-0.40465,4.0734,1.20857,0.42102,-0.23982,-0.23982,0.82438,5.57704,0.09704,-0.02083,0.00843,15.30899,27.12374
"29","2020_Q3",8.96625,"Down",34735000,-12560000,22175000,-13029000,-10208000,-2794000,-27000,9146000,-2496000,-2496000,6650000,-10371000,-3721000,-2884000,-6605000,-6605000,-6682000,-6682000,104983000,104983000,31677000,31677000,19725000,9801000,156385000,32326000,260374000,167322000,29058000,62269000,324617000,481002000,24759000,5046000,19713000,9582000,9582000,36475000,202865000,26821000,2469000,19331000,229686000,266161000,277159000,-61031000,-35000,-2598000,213495000,214841000,481002000,-6605000,2794000,17811000,-2747000,11253000,-264000,-235000,-534000,-1044000,9974000,9974000,9974000,11940000,204999000,11813000,0.63841,0.26331,-0.19237,-0.0311,-0.01389,-1.76788,4.28746,1.23887,0.42619,-0.16941,-0.16941,0.88064,5.41275,0.2995,-0.01496,0.02645,8.37655,10.93549
"30","2020_Q4",10.0440625,"Up",37172000,-10994000,26178000,-13762000,-10819000,-2771000,-172000,12416000,-2551000,-2551000,9865000,16000,9881000,-4664000,5217000,5217000,5297000,5297000,117741000,117741000,31965000,31965000,19503000,11471000,169209000,32543000,258940000,167322000,27435000,62852000,323462000,492671000,27740000,5520000,22220000,11957000,11957000,41831000,202322000,26772000,2474000,19331000,229094000,270925000,278474000,-61031000,5262000,-2225000,220480000,221746000,492671000,5217000,2771000,5345000,1370000,14703000,-1364000,-1411000,-534000,-534000,12758000,12758000,12758000,15187000,204456000,19857000,0.70424,0.33401,0.1425,0.02389,0.01075,3.74873,4.04506,1.22178,0.41499,0.13414,0.13414,0.94133,5.58333,0.50285,0.01169,0.04384,5.70982,6.98413
"31","2021_Q1",11.4493442622951,"Up",46868000,-13788000,33080000,-15168000,-12386000,-2776000,-6000,17912000,724000,-2543000,18636000,-6724000,11912000,-3119000,8793000,8793000,9578000,9578000,134471000,134471000,35955000,35955000,18542000,11635000,188968000,31798000,251297000,165597000,24761000,60939000,312877000,501845000,31610000,2350000,27027000,8913000,8274000,42657000,201632000,26070000,2832000,19306000,227702000,270359000,279805000,-61453000,14840000,-2187000,231005000,231486000,501845000,8793000,2776000,14238000,-5965000,19842000,-409000,-2158000,-532000,-954000,16730000,16730000,16730000,20688000,203766000,17433000,0.70581,0.38218,0.20436,0.04138,0.01909,1.82011,4.42994,1.16793,0.40603,0.24254,0.24254,1.1868,5.84956,0.44144,0.02076,0.03779,3.34953,3.86864
"32","2021_Q2",12.3906349206349,"Up",37577000,-11779000,25798000,-20784000,-11391000,-2665000,-6728000,5014000,-3026000,-2358000,1988000,32661000,34649000,-1268000,33381000,33381000,33358000,33358000,194388000,194388000,32909000,32909000,19241000,9586000,246538000,33709000,429601000,310082000,54017000,65502000,496469000,743007000,176791000,5824000,168103000,20731000,20731000,200178000,250360000,25626000,2877000,19410000,275986000,476164000,283888000,-63904000,48198000,-1843000,266339000,266843000,743007000,33381000,2665000,-26118000,7850000,17778000,-2413000,-2238000,47466000,44377000,59917000,59917000,59917000,7679000,253016000,14384000,0.68654,0.13343,0.88772,0.12501,0.0449,0.4312,1.23159,1.78444,0.34053,0.84708,0.83907,0.95422,6.76331,0.36526,0.06115,0.02637,7.63485,11.69286
"33","2021_Q3",12.17578125,"Down",50460000,-14798000,35662000,-30608000,-24908000,-4337000,-1363000,5054000,-3165000,-3165000,1889000,-6445000,-4556000,-1785000,-6341000,-6341000,-6286000,-6286000,72439000,72439000,37937000,37937000,22538000,10159000,132914000,33038000,431227000,309774000,50741000,70712000,489555000,622469000,65132000,14261000,46050000,17239000,17239000,85057000,250189000,25716000,2872000,19509000,275905000,360962000,285378000,-64719000,41912000,-1513000,261058000,261507000,622469000,-6341000,4337000,12163000,-8038000,2121000,-440000,-122621000,-634000,-1449000,-121949000,-121949000,-121949000,9391000,252875000,2698000,0.70674,0.10016,-0.12457,-0.02404,-0.0101,-0.42921,1.56265,1.38031,0.40625,-0.15962,-0.15811,1.28136,6.6292,0.06851,-0.01164,0.005,19.21372,35.70162
"34","2021_Q4",9.77,"Down",50791000,-16024000,34767000,-42438000,-31164000,-10861000,-413000,-7671000,-2738000,-3278000,-10409000,-2913000,-13322000,-1479000,-14801000,-14801000,-14801000,-14801000,54680000,54680000,33473000,33473000,30452000,7417000,118605000,31728000,428579000,236764000,120879000,70936000,485266000,603871000,56830000,11602000,42276000,13935000,13935000,73421000,250498000,31256000,2917000,25545000,281754000,355175000,287068000,-64763000,27560000,-1169000,248696000,248696000,603871000,-14801000,10861000,7679000,-17790000,-14051000,-346000,-2969999.99999999,-694000,-738000,-17759000,-17759000,-17759000,3190000,253154000,-13467000,0.68451,-0.15103,-0.29141,-0.05951,-0.02451,0.90987,1.61541,1.42815,0.41922,-0.37397,-0.3704,1.28331,6.28369,-0.34026,-0.02776,-0.02526,62.21755,-25.87329
"35","2022_Q1",6.01483870967742,"Down",56822000,-16954000,39868000,-34446000,-26350000,-7641000,-455000,5422000,-3182000,-3182000,2240000,-2986000,-746000,-462000,-1208000,-1208000,-1208000,-1208000,49477000,49477000,33738000,33738000,43149000,35382000,126364000,31554000,417822000,231710000,115110000,71002000,473547000,599911000,48590000,11533000,35704000,22025000,14625000,73271000,249739000,27353000,2895000,22427000,277092000,350363000,288708000,-64780000,26352000,-732000,249548000,249548000,599911000,-1208000,7641000,10505000,-18306000,-1368000,-957000,-3154000,-664000,-681000,-5203000,-5203000,-5203000,13063000,252395000,-5738000,0.70163,0.09542,-0.02126,-0.00484,-0.00201,4.75,1.72461,1.40399,0.42072,-0.03011,-0.031,1.41637,6.22035,-0.14303,-0.00228,-0.01084,15.5338,37.42494
"36","2022_Q2",5.81645161290323,"Down",48799000,-15125000,33674000,-39405000,-30658000,-7629000,-1118000,-5731000,-3164000,-3164000,-8895000,-4726000,-13621000,393000,-13228000,-13228000,-13228000,-13228000,37329000,37329000,34637000,34637000,45284000,37529000,117250000,31558000,418070000,231710000,108866000,77494000,469283000,586533000,48189000,12629000,34978000,23332000,15297000,74177000,248660000,25716000,2940000,20737000,274376000,348553000,290082000,-64831000,13124000,-395000,237980000,237980000,586533000,-13228000,7629000,8584000,-12819000,-9834000,-1369000,-1599000,-664000,-715000,-12148000,-12148000,-12148000,1898000,251316000,-12683000,0.69006,-0.11744,-0.27107,-0.05558,-0.02255,0.9588,1.58068,1.46463,0.42848,-0.33309,-0.33309,1.22879,5.9925,-0.31937,-0.02568,-0.02463,112.74341,-37.33851
"37","2022_Q3",7.56098039215686,"Up",54174000,-18348000,35826000,-38185000,-25911000,-3335000,-8939000,-2359000,-3111000,-3111000,-5470000,2378000,-3092000,-819000,-3911000,-3911000,-3911000,-3911000,28894000,28894000,27078000,27078000,59640000,11591000,115612000,30286000,422687000,165597000,17319000,235843000,474911000,590523000,40323000,2557000,37342000,36069000,35414000,79048000,246328000,30271000,2985000,20682000,276599000,355647000,290905000,-64847000,9213000,-395000,234876000,234876000,590523000,-3911000,3335000,4774000,-11411000,-7213000,-542000,-542000,-664000,-680000,-8435000,-8435000,-8435000,976000,248984000,-10158000,0.66131,-0.04354,-0.07219,-0.01665,-0.00662,2.59729,1.46255,1.51419,0.42163,-0.09848,-0.09848,1.36414,5.91434,-0.25579,-0.00761,-0.01976,225.50205,-93.29801
