"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",22.42640625,"Down",53835000,-23127000,30708000,-26383000,-15550000,-6194000,-4639000,4325000,28000,4353000,4353000,-1738000,2615000,2615000,2615000,2615000,144808000,67441000,77367000,33124000,33124000,23742000,6649000,16030000,201674000,11847000,161196000,71786000,8.4e+07,1752000,173043000,374717000,20542000,2251000,18291000,64931000,64931000,85473000,10488000,766000,10488000,95961000,279023000,-220000,-47000,278756000,278756000,374717000,2615000,4639000,-3672000,2806000,6388000,-1958000,-1958000,7519000,-2763000,2798000,51000,3762000,12948000,12948000,12948000,8964000,0,11550000,0.57041,0.08034,0.04857,0.00938,0.00698,4.41683,2.35951,0.34425,0,0.08264,0.08164,1.70132,8.8094,0.36501,0.00904,0.03993,-16.1544,-33.48162
"22","2016_Q1",19.763606557377,"Down",55866000,-23634000,32232000,-30354000,-17945000,-7560000,-4849000,1878000,169000,2047000,2047000,-236000,1811000,1811000,1811000,1811000,148986000,82010000,66976000,36348000,36348000,24203000,8169000,16034000,209537000,12471000,157561000,69921000,83073000,927000,170032000,379569000,23980000,4616000,19364000,65098000,65098000,89078000,10171000,1058000,10171000,99249000,278799000,1591000,-70000,280320000,280320000,379569000,1811000,4849000,-1400000,4138000,9398000,-2082000,-2082000,9905000,-1936000,5887000.00000001,0,-715999.999999993,14569000,14569000,14569000,6727000,0,9019000,0.57695,0.03362,0.03242,0.00646,0.00477,4.98012,2.35229,0.35406,0,0.05723,0.05654,1.76529,8.85771,0.28499,0.00623,0.03105,-22.14747,-79.33227
"23","2016_Q2",22.56140625,"Up",54078000,-22900000,31178000,-28691000,-16533000,-7018000,-5140000,2487000,18000,2505000,2505000,-1004000,1501000,1501000,1501000,1501000,150483000,82793000,67690000,32389000,32389000,22850000,6371000,16479000,205722000,12170000,157901000,68440000,85253000,612000,170071000,375793000,21596000,1385000,20211000,62038000,62038000,83634000,10015000,1060000,10015000,93649000,279066000,3092000,-14000,282144000,282144000,375793000,1501000,5140000,5423000,-6352000,5712000,-1710000,-2685000,-996000.000000002,-1990000,-4696000,55000,-233000,783000,783000,783000,7627000,0,569000,0.57654,0.04599,0.02776,0.00532,0.00399,0.37908,2.45979,0.33192,0,0.0474,0.04695,1.70776,8.91,0.01797,0.00514,0.00195,-19.7303,-60.50784
"24","2016_Q3",24.8234375,"Up",54793000,-22622000,32171000,-29856000,-17530000,-7245000,-5081000,2315000,109000,2424000,2424000,-1022000,1402000,1402000,1402000,1402000,138809000,66803000,72006000,42014000,42014000,23673000,8312000,15361000,204496000,11138000,161549000,68982000,88628000,375000,172687000,377183000,22771000,1742000,21029000,58971000,58971000,81742000,11366000,1069000,11366000,93108000,279595000,4494000,-14000,284075000,284075000,377183000,1402000,5081000,-8286000,-3624000,-5427000,-549000,-549000,-4585000,-2313000,-10588000,38999.9999999991,25000,-15990000,-15990000,-15990000,7396000,5.82076609134674e-11,4245000,0.58714,0.04225,0.02559,0.00494,0.00372,3.02782,2.50172,0.32776,0,0.04418,0.04371,1.72653,8.95119,0.13376,0.00475,0.01437,-18.76812,-59.96069
"25","2016_Q4",24.7244444444444,"Down",58366000,-24888000,33478000,-32192000,-19176000,-7261000,-5755000,1286000,338000,1624000,1624000,-461000,1163000,1163000,1163000,1163000,100567000,39820000,60747000,46166000,46166000,26346000,7584000,18762000,173079000,10403000,210569000,96520000,109796000,964000,220972000,394051000,30211000,3675000,26536000,65029000,65029000,95240000,12422000,778000,12422000,107662000,280759000,5657000,-27000,286389000,286389000,394051000,1163000,5755000,-1294000,9074000,14698000,-636000,-636000,11007000,-2767000,-42333000,0,652000,-26983000,-26983000,-26983000,7041000,0,15940000,0.57359,0.02203,0.01993,0.00406,0.00295,13.70593,1.81729,0.37593,0,0.03664,0.03622,1.83888,9.02297,0.50221,0.00389,0.05334,-14.28306,-78.2014
"26","2017_Q1",22.3796774193548,"Down",24887000,-4556000,20331000,-19248000,-12148000,-2710000,-4390000,1083000,116000,1199000,1199000,-474000,725000,-311000,-311000,-311000,103174000,49634000,53540000,44805000,44805000,29458000,8694000,20764000,177437000,10245000,208318000,94674000,109765000,603000,218563000,3.96e+08,26428000,3127000,23301000,68542000,68542000,94970000,14922000,1095000,14922000,109892000,280813000,5346000,-51000,286108000,286108000,3.96e+08,725000,4390000,814000,2976000,9251000,-936000,-936000,7004000,-1909000,960999.999999993,51000,-398000,9814000,9814000,9813999.99999999,5473000,-3.63797880709171e-12,7987000,0.81693,0.04352,-0.0125,-0.00109,-0.000790000000000001,-25.68167,1.86835,0.38409,0,-0.0098,-0.00968000000000001,0.78404,9.01355,0.25162,-0.00103,0.02653,-18.85145,-95.26685
"27","2017_Q2",26.3868253968254,"Up",51967000,-21152000,30815000,-28450000,-16773000,-5775000,-5902000,2365000,130000,2495000,2495000,-786000,1709000,1285000,1285000,1285000,115299000,53034000,62265000,39267000,39267000,29468000,7965000,21503000,184034000,10494000,207296000,93615000,109765000,645000,217790000,401824000,25822000,3837000,21985000,72306000,72306000,98128000,13936000,1590000,13936000,112064000,280986000,8823000,-49000,289760000,289760000,401824000,1709000,5902000,5841000,1605000,16527000,-931000,-931000,-8871000,-2420000,-12859000,99000,-268000,3400000,3400000,3400000,8267000,0,9727000,0.59297,0.04551,0.02473,0.00443,0.0032,7.56965,1.87545,0.38675,0,0.04044,0.04003,1.63552,9.11941,0.30613,0.00423,0.03203,-13.9469,-48.75222
"28","2017_Q3",22.8290476190476,"Down",52920000,-21224000,31696000,-28896000,-16744000,-6151000,-6001000,2800000,165000,2965000,2965000,-741000,2224000,2267000,2267000,2267000,115693000,54551000,61142000,37149000,37149000,28944000,9306000,19638000,181786000,10263000,205726000,91917000,109765000,773000,215989000,397775000,25762000,14552000,11210000,67133000,67133000,92895000,12256000,1339000,12256000,105151000,281570000,11090000,-36000,292624000,292624000,397775000,2224000,6001000,4087000,-6204000,6517000,-2727000,-2727000,1020000,-2560000,-5106000,131000,106000,1517000,1517000,1517000,8801000,0,611000,0.59894,0.05291,0.04284,0.00775,0.0057,0.269520000000004,1.9569,0.35934,-8.470329472543e-22,0.07112,0.07034,1.66018,9.18007,0.01917,0.00744,0.002,-13.14544,-41.31893
"29","2017_Q4",22.6050793650794,"Down",54743000,-22522000,32221000,-29490000,-17516000,-6003000,-5971000,2731000,186000,2917000,2917000,-1182000,1735000,2504000,2504000,2504000,123403000,60460000,62943000,38379000,38379000,27493000,8526000,18967000,189275000,9923000,204642000,89874000,110298000,699000,214565000,403840000,28232000,15235000,12997000,66509000,66509000,94741000,13442000,1497000,13442000,108183000,282083000,13594000,-20000,295657000,295657000,403840000,1735000,5971000,-2379000,5861000,12619000,-1170000,-1170000,-1873000,-3e+06,-6784000,92000,74000,5909000,5909000,5909000,8702000,0,14575000,0.58859,0.04989,0.04574,0.00847,0.0062,5.82069,1.99782,0.36591,0,0.07851,0.07772,1.7164,9.26999,0.45698,0.0081,0.04715,-14.18099,-45.18601
"30","2018_Q1",23.3831147540984,"Up",55269000,-22310000,32959000,-31448000,-19056000,-6219000,-6173000,1511000,252000,1763000,1763000,1407000,3170000,3948000,3948000,3948000,131118000,84768000,46350000,36691000,36691000,31919000,8330000,17464000,199728000,8092000,203299000,84511000,86144000,754000,211391000,411119000,29356000,4178000,25178000,71710000,64938000,101066000,9883000,1048000,9883000,110949000,282666000,17542000,-38000,300170000,300170000,411119000,3170000,6173000,-4850000,5758000,11049000,-687000,-687000,16518000,-2117000,13170000,91000,88999.9999999995,24308000,24308000,24308000,7684000,0,11348000,0.59634,0.02734,0.07143,0.01315,0.0096,2.87437,1.97621,0.36962,0,0.12376,0.12248,1.73257,9.40972,0.35574,0.01273,0.0366,-17.06377,-86.77565
"31","2018_Q2",26.52984375,"Up",54858000,-22248000,32610000,-28880000,-16806000,-6001000,-6073000,3730000,313000,4043000,4043000,-414000,3629000,23846000,23846000,23846000,195374000,156028000,39346000,36503000,36503000,26622000,5962000,20660000,258499000,8297000,190387000,82340000,86144000,18124000,198684000,457183000,70393000,24519000,45874000,69238000,69238000,139631000,8508000,670000,8508000,148139000,285065000,24002000,-23000,309044000,309044000,457183000,3629000,6073000,-424000,273000,8549000,-1858000,-1858000,6988000,-2541000,60677000,2368000,2034000,71260000,71260000,71260000,9803000,0,8632000,0.59444,0.06799,0.43469,0.07716,0.05216,0.36199,1.8513,0.47935,0,0.74294,0.74213,1.70913,9.62844,0.26893,0.07509,0.02718,-19.93002,-52.37909
"32","2018_Q3",29.9003174603175,"Up",57008000,-23236000,33772000,-29508000,-16943000,-6547000,-6018000,4264000,476000,4740000,4740000,-1084000,3656000,2546000,2546000,2546000,165535000,122577000,42958000,30850000,30850000,28681000,11965000,16716000,225066000,8770000,183852000,80222000,86144000,13709000,192622000,417688000,32573000,22021000,10552000,64126000,64126000,96699000,8801000,652000,8801000,105500000,285673000,26548000,-33000,312188000,312188000,417688000,3656000,6018000,6196000,-9216000,6653000,-1412000,-1412000,-3591000,-2553000,-7932000,184000,-32172000,-33451000,-33451000,-33451000,10282000,1.77635683940025e-15,737999.999999999,0.59241,0.0748,0.04466,0.00816,0.00610000000000001,0.28987,2.32749,0.33794,0,0.0787899999999999,0.0786300000000002,1.7643,9.66167,0.02284,0.10872,0.0023,-16.09949,-38.82153
"33","2018_Q4",25.932380952381,"Down",59925000,-25102000,34823000,-30163000,-17556000,-6601000,-6006000,4660000,-548000,4112000,4112000,-1077000,3035000,3035000,3035000,3035000,174308000,130283000,44025000,28835000,28835000,27516000,10714000,16802000,230659000,8683000,182158000,78420000,86144000,14235000,190841000,421500000,35358000,20135000,15223000,62151000,62151000,97509000,8297000,882000,8297000,105806000,286128000,29583000,-17000,315694000,315694000,421500000,3035000,6006000,2703000,584000,12328000,-1072000,-1072000,-1030000,-3781000,-4612000,30000,-10000,7706000,7706000,7706000,10666000,0,11255000,0.58111,0.07776,0.05065,0.00961,0.0072,3.7084,2.36551,0.33515,0,0.0939,0.09363,1.854,9.76716,0.34821,0.00938,0.03474,-16.3424,-37.40515
"34","2019_Q1",26.2793442622951,"Up",59825000,-25428000,34397000,-31560000,-18840000,-6586000,-6134000,2837000,843000,3680000,3680000,-749000,2931000,-16176000,-16176000,-16176000,168818000,134321000,34497000,38124000,38124000,34492000,18016000,16476000,241434000,15866000,184648000,77730000,86144000,17253000,200514000,441948000,40793000,8497000,32296000,66061000,66061000,106854000,16147000,2211000,16147000,123001000,286597000,32373000,-23000,318947000,318947000,441948000,2931000,6134000,6231000,421000,15716000,-2824000,-2824000,9540000,-3242000,-11575000,5.82076609134674e-11,-103000,4038000,4038000,4038000.00000001,8971000,-1.11022302462516e-16,7317000,0.57496,0.04742,-0.27039,-0.05072,-0.0366,-0.45234,2.25948,0.38565,-8.27180612553028e-25,-0.50042,-0.49903,1.85073,9.86688,0.22636,-0.04827,0.02184,-18.81819,-59.50582
"35","2019_Q2",26.2655555555556,"Down",65187000,-26861000,38326000,-32957000,-19491000,-6927000,-6539000,5369000,822000,6191000,6191000,-1411000,4780000,5974000,5974000,5974000,146932000,110610000,36322000,37432000,37432000,39378000,19806000,19572000,223742000,23708000,236050000,85480000,95252000,48289000,259758000,483500000,38380000,19281000,19099000,72602000,72602000,110982000,47377000,33006000,47377000,158359000,286785000,38347000,9000,325141000,325141000,483500000,4780000,6539000,4377000,389000,16085000,-11338000,-11338000,-1764000,-8275000,-39379000,31000,-417000,-23711000,-23711000,-23711000,11908000,0,2370000,0.58794,0.08236,0.09164,0.01837,0.01236,0.39672,2.01602,0.48705,0,0.18474,0.18451,2.01586,10.05477,0.07329,0.01618,0.00636,-12.33893,-27.36673
"36","2019_Q3",26.8390625,"Up",63780000,-26806000,36974000,-34706000,-20125000,-7640000,-6941000,2268000,852000,3120000,3120000,-719000,2401000,2401000,2401000,2401000,161586000,120849000,40737000,27800000,27800000,25095000,11089000,14006000,214481000,28544000,233426000,81557000,97300000,47532000,261970000,476451000,31583000,18121000,13462000,66730000,66730000,98313000,48467000,32662000,48467000,146780000,288900000,40748000,23000,329671000,329671000,476451000,2401000,6941000,16878000,-5698000,20522000,-8248000,-8260000,-4357000,-3441000,-9840000,183000,-443000,10239000,10239000,10239000,9209000,-6.93889390390723e-18,-4018000,0.57971,0.03556,0.03765,0.00728,0.00504,-1.67347,2.18161,0.44523,-2.58493941422821e-26,0.07412,0.07402,1.96882,10.1766,-0.12403,0.00635,-0.01063,-17.54653,-71.24603
"37","2019_Q4",27.50484375,"Up",62450000,-25348000,37102000,-33355000,-19010000,-7196000,-7149000,3747000,854000,4601000,4601000,-1140000,3461000,3712000,3712000,3712000,172638000,133914000,38724000,25921000,25921000,24408000,10200000,14208000,222967000,26931000,230299000,78864000,97538000,46841000,257230000,480197000,35134000,19930000,15204000,64565000,64565000,99699000,46605000,31681000,46605000,146304000,289424000,44460000,9000,333893000,333893000,480197000,3461000,7149000,3995000,1335000,15940000,-1852000,-1853000,2016000,-2805000,-2828000,0,-47000,13065000,13065000,13065000,10896000,0,11519000,0.59411,0.06,0.05944,0.01112,0.00773,3.10318,2.2364,0.43818,0,0.11466,0.11444,1.92896,10.3133,0.3558,0.00976,0.03027,-15.84416,-46.07366
"38","2020_Q1",25.1235483870968,"Down",62695000,-24875000,37820000,-34484000,-19898000,-7346000,-7240000,3336000,681000,4017000,4017000,-463000,3554000,2109000,2109000,2109000,172866000,131538000,41328000,27650000,27650000,24056000,9432000,14624000,224572000,26065000,238907000,81526000,102196000,48134000,264972000,489544000,39674000,4810000,34864000,65511000,65511000,105185000,46191000,31090000,46191000,151376000,290021000,48143000,4000.00000000001,338168000,338168000,489544000,3554000,7240000,-10459000,12775000,13110000,-544000,-546000,-2634000,-3334000,-15477000,-4.65661287307739e-10,-8999.99999999953,-2376000,-2376000,-2376000,10576000,-8.67361737988404e-19,23270000,0.60324,0.05321,0.03364,0.00624,0.00431,11.03367,2.13502,0.44764,1.61558713389263e-27,0.06513,0.06496,1.93617,10.44341,0.71863,0.0055,0.06054,-16.34512,-51.81835
"39","2020_Q2",23.165873015873,"Down",61572000,-20359000,41213000,-33969000,-19052000,-7468000,-7449000,7244000,1706000,8950000,8950000,-1858000,7092000,7092000,7092000,7092000,142010000,107425000,34585000,32301000,32301000,26345000,8791000,17554000,200656000,24425000,256430000,81534000,123283000,47015000,280855000,481511000,30104000,16366000,13738000,72370000,72370000,102474000,43621000,30465000,43621000,146095000,280322000,55235000,-141000,335416000,335416000,481511000,7092000,7449000,-1037000,-7388000,6116000,-1010000,-1010000,6595000,-4068000,-19904000,-9876000,-10279000,-24067000,-24067000,-24113000,14693000,0,8153000,0.66935,0.11765,0.11518,0.02114,0.01473,1.14961,1.95812,0.43556,0,0.21934,0.21918,1.90425,10.37348,0.25215,0.01879,0.02151,-9.66515,-19.60381
"40","2020_Q3",21.2371875,"Down",60553000,-22935000,37618000,-33315000,-18335000,-7830000,-7150000,4303000,2e+05,4503000,4503000,-1062000,3441000,3441000,3441000,3441000,144523000,112534000,31989000,30621000,30621000,23536000,8969000,14567000,198680000,22936000,256209000,80178000,123285000,45887000,279145000,477825000,26316000,17422000,8894000,66126000,66126000,92442000,45959000,30859000,45959000,138401000,280746000,58677000,1000,339424000,339424000,477825000,3441000,7150000,4726000,-7901000,7416000,-258000,-258000,2646000,-3551000,-2191000,-133000,-134000,5091000,5091000,5109000,11453000,-5.42101086242752e-20,4356000,0.62124,0.07106,0.05683,0.01014,0.0072,1.26591,2.14924,0.40775,0,0.10754,0.10745,1.8924,10.60766,0.13613,0.00893,0.0113,-12.61879,-33.58657
"41","2020_Q4",20.0915625,"Down",60883000,-23302000,37581000,-34447000,-18848000,-8193000,-7406000,3134000,1e+05,3234000,3234000,-599000,2635000,2635000,2635000,2635000,149673000,107007000,42666000,26372000,26372000,23052000,8615000,14437000,199097000,21793000,255667000,79167000,123285000,46057000,277460000,476557000,32404000,22141000,10263000,62610000,62610000,95014000,45278000,30133000,45278000,140292000,274905000,61354000,6000,336265000,336265000,476557000,2635000,7406000,2729000,4451000,17221000,-466000,-466000,-10897000,-6004000,-16367000,-6343000,-6408000,-5554000,-5554000,-5527000,10540000,0,15124000,0.61727,0.05148,0.04328,0.00784,0.00553,5.73966,2.09545,0.41721,0,0.08246,0.08239,1.90539,10.52374,0.47332,0.00693,0.03964,-14.20047,-47.75782
"42","2021_Q1",23.8416393442623,"Up",61818000,-22736000,39082000,-37945000,-20947000,-8814000,-8184000,1137000,-1000,1136000,1136000,-213000,923000,923000,923000,923000,46494000,36566000,9928000,40726000,40726000,27505000,12560000,14945000,114725000,22218000,356525000,127346000,178440000,49765000,385588000,500313000,38266000,9333000,28933000,81176000,81176000,119442000,46809000,30683000,46809000,166251000,271784000,62277000,1000,334062000,334062000,500313000,923000,8184000,4913000,-8899000,5121000,-254000,-254000,32648000,-4449000,-71948000,-3667000,-3673000,-70500000,-70500000,-70441000,9321000,0,380999.999999998,0.63221,0.01839,0.01493,0.00276,0.00184,0.412780000000001,0.96051,0.49767,1.26217744835362e-29,0.02925,0.02922,1.95906,10.58666,0.01207,0.00242,0.00100000000000001,-4.98809,-40.89182
"43","2021_Q2",25.1468253968254,"Up",63468000,-22748000,40720000,-37420000,-18742000,-9525000,-9153000,3300000,-87000,3213000,3213000,-922000,2291000,2291000,2291000,2291000,55970000,45348000,10622000,33195000,33195000,25812000,10038000,15774000,114977000,20653000,366052000,125476000,188952000,50650000,386705000,501682000,28516000,20012000,8504000,88390000,88390000,116906000,47971000,29893000,47971000,164877000,272001000,64569000,235000,336805000,336805000,501682000,2291000,9153000,2435000,5225000,19104000,-1898000,-1898000,-705000.000000015,-6326000,-9660000,3096524.4200099,-411000,9033000,9033000,8782000,12453000,0,16702000,0.64158,0.05199,0.0361,0.0068,0.00457,7.29027,0.9835,0.48953,0,0.07272,0.07267,2.0146,10.69086,0.53015,0.00599,0.04341,-4.4945,-16.96061
"44","2021_Q3",29.20734375,"Up",64816000,-22770000,42046000,-38615000,-19130000,-10336000,-9149000,3431000,-65000,3366000,3366000,-925000,2441000,2441000,2441000,2441000,55141000,49792000,5349000,28405000,28405000,26621000,11969000,14652000,110167000,19516000,366619000,124020000,189965000,51660000,386135000,496302000,26376000,20365000,6011000,79542000,79542000,105918000,50005000,30557000,50005000,155923000,272783000,67010000,586000,340379000,340379000,496302000,2441000,9149000,4408000,-10778000,5220000,-509000,-509000,5231000,-5701000,-979000,7372337.71786953,-2.3283064365387e-10,4241000,4241000,4444000,12580000,0,2218000,0.6487,0.05293,0.03766,0.00717,0.00492,0.908639999999998,1.04012,0.45809,0,0.07748,0.07743,2.05739,10.80431,0.0704,0.00625,0.00568,-4.38323,-16.07141
"45","2021_Q4",26.45546875,"Down",64091000,-22585000,41506000,-39721000,-20236000,-10344000,-9141000,1785000,-99000,1686000,1686000,-186000,1500000,1500000,1500000,1500000,60554000,55459000,5095000,26991000,26991000,24711000,11224000,13487000,112256000,18333000,355787000,121595000,181114000,52104000,382458000,494714000,27373000,22170000,5203000,74577000,74577000,101950000,50566000,30446000,50566000,152516000,273573000,68510000,115000,342198000,342198000,494714000,1500000,9141000,3861000,-2390000,12112000,-195000,307609.532345973,182000,-6300000,-6313000,5793232.1567944,-79000,5720000,5720000,5667000,10926000,0,8527000,0.64761,0.02785,0.0234,0.00438,0.00303,5.68467,1.10109,0.4457,0,0.04756,0.04745,2.03218,10.85034,0.27037,0.00384,0.02171,-5.54219,-33.92381
"46","2022_Q1",22.6079032258065,"Down",64337000,-22930000,41407000,-41868000,-21044000,-11454000,-9370000,-461000,-38000,-499000,-499000,112000,-387000,-387000,-387000,-387000,51946000,46905000,5041000,30308000,30308000,24591000,10824000,13767000,106845000,17950000,354915000,121617000,182501000,50196000,379908000,486753000,26534000,21497000,5037000,73816000,73816000,100350000,47384000,27655000,47384000,147734000,270791000,68122000,106000,339019000,339019000,486753000,-387000,9370000,5407000,-8441000,5949000,-815000,-57084.8430525623,1370000,-5352000,-8771000,-5008000,-5719000,-8541000,-8541000,-8554000,8909000,0,-459000,0.6436,-0.00717,-0.00602,-0.00114,-8e-04,1.18605,1.06472,0.43577,4.93038065763132e-32,-0.01224,-0.01213,2.03482,10.72234,-0.01452,-0.001,-0.00119000000000001,-5.83073,112.68113
"47","2022_Q2",19.9393548387097,"Down",65367000,-21998000,43369000,-39334000,-19600000,-10412000,-9322000,4035000,-276000,3759000,3759000,-866000,2893000,2893000,2893000,2893000,45378000,43370000,2008000,35739000,35739000,26109000,9872000,16237000,107226000,17070000,352863000,119808000,182785000,49669000,376700000,483926000,24684000,17770000,6914000,89878000,89878000,114562000,46792000,26961000,46792000,161354000,251179000,71015000,378000,322572000,322572000,483926000,2893000,9322000,4250000,4190000,20655000,-636000,-635999.999999999,3001000,-6305000,-3962000,-19726000,-20223000,-3530000,-3530000,-3535000,13357000,0,17777000,0.66347,0.06173,0.04426,0.00897,0.00598,6.14483,0.93596,0.50021,0,0.09178,0.09178,2.07383,10.23388,0.56399,0.00783,0.04813,-3.39732,-11.2461
"48","2022_Q3",22.73796875,"Up",65638000,-22234000,43404000,-40450000,-20447000,-10583000,-9420000,2954000,678000,3632000,3632000,-549000,3083000,3083000,3083000,3083000,39216000,37216000,2e+06,28744000,28744000,27373000,11539000,15834000,95333000,16477000,359900000,121278000,187919000,50102000,382371000,477704000,23048000,18353000,4695000,81866000,81866000,104914000,46058000,26230000,46058000,150972000,253036000,74098000,-402000,326732000,326732000,477704000,3083000,9420000,3572000,-8749000,7326000,-519000,-545000,0,-5512000,-10018000,-3411000,-3412000,-6104000,-6104000,-6154000,12374000,-1.65436122510606e-24,3655000,0.66126,0.045,0.04697,0.00944,0.00645,1.18553,0.90868,0.46207,0,0.10111,0.10104,2.1527,10.71569,0.11987,0.00827,0.0098,-3.16923,-13.27556
