"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",23.17421875,"Up",29646000,-12520000,17126000,-13953000,-9471000,-2606000,-1876000,3173000,47000,3220000,3220000,-1279000,1941000,1941000,1941000,1941000,95599000,43888000,51711000,22777000,22777000,6957000,2496000,3281000,125333000,7784000,48539000,18552000,29432000,555000,56323000,181656000,10863000,1286000,9577000,28432000,28432000,39295000,7182000,708000,7182000,46477000,159072000,-23901000,8000,135179000,135179000,181656000,1941000,1876000,-5570000,5608000,3855000,-744000,-744000,-77000,-1072000,-2074000,9e+05,742000,2523000,2523000,2523000,5049000,0,11192000,0.57768,0.10703,0.06547,0.01436,0.01069,5.7661,3.18954,0.34382,0,0.07369,0.07082,1.12551,5.13208,0.42491,0.01363,0.07862,-18.93424,-30.1289
"12","2013_Q3",31.31609375,"Up",31919000,-12871000,19048000,-14943000,-10268000,-2778000,-1897000,4105000,28000,4133000,4133000,-1712000,2421000,2421000,2421000,2421000,101428000,54651000,46777000,21778000,21778000,6569000,3007000,3013000,129775000,7491000,48620000,18430000,29432000,758000,56111000,185886000,11457000,1605000,9852000,28541000,28541000,39998000,7149000,675000,7149000,47147000,160254000,-21480000,-35000,138739000,138739000,185886000,2421000,1897000,3956000,-770000,7504000,-499000,-499000,4485000,-941000,2795000,782000,464000,10763000,10763000,10763000,6002000,0,6445000,0.59676,0.12861,0.07585,0.01745,0.01302,2.66212,3.24454,0.33983,-1.6940658945086e-21,0.0906,0.08756,1.19448,5.19194,0.24119,0.01659,0.04418,-16.89903,-24.7084
"13","2013_Q4",32.8303125,"Up",33659000,-14092000,19567000,-15688000,-10439000,-3210000,-2039000,3879000,46000,3925000,3925000,-1629000,2296000,2296000,2296000,2296000,104695000,55103000,49592000,22741000,22741000,13212000,3196000,9467000,140648000,7870000,56283000,21415000,34044000,824000,64153000,204801000,19021000,1848000,17173000,35326000,35326000,54347000,7198000,643000,7198000,61545000,162469000,-19184000,-29000,143256000,143256000,204801000,2296000,2039000,1310000,6207000,11852000,-1171000,-1171000,-8320000,4058000,-12664000,1375000,1264000,452000,452000,452000,5918000,0,12583000,0.58133,0.11524,0.06821,0.01603,0.01121,5.4804,2.58796,0.42962,0,0.08477,0.08278,1.24267,5.28893,0.46456,0.01526,0.08363,-17.69094,-26.9902
"14","2014_Q1",28.5265573770492,"Down",37050000,-16122000,20928000,-17419000,-12216000,-3163000,-2040000,3509000,55000,3564000,3564000,-1804000,1760000,1760000,1760000,1760000,108196000,59537000,48659000,25314000,25314000,13614000,3365000,10249000,147124000,9038000,56432000,19947000,35746000,242000,65470000,212594000,18044000,2311000,15733000,38168000,38168000,56212000,6949000,776000,6949000,63161000,166888000,-17424000,-31000,149433000,149433000,212594000,1760000,2040000,-7698000,7741000,3843000,-2030000,-2030000,434000,-1250000,-3044000,261000,3635000,4434000,4434000,4434000,5549000,-7.27595761418343e-12,13064000,0.56486,0.09471,0.0475,0.01178,0.00828,7.42273,2.61731,0.42267,0,0.06455,0.06318,1.35893,5.48096,0.47917,0.01125,0.08354,-19.49829,-30.83386
"15","2014_Q2",23.9069841269841,"Down",38350000,-16926000,21424000,-18126000,-12179000,-3546000,-2401000,3298000,45000,3343000,3343000,-1395000,1948000,1948000,1948000,1948000,101997000,59045000,42952000,32073000,32073000,16181000,3231000,12950000,150251000,9189000,71519000,27775000,42749000,995000,80708000,230959000,22060000,2914000,19146000,47659000,47478000,69719000,6923000,750000,6923000,76642000,169816000,-15476000,-23000,154317000,154317000,230959000,1948000,2401000,-2882000,7727000,9194000,-1104000,-1104000,5341000,-1464000,-9978000,449000,292000,-492000,-492000,-492000,5699000,0,13717000,0.55864,0.086,0.0508,0.01262,0.00843,7.04158,2.15509,0.49665,0,0.07096,0.06981,1.39693,5.62113,0.49965,0.01208,0.08507,-17.89735,-30.92693
"16","2014_Q3",24.195625,"Up",42475000,-18737000,23738000,-19628000,-12612000,-4294000,-2722000,4110000,23000,4133000,4133000,-1770000,2363000,2363000,2363000,2363000,111763000,60862000,50901000,29785000,29785000,18833000,4038000,14795000,160381000,9468000,71550000,27356000,43233000,961000,81018000,241399000,23270000,1319000,21951000,51776000,51595000,75046000,9196000,615000,9196000,84242000,170279000,-13113000,-9000,157157000,157157000,241399000,2363000,2722000,4145000,3678000,12908000,-1319000,-1319000,-8289000,-1225000,-10848000,13000,-243000,1817000,1817000,1817000,6832000,-5.82076609134674e-11,10961000,0.55887,0.09676,0.05563,0.01504,0.00979,4.6386,2.1371,0.53604,0,0.08572,0.08426,1.54079,5.70091,0.39761,0.0142,0.06589,-16.35875,-27.19294
"17","2014_Q4",27.25125,"Up",44526000,-19115000,25411000,-20670000,-13643000,-4212000,-2815000,4741000,49000,4790000,4790000,-1354000,3436000,3436000,3436000,3436000,116422000,64927000,51495000,28177000,28177000,18336000,3566000,14770000,162935000,9007000,71391000,27753000,42654000,984000,80398000,243333000,20910000,799000,20111000,53527000,53303000,74437000,7654000,710000,7654000,82091000,170940000,-9677000,-21000,161242000,161242000,243333000,3436000,2815000,4002000,-3680000,6573000,-621000,-621000,-958000,-1336000,-2772000,410000,264000,4065000,4065000,4065000,7556000,0,4609000,0.5707,0.10648,0.07717,0.02131,0.01412,1.34139,2.1889,0.50912,0,0.12447,0.12251,1.61291,5.84083,0.16696,0.02034,0.02729,-15.40789,-24.55642
"18","2015_Q1",26.1491803278689,"Down",45339000,-19367000,25972000,-21746000,-14342000,-4411000,-2993000,4226000,29000,4255000,4255000,-1608000,2647000,2647000,2647000,2647000,120968000,81995000,38973000,33167000,33167000,20476000,5768000,14708000,174611000,9442000,73209000,27501000,41914000,2037000,82651000,257262000,23543000,4753000,18790000,53716000,53716000,77259000,12144000,2649000,12144000,89403000,174926000,-7030000,-37000,167859000,167859000,257262000,2647000,2993000,-10544000,10485000,5581000,-1500000,-1500000,12190000,-2633000,8057000,222000.000000001,3430000,17068000,17068000,17068000,7219000,9.31322574615479e-10,17812000,0.57284,0.09321,0.05838,0.01577,0.01029,6.72913,2.26007,0.53261,3.46944695195361e-18,0.09572,0.09422,1.63951,6.06997,0.6441,0.01471,0.09895,-16.75689,-28.6247
"19","2015_Q2",27.4920634920635,"Up",47156000,-20193000,26963000,-22173000,-14274000,-4646000,-3253000,4790000,9000,4799000,4799000,-2077000,2722000,2722000,2722000,2722000,64375000,34764000,29611000,35789000,35789000,24572000,5780000,16217000,124736000,10823000,163883000,70049000,88766000,2315000,174706000,299442000,21773000,1904000,19869000,66531000,66531000,88304000,12093000,2691000,40093000,128397000,175369000,-4308000,-16000,171045000,171045000,299442000,2722000,3253000,1693000,1339000,9007000,-2313000,-2313000,9158000,-2023000,-84253000,247000,28015000,-47231000,-47231000,-47231000,8043000,2.8e+07,9146000,0.57178,0.10158,0.05772,0.01591,0.00909,3.36003,1.41257,0.75066,0.09351,0.09826,0.09698,1.7022,6.17424,0.33014,0.01289,0.04332,-4.52257,-7.59395
"20","2015_Q3",25.51171875,"Down",52145000,-22432000,29713000,-27149000,-17079000,-5814000,-4256000,2564000,-44000,2520000,2520000,-1047000,1473000,1473000,1473000,1473000,139901000,54493000,85408000,33405000,33405000,25562000,6511000,17119000,198868000,11282000,161200000,73237000,83990000,1217000,172482000,371350000,22018000,3049000,18969000,64945000,64945000,86963000,12484000,2598000,12484000,99447000,274816000,-2835000,-78000,271903000,271903000,371350000,1473000,4256000,5037000,-641999.999999999,10124000,-1741000,-1741000,-56011000,-1543000,-59295000,98044000,68900000,19729000,19729000,19729000,6820000,0,5484000,0.56981,0.04917,0.02825,0.00542,0.00397,3.72301,2.28681,0.36574,-1.38777878078145e-17,0.05038,0.04973,1.78365,9.3006,0.18758,0.00518,0.01928,-20.51334,-54.56357
