"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",34.2626984126984,"Up",436300000,-282300000,1.54e+08,-45800000,-45800000,108200000,-34900000,-44400000,2600000,6400000,5e+05,73300000,58400000,-24200000,34200000,34200000,1100000,35300000,-2700000,32600000,126100000,126100000,1.69e+08,1.69e+08,107600000,225100000,61500000,627800000,4757900000,53500000,109900000,109900000,4921300000,5549100000,381900000,381900000,64400000,64400000,446300000,1906900000,832200000,583100000,249100000,2739100000,3185400000,6100000,667900000,1e+06,666900000,1411300000,-3500000,2081800000,281700000,2363500000,5548900000,34200000,45800000,31200000,3e+05,111500000,-5.1e+07,-5800000,-81800000,-2700000,-1e+07,5e+05,-21100000,8600000,8600000,8600000,1.54e+08,1971300000,127500000,0.35297,0.24799,0.07472,0.01379,0.00587,3.91104,1.40668,1.34775,0.35525,0.33997,0.33797,4.55001,21.64668,1.32965,0.02816,-50.327642714465,0.00683,0.02467,0.08282,11.98182,17.0536
"2","2010_Q3",32.630625,"Down",461600000,-287500000,174100000,-46900000,-46900000,127200000,-37700000,-41900000,-1400000,4600000,1e+06,89500000,5.7e+07,-19600000,37400000,37400000,2.3283064365387e-10,37400000,-2800000,34600000,84300000,84300000,176400000,176400000,106100000,223100000,56600000,589900000,4789600000,46400000,120100000,120100000,4956100000,5.546e+09,380500000,380500000,84700000,84700000,465200000,1615300000,846700000,604500000,242200000,2.462e+09,2927200000,6100000,887600000,1e+06,886600000,1445900000,-2700000,2336900000,281700000,2618600000,5545800000,37400000,46900000,31500000,-7e+06,108800000,-66400000,2800000,-63600000,-2800000,-283300000,215100000,-8.7e+07,-41800000,-41800000,-41800000,174100000,1.7e+09,120300000,0.37717,0.27556,0.07496,0.01321,0.00624,3.47688,1.26806,1.11785,0.30653,0.34599,0.34441,4.61591,23.30753,1.20298,0.028,-21.7375792858139,0.00724,0.02329,0.08092,9.2803,12.70204
"3","2010_Q4",40.27609375,"Up",438300000,-276200000,162100000,-46100000,-46100000,1.16e+08,-26600000,-36200000,2e+06,5200000,2400000,89400000,87500000,-34700000,52800000,52800000,1e+05,52900000,-2700000,50200000,68800000,68800000,173900000,173900000,106100000,288600000,86100000,637400000,4821700000,46800000,123200000,123200000,4991700000,5629100000,419600000,419600000,22300000,22300000,441900000,1610900000,904800000,674800000,2.3e+08,2515700000,2957600000,6100000,889400000,1e+06,888400000,1496100000,-1900000,2389700000,281600000,2671300000,5628900000,52800000,46100000,5100000,35600000,139600000,-76700000,-3600000,-80300000,-2700000,-6.8e+07,1e+05,-74800000,-15500000,-15500000,-15500000,162100000,1633200000,155700000,0.36984,0.26466,0.11453,0.01879,0.00892,3.10159,1.44241,1.10718,0.29014,0.49176,0.40633,4.29361,23.34986,1.52524,0.02645,-3.29503171432556,0.01015,0.02989,0.05378,9.65083,13.48621
"4","2011_Q1",46.5490322580645,"Up",478600000,-297400000,181200000,-46100000,-46100000,135100000,-29800000,-35600000,1500000,3500000,8e+05,105300000,86300000,-30700000,55600000,55600000,-1e+06,54600000,-2800000,51800000,85400000,85400000,1.6e+08,1.6e+08,101400000,229400000,91200000,576200000,4902400000,46400000,115900000,115900000,5064700000,5640900000,4.03e+08,4.03e+08,18100000,18100000,421100000,1621600000,884500000,654500000,2.3e+08,2506100000,2927200000,6100000,878200000,1e+06,877200000,1.548e+09,-1400000,2430900000,282600000,2713500000,5640700000,55600000,46100000,60300000,-25600000,136400000,-84900000,-899999.999999999,-85800000,-2800000,2300000,1300000,-3.4e+07,16600000,16600000,16600000,181200000,1639700000,101400000,0.3786,0.28228,0.10823,0.01909,0.00918,1.95753,1.36832,1.07875,0.29068,0.50664,0.47233,4.68105,23.71628,0.99176,0.02739,7,0.01042,0.01936,0.05405,8.57781,11.50481
"5","2011_Q2",49.2577777777778,"Up",488600000,-315100000,173500000,-45700000,-45700000,127800000,-27900000,-33100000,-1e+05,3600000,1700000,99900000,99900000,-35800000,64100000,64100000,-1e+05,6.4e+07,-1400000,62600000,101500000,101500000,180700000,180700000,107700000,214800000,72800000,604700000,4934100000,50400000,111100000,111100000,5095600000,5700300000,370600000,370600000,18200000,18200000,388800000,1616600000,916300000,693600000,222700000,2532900000,2921700000,6100000,881500000,1100000,880400000,1609200000,-9e+05,2495900000,282700000,2778600000,5700300000,64100000,45700000,39900000,-32600000,117100000,-93700000,9e+05,-92800000,-2800000,-5800000,4e+05,-8200000,16100000,16100000,16100000,173500000,1634800000,8.3e+07,0.3551,0.26156,0.12812,0.02253,0.01098,1.32588,1.5553,1.0515,0.28679,0.60037,0.57038,4.68596,23.87862,0.79602,0.02685,11.1475158571628,0.01227,0.01557,0.04473,8.83746,11.99765
"6","2011_Q3",48.40390625,"Down",534900000,-337800000,197100000,-45500000,-45500000,151600000,-26700000,-32400000,4e+05,5300000,0,124900000,114600000,-42900000,71700000,71700000,-9e+05,70800000,-1e+05,70700000,1.56e+08,1.56e+08,195800000,195800000,115400000,194300000,5.8e+07,661500000,4994100000,48800000,121300000,121300000,5164200000,5825700000,387600000,387600000,18200000,18200000,405800000,1614600000,951900000,730100000,221800000,2566500000,2972300000,6100000,882700000,1100000,881600000,1679900000,-9e+05,2567800000,285600000,2853400000,5825700000,71700000,45500000,45800000,-11200000,151800000,-73200000,-8100000,-81300000,-1e+05,-3800000,799999.999999998,-1.6e+07,54500000,54500000,54500000,197100000,1632800000,155600000,0.36848,0.28342,0.13217,0.02478,0.01214,2.20085,1.63011,1.04167,0.28028,0.64597,0.64389,4.8873,23.40585,1.42169,0.000909999999999998,11.1475158571628,0.01302,0.02861,0.00141,7.49264,9.74142
"7","2011_Q4",56.5160317460317,"Up",544500000,-340400000,204100000,-47900000,-47900000,156200000,-34100000,-32200000,-7200000,4700000,6e+05,122100000,143800000,-43700000,100100000,100100000,-3e+05,99800000,0,99800000,217100000,217100000,186900000,186900000,1.16e+08,203700000,71600000,723700000,5159500000,55200000,127600000,127600000,5342300000,6.066e+09,400600000,400600000,36300000,36300000,436900000,1676200000,9.98e+08,768400000,229600000,2674200000,3111100000,6100000,885100000,1100000,8.84e+08,1779700000,-1900000,2.669e+09,285900000,2954900000,6.066e+09,100100000,47900000,28300000,19900000,196200000,-110300000,-7800000,-118100000,0,-12300000,6e+05,-1.7e+07,61100000,61100000,61100000,204100000,1712500000,157400000,0.37484,0.28687,0.18329,0.03377,0.01645,1.57715,1.65644,1.05286,0.28231,0.91129,0.90841,4.97192,24.31539,1.43725,0,9,0.01762,0.02778,0,7.3268,9.57362
"8","2012_Q1",62.6195161290323,"Up",530300000,-332800000,197500000,-47100000,-47100000,150400000,-29200000,-31400000,-2300000,4600000,-1e+05,121200000,96700000,-7e+05,9.6e+07,9.6e+07,-3e+05,95700000,-1e+05,95600000,72400000,72400000,1.66e+08,1.66e+08,109600000,294500000,69500000,642500000,5321600000,50400000,130600000,130600000,5502600000,6145100000,401100000,401100000,36300000,36300000,437400000,1602800000,1046200000,861400000,184800000,2.649e+09,3086400000,6100000,885300000,1100000,884200000,1875300000,-2200000,2764500000,294200000,3058700000,6145100000,9.6e+07,47100000,48900000,-19100000,172900000,-1.95e+08,-33200000,-218200000,-99999.9999999998,-81400000,3e+05,-99400000,-144700000,-144700000,-144700000,197500000,1639100000,-15900000,0.37243,0.28361,0.18028,0.03126,0.01556,-0.16632,1.46891,1.00906,0.26673,0.87225,0.86983,4.83846,25.16765,-0.14507,0.000910000000000001,7,0.01666,-0.00277,0.00105,7.93266,10.41689
"9","2012_Q2",63.0009523809524,"Up",547500000,-341300000,206200000,-48400000,-48400000,157800000,-17400000,-27200000,3900000,5800000,1e+05,140400000,127500000,-52200000,75300000,75300000,-3e+05,7.5e+07,-1e+05,74900000,101800000,101800000,186600000,186600000,120900000,274600000,69500000,683900000,5.388e+09,57500000,124600000,124600000,5570100000,6.254e+09,400100000,400100000,46400000,46400000,446500000,1585500000,1091800000,863400000,228400000,2677300000,3123800000,6100000,902700000,1100000,901600000,1928800000,-1900000,2835700000,294500000,3130200000,6.254e+09,75300000,48400000,43400000,-27600000,139500000,-96700000,-4400000,-101100000,-1e+05,-7400000,3e+05,-9e+06,29400000,29400000,29400000,206200000,1631900000,134100000,0.37662,0.28822,0.1368,0.02393,0.01198,1.79039,1.53169,0.99796,0.26094,0.68326,0.68093,4.99444,25.81234,1.22329,0.00091,7,0.01281,0.02291,0.00134,7.42047,9.69645
"10","2012_Q3",67.2853968253968,"Up",545300000,-335800000,209500000,-48700000,-48700000,160800000,-24700000,-25300000,-3500000,4900000,-8e+05,136100000,1.74e+08,-53100000,120900000,120900000,-5e+05,120400000,1.45519152283669e-11,120400000,105500000,105500000,184800000,184800000,117300000,219800000,55200000,627400000,5479100000,54500000,129800000,129800000,5663400000,6290800000,393200000,393200000,52200000,52200000,445400000,1570700000,1042300000,868100000,174200000,2.613e+09,3058400000,6100000,906100000,1100000,9.05e+08,2027700000,-2500000,2937400000,2.95e+08,3232400000,6290800000,120900000,48700000,-4600000,5600000,170600000,-92100000,-38100000,-130200000,-21500000,-12400000,6e+05,-36700000,3699999.99999999,3699999.99999999,3699999.99999999,209500000,1622900000,176100000,0.38419,0.29488,0.2208,0.03725,0.01914,1.46262,1.40862,0.94617,0.25798,1.09765,1.09399,4.97133,26.72374,1.60545,0.19601,6,0.02406,0.02986,0.17857,7.24296,9.43657
