"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",7.05507936507937,"Down",-2783000,-1842000,-941000,-2783000,-1324000,-1324000,6000,-4107000,-4107000,-4107000,-4107000,-4107000,-4107000,28189000,28189000,155000,155000,28344000,30000,37000,37000,67000,28411000,478000,277000,201000,478000,478000,120501000,-92568000,27933000,27933000,28411000,-4107000,4000,2361000,-295000,-2037000,-11000,-11000,-11000,4000,22922000,22922000,22922000,-2779000,0,-0.14703,-0.14456,59.29707,0.01711,0,-0.55313,-0.55313,3.76202,-0.14703,10.14358,10.129
"2","2017_Q1",6.20435483870968,"Down",-3434000,-2198000,-1236000,-3434000,20999.9999999998,21000.0000000002,21000,-3413000,-3413000,-3413000,-3413000,-3413000,-3413000,26718000,26718000,96000,96000,26814000,28000,37000,37000,65000,26879000,1031000,353000,678000,1031000,1031000,121845000,-95997000,25848000,25848000,26879000,-3413000,5000,1328000,612000,-1468000,-3000,-3000,-3000,-3000,-1471000,-1471000,-1471000,-3429000,0,-0.13204,-0.12698,26.00776,0.03989,0,-0.28279,-0.28279,2.14169,-0.13204,7.79178,7.78043
"3","2017_Q2",5.4047619047619,"Down",-3568000,-2112000,-1456000,-3568000,24000,28000,28000,-3544000,-3544000,-3544000,-3544000,-3544000,-3544000,23812000,23812000,308000,308000,24120000,31000,37000,37000,68000,24188000,674000,295000,379000,674000,674000,123055000,-99541000,23514000,23514000,24188000,-3544000,5000,1210000,-569000,-2898000,-8000,-8000,-8000,-8000,-2906000,-2906000,-2906000,-3563000,0,-0.15072,-0.14652,35.78635,0.02866,0,-0.2945,-0.2945,1.95396,-0.15072,6.68313,6.67377
"4","2017_Q3",4.69761904761905,"Down",-3664000,-2220000,-1444000,-3664000,34000,36000,36000,-3630000,-3630000,-3630000,-3630000,-3630000,-3630000,21725000,21725000,191000,191000,21916000,32000,37000,37000,69000,21985000,673000,277000,396000,673000,673000,124483000,-103171000,21312000,21312000,21985000,-3630000,4000,1428000,116000,-2082000,-5000,-5000,-5000,-5000,-2087000,-2087000,-2087000,-3660000,2.71050543121376e-20,-0.17033,-0.16511,32.56464,0.03158,-8.07793566946316e-28,-0.29906,-0.29906,1.75581,-0.17033,5.93579,5.92931
"5","2017_Q4",3.65047619047619,"Down",-3326000,-1724000,-1602000,-3326000,42000,42000,42000,-3284000,-3284000,-3284000,-3284000,-3284000,-3284000,19606000,19606000,132000,132000,19738000,31000,37000,37000,68000,19806000,862000,286000,576000,862000,862000,125399000,-106455000,18944000,18944000,19806000,-3284000,4000,917000,248000,-2115000,-4000,-4000,-4000,-4000,-2119000,-2119000,-2119000,-3322000,0,-0.17335,-0.16581,22.89791,0.0455,0,-0.27004,-0.27004,1.55777,-0.17335,5.90187,5.89477
"6","2018_Q1",5.62229508196721,"Up",-2723000,-1399000,-1324000,-2652000,42000,42000,42000,-2610000,-2610000,-2610000,-2610000,-2610000,-2610000,17369000,17369000,248000,248000,17727000,67000,13000,13000,80000,17807000,949000,198000,751000,949000,949000,125923000,-109065000,16858000,16858000,17807000,-2610000,6000,525000,-115000,-2194000,-43000,-43000,-43000,-43000,-2237000,-2237000,-2237000,-2646000,8.67361737988404e-19,-0.15482,-0.14657,18.67966,0.05629,0,-0.21459,-0.21459,1.38601,-0.15482,6.56425,6.5494
"7","2018_Q2",5.6959375,"Up",-3139000,-1449000,-1690000,-3139000,47000,47000,47000,-3092000,-3092000,-3092000,-3092000,-3092000,-3092000,14547000,14547000,401000,401000,14948000,68000,13000,13000,81000,15029000,717000,283000,434000,717000,717000,126469000,-112157000,14312000,14312000,15029000,-3092000,8000,547000,-275000,-2812000,-10000,-10000,-10000,-10000,-2822000,-2822000,-2822000,-3131000,0,-0.21604,-0.20574,20.84798,0.0501,0,-0.25679,-0.25679,1.18861,-0.21604,4.64612,4.63428
"8","2018_Q3",5.54031746031746,"Down",-3204000,-1466000,-1738000,-3221000,50000,50000,50000,-3171000,-3171000,-3171000,-3171000,-3171000,-3171000,12254000,12254000,296000,296000,12646000,65000,13000,13000,78000,12724000,962000,339000,623000,962000,962000,127090000,-115328000,11762000,11762000,12724000,-3171000,8000,620000,254000,-2289000,-4000,-4000,-4000,-4000,-2293000,-2293000,-2293000,-3213000,-6.93889390390723e-18,-0.2696,-0.24921,13.14553,0.08179,-2.06795153138257e-25,-0.26252,-0.26252,0.97376,-0.2696,3.81388,3.80441
"9","2018_Q4",3.9715873015873,"Down",-3483000,-1561000,-1922000,-3483000,48000,48000,48000,-3435000,-3435000,-3435000,-3435000,-3435000,-3435000,9957000,9957000,227000,227000,10259000,63000,86000,86000,149000,10408000,1376000,354000,1022000,1451000,1451000,127720000,-118763000,8957000,8957000,10408000,-3435000,8000,630000,542000,-2255000,-7000,-7000,-7000,-7000,-2297000,-2297000,-2297000,-3475000,0,-0.3835,-0.33003,7.0703,0.162,0,-0.28349,-0.28349,0.73921,-0.3835,2.86532,2.85874
"10","2019_Q1",3.42475409836066,"Down",-3405000,-1437000,-1968000,-3290000,91000,91000,91000,-3199000,-3199000,-3199000,-3199000,-3199000,-3199000,18933000,18933000,170000,170000,19288000,56000,13000,13000,69000,19357000,1556000,348000,1208000,1611000,1611000,139708000,-121962000,17746000,17746000,19357000,-3199000,9000,629000,144000,-2417000,-2000,-2000,-2000,-2000,8976000,8976000,8976000,-3281000,0,-0.18027,-0.16526,11.97269,0.09078,-3.30872245021211e-24,-0.22242,-0.22242,1.23382,-0.18027,5.7705,5.75471
