"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q1",27.8548387096774,"Up",137798000,-2680000,135118000,-97895000,-71385000,-6996000,-19514000,37223000,-10000,-136000,37213000,33546000,-11529000,22017000,22017000,22021000,22021000,183532000,183532000,26854000,6279000,278322000,34754000,522810000,44030000,466892000,11888000,557564000,835886000,60401000,5903000,54498000,19395000,19395000,126530000,31956000,16004000,15952000,411956000,538486000,293878000,2369000,293537000,297400000,835886000,22017000,6996000,10396000,10865000,-13248000,-4737000,26161000,-5294000,-5294000,-431282000,410353000,-9626000,400727000,-4394000,-4394000,-454000,-4848000,44219000,426734000,37206000,0.98055,0.27013,0.15981,0.07405,0.02634,1.68957,2.19965,1.81065,0.51052,0.165,0.15834,1.0325,2.19942,0.27878,0.02912,0.04921,5.49994,6.53365
"2","2012_Q2",35.9471428571429,"Up",183715000,-2734000,180981000,-107604000,-83643000,-6120000,-17841000,73377000,-2236000,-2932000,71141000,71141000,-22970000,48171000,48171000,48111000,48111000,208625000,208625000,48112000,8158000,355321000,37760000,521347000,42421000,468167000,10759000,559107000,914428000,85775000,23806000,61969000,27014000,27014000,157416000,32302000,16106000,16196000,402302000,559718000,305513000,50480000,354710000,354710000,914428000,48171000,6120000,2355000,4692000,-26927000,-9367000,29719000,-7339000,-7339000,-311000,-12107000.0000001,-1276000,-4457000.00000012,24951000,24951000,142000,25093000,79497000,414627000,68201000,0.98512,0.39941,0.26188,0.13563,0.05261,1.41758,2.25721,1.57796,0.45343,0.3597,0.35335,1.37353,2.65196,0.5099,0.06002,0.08508,2.59132,2.80745
"3","2012_Q3",33.4485714285714,"Down",197148000,-2926000,194222000,-110544000,-82495000,-6475000,-21574000,83678000,-6944000,-2405000,76734000,76734000,-23569000,53165000,53165000,53019000,53019000,478241000,478241000,55307000,8655000,630421000,38828000,518004000,40536000,467088000,10380000,556832000,1187253000,88513000,28405000,60108000,26970000,26970000,169844000,30441000,14772000,15669000,390441000,560285000,525948000,103499000,626968000,626968000,1187253000,53165000,6475000,9027000,6768000,-6909000,-4282000,61758000,-5910000,-5910000,-5910000,-266000,252000,216829000,272677000,272677000,-3061000,269616000,90153000,414361000,100903000,0.98516,0.42444,0.26893,0.08456,0.04466,1.90315,3.71176,0.89364,0.34901,0.38067,0.37407,1.4155,4.50156,0.72447,0.04947,0.09415,-0.70857,-0.7634
"4","2012_Q4",32.1851612903226,"Down",212710000,-2876000,209834000,-117585000,-87703000,-6347000,-23535000,92249000,-1439000,-2806000,90810000,90810000,-31275000,59535000,59535000,59360000,59360000,548372000,548372000,48131000,8934000,699583000,41133000,518567000,39399000,468685000,10483000,559700000,1259283000,83028000,20421000,62607000,30014000,30014000,177525000,28469000,13399000,15070000,378469000,555994000,526540000,162859000,688644000,703289000,1259283000,59535000,6347000,7664000,8463000,2906000,11539000,76452000,-7338000,-7338000,-7338000,171000,-476000.000000001,177000.00000003,69291000,69291000,839999.999999999,70131000,98596000,414483000,125439000,0.98648,0.43368,0.27907,0.0844,0.04714,2.11319,3.94076,0.79056,0.32914,0.41702,0.41321,1.49436,4.83795,0.88125,0.05179,0.10944,-1.35796,-1.45139
"5","2013_Q1",41.7996666666667,"Up",169427000,-3464000,165963000,-119267000,-88159000,-7058000,-24050000,46696000,-3381000,-2857000,43315000,43315000,-9186000,34129000,34129000,33510000,33510000,486485000,367515000,64550000,10365000,632494000,43802000,523650000,38190000,471684000,13274000,666700000,1299194000,91932000,12796000,79136000,31563000,31563000,195640000,36586000,11023000,25563000,376586000,572226000,531399000,196438000,726968000,726968000,1299194000,34129000,7058000,4954000,10077000,24930000,-3890000,71071000,-8413000,-8413000,-230441000,-2798000,-24500000,-22549000,-181919000,-181919000,1079000,-180840000,53754000,412145000,79457000,0.97955,0.27561,0.19778,0.0461,0.02579,2.37114,3.23295,0.78714,0.31723,0.2352,0.23301,1.18918,5.10246,0.55769,0.0285,0.06758,-1.38297,-1.592
"6","2013_Q2",50.98515625,"Up",2.3e+08,-4e+06,2.26e+08,-1.38e+08,-1.02e+08,-7e+06,-2.9e+07,8.8e+07,-4e+06,-3e+06,8.4e+07,8.4e+07,-2.2e+07,6.2e+07,6.2e+07,6.2e+07,6.2e+07,406144000,211867000,64361000,11276000,583824000,46742000,520234000,36806000,469373000,13377000,757854000,1341678000,77942000,10758000,67184000,35202000,35202000,174453000,36963000,6958000,30005000,366963000,541416000,546002000,258737000,800262000,800262000,1341678000,6.2e+07,7e+06,1.3e+07,1.4e+07,-3.8e+07,9e+06,4.4e+07,-9e+06,-9e+06,-1.79e+08,-2.1e+07,-4e+06,-1.9e+07,-1.54e+08,-1.54e+08,-2e+06,-1.56e+08,9.5e+07,391309000,7e+07,0.98261,0.38261,0.26957,0.07747,0.04621,1.12903,3.3466,0.67655,0.29166,0.43338,0.42861,1.60768,5.59377,0.48929,0.05047,0.05698,-0.15616,-0.16858
"7","2013_Q3",63.0696875,"Up",2.47e+08,-4e+06,2.43e+08,-1.49e+08,-1.08e+08,-9e+06,-3.2e+07,9.4e+07,-4e+06,-2e+06,9e+07,9e+07,-2.3e+07,6.7e+07,6.7e+07,6.7e+07,6.7e+07,396095000,200058000,77396000,17059000,611472000,54601000,569647000,52122000,502015000,14460000,844113000,1455585000,134250000,9153000,125097000,42416000,42416000,241299000,42327000,8064000,34263000,362327000,603626000,573616000,325725000,851959000,851959000,1455585000,6.7e+07,9e+06,8e+06,1e+07,5e+06,-4.2e+07,8.9e+07,-1.5e+07,-1.5e+07,-7.7e+07,-7e+06,3e+06,-2.4e+07,-1.2e+07,-1.2e+07,0,-1.2e+07,1.03e+08,384633000,1.16e+08,0.98381,0.38057,0.27126,0.07864,0.04603,1.73134,2.53408,0.70852,0.26425,0.4668,0.45996,1.72088,5.93571,0.80819,0.05239,0.0907,-0.11128,-0.12194
"8","2013_Q4",72.82484375,"Up",2.55e+08,-7e+06,2.48e+08,-1.64e+08,-1.21e+08,-9e+06,-3.4e+07,8.4e+07,0,-3e+06,8.4e+07,8.4e+07,-2.8e+07,5.6e+07,5.6e+07,5.6e+07,5.6e+07,432355000,276358000,104259000,13989000,647752000,64551000,572325000,51007000,500686000,16414000,800401000,1448153000,146547000,11985000,134562000,44087000,44087000,256811000,52536000,10261000,42275000,362536000,619347000,590829000,381607000,828806000,828806000,1448153000,5.6e+07,9e+06,1.3e+07,1.1e+07,6.7e+07,6.7e+07,1.45e+08,-1.5e+07,-1.5e+07,4e+07,-9e+06,0,-1.12e+08,7.3e+07,7.3e+07,3e+06,7.6e+07,9.3e+07,376177000,1.73e+08,0.97255,0.32941,0.21961,0.06757,0.03867,3.08929,2.52229,0.74728,0.25976,0.39246,0.385,1.78709,5.80844,1.21242,0.04453,0.13757,-0.60406,-0.66879
"9","2014_Q1",81.1547540983607,"Up",2.13e+08,-3e+06,2.1e+08,-1.82e+08,-1.35e+08,-1.1e+07,-3.6e+07,2.8e+07,-2e+06,-2e+06,2.6e+07,2.6e+07,-6e+06,2e+07,2e+07,2e+07,2e+07,4.82e+08,3.51e+08,3.5e+07,3.5e+07,6.3e+08,8.2e+07,5.73e+08,5.2e+07,5.02e+08,1.9e+07,8.43e+08,1.473e+09,1.31e+08,1e+07,1.21e+08,4.4e+07,4.4e+07,2.43e+08,6.5e+07,1.3e+07,5.2e+07,3.65e+08,6.08e+08,6.08e+08,4.02e+08,8.65e+08,8.65e+08,1.473e+09,2e+07,1.1e+07,1.6e+07,1.4e+07,2.4e+07,2.4e+07,7.1e+07,-1.6e+07,-1.6e+07,2e+07,-8e+06,-3e+06,-1.5e+07,7.6e+07,7.6e+07,0,7.6e+07,3.9e+07,3.68e+08,5.3e+07,0.98592,0.13146,0.0939,0.02312,0.01358,2.65,2.59259,0.70289,0.24983,0.14071,0.13767,1.49861,6.08589,0.37289,0.01541,0.04083,-2.92308,-4.07143
"10","2014_Q2",81.8785714285714,"Up",2.81e+08,-8e+06,2.73e+08,-1.77e+08,-1.27e+08,-1.2e+07,-3.8e+07,9.6e+07,-2e+06,-2e+06,9.4e+07,9.4e+07,-2.6e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,4.61e+08,3.19e+08,3.3e+07,1.6e+07,6.45e+08,1.14e+08,5.72e+08,5e+07,5.02e+08,1.9e+07,9.7e+08,1.615e+09,1.64e+08,1.1e+07,1.53e+08,5.8e+07,5.8e+07,2.93e+08,8.8e+07,1.5e+07,7.3e+07,3.78e+08,6.71e+08,6.18e+08,4.7e+08,9.44e+08,9.44e+08,1.615e+09,6.8e+07,1.2e+07,6e+06,1.4e+07,2.3e+07,2.3e+07,1.09e+08,-2e+07,-2e+07,-1.27e+08,-8e+06,-8e+06,-1.4e+07,-3.2e+07,-3.2e+07,4235708.36765942,-3.2e+07,1.08e+08,3.61e+08,1.37e+08,0.97153,0.34164,0.24199,0.07203,0.04211,2.01471,2.20137,0.71081,0.22353,0.47753,0.46682,1.97333,6.62926,0.96209,0.04882,0.09835,-0.92593,-1.04167
