"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",12.114126984127,"Down",0,-2020533,-1091320,-929213,-2020533,-998190,-998190,-3018723,-31009723,-31009723,-31009723,-31009723,-31009723,730279,730279,319779,319779,1050058,193138,343936,343936,537074,1587132,1131787,752300,379487,37149824,-36252091,-36252091,-36252091,897733,689399,-39285924.2581424,689399,689399,1587132,-31009723,24213,29403862,334544,-1247104,-27739,-27739,3e+05,3e+05,51342,-1223501,-1223501,-1223501,-1996320,1750037,-44.98081,-19.53821,0.02827,1.3022,1.10264,-11.45024,-11.45024,0,0.25456,0.9171,-0.51082,-0.5047
"2","2014_Q3",12.145625,"Up",0,-3495023,-1938530,-1556493,-3495023,-36547,-36547,-3531570,278621,278621,278621,278621,278621,22945443,22945443,409396,409396,23354839,489760,6959.00000000012,6959.00000000012,496719,23851558,788220,636672,151548,788220,0,0,0,788220,59336808,-36273470,23063338,23063338,23851558,278621,30592,-3345698,-142965,-3179450,-327214,25444956,-3e+05,-3e+05,-50342,22215164,22215164,22215164,-3464431,0,0.0120799999999903,0.0116800000000019,29.62985,0.0341800000000001,0,0.0297300000000007,0.0258599999999998,0,2.46136,0.0120800000000001,6.62315,6.56518
"3","2014_Q4",9.3334375,"Down",0,-5830438,-2131382,-3699056,-5830438,5258,5258,-5825180,-5847998,-5847998,-5847998,-5847998,-5847998,18420480,18420480,359674,359674,18780154,1298894,328569,328569,1627463,20407617,1945377,1489114,456263,1945377,0,0,0,1945377,60583708,-42121468,18462240,18462240,20407617,-5847998,142093,769718,871771,-4064416,-460547,-460547,0,0,0,-4524963,-4524963,-4524963,-5688345,0,-0.31675,-0.28656,9.65373,0.10537,0,-0.61829,-0.61829,0,1.95195,-0.31675,3.23828,3.15936
"4","2015_Q1",9.86704918032787,"Up",1.45519152283669e-11,-9028715,-2701830,-6326885,-9028715,4704.99999999999,4704.99999999999,-9024010,-9024010,-9024010,-9024010,-9024010,-9024010,31494592,31494592,497364,497364,31991956,1515299,321668,321668,1836967,33828923,2508360,1716011,792349,2508360,-4.65661287307739e-10,-4.65661287307739e-10,-4.65661287307739e-10,2508360,82466041,-51145478,31320563,31320563,33828923,-9024010,174291,908770,825496,-7115453,-804194,20189565,0,0,0,13074112,13074112,13074112,-8854424,-2.91038304567337e-11,-0.28812,-0.26675,12.75413,0.08009,0,-0.88484,-1.02605,-8.67361737988404e-19,3.07112,-0.28812,3.55693,3.48827
"5","2015_Q2",8.2484126984127,"Down",2e+05,-7131600,-2856035,-4275565,-6931600,6321,6321,-6925279,-6925279,-6925279,-6925279,-6925279,-6925279,26500696,26500696,911031,911031,27411727,1533908,301472,301472,1835380,29247107,2724702,1807370,917332,3024702,0,0,0,3024702,84293162,-58070757,26222405,26222405,29247107,-6925279,191219,1699417,250575,-4784068,-209828,-209828,0,0,0,-4993896,-4993896,-4993896,-6740381,0,-0.2641,-0.23679,9.06262,0.11535,0,-0.54155,-0.54155,0.01564,2.05057,-0.2641,3.93163,3.82317
"6","2015_Q3",7.101875,"Down",225000,-6374970,-2595119,-3779851,-6149970,3388,3388,-6146582,-6146582,-6146582,-6146582,-6146582,-6146582,20508268,20508268,745804,745804,21254072,1613910,291183,291183,1905093,23159165,1862010,817341,1044669,1937010,0,0,0,1937010,85439494,-64217339,21222155,21222155,23159165,-6146582,223082,1139741,-932372,-5716131,-303084,-303084,14176,14176,26787,-5992428,-5992428,-5992428,-5926888,-1.81898940354586e-12,-0.28963,-0.26541,10.97262,0.09127,8.67361737988404e-19,-0.47591,-0.47591,0.01742,1.64316,-0.28963,3.46021,3.33469
"7","2015_Q4",7.39375,"Up",2075000,-7683317,-2730543,-4952774,-5608317,2656,2656,-5605661,-5605661,-5605661,-5605661,-5605661,-5605661,15510189,15510189,649602,649602,18159791,1630416,277363,277363,1907779,20067570,2761896,1774602,987294,2761896,0,0,0,2761896,87128674,-69823000,17305674,17305674,20067570,-5605661,203216,1527865,-1085288,-4959868,-219722,-219722,181511,181511,181511,-4998079,-4998079,-4998079,-5405101,0,-0.32392,-0.27934,6.57512,0.15959,0,-0.43053,-0.43053,0.15937,1.32913,-0.32392,2.86955,2.76557
"8","2016_Q1",6.87295081967213,"Down",0,-8887452,-3070601,-5816851,-8887452,3272,3272,-8884180,-8884180,-8884180,-8884180,-8884180,-8884180,29872564,29872564,803033,803033,30675597,1730365,269566,269566,1999931,32675528,3400852,2324973,1075879,3400852,0,0,0,3400852,107981856,-78707180,29274676,29274676,32675528,-8884180,200212,1665175,2473126,-4545667,-300161,-300161,159747,159747,19208203,14362375,14362375,14362375,-8687240,0,-0.30348,-0.27189,9.01997,0.11617,0,-0.61307,-0.61307,0,2.02017,-0.30348,3.43867,3.36121
"9","2016_Q2",10.856875,"Up",136364,-10936772,-3262679,-7674093,-10800408,3866,3866,-10796542,-10796542,-10796542,-10796542,-10796542,-10796542,23710666,23710666,747861,747861,24458527,1658631,249370,249370,1908001,26366528,5287157,4436972,850185,5650793,0,0,0,5650793,110219457,-89503722,20715735,20715735,26366528,-10796542,192104,1973730,2305113,-6325595,-120370,-120370,284067,284067,284067,-6161898,-6161898,-6161898,-10608304,0,-0.52118,-0.40948,4.32834,0.27278,0,-0.65902,-0.65902,0.00832,1.26449,-0.52118,2.2351,2.19535
"10","2016_Q3",14.8709375,"Up",181818,-10468991,-3006631,-7462360,-10287173,2617,2617,-10284556,-10284556,-10284556,-10284556,-10284556,-10284556,14191312,14191312,900367,900367,15121679,1681525,226351,226351,1907876,17029555,4487627,3256255,1231372,4699445,0,0,0,4699445,112118388,-99788278,12330110,12330110,17029555,-10284556,182468,1611873,-1131031,-9621246,-205362,-205362,307253.999999999,307253.999999999,307254,-9519354,-9519354,-9519354,-10104705,7.105427357601e-15,-0.8341,-0.60392,3.21776,0.38114,-6.7762635780344e-21,-0.61419,-0.61419,0.01086,0.73635,-0.8341,1.40443,1.37952
