"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",18.8733333333333,"Down",110515000,-45402000,65113000,-67800000,-25141000,-16053000,-26606000,-2687000,-6549000,-6710000,161000,-9236000,-9236000,3760000,-5476000,-5476000,-5476000,-5476000,-815049185.080055,-815049185.080055,51832996.6327875,51832996.6327875,1690912.97119106,61456726.1961412,-40732601.8886478,102189328.084789,-700068549.279935,1809151067.0229,2544400214.16979,-735249147.14689,265366898.462168,2615000.00101359,262751898.461154,2074517965.48507,1374449416.20513,-228448687.790012,286533073.80757,-312298082.631345,-202683678.966236,-203604775.022808,-53491323.4360225,-53491323.4360225,-485544786.248842,420616289.124299,832226158.978171,109037848.558496,241226025.885583,481962284.534091,1252842448.10247,767297661.853627,329211808.405872,277939945.945632,607151754.351503,607151754.351504,1374449416.20513,-5476000,16564000,-158000,-457000,10473000,-24620000,-24620000,-24620000,-25876000,-7758000,16740000,659000,9641000,-5762000,-5762000,-5762000,13877000,0,-14960000,0.58918,-0.02431,-0.04955,0.400717198919311,0.114480430325818,2.73192,-0.439262021286561,1.31725888777624,0.185405923209877,-0.11467,-0.11467,2.31416,12.3977089469853,-0.31326,0.16245,0.122923898111064,-0.799972614977486,-1.41673,-248.9169627326,-1586.99639360243
"2","2014_Q3",19.86296875,"Up",158416000,-61915000,96501000,-66019000,-23796000,-16087000,-26136000,30482000,-5641000,-6862000,1221000,24841000,24841000,-7671000,17170000,17170000,17170000,17170000,-346967092.540027,-346967092.540027,39750998.3163938,39750998.3163938,4093456.48559553,91673863.0980706,-8472800.94432389,100146664.042394,-211448774.639967,1674667533.51145,2408796607.08489,-734129073.573445,353241449.231084,2615000.0005068,350626449.230577,2027908982.74253,1816460208.10257,-30665343.8950059,158706536.903785,-135149541.315673,-54222339.4831183,-68857887.5114041,-18866661.7180112,-18866661.7180112,-118389893.124421,423953144.56215,883912079.489085,194005924.279248,230092012.942792,459814142.267046,1307865224.05123,1189475330.92681,329985904.202936,296998972.972816,626984877.175752,626984877.175752,1816460208.10257,17170000,16598000,-562999.999999996,-493999.999999996,32711000,-32427000,-32427000,-32427000,-32565000,-7769000,13497000,2088000,7816000,7962000,7962000,7962000,47080000,-2.98023223876953e-08,21830000,0.60916,0.19242,0.10839,0.198508599459655,0.0567352151629088,1.2714,0.31707398935672,1.90220944388812,0.201767961604938,0.35917,0.3586,3.31386,12.9923444734926,0.45666,0.16252,0.0629419490555322,-0.367641307488743,0.45248,-105.8684763663,-701.212641801215
"3","2014_Q4",20.8190625,"Up",191184000,-66980000,124204000,-64137000,-23765000,-14648000,-25724000,60067000,-7353000,-6950000,-403000,52714000,52714000,-19064000,33650000,33650000,33650000,33650000,-87963697.5133424,-87963697.5133424,31009332.7721313,31009332.7721313,5448152.16186518,103425287.699357,7303066.35189204,96122221.3474648,51919075.1200109,1607436844.50382,2347917202.36163,-740480357.857815,410652483.077028,2615000.00016893,408037483.076859,2018089327.58084,2070008402.70086,79427885.3683314,88031512.3012617,-36851180.4385575,28247553.5056273,25891704.1628653,-508553.906003746,-508553.906003746,104811035.625193,422185714.85405,911907359.829695,245558641.426416,220616004.314264,445732714.089015,1334093074.68374,1438904110.30894,330561301.400979,300542990.990939,631104292.391917,631104292.391917,2070008402.70086,33650000,15319000,220000,7794000,56983000,-29211000,-29211000,-29211000,-30670000,-7768000,-19941000,1175000,-26534000,-221000,-221000,-221000,75386000,0,73033000,0.64966,0.31418,0.17601,0.0772495331532184,0.0220984050543029,2.17037,0.65203799645224,2.27938314796271,0.217379320534979,0.70396,0.7034,3.99958,13.1713081578309,1.52786,0.16251,0.0269206496851774,-0.124703769162914,0.23085,-23.4960454554334,-197.657373933738
"4","2015_Q1",21.1504918032787,"Up",137384000,-49644000,87740000,-67028000,-24671000,-14429000,-27928000,20712000,-4372000,-6426000,2054000,16340000,16391000,-4997000,11394000,11394000,11394000,11394000,19587000,19587000,25803000,25803000,6041000,102693000,11618000,91075000,154124000,1590431000,2342471000,-752040000,442796000,2615000,440181000,2033227000,2187351000,125858000,59395000,4194000,62269000,85722000,6126000,6126000,217706000,419233000,923786000,270865000,214842000,438079000,1343019000,1560725000,331036000,295590000,626626000,626626000,2187351000,11394000,14841000,36573000,-34842000,27966000,-45700000,-45757000,-45757000,-45658000,-7768000,13796000,1766000,7794000,-9898000,-9898000,-9898000,35553000,504955000,-39992000,0.63865,0.15076,0.08294,0.01818,0.00521,-3.50992,0.70795,2.49068,0.23085,0.23835,0.23816,2.87396,13.10851,-0.8366,0.1625,0.00932,-0.01946,0.68176,13.65196,23.43414
"5","2015_Q2",20.6480952380952,"Down",121985000,-45202000,76783000,-68673000,-27695000,-15319000,-25659000,8110000,-5519000,-6523000,1004000,2591000,2591000,-1016000,1575000,1575000,1575000,1575000,33311000,33311000,24327000,24327000,6158000,95459000,9495000,85964000,159255000,1606622000,2373167000,-766545000,454868000,2615000,452253000,2061490000,2220745000,132652000,57684000,9583000,65385000,115711000,5580000,5580000,253943000,419014000,927122000,277094000,214814000,435214000,1346136000,1600079000,331508000,289158000,620666000,620666000,2220745000,1575000,15736000,-161000,9739000,26889000,-35047000,-35047000,-35047000,-35073000,-8007000,29712000,203000,21908000,13724000,13724000,13724000,23846000,534725000,-446000,0.62945,0.06648,0.01291,0.00254,0.00071,-0.28317,0.62713,2.578,0.24079,0.03293,0.03291,2.55065,12.97786,-0.00933,0.16742,0.0046,-0.000209999999999998,5.08381,21.02717,61.82663
"6","2015_Q3",18.96890625,"Down",144414000,-53022000,91392000,-69797000,-26637000,-15354000,-27806000,21595000,-6658000,-6633000,-25000,14937000,14937000,-5092000,9845000,9845000,9845000,9845000,24515000,24515000,29519000,29519000,6078000,90094000,6889000,83205000,150206000,1636676000,2419050000,-782374000,456167000,2615000,453552000,2092843000,2243049000,134597000,68677000,4212000,61708000,133171000,2647000,2647000,270415000,416779000,932819000,276591000,221333000,434895000,1349598000,1620013000,332053000,290983000,623036000,623036000,2243049000,9845000,15916000,210999.999999993,-4512000,21460000,-40780000,-40780000,-40780000,-40922000,-8020000,15284000,3402000,10666000,-8796000,-8796000,-8796000,37511000,549950000,-2688999.99999999,0.63285,0.14954,0.06817,0.0158,0.00439,-0.273129999999999,0.55546,2.60019,0.24518,0.20561,0.20557,3.0161,13.01218,-0.0561600000000001,0.1675,0.00848,-0.00128,0.814630000000001,14.00749,24.33133
"7","2015_Q4",19.86078125,"Up",183543000,-60437000,123106000,-75612000,-30737000,-15342000,-29533000,47494000,-7343000,-6703000,-640000,40151000,40151000,-15031000,25120000,25120000,25120000,25120000,50825000,50825000,41574000,41574000,6087000,92580000,8823000,83757000,191066000,1663565000,2460829000,-797264000,451889000,2615000,449274000,2115454000,2306520000,155720000,77261000,9678000,68781000,143180000,1870000,1870000,300770000,416447000,948451000,276525000,236443000,435483000,1364898000,1665668000,332769000,308083000,640852000,640852000,2306520000,25120000,15754000,708000,26593000,68175000,-42482000,-42482000,-42482000,-44410000,-8020000,8479000,2086000,2545000,26310000,26310000,26310000,63248000,559627000,62390000,0.67072,0.25876,0.13686,0.0392,0.01089,2.48368,0.63526,2.59915,0.24263,0.52468,0.52459,3.83364,13.38538,1.30313,0.16751,0.01542,0.02903,0.31927,8.04455,10.71297
"8","2016_Q1",21.9227868852459,"Up",138426000,-49265000,89161000,-70679000,-28041000,-15366000,-27272000,18482000,-6170000,-7411000,1241000,12312000,12627000,-4150000,8477000,8477000,8477000,8477000,8837000,8837000,31512000,31512000,6339000,80890000,7897000,72993000,127578000,1701768000,2506946000,-805178000,411907000,2615000,409292000,2113675000,2241253000,106013000,66380000,5088000,34545000,39658000,2227000,2227000,147898000,508002000,943198000,236266000,264897000,442035000,1451200000,1599098000,333614000,308541000,642155000,642155000,2241253000,8477000,15776000,26941000,-22749000,28445000,-58205000,-58524000,-58524000,-57853000,-8019000,-7832000,3609000,-12580000,-41988000,-41988000,-41988000,34258000,547660000,-42546000,0.64411,0.13352,0.06124,0.0132,0.00378,-5.01899,0.86261,2.49021,0.24435,0.17706,0.17701,2.89128,13.4126,-0.88865,0.16749,0.00773,-0.01995,0.94597,15.72838,29.15393
"9","2016_Q2",26.0025,"Up",121727000,-41069000,80658000,-75313000,-27827000,-16046000,-31440000,5345000,-6887000,-7335000,448000,-1542000,-1542000,744000,-798000,-798000,-798000,-798000,30878000,30878000,31397000,31397000,6321000,79925000,10108000,69817000,148521000,1739679000,2560787000,-821108000,411605000,2615000,408990000,2151284000,2299805000,116455000,65354000,11611000,39490000,40613000,1075000,1075000,158143000,557849000,950846000,239164000,264153000,447529000,1508695000,1666838000,333482000,299485000,632967000,632967000,2299805000,-798000,16454000,43000,15793000,31492000,-56463000,-56463000,-56463000,-57393000,-8258000,50670000,5996000,47942000,22041000,22041000,22041000,21799000,598462000,-19615000,0.66261,0.04391,-0.00656,-0.00126,-0.00035,24.5802,0.93916,2.63337,0.26022,-0.01666,-0.01666,2.54101,13.21296,-0.40946,0.17238,0.00342,-0.00899,-10.34837,26.03716,106.18971
"10","2016_Q3",28.775625,"Up",152445000,-57589000,94856000,-69452000,-23366000,-15842000,-30244000,25404000,-6642000,-7597000,955000,18762000,18762000,-7254000,11508000,11508000,11508000,11508000,30826000,30826000,36635000,36635000,6393000,85146000,13257000,71889000,1.59e+08,1785077000,2621322000,-836245000,414046000,2615000,411431000,2199123000,2358123000,118078000,77604000,5820000,34654000,81233000,2702000,2702000,202013000,555787000,963563000,238823000,271407000,453333000,1519350000,1721363000,334041000,302719000,636760000,636760000,2358123000,11508000,16247000,-378999.999999996,743000.000000007,28119000,-59692000,-59692000,-59692000,-59985000,-8274000,38175000,1995000,31814000,-51999.9999999925,-51999.9999999925,-51999.9999999925,41651000,637020000,-10044000,0.62223,0.16664,0.07549,0.01807,0.00488,-0.872779999999999,0.78708,2.70332,0.27014,0.23989,0.23984,3.17786,13.27385,-0.20938,0.17248,0.00884,-0.00449,0.718979999999997,14.55413,23.86215
