"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.57238095238095,"Up",5016540000,-3648674000,1367866000,-821363000,-821363000,546503000,-10202000,-10202000,536301000,536301000,-204867000,331434000,331434000,331434000,331434000,1959341000,1833270000,168043000,168043000,2615079000,362954000,240415000,5105417000,2254375000,394718000,214817000,2649093000,7754510000,3012201000,1684956000,1327245000,3014635000,789538000,910959000,222836000,688123000,1700497000,4715132000,407979000,2768697000,-137298000,3039378000,3039378000,7754510000,331434000,113613000,12403000,69966000,527416000,-149094000,10712000,-138155000,-49092000,-142132000,15475000,-176320000,212941000,212941000,5722000,218663000,660116000,791972000,785855000,0.27267,0.10894,0.06607,0.10905,0.04274,2.37108,1.69354,1.55135,0.10213,0.20306,0.19995,3.07346,1.86212,0.48147,0.03008,8.41487082126493,0.08024,0.16571,0.14812,-1.76843,-2.13607
"2","2010_Q3",8.93296875,"Down",5068080000,-3719210000,1348870000,-853801000,-853801000,495069000,-10272000,-10272000,484797000,496347000,-191363000,304984000,304984000,304984000,304984000,1519398000,1380169000,171203000,171203000,2884602000,373716000,277766000,4948919000,2338282000,399508000,219633000,2737790000,7686709000,2972091000,1847547000,1124544000,2974620000,788878000,949529000,230204000,719325000,1738407000,4713027000,400661000,2705754000,-132733000,2973682000,2973682000,7686709000,304984000,113618000,64517000,-344566000,138553000,-177762000,-15196000,-192727000,-61033000,-332052000,-470999.999999996,-394139000,-448313000,-448313000,-4788000,-453101000,608687000,791407000,277722000,0.26615,0.09768,0.06018,0.10256,0.03968,0.91061,1.66371,1.58491,0.10296,0.18886,0.18579,3.13846,1.84149,0.17198,0.0378,7,0.07763,0.05891,0.20012,-1.196,-1.47048
"3","2010_Q4",9.609375,"Up",5525847000,-4006404000,1519443000,-912808000,-912808000,606635000,-9518000,-9518000,597117000,597117000,-224808000,372309000,372309000,372309000,372309000,1469032000,1339065000,229318000,229318000,3272960000,325332000,290465000,5296642000,2470428000,415078000,235181000,2885506000,8182148000,3227325000,1974272000,1253053000,3229952000,788204000,1054670000,307810000,746860000,1842874000,5072826000,395802000,2815014000,-101494000,3109322000,3109322000,8182148000,372309000,113838000,103957000,-156881000,433223000,-213495000,10449000,-202809000,-59917000,-229458000,5317000,-284653000,-54239000,-54239000,13135000,-41104000,720473000,790831000,574905000,0.27497,0.10978,0.06738,0.11974,0.0455,1.54416,1.63985,1.63149,0.09665,0.23436,0.23092,3.47846,1.95729,0.3619,0.03772,6,0.08723,0.11603,0.16093,-0.94133,-1.11797
"4","2011_Q1",10.3508064516129,"Up",6331726000,-4666173000,1665553000,-1122081000,-1122081000,543472000,-9145000,-9145000,534327000,534327000,-203524000,330803000,334414000,334414000,334414000,1818012000,1741751000,200147000,200147000,2765464000,315904000,249832000,5099527000,2449801000,422435000,242499000,2872236000,7971763000,3130394000,1683929000,1446465000,3133121000,787517000,951226000,241905000,709321000,1738743000,4871864000,389657000,2801997000,-91755000,3099899000,3099899000,7971763000,334414000,116983000,-542000,426434000,877289000,-166783000,54621000,-113922000,-59287000,-313579000,4656000,-368816000,394551000,394551000,8135000,402686000,660455000,790244000,1123630000,0.26305,0.08583,0.05282,0.10788,0.04195,3.36,1.62762,1.57162,0.09913,0.21345,0.21016,4.04144,1.97862,0.7172,0.03784,5,0.08132,0.23209,0.17729,-1.55615,-1.89111
"5","2011_Q2",11.095873015873,"Up",5220295000,-3827258000,1393037000,-954474000,-954474000,438563000,-8917000,-8917000,429646000,429646000,-163695000,265951000,265951000,265951000,265951000,1462495000,1377146000,231119000,231119000,3014809000,299998000,227066000,5008421000,2564473000,411576000,231508000,2976049000,7984470000,3099057000,1786417000,1312640000,3101855000,786816000,972405000,256076000,716329000,1759221000,4861076000,386107000,2768087000,-30800000,3123394000,3123394000,7984470000,265951000,116228000,20953000,-260038000,143094000,-226053000,-4575000,-230384000,-58614000,-258337000,17388000,-300213000,-387503000,-387503000,22898000,-364605000,554791000,789614000,232395000,0.26685,0.08401,0.05095,0.08515,0.03331,0.87383,1.61465,1.55634,0.09889,0.17137,0.16875,3.36378,2.01261,0.14975,0.03777,4,0.06644,0.04757,0.22039,-1.21285,-1.53429
"6","2011_Q3",11.7290625,"Up",5468274000,-3976035000,1492239000,-923693000,-923693000,568546000,-9109000,-9109000,559437000,559437000,-211099000,348338000,348338000,348338000,348338000,1059859000,977763000,218083000,218083000,3368082000,383045000,316632000,5029069000,2650568000,417489000,237446000,3068057000,8097126000,3188490000,1922305000,1266185000,3191344000,786100000,1014693000,295972000,718721000,1800793000,4992137000,380980000,2770482000,-46473000,3104989000,3104989000,8097126000,348338000,120214000,39161000,-325086000,182627000,-213164000,2186000,-210728000,-73008000,-302144000,5027000,-370803000,-398904000,-398904000,-479000,-399383000,688760000,788954000,361609000,0.27289,0.10397,0.0637,0.11219,0.04302,1.0381,1.57585,1.60778,0.09744,0.22806,0.22434,3.58005,2.03282,0.23674,0.0478,7,0.08584,0.07367,0.20959,-0.39332,-0.47649
"7","2011_Q4",13.0230158730159,"Up",5793128000,-4166587000,1626541000,-954238000,-954238000,672303000,-8551000,-8551000,663752000,663752000,-257265000,406487000,406487000,406487000,406487000,1028669000,956932000,235975000,235975000,3706022000,447385000,366183000,5418051000,2698978000,413951000,233993000,3112929000,8530980000,3376588000,2048362000,1328226000,3379500000,785369000,1182783000,462384000,720399000,1968152000,5347652000,754280000,2511733000,-82685000,3183328000,3183328000,8530980000,406487000,120501000,154802000,-176681000,505109000,-211555000,7259000,-204043000,-71896000,-246271000,9349000,-309511000,-8445000,-8445000,-12386000,-20831000,792804000,788281000,661833000,0.28077,0.11605,0.07017,0.12769,0.04765,1.62818,1.60321,1.67989,0.0924,0.26946,0.26513,3.8402,2.11019,0.43872,0.04766,8,0.09281,0.1284,0.17687,-0.30321,-0.35756
"8","2012_Q1",15.3837096774194,"Up",6709758000,-4884369000,1825389000,-1057739000,-1057739000,767650000,-9071000,-9071000,758579000,758579000,-283265000,475314000,475314000,475314000,475314000,1601803000,1507112000,204304000,204304000,2950523000,376002000,270133000,5132632000,2706377000,442596000,262661000,3148973000,8281605000,3060453000,1645324000,1415129000,3063423000,784623000,1224269000,362501000,861768000,2008892000,5072315000,746702000,2655163000,-192575000,3209290000,3209290000,8281605000,475314000,128758000,-42494000,523626000,1085204000,-152558000,-24233000,-165886000,-71498000,-295061000,12080000,-355185000,564133000,564133000,-13953000,550180000,896408000,787593000,1550741000,0.27205,0.11441,0.07084,0.14811,0.05739,3.26256,1.67546,1.58051,0.0951,0.31667,0.31101,4.47024,2.13812,1.03315,0.04763,9,0.10473,0.29701,0.15042,-0.9083,-1.06065
"9","2012_Q2",17.9312698412698,"Up",5798086000,-4165728000,1632358000,-942126000,-942126000,690232000,-8827000,-8827000,681405000,681405000,-262205000,419200000,419200000,419200000,419200000,1738563000,1563691000,232884000,232884000,2909805000,350564000,242069000,5231816000,2819539000,451724000,271741000,3271263000,8503079000,3148686000,1757871000,1390815000,3151716000,783862000,1235688000,382928000,852760000,2019550000,5171266000,740952000,2744156000,-153295000,3331813000,3331813000,8503079000,419200000,120638000,15539000,149181000,704558000,-254261000,-77557000,-331555000,-70760000,-268944000,7879000,-331825000,41178000,41178000,15401000,56579000,810870000,786892000,967995000,0.28153,0.11904,0.0723,0.12582,0.0493,2.30915,1.65999,1.55209,0.09254,0.28239,0.27724,3.90584,2.24445,0.65208,0.04767,9,0.09151,0.18079,0.1688,-1.17364,-1.37877
"10","2012_Q3",19.5742857142857,"Up",5945559000,-4275073000,1670486000,-978514000,-978514000,691972000,-9182000,-9182000,682790000,682790000,-261698000,421092000,421092000,421092000,421092000,1796697000,1620402000,202140000,202140000,3007731000,334222000,250694000,5340790000,2848196000,447655000,267723000,3295851000,8636641000,3213827000,1863108000,1350719000,3225489000,774514000,1246621000,386482000,860139000,2021135000,5246624000,736100000,2852898000,-198981000,3390017000,3390017000,8636641000,421092000,125823000,24589000,31677999.9999999,603182000,-184652000,-5090000,-189475000,-84953000,-266761000,18124000,-335046000,78661000,78661000,-21950000,56710999.9999999,817795000,786176000,926519000,0.28096,0.11638,0.07082,0.12422,0.04876,2.20028,1.65581,1.54767,0.09103,0.28575,0.2802,4.03456,2.30041,0.62872,0.05765,9,0.09332,0.17086,0.20174,-1.23567,-1.46035
