"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",31.42515625,"Up",-3948839,189438,-4138277,-2953945,-537935,-537935,-3491880,-4382842.27085679,-3491880,-3542380,-3542380,-3542380,-4572794,2842194,2842194,755954,712767,4103005,17358388,3370058,3370058,20728446,24831451,22674888,14416288,1854629,6403971,11320688,1979576,35975152,3357261,5967285,591128,9324546,45299698,94002513,-114470878,-20468247,-20468247,24831451,-3542380,598097,-4429817,315887,-7058213,-346910,4819223,4819223,4271203,-2740061,-2740061,-2740061,-2355848,14677949,0.22341,-0.18415,0.11405,-2.21317,0.5911,-2.5844,-2.5844,-11.56807,-25.83689,-5.02399,-4.00676
"2","2016_Q4",27.978253968254,"Down",-22522387,-10504663,-12017724,-22027493,-299439,-299439,-22326932,0,-22326932,-22327432,-22327432,-22327432,-30194459,13555375,13555375,1302698,1259348,14861743,17054098,1076484,1076484,18130582,32992325,14655589,4534396,1854629,8266564,6301732,1979576,22936897,2934803,5557494,676231,8492297,31429194,138361441,-136798310,1563131,1563131,32992325,-22327432,598616,10577109,-4890157,-16041864,31630915,0,0,27207521,10713181,10713181,10713181,-21428877,9236535,-19.31665,-0.9152,0.64794,20.10656,0.27996,-12.8373,-12.8373,0.66457,-1.84595,0.20154,0.19607
"3","2017_Q1",24.8540322580645,"Down",-10447394,-6574193,-3873201,-9952500,-615465,-615465,-10567965,0,-10567965,-10567965,-10567965,-10567965,-10567965,2351887,2351887,3326607,3326607,5678494,18658553,1068887,1068887,19727440,25405934,13048091,5071520,1854629,6121942,6176202,1212561,20436854,2554540,7587445,2434061,10141985,30578839,142193370,-147366275,-5172905,-5172905,25405934,-10567965,603589,3836800,-4242738,-10370314,-489197,0,0,-504763,-11203488,-11203488,-11203488,-9348911,8730742,2.04295,-0.41596,0.27786,-5.91135,0.34365,-3.70504,-3.70504,-1.81358,-0.9482,-0.68231,-0.64093
"4","2017_Q2",14.1244444444444,"Down",-18098382,-4870668,-13227714,-17795242,-489145,-489145,-18284387,-810083,-19094470,-19098470,-19098470,-19098470,-19098470,2078535,2078535,1095976,1095976,3174511,16440919,830887,830887,17271806,20446317,20245758,11049027,1854629,7342102,5737457,6146222,32129437,304318,9844497,4994253,10148815,42278252,144660435,-166492370,-21831935,-21831935,20446317,-19098470,669780,3414955,9172067,-5841668,5540592,269273.059910928,269273.059910928,5716678,-273352.000000002,-273352.000000002,-273352.000000002,-17125462,6041775,0.874799999999996,-0.93408,0.0988,-1.93653,0.29549,-6.58654,-6.58654,-7.52924,3.21217,-0.23142,-0.22271
"5","2017_Q3",9.09460317460317,"Down",-8141132,-4021603,-4119529,-7837991,-1243892,-1243892,-9081883,1035902,-8045981,-8045981,-8045981,-8045981,-8045981,81049,81049,773632,773632,854681,15786378,819251,819251,16605629,17460310,21427309,12153079,1854629,7419601,5527354,7823702,34778365,221133,9314623,4767519,9535756,44314121,147683335,-174537146,-26853811,-26853811,17460310,-8045981,680150,2128362,1127009,-4110460,1476700,679789,679789,2156489,-1997486,-1997486,-1997486,-7157841,5748487,0.29962,-0.46082,0.02458,-1.6502,0.32923,-2.71325,-2.70439,-9.05558,0.6824,-0.79178,-0.72307
"6","2017_Q4",10.3661904761905,"Up",-7639550,-3481854,-4157696,-7336410,-1745544,-1745544,-9081954,3750578,-5331376,-5331376,-5331376,-5331376,-5331376,139898,139898,1048017,1048017,1187915,15137950,801197,801197,15939147,17127062,21269535,11792280,1854629,7622626,5258806,12739715,39268056,199644,6600896,2356933,6800540,46068596,150922530,-179864064,-28941534,-28941534,17127062,-5331376,672098,-297071,-676431,-5632780,4840251,927607,927607,5767858,58849,58849,58849,-6664312,5458450,0.18421,-0.31128,0.03025,-1.59178,0.3187,-1.74498,-1.74498,-9.4727,0.3158,-0.79806,-0.72495
"7","2018_Q1",8.93032786885246,"Down",-5812718,-3507908,-2304810,-2910620,-2147252,-2147252,-5057872,-817928,-5875800,-6373300,-6373300,-6373300,-7550043,3185519,3185519,719087,719087,3904606,16088902,740362,740362,16829264,20733870,20643956,10954358,2352129,7337469,5006220,3087561,28737737,13410877,9311790,4844925,22722667,51460404,152564427,-186215402,-30726534,-30726534,20733870,-6373300,670072,4243215,1539867,79854,2989747,2.3283064365387e-10,2.3283064365387e-10,2989747,3045621,3045621,3045621,-2240548,18417097,0.24572,-0.36414,0.13587,-1.67479,0.88826,-2.4427,-2.4427,-10.88724,2.51866,-6.79815,-5.2331
"8","2018_Q2",7.37578125,"Down",-3951654,-3549252,-402402,-3179764,-717883,-717883,-3897647,-1173570,-5071217,-1920501,-1920501,-1920501,-17726321,13837779,13837779,1511844,1511844,15349623,16306295,620786,620786,16927081,32276704,11420405,3629719,2352129,5438557,4838859,14941989,31201253,185968.999999998,8787484,4755269,8973453,40174706,163047599,-188135903,-7898002,-7898002,32276704,-1920501,676624,3642976,-11070176,-8671077,21487638,8866474.53258468,8866474.53258468,20398480,10652260,10652260,10652260,-2503140,5024828,2.24441,-0.5492,0.49196,-5.08669,0.15568,-5.67173,-5.67173,-8.02728,-2.99719,3.52076,2.77157
"9","2018_Q3",7.04015873015873,"Down",-7602891,-2446505,-5156386,-6831001,-920870,-920870,-7751871,211992,-7539879,-7539879,-7539879,-7539879,-8558238,5936115,5936115,981590,981590,6917705,20176847,692104,692104,20868951,27786656,10998188,3607776,2352129,5038283,5570640,15183471,31752299,3638598,7666066,4331523,11304664,43056963,162110693,-195675782,-15270307,-15270307,27786656,-7539879,731264,-121502,-508833,-7438950,-187528,18782879.249009,18782879.249009,-187528,-7901664,-7901664,-7901664,-6099737,9209238,0.56045,-0.308,0.21786,-2.81965,0.33143,-2.66058,-2.66058,-10.43469,-5.33225,-0.5366,-0.47916
"10","2018_Q4",6.14857142857143,"Down",-7991782,-2195789,-5795993,-7219892,-1147371,-1147371,-8367263,-64659,-8431922,-8431922,-8431922,-8431922,-9084534,11796668,11796668,1335654,1335654,13132322,20284405,669315,669315,20953720,34086042,11822786,3351211,2352129,6119446,5394113,15046445,32263344,3618752,7468579,4407177,11087331,43350675,190908104,-204107704,-9264633,-9264633,34086042,-8431922,822059,528995,-1454444,-8535312,-292202.999999996,14856088,14856088,14563885,5860553,5860553,5860553,-6397833,9012865,0.98056,-0.26652,0.40704,-4.67916,0.26442,-2.10412,-2.10412,-3.05723,-1.2588,0.43512,0.38557
