"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.41890625,"Up",3848393,-1450053,2398340,-598809,1799531,65954,65954,1865485,1865485,-621700,1243785,1243785,1243785,1243785,13046761.5766767,306417.545657998,12740344.0310187,-1078394.62528226,-1078394.62528226,3971137.70511989,293782.346556866,-232199.148016929,16233287.0030712,1340322.56266693,6452356.36157691,-5112033.79890998,1425088.81926271,17658375.8223339,-829870.521175678,-1631049.91024015,-168292.126905831,-829870.485475035,-181561.239264914,-181561.239264914,-181561.239264914,-1011431.72473995,459644.000000059,18405133.5348782,18669807.5470739,18669807.5470739,17658375.8223339,1243785,68083,38571,85102,1435541,-205136,-1347106,-1115775,319766,319766,319766,1867614,0,2369280,0.62321,0.46761,0.3232,0.0723029059752567,0.0802656959293506,1.9049,27.9440774976027,-0.103708562991845,0,0.2706,0.2706,0.83726,4.06178385716714,0.51546,-0.510327839545966,-0.227939915024244,-16.9822170248812,-17.9991629239203
"2","2011_Q1",7.97,"Up",2563214,-988122,1575092,-641957,933135,164686,164686,1097821,1097821,-262282,835539,835539,835539,835539,9828992,1514589,8314403,1090711,1090711,1321389,549143,148240,12790235,1209160,6471068,-5261908,1284504,14074739,1024240,208244,815996,1024240,3626,3626,3626,1027866,459644,12580394,13046873,13046873,14074739,835539,53428,47509,99377,1035853,-40556,347429,306873,-174099,-174099,-174099,986563,0,1307666,0.6145,0.36405,0.32597,0.06404,0.05936,1.56506,12.48754,0.07878,0,0.18178,0.18178,0.55765,2.83847,0.2845,0.18025,0.1002,-9.96286,-10.5333
"3","2011_Q2",8.15857142857143,"Up",3642049,-1460590,2181459,-521146,1660313,71323,71323,1731636,1726383,-560200,1166183,1166183,1166183,1166183,9684899.72444109,1742868.73478067,7942030.98966042,1812655.79176075,1812655.79176075,626638.681626703,544408.217814378,251799.549338976,12668602.4156429,1194364.39577769,6506543.12947436,-5312178.73369667,1260288.97691243,13928891.3925554,1689417.67372523,754419.220080051,1114993.12563528,1689417.66182501,51044.5797549713,51044.5797549713,51044.5797549713,1740462.24157998,459643.99999998,11659877.4050406,12188429.1509754,12188429.1509754,13928891.3925554,1166183,57269,5253,194359,1423064,-17418,-356598,-374016,1049048,1049048,1049048,1717582,0,2454723,0.59896,0.45587,0.3202,0.0737623646749144,0.0642139346902165,2.10492,7.48580083413243,0.135858687663948,0,0.25371,0.25371,0.79236,2.65171288094429,0.53405,0.338370113181989,0.205688305008081,-6.74876349170628,-7.07764985869322
"4","2011_Q3",8.07796875,"Down",4060299,-1628293,2432006,-700783,1731223,72580,72580,1803803,1815040,-590400,1224640,1224640,1224640,1224640,11044189,1443884,9600305,1694656,1694656,1027730,418830,200502,14185405,1238766,6549806,-5311040,1295274,15480679,1623829,558419,1002685,1623829,27973,27973,27973,1651802,459644,13316498,13828877,13828877,15480679,1224640,69099,-11239,225257,1507757,-113737,-859055,-972792,-1119753,-1119753,-1119753,1800322,0,2502242,0.59897,0.42638,0.30161,0.08856,0.07911,2.04325,8.73578,0.11945,0,0.26643,0.26643,0.88336,3.00861,0.54439,0.20779,0.18058,-6.13456,-6.37941
"5","2011_Q4",8.38698412698413,"Up",3345035,-1229561,2115474,-537248,1578226,61308,61308,1639534,2036983,-667700,1369283,1369283,1369283,1369283,11734689,1076391,10658298,1451085,1451085,1585490,350301,131973,15121565,1273572,6587343,-5313771,1320662,16442227,1264764,267458,766881,1264764,11104,11104,11104,1275868,459644,14685782,15166359,15166359,16442227,1369283,67364,1906,-600488,838065,-80484,-1125074,-1205558,-367493,-367493,-367493,1645590,0,1632318,0.63242,0.47181,0.40935,0.09028,0.08328,1.1921,11.95604,0.08412,0,0.2979,0.2979,0.72774,3.29959,0.35513,0.09022,0.10755,-7.13099,-7.43537
"6","2012_Q1",9.31741935483871,"Up",3291129,-1331716,1959413,-793613,1165800,127441,127441,1293241,1293241,-336817,956424,956424,956424,956424,10386729,1090974,9295755,1653440,1653440,1467434,465193,163034,13972796,1245487,6611691,-5366204,1283159,15255955,1077348,400389,676959,1077348,64578,64578,64578,1141926,459644,13619773,14114029,14114029,15255955,956424,61851,30501,-380533,668243,-24348,1393121,1368773,14583,14583,14583,1227651,0,1159587,0.59536,0.35422,0.29061,0.06776,0.06269,1.21242,12.96962,0.08091,0,0.20808,0.20808,0.71602,3.07064,0.25228,0.2101,0.08178,-8.46065,-8.90953
"7","2012_Q2",11.4336507936508,"Up",3888692,-1539840,2348852,-602863,1745989,69591,69591,1815580,1818330,-589700,1228630,1228630,1228630,1228630,12465727,1582188,10883539,1529393,1529393,1256575,390804,167258,15642499,1254832,6659441,-5404609,1283086,16925585,1423177,127506,794129,1423177,97565,97565,97565,1520742,459644,14848403,15404843,15404843,16925585,1228630,66943,3739,755124,2054436,-64120,-1499102,-1563222,491214,491214,491214,1812932,0,3093636,0.60402,0.44899,0.31595,0.07976,0.07259,2.51796,10.99125,0.09872,0,0.2673,0.2673,0.84602,3.35147,0.67305,0.07925,0.19956,-6.876,-7.13964
"8","2012_Q3",10.8553968253968,"Down",3735100,-1465119,2269981,-548254,1721727,41757,41757,1763484,1763484,-570400,1193084,1193084,1193084,1193084,11309644,1836114,9473530,2012659,2012659,1127825,391272,167726,14841400,1212121,6663205,-5451084,1230957,16072357,1238007,126259,1047306,1238007,121606,121606,121606,1359613,459644,14110983,14712744,14712744,16072357,1193084,55893,24486,-540154,733309,-3764,1454885,1451121,253926,253926,253926,1777620,0,1804102,0.60774,0.46096,0.31942,0.08109,0.07423,1.51213,11.98814,0.09241,0,0.25957,0.25957,0.81261,3.2009,0.3925,0.21056,0.12162,-6.36224,-6.56878
"9","2012_Q4",10.88,"Up",3527387,-1334491,2192896,-598100,1594796,51065,51065,1645861,1645861,-529700,1116161,1116161,1116161,1116161,12881191,1695602,11185589,1482541,1482541,1124250,327185,103639,15815167,1213816,6714562,-5500746,1223234,17038401,937045,163463,686940,937045,174035,174035,174035,1111080,459644,15227143,15927321,15927321,17038401,1116161,59080,8239,296818,1480298,-51358,-1569452,-1620810,-140512,-140512,-140512,1653876,0,2429036,0.62168,0.45212,0.31643,0.07008,0.06551,2.17624,16.8777,0.06976,0,0.24283,0.24283,0.76742,3.46514,0.52846,0.06932,0.15086,-7.78849,-8.07701
"10","2013_Q1",12.628,"Up",2674585,-879509,1795076,-759117,1035959,162604,162604,1198563,1699002,-406097,1292905,1292905,1292905,1292905,9492328,1748382,7743946,1017627,1017627,1242750,870698,132458,12623403,1235863,6771452,-5535589,1235863,13859266,827508,151385,676123,827508,193740,193740,193740,1021248,459644,12199395,12838018,12838018,13859266,1292905,72525,71923,-324649,1112704,-102764,3363494,3260730,52780.0000000001,52780.0000000001,52780.0000000001,1108484,0,1087168,0.67116,0.38733,0.4834,0.10071,0.09329,0.84087,15.25472,0.07955,0,0.28128,0.28128,0.58188,2.79304,0.23652,0.43076,0.08342,-8.56334,-9.16284
"11","2013_Q2",14.78171875,"Up",3952161,-1411156,2541005,-561568,1979437,54182,54182,2033619,2326449,-761800,1564649,1564649,1564649,1564649,11557601,2029112,9528489,1993514,1993514,1058004,481984,167786,15091103,1212894,6796232,-5583338,1212894,16303997,1681878,141842,787312,1681878,202772,202772,202772,1884650,459644,13764044,14419347,14419347,16303997,1564649,47749,-452,451942,2063888,-24780,-1758378,-1783158,280730,280730,280730,2027186,0,3216148,0.64294,0.50085,0.3959,0.10851,0.09597,2.05551,8.97277,0.1307,0,0.3404,0.3404,0.85983,3.13707,0.6997,0.10701,0.21995,-5.7013,-5.83883
"12","2013_Q3",16.48828125,"Up",3628571,-1363295,2265276,-635891,1629385,64925,64925,1694310,1987140,-644600,1342540,1342540,1342540,1342540,10683275,2103554,8579721,1444342,1444342,1020934,507857,193659,13656408,1232688,6861698,-5629010,1232688,14889096,1296678,162494,1036860,1296678,128716,128716,128716,1425394,459644,12946259,13463702,13463702,14889096,1342540,45672,-12987,175170,1550395,-65466,749839,684373,74442,74442,74442,1675057,0,2429361,0.62429,0.44904,0.36999,0.09972,0.09017,1.80953,10.53184,0.10587,0,0.29208,0.29208,0.78943,2.92916,0.52853,0.25771,0.17873,-6.37786,-6.55663
