"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.015873015873,"Down",104373000,-68418000,35955000,-25326000,-25326000,10629000,3416000,3416000,14045000,14045000,-4841000,9204000,9204000,9204000,9204000,85052000,76444000,8608000,32661000,32661000,80540000,20667000,7499000,11801000,218920000,219696000,431543000,-211847000,62020000,346250000,175024000,73237000,11580000,81961000,627966000,846886000,61547000,13810000,123000,45604000,61547000,7500000,119829000,17074000,17074000,42825000,59930000,127329000,188876000,566916000,-1992000,106529000,-13443000,658010000,658010000,846886000,9204000,4646000,111000,-13070000,891000,-3400000,-242000,-2174000,-5816000,-8909000,-712000,-712000,-9621000,-14546000,-14546000,-14546000,15275000,7500000,3646000,0.34449,0.10184,0.08818,0.01399,0.01087,0.39613,3.55696,0.28704,0.00886,0.12315,0.12315,1.39649,8.80405,0.04878,0.1192,460.309803475919,0.02306,0.00464,0.96795,-5.07705,-7.29626
"2","2010_Q3",15.9875,"Down",106023000,-69614000,36409000,-22544000,-22544000,13865000,-2058000,-2058000,11807000,11807000,-3360000,8447000,8447000,8447000,8447000,67088000,60006000,7082000,23566000,23566000,105659000,16839000,8001000,7471000,213152000,218379000,434508000,-216129000,61721000,344853000,175024000,73237000,11580000,81082000,624953000,838105000,62523000,13671000,4560000,44292000,62523000,7500000,117243000,17489000,17489000,42842000,56912000,124743000,187266000,557599000,-1992000,110420000,-15188000,650839000,650839000,838105000,8447000,4538000,260000,-16373000,-3128000,-3381000,-299000,-195000,-3875000,-119000,-9316000,-9316000,-9435000,-16438000,-16438000,-16438000,18403000,7500000,2009000,0.34341,0.13077,0.07967,0.01298,0.01008,0.23784,3.40918,0.28773,0.00895,0.11342,0.11342,1.42359,8.73892,0.02698,0.00160000000000002,275.206535650613,0.01104,0.00259,0.0140899999999998,-3.23795,-4.29773
"3","2010_Q4",17.74515625,"Up",192125000,-129295000,62830000,-31242000,-31242000,31588000,4618000,4618000,36206000,36206000,-9722000,26484000,26484000,26484000,26484000,67703000,58862000,8841000,100602000,100602000,74896000,11016000,4780000,4999000,254217000,216440000,437363000,-220923000,60480000,344420000,175024000,73237000,10476000,82161000,621340000,875557000,76733000,17553000,4554000,49552000,76733000,7500000,119224000,17837000,17837000,42734000,58653000,126724000,203457000,555907000,-1992000,132356000,-14171000,672100000,672100000,875557000,26484000,4618000,368000,-23189000,8281000,-2608000,-239000,-330000,-3177000,-4555000,-1693000,-1693000,-6248000,-1144000,-1144000,-1144000,36206000,7500000,20131000,0.32703,0.16441,0.13785,0.0394,0.03025,0.76012,3.31301,0.30272,0.00857,0.35679,0.35679,2.58832,9.05458,0.27121,0.06137,146.923921390368,0.03886,0.0252,0.17199,-1.66279,-1.90588
"4","2011_Q1",18.7988709677419,"Up",118927000,-83095000,35832000,-27204000,-27204000,8628000,2382000,2382000,11010000,11010000,-2082000,8928000,8928000,8928000,8928000,123972000,115976000,7996000,37394000,37394000,56652000,17149000,6499000,9961000,235167000,215492000,440974000,-225482000,64461000,342839000,175024000,73237000,9203000,81121000,622792000,857959000,58505000,9791000,4529000,44185000,58505000,7500000,124546000,20689000,20689000,47865000,55992000,132046000,190551000,544747000,-1992000,135866000,-11213000,667408000,667408000,857959000,8928000,4477000,125000,63231000,76761000,-3424000,-313000,-203000,-3940000,-4547000,-11160000,-11160000,-15707000,57114000,57114000,57114000,13105000,7500000,74994000,0.30129,0.07255,0.07507,0.01338,0.01041,8.39987,4.01961,0.28551,0.00874,0.13729,0.13729,1.82879,10.26301,1.15321,0.06992,65.4619606951839,0.01686,0.09381,0.5093,-8.8876,-13.4993
"5","2011_Q2",19.6349206349206,"Up",109395000,-73794000,35601000,-25964000,-25964000,9637000,2992000,2992000,12629000,12629000,-4299000,8330000,8330000,8330000,8330000,94463000,84908000,9555000,35758000,35758000,71197000,12877000,5585000,6581000,214295000,214401000,444526000,-230125000,84239000,342632000,175024000,73237000,9498000,80343000,641272000,855567000,56035000,13426000,122000,41059000,56035000,7500000,125609000,21219000,21219000,46293000,58097000,133109000,189144000,589638000,-1992000,92509000,-13732000,666423000,666423000,855567000,8330000,4605000,142000,-9353000,3724000,-3382000,-17663000,-2544000,-23589000,-9040000,-2163000,-2163000,-11203000,-31068000,-31068000,-31068000,14242000,7500000,5806000,0.32544,0.08809,0.07615,0.0125,0.00974,0.697,3.82431,0.28382,0.00877,0.11325,0.11325,1.48728,9.06034,0.07894,0.1229,20.8206535650613,0.02173,0.00726,1.08523,-6.10609,-9.02387
"6","2011_Q3",17.97828125,"Down",105820000,-71224000,34596000,-26171000,-26171000,8425000,1001000,1001000,9426000,9426000,-2940000,6486000,6486000,6486000,6486000,51606000,41282000,10324000,26862000,26862000,105290000,15828000,8103000,7043000,199586000,212493000,447207000,-234714000,103835000,341593000,175024000,73237000,9106000,79475000,657921000,857507000,59701000,13869000,4635000,41197000,59701000,7500000,127300000,21709000,21709000,46651000,58940000,134800000,194501000,583732000,-1992000,94366000,-13100000,663006000,663006000,857507000,6486000,4650000,238000,-27908000,-16534000,-2685000,-18204000,-180000,-21069000,-117000,-5906000,-5906000,-6023000,-43626000,-43626000,-43626000,13075000,7500000,-14578000,0.32693,0.07962,0.06129,0.00978,0.00756,-2.24761,3.34309,0.29336,0.00875,0.0883,0.0883,1.44063,9.02611,-0.19846,0.00158999999999998,3,0.00828,-0.01827,0.0180400000000001,-3.37331,-5.23513
"7","2011_Q4",16.5295238095238,"Down",187856000,-132494000,55362000,-25425000,-25425000,29937000,-3777000,-3777000,26160000,26160000,-7305000,18855000,18855000,18855000,18855000,35130000,25690000,9440000,96743000,96743000,82417000,9523000,4516000,4386000,223813000,213358000,451753000,-238395000,98523000,339335000,175024000,73237000,8291000,78458000,651216000,875029000,73482000,17421000,4627000,47773000,73482000,7500000,123272000,22256000,22256000,46346000,54670000,130772000,204254000,581528000,-1992000,108599000,-17360000,670775000,670775000,875029000,18855000,5210000,489000,-28164000,-3610000,-6610000,1704000,-243000,-5149000,-4631000,-2202000,-2202000,-6833000,-15592000,-15592000,-15592000,35147000,7500000,7678000,0.2947,0.15936,0.10037,0.02811,0.02155,0.40721,3.04582,0.3045,0.00857,0.25751,0.25751,2.56562,9.16102,0.10486,0.06325,2,0.0293,0.00958,0.24561,-0.78613,-0.92294
"8","2012_Q1",16.3962903225806,"Down",129434000,-88751000,40683000,-30716000,-30716000,9967000,2730000,2730000,12697000,12697000,-2430000,10267000,10267000,10267000,10267000,89507000,78612000,10895000,41895000,41895000,71760000,9039000,5070000,3391000,212201000,212162000,455097000,-242935000,96161000,337332000,175024000,73237000,7715000,77421000,645655000,857856000,58355000,10683000,4603000,43069000,58929000,7500000,125492000,25534000,25534000,43521000,56437000,132992000,191921000,573611000,-1992000,114269000,-19953000,665935000,665935000,857856000,10267000,4764000,592000,51187000,66810000,-3674000,2591000,-267000,-1350000,-4619000,-7919000,-7919000,-12538000,52922000,52922000,52922000,14731000,7500000,64674000,0.31431,0.077,0.07932,0.01542,0.01197,6.29921,3.60096,0.2882,0.00874,0.15981,0.15981,2.01475,10.36582,1.0067,0.0719,7,0.01863,0.08095,0.44989,-5.56697,-8.22785
"9","2012_Q2",16.077619047619,"Down",110820000,-75162000,35658000,-27239000,-27239000,8419000,3335000,3335000,11754000,11754000,-2980000,8774000,8774000,8774000,8774000,90903000,79909000,10994000,37227000,37227000,72354000,8871000,5312000,2966000,209355000,210705000,459074000,-248369000,101866000,336710000,175024000,73237000,7914000,76598000,649281000,858636000,53761000,10398000,97000,40890000,54335000,7500000,129346000,26338000,26338000,43493000,59515000,136846000,191181000,607600000,-1992000,80128000,-18281000,667455000,667455000,858636000,8774000,4953000,492000,7168000,21387000,-3250000,-1459000,-1949000,-6658000,-9185000,-4247000,-4247000,-13432000,1297000,1297000,1297000,13372000,7500000,20270000,0.32177,0.07597,0.07917,0.01315,0.01022,2.31023,3.85304,0.28643,0.00873,0.12086,0.12086,1.52648,9.1938,0.27921,0.12652,8,0.02233,0.0252,1.04684,-6.23714,-9.90652
"10","2012_Q3",18.0403174603175,"Up",109139000,-73108000,36031000,-25022000,-25022000,11009000,-444000,-444000,10565000,10565000,-3054000,7511000,7511000,7511000,7511000,79437000,66617000,12820000,26010000,26010000,95979000,10009000,5777000,3654000,211435000,207746000,460530000,-252784000,114889000,331367000,175024000,73237000,7723000,72113000,654002000,865437000,61977000,14374000,4714000,42889000,62551000,7500000,129586000,27051000,27051000,43311000,59224000,137086000,199637000,604771000,-1992000,82931000,-19910000,665800000,665800000,865437000,7511000,4891000,862000,-5777000,7487000.00000001,-2123000,-15518000,-218000,-17859000,-91000,-2829000,-2829000,-2920000,-13292000,-13292000,-13292000,15900000,7500000,11054000,0.33014,0.10087,0.06882,0.01128,0.00868,1.47171,3.3802,0.29985,0.00867,0.10371,0.10371,1.50699,9.19338,0.15263,0.00126000000000001,8,0.00947,0.01377,0.0121199999999999,-4.52434,-6.53438
