"","YQ","p","d","revenue","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q1",8.00112903225807,"Up",80358000,-292706000,-292706000,-175489000,-2973000,-2973000,-178462000,-178462000,-1190000,-179652000,-179652000,152485000,-27167000,-27167000,85850000,81208000,4642000,18409000,18409000,16976000,4126000,121235000,3812000,53786000,53786000,57598000,178833000,1139000,1139000,40001000,40001000,41140000,45885000,45885000,45885000,87025000,188269000,-27167000,2000,161104000,-69296000,91808000,178833000,-179652000,312000,218337000,4014000,43011000,-1082000,-442000,-1524000,-22000,-32496000,16287000,57774000,57774000,57774000,-175177000,0,-171055000,-2.18384,-0.33807,-0.29591,-0.15191,6.29643,2.94689,0.9479,0,-1.99995,-1.99995,5.91569,11.85995,-12.59251,-0.1973,-1.24229,0.49008,0.4892
"2","2012_Q2",8.36412698412698,"Up",85014000,-48995000,-48995000,36019000,395000,395000,36414000,36414000,-1990000,34424000,34424000,-31521000,2903000,2903000,89330000,81410000,7920000,21598000,21598000,18096000,3989000,129024000,4575000,53249000,53249000,57824000,186848000,2466000,2466000,37751000,37751000,40217000,45924000,45924000,45924000,86141000,188781000,-26437000,12000,162356000,-61649000,100707000,186848000,34424000,397000,3900000,-6778000,31943000,-1160000,-2888000,-4048000,-24000,-27669000,-27693000,201999.999999985,201999.999999985,201999.999999985,36416000,0,30468000,0.42368,0.03415,0.02883,0.01554,10.49535,3.2082,0.85536,0,0.21371,0.213709999999999,6.25845,11.95211,2.24295,0.0198,0.20779,-2.45304,-2.48008
"3","2012_Q3",7.78031746031746,"Down",81529000,-68300000,-68300000,13229000,-574000,-574000,12655000,12655000,-3199000,9456000,9456000,-11292000,-1836000,-1836000,103058000,95127000,7931000,20117000,20117000,15910000,3615000,139085000,4747000,52101000,52101000,56848000,195933000,1153000,1153000,43800000,43800000,44953000,45924000,45924000,45924000,90877000,192102000,-30447000,1000,161656000,-56600000,105056000,195933000,9456000,442000,25822000,8404000,44124000,-614000,-637000,-1251000,-24000,-26959000,-29156000,13717000,13717000,13717000,13671000,0,24660000,0.16226,-0.02252,-0.01748,-0.00937,-13.43137,3.09401,0.86503,0,-0.13516,-0.13516,6.0019,11.90058,1.81539,0.00223,0.16333,-7.53844,-7.79031
"4","2012_Q4",7.70870967741936,"Down",85382000,-63669000,-63669000,21713000,571000,571000,22284000,22284000,-1220000,21064000,21064000,-19410000,1654000,1654000,109587000,96957000,12630000,21359000,21359000,18632000,5423000,149578000,4539000,49154000,49154000,53693000,203271000,1912000,1912000,43148000,43148000,45060000,43989000,43989000,43989000,89049000,194490000,-30966000,1000,163525000,-49303000,114222000,203271000,21064000,437000,17282000,-3382000,35401000,-228000,-4128000,-4356000,-26000,-27015000,-29215000,1830000.00000001,1830000.00000001,1830000.00000001,22150000,0,19760000,0.2543,0.01937,0.01448,0.00814,11.9468,3.31953,0.77961,0,0.12176,0.12176,6.28554,12.03817,1.45467,0.0242,0.1249,-4.94749,-5.04707
"5","2013_Q1",9.16516666666667,"Up",87130000,-73947000,-73947000,13183000,43000,43000,13226000,13226000,-1751000,11475000,11475000,-11727000,-252000,-252000,121406000,108324000,13082000,22962000,22962000,20781000,7014000,165149000,4460000,48571000,48571000,53031000,218180000,1231000,1231000,49214000,49214000,50445000,43989000,43989000,43989000,94434000,198253000,-33392000,0,164861000,-41115000,123746000,218180000,11475000,410000,27722000,1779000,41386000,-280000,-443000,-723000,-109000,-27014000,-29296000,11367000,11367000,11367000,13593000,0,16843000,0.1513,-0.00289,-0.00204,-0.00116,-66.8373,3.27384,0.76313,0,-0.01855,-0.01855,6.41422,12.13652,1.23993,0.01145,0.10041,-8.93151,-9.20928
"6","2013_Q2",11.3775,"Up",90256000,-72177000,-72177000,18079000,310000,310000,18389000,18389000,-1997000,16392000,16392000,-16048000,344000,344000,142244000,131686000,10558000,23818000,23818000,21028000,6452000,187090000,4420000,48571000,48571000,52991000,240081000,1325000,1325000,69471000,69471000,70796000,43989000,43989000,43989000,114785000,201273000,-35221000,0,166052000,-40756000,125296000,240081000,16392000,486000,21883000,-8179000,30582000,-373000,2775000,2402000,-36000,-48991660.625342,-9622000,23362000,23362000,23362000,18565000,0,12010000,0.20031,0.00381,0.00275,0.00143,34.91279,2.64266,0.91611,0,0.02532,0.02532,6.64435,12.2242,0.88414,0.01487,0.07095,-7.66194,-7.86791
"7","2013_Q3",10.56890625,"Down",92973000,-71566000,-71566000,21407000,-230000,-230000,21177000,21177000,-2580000,18597000,18597000,-18337000,260000,260000,137055000,126106000,10949000,22790000,22790000,19159000,5089000,179004000,4304000,48827000,48827000,53131000,232135000,675000,675000,49238000,49238000,49913000,43989000,43989000,43989000,93902000,203840000,-37143000,0,166697000,-28464000,138233000,232135000,18597000,463000,24564000,7879000,51503000,-183000,-691000,-874000,-49000,-53986000,-56209000,-5580000,-5580000,-5580000,21870000,0,32146000,0.23025,0.0028,0.00188,0.00112,123.63846,3.58632,0.6793,0,0.01895,0.01895,6.77736,12.15154,2.34331,0.01336,0.17641,-6.2668,-6.40235
"8","2013_Q4",11.0328125,"Up",94647000,-70100000,-70100000,24547000,468000,468000,25015000,25015000,-2222000,22793000,22793000,-21479000,1314000,1314000,140135000,126294000,13841000,22675000,22675000,25324000,4759000,188134000,4564000,47553000,47553000,52117000,240251000,897000,897000,46634000,46634000,47531000,42082000,42082000,42082000,89613000,206459000,-38010000,0,168449000,-17811000,150638000,240251000,22793000,470000,18892000,-4649000,37506000,-730000,-1531000,-8111000,-53000,-26973000,-29207000,188000,188000,188000,25017000,0,21860000,0.25935,0.01388,0.00872,0.00547,16.63623,3.95813,0.59489,0,0.09598,0.09598,6.91326,12.30395,1.59671,0.01814,0.11343,-5.60159,-5.70884
"9","2014_Q1",10.3534426229508,"Down",98192000,-77386000,-77386000,20806000,682000,682000,21488000,21488000,-2329000,19159000,19159000,-18421000,738000,738000,146571000,125250000,21321000,24140000,24140000,30305000,8028000,201016000,5424000,46164000,46164000,51588000,252604000,1476000,1476000,61820000,61820000,63296000,43519000,43519000,43519000,106815000,209124000,-40544000,-1000,168579000,-22790000,145789000,252604000,19159000,470000,18662000,10736000,49027000,-1045000,-7724000,-7919000,-77000,-39893000,-42152000,-1044000,-1044000,-1044000,21276000,0,33296000,0.21189,0.00752,0.00506,0.00292,45.11653,3.17581,0.73267,0,0.05475,0.05281,7.28503,12.50716,2.47029,0.01542,0.17588,-6.88903,-7.04465
"10","2014_Q2",10.9293650793651,"Up",98470000,-78187000,-78187000,20283000,2437000,2437000,22720000,22720000,-5076000,17644000,17644000,-17563000,81000,81000,143041000,118707000,24334000,24362000,24362000,29703000,7715000,197106000,5783000,42686000,42686000,48469000,245575000,1303000,1303000,75780000,75780000,77083000,41858000,41858000,41858000,118941000,208433000,-42647000,0,165786000,-39152000,126634000,245575000,17644000,477000,23936000,-11671000,30386000,-773000,-2496000,-3269000,-60000,0,-33660000,-6543000,-6543000,-6543000,20760000,0,13392000,0.20598,0.00082,0.00064,0.00033,165.33333,2.55706,0.93925,0,0.00589,0.00589,7.16057,12.05568,0.97384,0.0199,0.07948,-6.89022,-7.05226
