"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",22.6483870967742,"Up",378338000,-131690000,246648000,-171237000,-171237000,75411000,-11706000,-11891000,185000,63705000,-2741000,60964000,-19460000,41504000,41504000,41504000,41504000,105637000,105637000,67364000,67364000,24200000,73842000,67530000,271043000,106492000,46574000,1043182000,155225000,789653000,98304000,1196248000,1467291000,214644000,67073000,147571000,299719000,657247000,112335000,54756000,57579000,769582000,1069301000,108732000,345140000,-55882000,397990000,397990000,1467291000,41504000,16238000,4124000,15380000,77246000,-8228000,240000,-12161000,-12708000,0,6737000,6737000,701000,-5270000,59815000,59815000,691000,60506000,91649000,742322000,118261000,0.65192,0.19932,0.1097,0.10428,0.02829,2.84939,0.90432,2.68675,0.50591,0.81789,0.81334,7.45567,7.84294,2.3305,0.25043,0.04328,0.09441,0.30619,6.94699,8.44287
"12","2013_Q1",28.361,"Up",387583000,-137603000,249980000,-169674000,-169674000,80306000,-11614000,-11903000,289000,68692000,-7807000,60885000,-18238000,42647000,42647000,42647000,42647000,45435000,45435000,70387000,70387000,23291000,80630000,72943000,219743000,104189000,46898000,1041610000,150717000,789636000,98625000,1192697000,1412440000,220110000,65107000,155003000,220110000,652581000,106814000,75147000,31667000,759395000,979505000,98582000,3.75e+08,-40647000,432935000,432935000,1412440000,42647000,15980000,13796000,-5501000.00000001,66922000,-7018000,-2062000,-10620000,-12787000,-88938000,-12446000,2710000,-2148000,-116319000,-60017000,-60017000,-185000,-60202000,96286000,652581000,102005000,0.64497,0.2072,0.11003,0.09851,0.03019,2.39184,0.99833,2.26248,0.46202,0.84012,0.83469,7.63515,8.52855,2.00944,0.2519,0.04649,0.08555,0.29983,6.30565,7.56041
"13","2013_Q2",28.69265625,"Up",387553000,-133297000,254256000,-175152000,-175152000,79104000,-9129000,-9479000,350000,69975000,-1371000,68604000,-22729000,45875000,45875000,45875000,45875000,70741000,70741000,74873000,74873000,23735000,86531000,79757000,255880000,101770000,44415000,1039745000,146003000,789586000,100235000,1185930000,1441810000,217505000,63210000,154295000,217677000,650429000,109881000,74744000,35137000,760310000,977987000,96951000,408144000,-41272000,463823000,463823000,1441810000,45875000,15899000,4716000,-15022000,51468000,-8304000,-173000,-9837000,-12731000,0,-3622000,8987000,832000,-15521000,26110000,26110000,-804000,25306000,95003000,650601000,94406000,0.65605,0.20411,0.11837,0.09891,0.03182,2.0579,1.1755,2.10853,0.45124,0.90471,0.89649,7.64299,9.14712,1.86179,0.25107,0.04787,0.07711,0.27751,6.1036,7.33035
"14","2013_Q3",30.595,"Up",381434000,-133547000,247887000,-164501000,-164501000,83386000,-9423000,-9564000,141000,73963000,-924000,73039000,-24887000,48152000,48152000,48152000,48152000,52830000,52830000,75610000,75610000,25197000,76138000,69635000,229775000,100823000,44061000,1073310000,153446000,810446000,97235000,1218194000,1447969000,201891000,63764000,138127000,202168000,642167000,123086000,77982000,45104000,765253000,967421000,79519000,443665000,-42636000,480548000,480548000,1447969000,48152000,16147000,5570000,-19195000,50674000,-8286000,6161000,-35845000,-12631000,-41000.0000000149,-19012000,379000,133000,-31551000,-16722000,-16722000,-1189000,-17911000,99533000,642444000,96939000,0.64988,0.21861,0.12624,0.1002,0.03325,2.01319,1.13655,2.01316,0.44369,0.95266,0.94453,7.54642,9.50733,1.91788,0.2499,0.04878,0.0778,0.26232,5.9238,7.0709
"15","2013_Q4",36.608125,"Up",398080000,-142223000,255857000,-173360000,-173360000,82497000,-9104000,-9661000,557000,73393000,-2780000,70613000,-23710000,46903000,46903000,46903000,46903000,100040000,100040000,80218000,80218000,26825000,70850000,65603000,277933000,101627000,44391000,1085735000,155179000,809754000,93839000,1231753000,1509686000,217155000,68875000,148280000,217654000,643069000,128637000,78966000,49671000,771706000,989360000,83055000,477903000,-40632000,520326000,520326000,1509686000,46903000,16275000,6892000,11761000,81831000,-10196000,83000,-23147000,-12665000,-1415000,1717000,3515000,111000,-12252000,46432000,46432000,778000,47210000,98772000,643568000,124047000,0.64273,0.20724,0.11782,0.09014,0.03107,2.64476,1.27695,1.90142,0.42629,0.92905,0.92158,7.88511,10.30655,2.45711,0.25087,0.04609,0.09597,0.27003,5.50286,6.58846
"16","2014_Q1",38.7131147540984,"Up",417757000,-152049000,265708000,-178346000,-178346000,87362000,-9199000,-9597000,398000,78163000,-9360000,68803000,-23081000,45722000,45722000,45722000,45722000,121089000,121089000,88049000,88049000,28966000,81209000,74263000,319313000,101343000,44451000,1104422000,153576000,822777000,100767000,1250216000,1569529000,234482000,71492000,162990000,490071000,385115000,143886000,82814000,61072000,529001000,1019072000,72940000,510941000,-33424000,550457000,550457000,1569529000,45722000,16152000,8946000,6709000,77529000,-10673000,47000,-32221000,-12684000,-99000,-11933000,3067000,1743000,-22973000,22335000,22335000,-1286000,21049000,103514000,640704000,122631000,0.63603,0.20912,0.10945,0.08306,0.02913,2.6821,0.65156,1.85132,0.40821,0.90605,0.89662,8.27848,10.90813,2.43012,0.25135,0.04375,0.09186,0.27742,5.01976,5.94784
"17","2014_Q2",42.3363492063492,"Up",406955000,-144928000,262027000,-177931000,-177931000,84096000,-9436000,-9567000,131000,74660000,-3300000,71360000,-24036000,47324000,47324000,47324000,47324000,140615000,140615000,77974000,77974000,29334000,70871000,64295000,318794000,98633000,44700000,1102205000,155293000,822944000,95835000,1245538000,1564332000,218405000,69353000,149052000,473667000,387942000,143730000,83624000,60106000,531672000,1005339000,50043000,544243000,-35293000,558993000,558993000,1564332000,47324000,16265000,6556000,3194000,73339000,-10950000,806000,-13010000,-12644000,-328000,-26554000,5376000,462000,-39064000,21265000,21265000,-1739000,19526000,100361000,643204000,116641000,0.64387,0.20665,0.11629,0.08466,0.03025,2.46473,0.67303,1.79848,0.41117,0.94218,0.93371,8.10215,11.12911,2.32223,0.25173,0.04456,0.08666,0.26718,5.00781,5.97637
"18","2014_Q3",44.865625,"Up",405410000,-145892000,259518000,-173545000,-173545000,85973000,-9162000,-9530000,368000,76811000,-1014000,75797000,-25722000,50075000,50075000,50075000,50075000,146942000,146942000,85376000,85376000,32737000,79132000,72477000,344187000,96752000,45697000,1149764000,154440000,823008000,143968000,1292213000,1636400000,231724000,72238000,159486000,486515000,391185000,176867000,84553000,92314000,568052000,1054567000,49759000,564318000,-32244000,581833000,581833000,1636400000,50075000,16353000,6988000,-20906000,52510000,-8901000,180000,-14741000,-15033000,-269000,-18253000,1757000,536000,-33019000,4750000,4750000,1577000,6327000,102326000,645976000,98241000,0.64014,0.21206,0.12352,0.08606,0.0306,1.96188,0.70745,1.81249,0.39475,1.00574,0.99691,8.14256,11.68597,1.97315,0.30193,0.04635,0.06994,0.30021,4.8769,5.80454
"19","2014_Q4",45.99921875,"Up",413204000,-150149000,263055000,-175662000,-175662000,87393000,-9259000,-9580000,321000,78134000,-10661000,67473000,-23042000,44431000,44431000,44431000,44431000,188001000,188001000,91368000,91368000,36099000,79528000,73833000,394996000,94448000,46025000,1135995000,147169000,822920000,137598000,1276468000,1671464000,251395000,74280000,177115000,505686000,390321000,171289000,83941000,87348000,561610000,1067296000,52519000,586739000,-35090000,604168000,604168000,1671464000,44431000,15927000,11094000,6058000,77510000,-9798000,373000,-12683000,-14954000,-348000,-6498000,1681000,498000,-21302000,43525000,43525000,-2466000,41059000,103320000,644612000,122622000,0.63662,0.2115,0.10753,0.07354,0.02658,2.75983,0.78111,1.76655,0.38566,0.89589,0.88787,8.33173,12.18228,2.47252,0.30153,0.04182,0.08635,0.33657,4.41939,5.2248
"20","2015_Q1",51.217868852459,"Up",448513000,-165309000,283204000,-192054000,-192054000,91150000,-7595000,-7852000,257000,83555000,-1004000,82551000,-24587000,57964000,57964000,57964000,57964000,61541000,61541000,113656000,113656000,39411000,104282000,94123000,318890000,87623000,46451000,1235427000,207180000,868376000,131641000,1369501000,1688391000,306337000,87216000,219121000,467248000,393401000,180245000,95838000,84407000,573646000,1040894000,54500000,629335000,-36338000,647497000,647497000,1688391000,57964000,17297000,-3107000,9585000,81739000,-3019000,295000,-95609000,-14972000,-93458000,334000,334000,-2567000,-110663000,-124533000,-124533000,-1927000,-126460000,108447000,554312000,139600000,0.63143,0.20323,0.12924,0.08952,0.03433,2.40839,0.68249,1.60757,0.32831,1.16635,1.15715,9.02495,13.0289,2.80902,0.30127,0.05277,0.10101,0.2583,4.54389,5.40615
