"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",14.33171875,"Up",24570000,-7405000,17165000,-15822000,-4454000,-1451000,-9917000,1343000,-159000,1184000,1095000,-470000,625000,625000,625000,560000,102864087.029258,102864087.029258,7564837.25851023,7564837.25851023,20906143.5022038,-738610.670542914,131335067.789972,9130206.3938715,33208751.3373832,-18499514.8016624,-31832599.2412459,83534918.5013543,42338957.7312547,173674025.521227,13490598.3763647,2638930.21284907,10851668.1635156,7974126.6149689,441256.713284081,7249802.88834496,21630884.0731723,54322983.4423257,54322992.0065309,54322975.5531934,75953859.6263656,155083904.428821,-10193520.3678479,-47170218.3105057,97720165.7504261,97720165.8948611,173674025.521227,625000,1451000,2399000,-2616000,1859000,-986000,-741000,40963000,42179000,39617000,40735000,40735000,40735000,2794000,0,-338000,0.69862,0.05466,0.02279,-0.0298779350126332,-0.0253202130167131,-0.60357,5.97757508338088,0.721843117876965,0.000950433850230683,0.02179,0.02179,0.95582,3.04822281257963,-0.01315,-0.0291398126096106,-0.00764030086438929,-33.7685262998181,-63.5170619852797
"2","2011_Q1",13.7462903225806,"Down",27603000,-9321000,18282000,-16292000,-4962000,-1493000,-9837000,1990000,-213000,1777000,1736000,-869000,867000,867000,867000,867000,67668000,67668000,9135000,9135000,15782000,2026000,92585000,9713000,39570000,1330000,2031000,36209000,49283000,141868000,14566000,1707000,12859000,4003000,232000,3771000,18728000,20821000,20821000,20821000,39549000,157993000,-10327000,-45347000,102319000,102319000,141868000,867000,1493000,2604000,484000,5448000,-1169000,-1165000,-1705000,-943000,-180000.000000007,4103000,4103000,4103000,3483000,159000,3667000,0.66232,0.07209,0.03141,0.00847,0.00611,4.22953,4.94367,0.38653,0.00112,0.02754,0.02754,0.87678,3.25006,0.11648,0.00703,0.02974,-19.38243,-33.92412
"3","2011_Q2",13.7403174603175,"Down",29262000,-10128000,19134000,-16570000,-4876000,-1548000,-10146000,2564000,-185000,2379000,2372000,-968000,1404000,1404000,1404000,1404000,65393720.9902473,65393720.9902473,9242137.58049659,9242137.58049659,14102702.1659321,2732786.89018097,88738560.736676,10320264.5353762,39715166.2208723,4874921.60055414,8493116.41374863,26349110.4995486,50035430.7562484,138773991.492924,14812383.8745451,1525106.59571698,13287277.2788281,3097207.79501037,142831.095571973,3013399.03721835,18068371.9756092,14298672.1858914,14298669.3311564,14298674.8156022,32367046.7912114,160233615.190393,-10394993.2107174,-43431677.2298314,106406944.749858,106406944.701713,138773991.492924,1404000,1548000,2936000,-880000,5008000,-1854000,-1839000,978000,1072000,978000,4147000,4147000,4147000,4112000,0,2346000,0.65389,0.08762,0.04798,0.0228251450042111,0.017372571005571,1.67094,4.97500663887304,0.308867294041012,0.00113652204992311,0.04467,0.04271,0.9309,3.38825656247346,0.07463,0.0199116042032035,0.0397959336214631,-15.0655570667273,-22.9907610049068
"4","2011_Q3",12.4415625,"Down",31334000,-10917000,20417000,-17223000,-5258000,-1578000,-10387000,3194000,916000,4110000,4068000,-1621000,2447000,2447000,2447000,2447000,78600000,78600000,8693000,8693000,14087000,2448000,101380000,10816000,36649000,817000,2031000,33801000,47465000,148845000,14736000,1758000,12978000,3722000,102000,3620000,18622000,20242000,20242000,20242000,38864000,161898000,-10421000,-41496000,109981000,109981000,148845000,2447000,1578000,3540000,71999.9999999998,7637000,-1880000,-1878000,1188000,1188000,1026000,6785000,6785000,6785000,4772000,164000,4585000,0.65159,0.10193,0.07809,0.02225,0.01644,1.87372,5.4441,0.35337,0.0011,0.07751,0.07426,0.99251,3.48368,0.14523,0.01877,0.03516,-16.43671,-24.55729
"5","2011_Q4",10.9709523809524,"Down",32040000,-11429000,20611000,-17385000,-5675000,-1550000,-10160000,3226000,-187000,3039000,3031000,-1106000,1925000,1925000,1925000,1925000,83553000,83553000,8591000,8591000,13913000,2898000,106057000,11125000,36130000,690000,2031000,33409000,47255000,153312000,15313000,2013000,13300000,4188000,113000,4022000,19669000,20581000,20581000,20581000,40250000,163054000,-10421000,-39571000,113062000,113062000,153312000,1925000,1550000,3453000,-765000,6163000,-1658000,-1814000,442000,442000,604000,4953000,4953000,4953000,4776000,168000,3459000,0.64329,0.10069,0.06008,0.01703,0.01256,1.79688,5.39209,0.356,0.0011,0.0606,0.05836,1.0087,3.55949,0.1089,0.01439,0.02585,-17.45917,-25.8478
"6","2012_Q1",12.1851612903226,"Up",30542000,-10357000,20185000,-17359000,-6047000,-1700000,-9612000,2826000,-1336000,1490000,1109000,720000,1829000,1829000,1829000,1829000,64909000,64909000,9644000,9644000,11813000,4929000,86366000,11091000,40245000,12225000,21334000,6686000,51336000,137702000,16893000,1974000,14919000,3012000,79000,2933000,20076000,1987000,1987000,1987000,22063000,163802000,-10421000,-37742000,115639000,115639000,137702000,1829000,1700000,2342000,69999.9999999998,5941000,-888000,-24630000,45000,45000,45000,-18644000,-18644000,-18644000,4526000,171000,2988000,0.66089,0.09253,0.05988,0.01582,0.01328,1.63368,4.30195,0.19079,0.00124,0.05751,0.05603,0.96027,3.63579,0.09395,0.01553,0.02537,-14.30358,-22.908
"7","2012_Q2",11.9265079365079,"Down",32642000,-11526000,21116000,-19857000,-6773000,-2399000,-10685000,1259000,6000,1265000,1238000,-498000,740000,740000,740000,740000,70636000,70636000,8610000,8610000,10009000,3137000,89255000,10667000,39232000,11246000,21334000,6652000,49899000,139154000,15452000,2266000,13186000,3374000,530000,2844000,1.9e+07,2110000,2110000,2110000,21110000,165545000,-10499000,-37002000,118044000,118044000,139154000,740000,2399000,799000,1878000,5816000,-959000,-959000,870000,948000,870000,5727000,5727000,5727000,3658000,174000,5075000,0.6469,0.03857,0.02267,0.00627,0.00532,6.85811,4.69763,0.17883,0.00125,0.02323,0.02249,1.02462,3.70536,0.1593,0.00615,0.04218,-19.26244,-55.96664
"8","2012_Q3",11.8620634920635,"Down",37962000,-13549000,24413000,-25457000,-8148000,-3224000,-14085000,-1044000,14000.0000000001,-1030000,-1118000,450000,-668000,-668000,-668000,-668000,13400000,13400000,8631000,8631000,14704000,7036000,36735000,12377000,103900000,30712000,66152000,7036000,116277000,153012000,19168000,2683000,16485000,9377000,5214000,4163000,28545000,2580000,2580000,2580000,31125000,170056000,-10499000,-37670000,121887000,121887000,153012000,-668000,3224000,2064000,-567000,4053000,-3028000,-64665000,3376000,3376000,3376000,-57236000,-57236000,-57236000,2180000,0,-1865000,0.64309,-0.0275,-0.0176,-0.00548,-0.00437,2.79192,1.28692,0.25536,0,-0.02078,-0.02012,1.18073,3.79106,-0.05801,-0.00537,-0.01498,-6.14679,12.83525
"9","2012_Q4",13.461935483871,"Up",42283000,-15088000,27195000,-26275000,-7621000,-3393000,-15261000,920000,3000,923000,923000,-372000,551000,551000,551000,551000,21133000,21133000,10692000,10692000,10734000,2936000,42559000,12294000,102659000,28910000,66152000,7597000,114953000,157512000,21411000,2519000,18892000,9360000,5340000,4020000,30771000,2790000,2790000,2790000,33561000,171613000,-10543000,-37119000,123951000,123951000,157512000,551000,3393000,1069000,4211000,9224000,-1809000,-1809000,318000,362000,318000,7733000,7733000,7733000,4313000,0,7087000,0.64317,0.02176,0.01303,0.00445,0.0035,12.86207,1.38309,0.27076,0,0.01706,0.01648,1.30914,3.83768,0.21942,0.00435,0.05592,-4.89984,-22.97065
"10","2013_Q1",14.927,"Up",44379000,-15956000,28423000,-26401000,-8075000,-3384000,-14942000,2022000,3000,2025000,2025000,-2183000,-158000,-158000,-158000,-158000,29983000,29983000,9188000,9188000,10784000,2501000,49955000,11791000,100653000,27150000,65644000,7859000,112444000,162399000,23208000,2614000,20594000,9654000,5768000,3886000,32862000,3541000,3541000,3541000,36403000,173831000,-10558000,-37277000,125996000,125996000,162399000,-158000,3384000,336000,5893000,9455000,-1392000,-2280999.99999999,127000,142000,1676000,8850000,8850000,8849999.99999999,5406000,0,12090000,0.64046,0.04556,-0.00356,-0.00125,-0.000969999999999997,-76.51899,1.52014,0.28892,0,-0.00489000000000001,-0.00467,1.37211,3.89555,0.3738,-0.00122,0.09333,-5.54624,-14.82839
