"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.66828125,"Up",1356000,-4746000,-2111000,-2635000,-3396000,14000,-5000,19000,-3382000,-3382000,-3382000,-3382000,-3382000,-3382000,53721644.942674,-35034277.6875485,88755922.6302225,416029.277543635,416029.277543635,54137674.6445113,2178904.30696593,2178904.23687781,56316578.8813891,3261219.22138883,923024.280515178,2338194.94087366,4142735.24917352,7406701.72738876,999999.990021635,9642413.62374226,20497.575342992,10642413.6137639,18049115.3411527,227233043.512452,-188790623.814733,-174956.157482804,38267463.5402365,38267463.5402365,56316578.8813891,-3382000,62000,-685000,224000,-3781000,-118000,-952000,-1070000,0,0,1434000,-3417000,-3417000,-3417000,-3334000,0,-2.50442,-2.4941,-0.0705074619860145,-0.0478913591081803,7.37935897555258,0.33902666672184,0.0162556964238519,-0.08422,-0.08422,0.03377,1.85621621782215,-0.0584597076916416,33.7451793307689,32.9349069334994
"2","2011_Q1",5.86,"Down",1375000,-5192000,-2722000,-2470000,-3823000,250000,-5000,11000,-3573000,-3573000,-3573000,-3573000,-3573000,-3573000,95415000,78752000,16663000,246000,246000,95661000,854000,854000,96515000,3015000,1028000,1987000,4143000,7158000,1e+06,8603000,21000,9603000,16761000,272902000,-193149000,1000,79754000,79754000,96515000,-3573000,63000,-864000,184000,-4190000,-124000,-2652000,-2776000,64903000,64903000,64903000,57937000,57937000,57937000,-3760000,1e+06,-2.78036,-2.59855,-0.0448,-0.03702,13.36421,0.21016,0.01036,-0.08832,-0.08832,0.03399,1.97143,-0.03999,25.11037,24.69657
"3","2011_Q2",7.46031746031746,"Up",1040000,-5436000,-2447000,-2989000,-4402000,29000,-5000,34000,-4373000,-4373000,-4373000,-4373000,-4373000,-4373000,98494785.0191087,85000175.8958495,13494609.1232592,345490.240818788,345490.240818788,98840275.1184962,783531.897678024,783531.921040728,99623807.039537,2895510.25953706,1085075.23982827,1810435.01970878,4143088.25027549,7037682.75753708,1000000.00332612,7569362.12541925,24250.8082190027,8569362.12874537,15607044.8862824,282099235.495849,-198114042.061756,31568.7191609348,84016762.1532545,84016762.1532545,99623807.039537,-4373000,67000,-323000,-824000,-5453000,-245000,-995000,-1240000,14000,14000,14000,-6679000,-6679000,-6679000,-4335000,0,-4.23269,-4.20481,-0.0600275126713285,-0.0517087136306066,13.9632961748158,0.18346111109272,0.00977060119204936,-0.08421,-0.08421,0.02003,1.72194709405928,-0.0548100974361195,17.9238368897437,17.7098076888335
"4","2011_Q3",7.74359375,"Up",1042000,-7678000,-2481000,-5197000,-6642000,17000,-5000,22000,-6625000,-6625000,-6625000,-6625000,-6625000,-6625000,83468000,38264000,45204000,611000,611000,84079000,1419000,1419000,85498000,2923000,1086000,1837000,4143000,7066000,1e+06,6541000,31000,7541000,14607000,275050000,-204147000,-12000,70891000,70891000,85498000,-6625000,78000,-143000,694000,-5996000,-466000,-27558000,-28024000,211000,211000,211000,-33809000,-33809000,-33809000,-6564000,1e+06,-6.37428,-6.35797,-0.09345,-0.07749,11.89909,0.20605,0.0117,-0.12738,-0.12738,0.02003,1.36303,-0.08447,12.56368,12.41614
"5","2011_Q4",7.9252380952381,"Up",1039000,-8876000,-2766000,-6110000,-7843000,70000,-5000,75000,-7773000,-7773000,-7773000,-7773000,-7773000,-7773000,75431000,4995000,70436000,867000,867000,76298000,2191000,2191000,78489000,3243000,977000,2266000,4143000,7386000,1e+06,5511000,36000,6511000,13897000,276562000,-211920000,-50000,64592000,64592000,78489000,-7773000,117000,396000,69000,-7191000,-888000,-25521000,-26409000,331000,331000,331000,-33269000,-33269000,-33269000,-7726000,1e+06,-7.5486,-7.48123,-0.12034,-0.09903,10.33008,0.21515,0.01274,-0.14822,-0.14822,0.01981,1.23166,-0.10932,9.63383,9.49012
"6","2012_Q1",9.37612903225807,"Up",1042000,-10972000,-3300000,-7672000,-9936000,32000,-6000,38000,-9904000,-9904000,-9904000,-9904000,-9904000,-9904000,93361000,35781000,57580000,1034000,1034000,94395000,2558000,2558000,96953000,3834000,765000,3069000,4143000,7977000,1e+06,4481000,42000,5481000,13458000,305333000,-221824000,-14000,83495000,83495000,96953000,-9904000,149000,358000,573000,-8824000,-516000,12782000,12266000,27344000,27344000,27344000,30786000,30786000,30786000,-9787000,1e+06,-9.53551,-9.5048,-0.11862,-0.10215,11.8334,0.16118,0.01031,-0.18455,-0.18455,0.01942,1.55586,-0.11131,9.43711,9.29559
"7","2012_Q2",10.2531746031746,"Up",1036000,-11738000,-2739000,-8999000,-10702000,57000,-5000,62000,-10645000,-10645000,-10645000,-10645000,-10645000,-10645000,83536000,12292000,71244000,1918000,1918000,85454000,2551000,2551000,88005000,3549000,949000,2600000,4143000,7692000,1e+06,3450000,47000,4450000,12142000,308311000,-232469000,21000,75863000,75863000,88005000,-10645000,202000,130000,-890000,-11203000,-195000,-13733000,-13928000,1642000,1642000,1642000,-23489000,-23489000,-23489000,-10500000,1e+06,-10.33012,-10.2751,-0.14032,-0.12096,11.10946,0.16005,0.01136,-0.18768,-0.18768,0.01827,1.33755,-0.13254,7.86057,7.7122
"8","2012_Q3",10.5430158730159,"Up",1036000,-15926000,-3724000,-12202000,-14890000,54000,-5000,59000,-14836000,-14836000,-14836000,-14836000,-14836000,-14836000,70865000,6026000,64839000,2347000,2347000,73212000,2870000,2870000,76082000,4496000,767000,3729000,4143000,8639000,1e+06,2419000,52000,3419000,12058000,311276000,-247305000,53000,64024000,64024000,76082000,-14836000,215000,1629000,717000,-12275000,-534000,6321000,5787000.00000001,221999.999999996,221999.999999996,222000.000000004,-6265999.99999999,-6265999.99999999,-6266000,-14675000,1e+06,-14.37259,-14.32046,-0.23173,-0.195,8.47459,0.18834,0.01314,-0.26011,-0.26011,0.01816,1.1225,-0.21998,4.76082,4.69208
"9","2012_Q4",10.0154838709677,"Down",1036000,-14044000,-3553000,-10491000,-13008000,56000,-11000,67000,-12952000,-12952000,-12952000,-12952000,-12952000,-12952000,118572000,12660000,105912000,1252000,1252000,119824000,3629000,3629000,123453000,5114000,1030000,4084000,4143000,9612000,1e+06,2184000,853000,3184000,12796000,370822000,-260257000,92000,110657000,110657000,123453000,-12952000,249000,668000,1718000,-10317000,143000,-41173000,-41030000,57981000,57981000,57981000,6634000,6634000,6634000,-12759000,1355000,-12.55598,-12.50193,-0.11705,-0.10491,12.46608,0.11564,0.01098,-0.21397,-0.21397,0.01712,1.8281,-0.11342,9.18701,9.01115
"10","2013_Q1",10.8811666666667,"Up",1036000,-15078000,-4639000,-10439000,-14042000,54000,-20000,74000,-13988000,-13988000,-13988000,-13988000,-13988000,-13988000,108121000,13345000,94776000,593000,593000,108714000,3405000,3405000,112119000,6979000,3652000,3327000,4143000,11455000,1e+06,1069000,774000,2069000,13524000,372762000,-274245000,78000,98595000,98595000,112119000,-13988000,319000,606000,2336000,-10727000,-95000,10949000,10854000,665000,665000,558000,685000,685000,685000,-13723000,1333000,-13.55405,-13.50193,-0.14187,-0.12476,9.49053,0.13717,0.01189,-0.21981,-0.21981,0.01628,1.54931,-0.1385,7.78168,7.6049
