"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"21","2015_Q2",25.4495238095238,"Down",83815000,-49266000,-38446000,-1569000,-9251000,34549000,-1201000,299000,33348000,-351000,32997000,-12226000,20771000,20771000,45000,20816000,20816000,148278000,99493000,48785000,54935000,54935000,7154000,210367000,10136000,25104000,1590000,5652000,44635000,255002000,7815000,7815000,13074000,13074000,20889000,26566000,501100000,-136112000,-133574000,-3775000,227639000,797000,228436000,255002000,20771000,20967000,-41396000,342000,0,-43000,-39000,-11354000,-18509000,2e+05,-18709000,4909000,-24954000,-24651000,-24651000,-794000,-25445000,0,0.41221,0.24836,0.09112,0.08163,10.07071,0.1163,0,0.46011,0.45272,1.85263,5.0317,0.25097,0.13741,0.54545,-4.29182
"22","2015_Q3",20.904375,"Down",83502000,-52331000,-41220000,-1586000,-9525000,31171000,-479000,450000,30692000,525000,31217000,-12194000,19023000,19023000,-11000,19012000,19012000,171674000,125807000,45867000,44455000,44455000,12623000,228752000,9996000,29400000,19801000,5304000,48259000,277011000,16658000,16658000,11711000,11711000,28369000,34254000,507677000,-136583000,-124380000,-4809000,241905000,852000,242757000,277011000,19023000,3893000,12923000,35839000,-813000,1727000,914000,-11360000,-330000,141000,-471000,108000,-11582000,25171000,25171000,1143000,26314000,0,0.3733,0.22768,0.07832,0.06863,8.06345,0.1411,0,0.4182,0.41506,1.83674,5.32104,0.24988,0.12215,0.59752,-5.50749
"23","2015_Q4",20.77515625,"Down",79667000,-48190000,-38067000,-1545000,-8578000,31477000,-5872000,291000,25605000,-1855000,23750000,-11541000,12209000,12209000,129000,12338000,12338000,183087000,146247000,36840000,52225000,52225000,10144000,245456000,9894000,27822000,19798000,5083000,50567000,296023000,23683000,23683000,19589000,19589000,43272000,49361000,513440000,-136637000,-118914000,-11947000,245942000,720000,246662000,296023000,12209000,16355000,3609000,32173000,-827000,1166000,339000,-11364000,55000,109000,-54000,-5000,-11314000,21198000,21198000,-758000,20440000,0,0.39511,0.15487,0.05002,0.04168,5.6724,0.20012,0,0.27116,0.26921,1.75092,5.40532,0.24976,0.09378,0.92106,-5.81653
"24","2016_Q1",22.1045901639344,"Up",81671000,-51319000,-40830000,-1513000,-8976000,30352000,-2229000,560000,28123000,-3343000,24780000,-12446000,12334000,12334000,51000,12385000,12385000,176893000,142728000,34165000,44559000,44559000,6104000,227556000,9783000,30814000,19498000,5765000,77766000,305322000,37283000,37283000,12369000,12369000,49652000,62212000,520352000,-136637000,-148096000,-3843000,231776000,11334000,243110000,305322000,12334000,10675000,-1567000,21442000,-787000,-1210000,-817000,-34099000,89000.0000000009,89000,4.65661287307739e-10,10751000,-23259000,-2634000,-2634000,-885000,-3519000,0,0.37164,0.15165,0.05094,0.04056,4.58302,0.2559,0,0.27202,0.2694,1.79382,5.09073,0.74895,0.18181,2.75325,-5.82805
"25","2016_Q2",27.82125,"Up",79681000,-51374000,-40775000,-1897000,-8702000,28307000,880000,542000,29187000,-237000,28950000,-11083000,17867000,17867000,216000,18083000,18083000,172972000,122914000,50058000,54488000,54488000,964000,228424000,10070000,27008000,19968000,6445000,49856000,278280000,19922000,19922000,7878000,7878000,27800000,40003000,526520000,-144012000,-142266000,-2654000,237588000,689000,238277000,278280000,17867000,11252000,-31650000,-2531000,-1448000,-186000,-1583000,-11970000,-7169000,206000,-7375000,3607000,-15532000,-19646000,-19646000,-168000,-19814000,0,0.35525,0.22694,0.07589,0.06498,8.21669,0.16788,0,0.39476,0.39145,1.73946,5.1866,0.26131,0.11998,0.66195,-6.11057
"26","2016_Q3",30.123125,"Up",86373000,-52242000,-40776000,-1693000,-9773000,34131000,3291000,558000,37422000,1175000,38597000,-13676000,24921000,24921000,-113000,24808000,24808000,193017000,140684000,52333000,47681000,47681000,1923000,242621000,12989000,28637000,19683000,6778000,54449000,297070000,21066000,21066000,7492000,7492000,28558000,40976000,532204000,-144574000,-129672000,-2755000,255203000,891000,256094000,297070000,24921000,1633000,6665000,33219000,-3785000,1547000,-2081000,-11950000,-383000,179000,-562000,89000,-12244000,18894000,18894000,-1124000,17770000,0,0.39516,0.28722,0.09687,0.08351,8.49573,0.16,0,0.53949,0.53491,1.87833,5.54982,0.25987,0.1369,0.4817,-5.65518
"27","2016_Q4",26.3826984126984,"Down",94388000,-57175000,-44079000,-2004000,-11092000,37213000,788000,367000,38001000,568000,38569000,-14738000,23831000,23831000,46000,23877000,23877000,210014000,163117000,46897000,62135000,62135000,2387000,274536000,14055000,30160000,19779000,6341000,56957000,331493000,35712000,35712000,9277000,9277000,44989000,58386000,537797000,-144677000,-118088000,-2793000,272239000,868000,273107000,331493000,23831000,4388000,1851000,30070000,-2121000,6624000,4656000,-11955000,37000,140000,-103000,23000,-11895000,22831000,22831000,-398000,22433000,0,0.39426,0.25297,0.08743,0.07203,6.10229,0.21378,0,0.51908,0.513,2.05196,5.91837,0.2599,0.12507,0.50069,-5.64357
"28","2017_Q1",26.4909677419355,"Up",89434000,-53574000,-41535000,-2016000,-10023000,35860000,1264000,652000,37124000,163000,37287000,-11096000,26191000,26191000,-23000,26168000,26168000,225089000,183234000,41855000,46288000,46288000,1579000,272956000,15964000,32119000,19118000,7382000,60772000,333728000,44708000,44708000,9672000,9672000,54380000,67061000,544333000,-144677000,-127957000,-5885000,265814000,853000,266667000,333728000,26191000,7638000,20371000,54200000,-2829000,4733000,1906000,-34950000,117000,117000,9.31322574615479e-10,-37999.9999999995,-34871000,21235000,21235000,-1118000,20117000,0,0.40097,0.2926,0.09813,0.07841,5.01942,0.25148,0,0.56871,0.56141,1.94367,5.77693,0.75957,0.21879,1.3356,-6.27688
"29","2017_Q2",29.4153968253968,"Up",89741000,-54213000,-39939000,-1111000,-13163000,35528000,208000,499000,35736000,19000,35755000,-12811000,22944000,22944000,41000,22985000,22985000,201698000,156685000,45013000,58676000,58676000,2159000,262533000,15557000,26288000,19233000,7055000,57007000,319540000,25442000,25442000,7142000,7088000,32584000,45204000,550760000,-153717000,-118663000,-5019000,273361000,975000,274336000,319540000,22944000,14175000,-38931000,-1812000,-649000,-2799000,-3448000,-12979000,-8821000,219000,-9040000,163000,-21637000,-26897000,-26897000,348000,-26549000,0,0.39589,0.25613,0.08378,0.07193,8.05711,0.16478,0,0.49705,0.49321,1.94064,5.9114,0.28067,0.12533,0.56467,-5.67716
"30","2017_Q3",29.4974603174603,"Up",92714000,-55357000,-40740000,-1023000,-13594000,37357000,455000,786000,37812000,-194000,37618000,-14620000,22998000,22998000,476000,23474000,23474000,212563000,178414000,34149000,50635000,50635000,14452000,277650000,15471000,31206000,19866000,6890000,120233000,397883000,27621000,27621000,21588000,21588000,49209000,62411000,556894000,-153749000,-108581000,-4511000,290053000,45419000,335472000,397883000,22998000,1540000,-44282000,-19744000,-903000,10069000,9166000,-12981000,152000,184000,-32000.0000000037,44920000,32091000,21513000,21513000,216000,21729000,0,0.40293,0.25319,0.06997,0.059,5.64226,0.18604,0,0.5062,0.50049,1.99931,6.25478,0.27993,0.10455,0.55299,-5.69004
"31","2017_Q4",33.3122222222222,"Up",96787000,-55814000,-41735000,-1111000,-12968000,40973000,1415000,1425000,42388000,912000,43300000,-17562000,25738000,25738000,-656000,25082000,25082000,231046000,198873000,32173000,62341000,62341000,6567000,299954000,15317000,34044000,20230000,7109000,124045000,423999000,42719000,42719000,12636000,12636000,55355000,69333000,563249000,-153818000,-96926000,-3915000,308590000,46076000,354666000,423999000,25738000,4254000,2209000,32201000,-889000,1966000,1065000,-12984000,64000,133000,-69000,1000,-12919000,20347000,20347000,112000,20459000,0,0.42333,0.25915,0.07072,0.05916,5.41873,0.19549,0,0.54072,0.53313,2.08656,6.65265,0.27991,0.10326,0.51766,-5.63898
"32","2018_Q1",32.333606557377,"Down",98952000,-58064000,-54285000,-3872000,93000,40888000,1314000,1623000,42202000,1525000,43727000,-22921000,20806000,20806000,-408000,20398000,20398000,301558000,193452000,108106000,53854000,53854000,6429000,361841000,15040000,33244000,20379000,7053000,48284000,410125000,61262000,61262000,13307000,13307000,74569000,86794000,570997000,-153818000,-137972000,-3671000,275536000,47795000,323331000,410125000,20806000,6395000,26407000,53608000,-801000,-326000,-1074000,-59369000,1e+05,1e+05,0,1310999.99999999,-57958000,-5424000,-5424000,3000.00000000003,-5421000,0,0.41321,0.20614,0.06309,0.04974,4.85243,0.26844,0,0.43952,0.43066,2.13213,5.937,1.27923,0.23772,2.91053,-7.37522
"33","2018_Q2",31.2271875,"Down",94464000,-57245000,-43341000,-1062000,-12842000,37219000,4303000,1801000,41522000,-4502000,37020000,-8096000,28924000,28924000,-1338000,27586000,27586000,308079000,168644000,139435000,63016000,63016000,11790000,382885000,14939000,31117000,20625000,8698000,46056000,428941000,33157000,33157000,17629000,17629000,50786000,63494000,577687000,-164323000,-125293000,-4228000,283843000,81604000,365447000,428941000,28924000,14567000,-72563000,-29072000,-906000,-1863000,-2743000,-15445000,-10286000,219000,-10505000,32471000,6740000,-25075000,-25075000,267000,-24808000,0,0.394,0.29203,0.07549,0.06431,7.53918,0.17374,0,0.59092,0.58504,2.02352,6.08022,0.33085,0.11379,0.55989,-8.27747
"34","2018_Q3",32.8614285714286,"Up",94410000,-58123000,-44478000,-1205000,-12440000,36287000,-175000.000000001,2886000,36112000,-603000,35509000,-9940000,25569000,25569000,4390000,29959000,29959000,341397000,193729000,147668000,50586000,50586000,11435000,403418000,14571000,32127000,20028000,8254000,46698000,450116000,35046000,35046000,14832000,14832000,49878000,62116000,584553000,-164372000,-111333000,-5843000,303005000,84995000,3.88e+08,450116000,25569000,6550000,3016999.99999999,35136000,-847000,-592000.000000002,-1439000,-15448000,109000,158000,-49000,7781000,-7558000,26139000,26139000,-1054000,25085000,0,0.38436,0.31733,0.07721,0.06656,8.08809,0.16009,0,0.63989,0.63324,2.01649,6.47184,0.32995,0.11345,0.51564,-9.40825
"35","2018_Q4",30.1328571428571,"Down",98331000,-59108000,-44760000,-1138000,-13210000,39223000,634000,2747000,39857000,413000,40270000,-10539000,29731000,29731000,1059000,30790000,30790000,372368000,164460000,207908000,60110000,60110000,6250000,438728000,14196000,35261000,19949000,8626000,49457000,488185000,50646000,50646000,14087000,14087000,64733000,79116000,591345000,-164417000,-96544000,-6143000,324241000,84828000,409069000,488185000,29731000,5607000,-2079000,33259000,-751000,-47096000,-47836000,-15452000,87000,132000,-45000,892000,-14473000,-29050000,-29050000,-219000,-29269000,0,0.39889,0.31313,0.07527,0.06307,6.7775,0.19341,0,0.65748,0.64788,2.09974,6.92379,0.32996,0.1092,0.50185,-9.49361
"36","2019_Q1",33.1240983606557,"Up",93906000,-59597000,-46978000,-1068000,-11551000,34309000,6243000,2992000,40552000,-9572000,30980000,-5682000,25298000,25298000,263000,25561000,25561000,317665000,92733000,224932000,50381000,50381000,14240000,382286000,14106000,84647000,19751000,57696000,98753000,481039000,62348000,62348000,73360000,73360000,135708000,144201000,602790000,-164417000,-208404000,-7323000,222646000,114192000,336838000,481039000,25298000,21681000,-18177000,33275000,-966000,-210000,-1176000.00000001,-132534000,88000,88000,0,29627000,-102819000,-70720000,-70720000,-1007000,-71727000,0,0.36535,0.2722,0.07589,0.05314,2.81697,0.4281,0,0.54566,0.53771,2.00465,4.75292,2.82926,0.45781,5.18501,-9.25894
"37","2019_Q2",42.1744444444444,"Up",94226000,-58791000,-45153000,-1102000,-12536000,35435000,1046000,1541000,36481000,13864000,50345000,-10368000,39977000,39977000,-7434000,32543000,32543000,243449000,56386000,187063000,59973000,59973000,4597000,308019000,14011000,83778000,19564000,57084000,97789000,405808000,38662000,38662000,60771000,60771000,99433000,106293000,610379000,-174770000,-193523000,-6925000,235161000,64354000,299515000,405808000,39977000,-3525000,-65955000,-29503000,-989000,9724000,8739000,-17015000,-10079000,274000,-10353000,10932000,-16162000,-36926000,-36926000,579000,-36347000,0,0.37606,0.34537,0.10865,0.08019,3.09775,0.35488,0,0.69026,0.68307,1.9986,4.98793,0.3609,0.16176,0.52285,-6.8703
"38","2019_Q3",45.8271875,"Up",101792000,-63688000,-48385000,-1115000,-14188000,38104000,2662000,1920000,40766000,1874000,42640000,-9991000,32649000,32649000,-1316000,31333000,31333000,255070000,102109000,152961000,54362000,54362000,3323000,312755000,13487000,77760000,19711000,50871000,91247000,404002000,42168000,42168000,60552000,60552000,102720000,109523000,618252000,-174802000,-179852000,-7223000,256375000,38104000,294479000,404002000,32649000,8870000,33891000,75410000,-594000,15555000,14961000,-17026000,107000.000000004,139000,-32000,-27566000,-44485000,45886000,45886000,-163000,45723000,0,0.37433,0.30781,0.1064,0.07756,3.04473,0.37192,0,0.66235,0.6495,2.15178,5.4195,0.35991,0.16051,0.54339,-6.69405
"39","2019_Q4",55.93796875,"Up",104965000,-64832000,-49590000,-1100000,-14142000,40133000,2145000,1713000,42278000,4472000,46750000,-10352000,36398000,36398000,-2381000,34017000,34017000,296659000,128328000,168331000,65614000,65614000,3677000,365950000,12993000,80761000,19261000,54381000,93754000,459704000,57540000,57540000,61651000,61651000,119191000,127694000,626349000,-174825000,-163500000,-9123000,278901000,53109000,332010000,459704000,36398000,6832000,-15359000,27871000,-614000,-2561000,-3179000,-17027000,183000,206000,-23000,19805000,2961000,27653000,27653000,-1434000,26219000,0,0.38235,0.32408,0.10246,0.074,3.07028,0.38461,0,0.71893,0.70182,2.21838,5.89443,0.35986,0.1499,0.50054,-7.3919
"40","2020_Q1",57.0185483870968,"Up",109847000,80046000,95496000,-1079000,-14371000,46462000,-111000,1542000,46351000,1463000,47814000,-9854000,37960000,37960000,-1232000,36728000,36728000,256565000,101352000,155213000,59101000,59101000,1743000,317409000,12486000,72524000,19560000,45873000,85010000,402419000,70299000,70299000,65005000,65005000,135304000,135304000,637315000,-174825000,-242461000,-6326000,213703000,53412000,267115000,402419000,37960000,5103000,19622000,67667000,-555000,15983000,15428000,-111637000,122000.000000002,122000,1.86264514923096e-09,-929000,-112444000,-29349000,-29349000,2373000,-26976000,0,0.42297,0.33436,0.1375,0.09127,2.3459,0.50654,0,0.7761,0.7521,2.32117,4.51574,2.35899,0.55543,3.03956,-5.52204
"41","2020_Q2",54.7839682539683,"Down",105830000,-77461000,-62205000,-1152000,-14104000,28369000,2184000,1149000,30553000,-22027000,8526000,-458000,8068000,8068000,12504000,20572000,20572000,184657000,42960000,141697000,63659000,63659000,145000,248461000,12091000,73103000,19326000,46941000,85194000,333655000,35958000,35958000,54563000,54563000,90521000,96550000,644932000,-200672000,-240930000,-7826000,195504000,41601000,237105000,333655000,8068000,32274000,-47047000,-5553000,-770000,-7242000,-8012000,-18653000,-25588000,259000,-25847000,693000,-43548000,-57113000,-57113000,-1279000,-58392000,0,0.26806,0.19439,0.08676,0.06166,2.74479,0.4072,0,0.43172,0.42337,2.22094,4.10283,0.39145,0.16133,0.90672,-6.50911
"42","2020_Q3",56.4153125,"Up",94087000,-58792000,-45046000,-1228000,-12518000,35295000,635999.999999999,893000,35931000,7317000.00000001,43248000,-11086000,32162000,32162000,-3642000,28520000,28520000,235673000,88135000,147538000,51995000,51995000,497000,288165000,11584000,68539000,19567000,42070000,80123000,368288000,55674000,55674000,48521000,48521000,104195000,111672000,653114000,-200740000,-231409000,-7422000,213543000,43073000,256616000,368288000,32162000,-3026000,25028000,61154000,-721000,5222000,4501000,-18657000,191000.000000004,259000,-68000,-2170000,-20636000,45019000,45019000,156000,45175000,0,0.37513,0.30312,0.11114,0.07744,2.76563,0.43517,0,0.59632,0.58796,1.96724,4.4649,0.39009,0.17864,0.65417,-6.67723
"43","2020_Q4",61.25109375,"Up",111159000,46145000,61931000,-1144000,-14642000,43307000,-48000,694000,43259000,3279000,46538000,-12532000,34006000,34006000,-2102000,31904000,31904000,247670000,96305000,151365000,67094000,67094000,2443000,317207000,10920000,69339000,20023000,42243000,80259000,397466000,60055000,60055000,49515000,49515000,109570000,116292000,661224000,-200762000,-218643000,-6065000,235754000,45420000,281174000,397466000,34006000,3669000,-7376000,31587000,-471000,-5600000,-6071000,-18661000,170000,192000,-22000,245000,-18246000,7270000,7270000,9e+05,8170000,0,0.3896,0.28701,0.11347,0.08027,2.89502,0.41359,0,0.66667,0.65557,2.32278,4.92632,0.38994,0.17564,0.58491,-5.71894
