"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.14484375,"Up",1964000,-587000,-554000,-33000,1377000,-8000,-8000,1369000,-888000,481000,-206000,275000,275000,275000,275000,10354082.2479985,10350595.2041631,3487.04383541594,-297161.63516244,-446565.279131338,10472455.7252498,217601.807641508,22370995.7780071,22370995.7780071,23049501.39338,33521957.1186298,1950143.83563878,1904695.09390709,28874.3606040181,28874.3606040181,2473911.9870486,3083941.7553314,3023629.86618428,5796550.4224646,8270462.4095132,9465033.55307401,15837277.6857456,25251494.7091166,25251494.7091166,33521957.1186298,275000,33000,215000,456000,979000,-21000,-21000,0,-207000,-212000,746000,746000,746000,1410000,0,2051000,0.70112,0.14002,0.0103284034710741,0.00773525926462077,7.45818,2.77575668210892,0.328824405906125,0.0957756460062824,0.03207,0.03194,0.22902,2.99107114814956,0.23916,0,0.000935799361708739,0.0874844115562164,0,-4.98969828902626,-5.13221318387617
"2","2011_Q1",1.41741935483871,"Up",1860000,-628000,-593000,-35000,1232000,-7000,-8000,1225000,-849000,376000,-152000,224000,224000,224000,224000,8059000,8054000,5000,326000,186000,9004000,180000,22351000,22351000,22895000,31899000,1023000,1005000,50000,50000,1646000,3201000,3177000,5753000,7399000,9456000,15192000,24500000,24500000,31899000,224000,35000,211000,118000,588000,-25000,-25000,0,1794000,1544000,2107000,2107000,2107000,1267000,3125000,1512000,0.66237,0.12043,0.00914,0.00702,6.75,5.47023,0.302,0.09797,0.02625,0.02615,0.21796,2.87101,0.17718,0,0.00727,0.04905,0,-3.89424,-4.00487
"3","2011_Q2",1.35142857142857,"Down",1949000,-761000,-733000,-28000,1188000,-17000,-17000,1171000,-713000,458000,-192000,266000,266000,266000,266000,7371889.25066716,7366134.93194563,5754.31872152802,445887.211720813,326521.759710446,8509348.09158341,161966.064119497,22343918.0739976,22343918.0739976,22889666.2022067,31399014.2937901,628618.721453739,624268.302030971,55041.8797986606,55041.8797986606,1295696.00431714,3347602.74822287,3341706.71127191,5741649.85917847,7037345.8634956,9471238.815642,15018740.7714181,24361668.4302945,24361668.4302945,31399014.2937901,266000,28000,225000,-629000,-110000,-10000,-10000,-514000,-104000,-622000,-742000,-742000,-742000,1216000,0,769000,0.60954,0.13648,0.0109980321763086,0.00855074691179308,2.89098,6.64897527263036,0.288851864697958,0.0957081179979059,0.03103,0.031,0.22736,2.83834711728348,0.08971,0.05996,0.0123014002127638,0.0442785294812612,1.93233,-3.39989473699125,-3.48253310537461
"4","2011_Q3",1.36828125,"Up",1979000,-619000,-593000,-26000,1360000,-16000,-17000,1344000,-779000,565000,-233000,332000,332000,332000,332000,7628000,7622000,6000,311000,209000,8616000,155000,22348000,22348000,22948000,31564000,572000,572000,49000,49000,1246000,3513000,3513000,5753000,6999000,9500000,15132000,24565000,24565000,31564000,332000,26000,188000,80000.0000000001,626000,-15000,-15000,-144000,-156000,-301000,310000,310000,310000,1386000,2865000,1684000,0.68722,0.16776,0.01352,0.01052,5.07229,6.91493,0.28492,0.09077,0.03862,0.03854,0.23018,2.85722,0.19587,0.01675,0.01538,0.05442,0.43373,-3.43651,-3.50221
"5","2011_Q4",1.35301587301587,"Down",1923000,-580000,-556000,-24000,1343000,-15000,-15000,1328000,-726000,602000,-250000,352000,352000,352000,352000,8184000,8178000,6000,225000,105000,9023000,149000,22347000,22347000,22943000,31966000,726000,726000,37000,37000,1388000,3683000,3683000,5766000,7154000,9536000,15341000,24812000,24812000,31966000,352000,24000,193000,304000,873000,-17000,-17000,-143000,-157000,-3e+05,556000,556000,556000,1367000,2708000,1904000,0.69839,0.18305,0.01419,0.01101,5.40909,6.50072,0.28833,0.08472,0.04093,0.0408,0.2236,2.88509,0.22139,0.01663,0.01586,0.06102,0.40625,-4.00585,-4.07744
"6","2012_Q1",1.2791935483871,"Down",1793000,-657000,-633000,-24000,1136000,-16000,-16000,1120000,-662000,458000,-193000,265000,265000,265000,265000,8368000,8362000,6000,418000,236000,9334000,136000,22344000,22344000,22803000,32137000,873000,873000,24000,24000,1522000,3848000,3848000,5775000,7297000,9567000,15462000,24840000,24840000,32137000,265000,24000,135000,70000,494000,-9999.99999999999,-9999.99999999999,-144000,-156000,-3e+05,184000,184000,184000,1160000,2552000,1413000,0.63358,0.1478,0.01067,0.00825,5.33208,6.13272,0.29376,0.07941,0.03081,0.03067,0.20848,2.88832,0.1643,0.01674,0.01309,0.04523,0.5434,-5.01379,-5.11972
"7","2012_Q2",1.21031746031746,"Down",1717000,-711000,-690000,-21000,1006000,-13000,-14000,993000,-674000,319000,-167000,152000,152000,152000,152000,7839000,7833000,6000,337000,222000,8742000,131000,22374000,22374000,22874000,31616000,301000,301000,12000,12000,938000,4032000,4032000,5803000,6741000,9548000,15470000,24875000,24875000,31616000,152000,21000,245000,-570000,-152000,-53000,-53000,-144000,-156000,-324000,-529000,-529000,-529000,1027000,2396000,571000,0.58591,0.08853,0.00611,0.00481,3.75658,9.31983,0.27099,0.07578,0.01779,0.01774,0.20097,2.91151,0.06683,0.01685,0.00946,0.01824,0.94737,-5.2999,-5.41054
"8","2012_Q3",1.36412698412698,"Up",1729000,-561000,-536000,-25000,1168000,-13000,-13000,1155000,-728000,427000,-180700,246300,246300,246300,246300,8179000,8173000,6000,305000,126000,9074000,120000,22368000,22368000,22916000,31990000,520000,520000,22000,22000,1167000,4182000,4182000,5797000,6964000,9574000,15536000,25026000,25026000,31990000,246000,25000,137000,264000,672000,-11000,-10999.9999999999,-180000,-156000,-321000,340000,340000,340000,1193000,2240000,1626700,0.67553,0.14245,0.00984,0.0077,6.60455,7.77549,0.27827,0.07002,0.0284,0.02842,0.19934,2.88528,0.18754,0.02075,0.01356,0.05173,0.73082,-4.97821,-5.08476
"9","2012_Q4",1.58306451612903,"Up",1715000,-499000,-476000,-23000,1216000,-12000,-12000,1204000,-684000,520000,-217400,302600,302600,302600,302600,8593000,8587000,6000,297000,126000,9458000,104000,22403000,22403000,22914000,32372000,710000,690000,92000,92000,1427000,4354000,4354000,5812000,7239000,9579000,15659000,25133000,25133000,32372000,303000,23000,151000,316000,793000,-42000,-42000,-180000,-157000,-337000,414000,414000,414000,1239000,2083000,1730400,0.70904,0.17644,0.01204,0.00935,5.71844,6.62789,0.28803,0.06435,0.0351,0.03502,0.19895,2.91564,0.20074,0.02088,0.01529,0.05481,0.59484,-5.25424,-5.35362
"10","2013_Q1",3.31133333333333,"Up",1911000,-543000,-517000,-26000,1368000,-12000,-12000,1356000,-890000,466000,-196200,269800,269800,269800,269800,8736000,8730000,6000,370000,190000,9749000,148000,22601000,22601000,23153000,32902000,1135000,1087000,87000,87000,1847000,4529000,4529000,5831000,7678000,9584000,15748000,25224000,25224000,32902000,270000,26000,171000,281000,748000,-268000.000000001,-267999.999999999,-181000,-156000,-336999.999999999,143000,143000,143000,1394000,1927000,1603200,0.71586,0.14118,0.0107,0.0082,5.94218,5.27829,0.30439,0.05857,0.0313,0.03119,0.22169,2.92617,0.18598,0.021,0.01423,0.05061,0.67087,-4.88451,-4.97734
"11","2013_Q2",3.5553125,"Up",4703000,-980000,-942000,-38000,3723000,-248000,-138000,3475000,-2123000,1352000,-584400,767600,767600,767600,767600,4933000,4927000,6000,736000,180000,7621000,224000,42718000,42718000,42942000,50563000,1451000,1243000,75000,75000,3366000,4867000,4867000,21273000,24639000,9588000,16336000,25924000,25924000,50563000,768000,38000,499000,-1419000,-114000,-20007000,-19603000,-180000,16319000,15914000,-3803000,-3803000,-3803000,3761000,18246000,-17080600,0.79162,0.16321,0.02961,0.01518,-22.25195,2.26411,0.95043,0.36086,0.08969,0.08969,0.5495,3.02897,-1.99571,0.02103,0.01932,-0.34832,0.2345,3.53975,3.57588
"12","2013_Q3",3.95421875,"Up",5947000,-1094000,-1049000,-45000,4853000,-178000,-179000,4675000,-2800000,1875000,-757600,1117400,1117400,1117400,1117400,6151000,6145000,6000,1135000,760000,9403000,231000,42763000,42763000,42994000,52397000,2228000,2228000,63000,63000,4131000,5168000,5168000,21115000,25246000,9879000,17272000,27151000,27151000,52397000,1117000,45000,582000,208000,1952000,-97999.9999999925,-97999.9999999963,-181000,-459000,-636000,1218000,1218000,1218000,4898000,17787000,5765600,0.81604,0.18789,0.04116,0.02133,5.15984,2.2762,0.92984,0.33947,0.12824,0.12824,0.68252,3.11603,0.6617,0.02077,0.02591,0.11507,0.16198,2.37566,2.39769
"13","2013_Q4",5.4515625,"Up",6506000,-1237000,-1190000,-47000,5269000,-177000,-177000,5092000,-2793000,2299000,-929000,1370000,1370000,1370000,1370000,6768000,6761000,7000,1416000,934000,10333000,249000,43542000,43542000,43791000,54124000,2879000,2879000,47000,47000,4766000,5522000,5522000,21009000,25775000,9890000,18459000,28349000,28349000,54124000,1370000,47000,379000,208000,2004000,-745000,-745000,-183000,-460000,-643000,616000,616000,616000,5316000,17327000,5708000,0.80987,0.21057,0.04833,0.02531,4.16642,2.16807,0.9092,0.32014,0.1556,0.1556,0.73894,3.21983,0.64831,0.02078,0.03033,0.11149,0.13358,1.98627,2.00399
