"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",14.17015625,"Down",45655000,-33508000,12147000,-21363000,-15855000,-5508000,-9216000,-282000,-70000,-70000,97000,-309000,-9498000,-1633000,-291000,-1924000,-1924000,94000,-1830000,-1830000,340507219.57195,42664910.6408162,42664910.6408162,13104009.0882063,28757329.9012597,-11424811.1049571,40182141.0062168,425033469.202232,234549374.261236,-89781616.3036653,454221325.409605,117013675.593208,69909861.5270779,598989083.367176,1024022552.56941,21829408.2217486,-5542552.60889284,27371960.8306415,15410975.1453386,64323559.0253828,64323559.0253828,101563942.39247,727710211.205769,21176325.8853982,21176325.8853982,748886537.091167,850450479.483637,300806828.057787,-137692381.90725,8807413.87238375,171922276.708494,1649796.37727749,173572073.085771,1024022552.56941,-1924000,5508000,-5105000,17348000,15827000,-23805000,48000,-39438000,-160000,249000,249000,89000,-23522000,-23522000,-2993022.03328701,-23522000,-3708000,0,-9874000,0.26606,-0.20186,-0.04008,0.0675164381313589,0.0674129213318263,5.39563,4.59301313531284,2.46233968654425,0.916141420928442,-0.0286,-0.0286,0.71344,4.2274133773017,-0.1543,0.0778660807973988,-0.039791700053227,-744.85765335093,-50.7809385636811
"2","2011_Q1",13.3841935483871,"Down",83156000,-50206000,32950000,-25795000,-18876000,-6919000,7155000,1399000,-1211000,-1211000,225000,2385000,8554000,12956000,6e+05,13556000,13556000,230000,13786000,13786000,55194000,45645000,45645000,20483000,40739000,10959000,29780000,162061000,211643000,25807000,183988000,112174000,71814000,421438000,583499000,56772000,28635000,28137000,22712000,17507000,17507000,96991000,41704000,28588000,28588000,70292000,167283000,569209000,-151926000,-3996000,413287000,2929000,416216000,583499000,13556000,6919000,784000,-43758000,-22499000,611000.000000004,-945000.000000007,-5014000,9439000,42827000,42827000,52266000,24753000,24753000,-1738000,23015000,14074000,64416000,-29673000,0.39624,0.0860400000000001,0.16578,0.03312,0.02363,-2.1524,1.67089,0.40191,0.1104,0.2204,0.2204,1.32945,6.60738,-0.47439,0.02707,-0.05827,0.65525,1.28889
"3","2011_Q2",14.7085714285714,"Up",65341000,-47004000,18337000,-25240000,-18030000,-7210000,-6903000,-8000,-820000,-820000,211000,601000,-6911000,-10211000,735000,-9476000,-9476000,-277000,-9753000,-9753000,-21449739.8573168,41482029.7863946,41482029.7863946,25676996.9705979,41373056.6995801,16199353.7016524,25173702.9979277,87082343.5992558,212908041.912921,62405705.4345551,123542224.863465,109034858.135597,72136962.8243074,398855972.210941,485938315.810197,63445113.9260838,34570267.5362976,28874846.3897862,24714258.2848871,5440813.65820572,5440813.65820572,93600185.8691766,-97878153.7352563,27740808.0382006,27740808.0382006,-70137345.6970558,23462840.172121,625563057.314071,-160017122.697583,-6515304.62412792,459030491.097169,3444984.5409075,462475475.638076,485938315.810197,-9476000,7210000,6825000,5338000,9897000,-10816000,-27061000,-40577000,29249000,394000,394000,28293000,-2387000,-2387000,-858000,-3245000,307000,0,-5906000,0.28064,-0.10565,-0.14926,0.00687285395621371,0.000746526222724562,0.60556,0.895815621562386,-0.0231215621814157,-0.0458496403094806,-0.13914,-0.13914,0.93216,6.73756554089943,-0.08426,0.000737973067533718,-0.0545002666489244,146.766797783643,9.18470202122703
"4","2011_Q3",13.5671875,"Down",69113000,-50423000,18690000,-29285000,-21653000,-7632000,-10595000,-1156000,-1507000,-1507000,164000,187000,-11751000,-6916000,1177000,-5739000,-5739000,120000,-5619000,-5619000,35276000,36628000,36628000,29435000,37155000,12889000,24266000,138494000,229074000,52683000,178638000,106824000,71814000,460395000,598889000,55988000,26569000,29419000,23941000,12308000,12308000,92237000,66050999.9999999,23502000,23502000,89552999.9999999,181790000,584374000,-167297000,-3481000,413596000,3503000,417099000,598889000,-5739000,7632000,-371000.000000001,-1533000,-11000,-16769000,-352000,-17121000,2384000,338999.999999996,339000,563999.999999985,-16568000,-16568000,-105000,-16673000,-2963000,89992000,-22442000,0.27043,-0.1533,-0.0813,-0.01347,-0.00938,3.99395,1.5015,0.43584,0.15026,-0.07993,-0.07993,0.98308,5.88307,-0.31922,-0.01059,-0.0423,-18.46642,-5.16431999999998
"5","2011_Q4",11.8707936507937,"Down",72082000,-52755000,19327000,-27694000,-20140000,-7554000,-8367000,-5544000,-3193000,-3193000,99000,-2450000,-13911000,-12387000,960000,-11427000,-11427000,73000,-11354000,-11354000,159003000,39710000,39710000,32374000,37018000,12345000,24673000,268105000,246534000,32368000,244596000,104771000,72069000,523498000,791603000,52171000,22945000,29226000,22452000,18559000,18559000,93182000,265718000,20127000,20127000,285845000,379027000,587999000,-178651000,-202000,409146000,3430000,412576000,791603000,-11427000,7554000,659000,-12669000,-15883000,-12284000,-45230000,-59526000,199744000,464000,464000,198685000,123276000,123276000,451000,123727000,-813000,288170000,-26726000,0.26813,-0.11608,-0.15752,-0.02752,-0.01434,2.35388,2.87722,0.91868,0.36403,-0.16136,-0.16136,1.02441,5.81469,-0.37982,-0.01575,-0.03707,-158.877,-15.43767
"6","2012_Q1",17.5093548387097,"Up",86181000,-66502000,19679000,-35037000,-27027000,-8010000,-15358000,-2882000,-4096000,-4096000,163000,1051000,-18240000,-18644000,-2169000,-20813000,-20813000,-94000,-20907000,-20907000,271454000,56455000,56455000,35287000,46645000,22252000,24393000,409841000,257463000,33109000,230648000,102103000,73741000,521220000,931061000,64923000,36668000,28255000,22925000,9621000,9621000,97469000,266497000,22687000,22687000,289184000,386653000,741659000,-199559000,-1216000,540884000,3524000,544408000,931061000,-20813000,8010000,4291000,-12627000,-21139000,-26818000,12464000,-48683000,150005000,280000,280000,150286000,80464000,80464000,-1342000,79122000,-7348000,289422000,-44624000,0.22834,-0.17821,-0.24259,-0.0384,-0.02246,2.1344,4.20483,0.71023,0.31085,-0.29489,-0.29489,1.21555,7.62896,-0.6294,-0.02441,-0.0521,-2.44529,-1.16994
"7","2012_Q2",16.1022222222222,"Down",73634000,-55886000,17748000,-32994000,-24850000,-8144000,-15246000,-2770000,-3702000,-3702000,91000,841000,-18016000,-31522000,-246000,-31768000,-31768000,-137000,-31905000,-31905000,228559000,61161000,61161000,38536000,39452000,13966000,25486000,367708000,309939000,34643000,214985000,99732000,73741000,559567000,927275000,58177000,28097000,30080000,30837000,25948000,25948000,114962000,254949000,33831000,33831000,288780000,403742000,752285000,-231464000,-950000,519871000,3662000,523533000,927275000,-31768000,8144000,16415000,-9687000,-16896000,-36623000,9145000,-32042000,-5404000,5947000,5947000,543000,-48395000,-48395000,936000,-47459000,-7102000,285786000,-53166000,0.24103,-0.20705,-0.43329,-0.06094,-0.03441,1.66638,3.19852,0.77119,0.3082,-0.37239,-0.37239,0.85944,6.06779,-0.62054,-0.03784,-0.06306,-8.05787,-3.75357
"8","2012_Q3",13.891746031746,"Down",69842000,-48530000,21312000,-36823000,-27916000,-8907000,-15511000,-4426000,-3321000,-3321000,72000,-1177000,-19937000,-11038000,-172000,-11210000,-11210000,-84000,-11294000,-11294000,209794000,63565000,63565000,36470000,43175000,15132000,28043000,353004000,355017000,33807000,195838000,100749000,73741000,584662000,937666000,60884000,31733000,29151000,33784000,44389000,44389000,139057000,253830000,22620000,22620000,276450000,415507000,760947000,-242758000,225000,518414000,3745000,522159000,937666000,-11210000,8907000,-4013000,4998000,-1318000,-39285000,20649000,-19062000,959000,1889000,1889000,2497999.99999999,-17882000,-17882000,-69000,-17951000,-6604000,287614000,-40719000,0.30515,-0.22209,-0.16171,-0.02163,-0.01204,3.60537,2.53856,0.79575,0.30673,-0.13038,-0.13038,0.80625,5.98453,-0.47006,-0.01357,-0.04892,-11.78377,-5.01708
"9","2012_Q4",12.8046774193548,"Down",91459000,-71231000,20228000,-39604000,-30557000,-9047000,-19376000,-2248000,-4314000,-4314000,152000,1914000,-21624000,-15932000,-277000,-16209000,-16209000,-112000,-16321000,-16321000,178728000,65993000,65993000,37343000,63359000,30754000,32605000,345423000,376012000,32232000,218479000,97873000,73741000,626723000,972146000,68696000,38131000,30565000,34068000,33287000,33287000,136051000,303926000,17768000,17768000,321694000,457745000,771144000,-259079000,-1521000,510544000,3857000,514401000,972146000,-16209000,9047000,1355000,5101000,-706000,-56932000,-25934000,-75409000,52112000,537000,537000,52649000,-23466000,-23466000,-181000,-23647000,-10329000,337994000,-61883000,0.22117,-0.21185,-0.17845,-0.03173,-0.01679,3.79162,2.53892,0.88986,0.34768,-0.18758,-0.18758,1.05118,5.86792,-0.71125,-0.01876,-0.07112,-15.4193,-8.21976
"10","2013_Q1",13.2536666666667,"Up",99073000,-78037000,21036000,-44816000,-34653000,-10163000,-23780000,-5058000,-4732000,-4732000,16000,-342000,-28838000,-41076000,-599000,-41675000,-41675000,-60000,-41735000,-41735000,146697000,57594000,57594000,38152000,42255000,16002000,26253000,284698000,428177000,73970000,188355000,99282000,75865000,690502000,975200000,70010000,39216000,30794000,30389000,13521000,13521000,113920000,300636000,14014000,14014000,314650000,428570000,837376000,-300814000,6151000,542713000,3917000,546630000,975200000,-41675000,10163000,19296000,11380000,-836000,-60054000,31813000,-37434000,-2666000.00000001,596000,596000,-2070000,-40340000,-40340000,-206000,-40546000,-13617000,331025000,-61692000,0.21233,-0.24003,-0.42126,-0.07635,-0.0428,1.47818,2.4991,0.78402,0.33944,-0.4611,-0.4611,1.09459,5.99607,-0.68159,-0.04681,-0.06919,-13.53661,-7.75139000000001
