"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",52.0649206349206,"Down",520307000,-263412000,256895000,-199141000,-199141000,57754000,907000,907000,58661000,46330000,-15084000,31246000,31246000,31246000,31246000,698289000,698289000,10707000,10707000,303950000,119735000,43504000,1132681000,398833000,77820000,24248000,32509000,21063000,476653000,1609334000,146575000,8533000,26951000,111091000,59398000,59398000,205973000,55674000,48724000,55674000,261647000,268005000,1312957000,-233275000,1347687000,1347687000,1609334000,31246000,23163000,7396000,-42405000,19400000,-19879000,-19879000,-12526000,-1961000,-14487000,-14966000,-14966000,-21591000,-36557000,80917000,0,33717000,0.49374,0.111,0.06005,0.02318,0.01942,1.07908,5.49917,0.19415,0,0.22801,0.22775,3.79684,9.83448,0.24604,0.02227,0.02403,-8.62969,-12.09075
"30","2017_Q3",60.2484126984127,"Up",581054000,-283632000,297422000,-225524000,-225524000,71898000,812000,812000,72710000,69524000,-20813000,48711000,48711000,48711000,48711000,721212000,721212000,15873000,15873000,316368000,117569000,51408000,1171022000,426961000,88940000,24749000,40016000,24175000,515901000,1686923000,168121000,19049000,6519000,142553000,56170000,56170000,224291000,64823000,57155000,64823000,289114000,272671000,1285559000,-160421000,1397809000,1397809000,1686923000,48711000,28406000,161000.000000004,5359999.99999997,82638000,-30010000,-30010000,-77360000,-62999.9999999998,-77423000,-24795000,-24795000,47718000,22923000,100304000,0,96467000.0000001,0.51187,0.12374,0.08383,0.03485,0.02888,1.98039,5.22099,0.20683,0,0.35772,0.35737,4.26709,10.2651,0.70843,0.0333,0.06595,-7.19026,-10.03104
"31","2017_Q4",66.66,"Up",619018000,-297056000,321962000,-215367000,-215367000,106595000,1052000,1052000,107647000,86640000,-27696000,58944000,58944000,58944000,58944000,650054000,650054000,21281000,21281000,396892000,120121000,42496000,1188348000,440403000,91698000,24476000,37583000,29639000,532101000,1720449000,175913000,14113000,4403000,157397000,64664000,64664000,240577000,58596000,58596000,58596000,299173000,276499000,1336216000,-191439000,1421276000,1421276000,1720449000,58944000,28560000,2877000,-61110000,29271000,-57239000,-70162000,-7735000,-1062000,-8797000,-49688000,-49688000,-21470000,-71158000,135155000,0,44502000,0.52012,0.1722,0.09522,0.04147,0.03426,0.75499,4.93957,0.2105,0,0.43545,0.43476,4.57299,10.49966,0.32876,0.03983,0.03007,-4.80969,-6.09835
"32","2018_Q1",80.0195081967213,"Up",928802000,-406291000,522511000,-264232000,-264232000,258279000,1226000,1226000,259505000,257504000,-137743000,119761000,119761000,119761000,119761000,990501000,990501000,19173000,19173000,329562000,97046000,48098000,1436282000,473642000,88559000,24679000,32491000,31389000,562201000,1998483000,209930000,24646000,15700000,169584000,82668000,82668000,292598000,108925000,59321000,108925000,401523000,284881000,1455002000,-142923000,1596960000,1596960000,1998483000,119761000,28106000,7378000,202783000,358028000,-50736000,-53341000,2987999.99999999,-143000,2844999.99999999,307532000,307532000,32915000,340447000,286385000,0,576175000,0.56256,0.27808,0.12894,0.07499,0.05993,4.81104,4.90872,0.25143,0,0.88463,0.88242,6.8607,11.79613,4.25598,0.0702,0.33776,-3.45863,-3.835
"33","2018_Q2",106.639375,"Up",649706000,-304973000,344733000,-240428000,-240428000,104305000,2918000,2918000,107223000,107223000,-32070000,75153000,75153000,75153000,75153000,966571000,966571000,21875000,21875000,373445000,90964000,44037000,1452855000,472262000,86588000,24361000,30923000,31304000,558850000,2011705000,192308000,16255000,19445000,156608000,75033000,75033000,267341000,108130000,62470000,108130000,375471000,291982000,1530147000,-185895000,1636234000,1636234000,2011705000,75153000,26773000,5382000,-71471000,35837000,-34314000,-34314000,8400000,-6500000,1900000,3423000,3423000,-27353000,-23930000,131078000,0,57363000,0.5306,0.16054,0.11567,0.04593,0.03736,0.76328,5.43446,0.22947,0,0.55463,0.55288,4.79481,12.07535,0.42334,0.04308,0.03288,-7.37401,-9.26678
"34","2018_Q3",137.084920634921,"Up",723500000,-327306000,396194000,-261986000,-261986000,134208000,1591000,1591000,135799000,135799000,-40029000,95770000,95770000,95770000,95770000,777841000,777841000,23535000,23535000,392672000,113989000,51786000,1308037000,487546000,85574000,24255000,28345000,32974000,573120000,1881157000,284741000,110523000,3021000,171197000,164420000,164420000,449161000,111781000,66121000,111781000,560942000,300315000,1224044000,-204144000,1320215000,1320215000,1881157000,95770000,28656000,8323000,41440000,174189000,-49693000,-54978000,-400894000,-1245000,-302139000,-182928000,-182928000,-5802000,-188730000,162864000,0,194640000,0.54761,0.1855,0.13237,0.07254,0.05091,2.03237,2.91218,0.42489,0,0.71478,0.71189,5.39982,9.85338,1.45269,0.06688,0.13592,-4.77602,-5.79579
"35","2018_Q4",134.066984126984,"Down",747655000,-340878000,406777000,-270874000,-270874000,135903000,2044000,2044000,137947000,137947000,-43534000,94413000,94413000,94413000,94413000,703607000,703607000,29448000,29448000,495991000,134421000,57828000,1363467000,531250000,86294000,24237000,28155000,33902000,617544000,1981011000,380197000,153140000,24545000,202512000,63474000,63474000,443671000,130583000,74889000,130583000,574254000,307767000,1310452000,-211462000,1406757000,1406757000,1981011000,94413000,31686000,2623000,-21872000,106850000,-72739000,-76622000,-4584000,-1538000,-106122000,-75894000,-75894000,1660000,-74234000,167589000,0,116512000,0.54407,0.18177,0.12628,0.06711,0.04766,1.23407,3.07315,0.40821,0,0.71306,0.70946,5.64669,10.62457,0.87996,0.06141,0.07579,-4.19841,-5.17727
"36","2019_Q1",146.041147540984,"Up",1167458000,-498875000,668583000,-337163000,-337091000,331420000,2861000,2861000,334281000,334281000,-115816000,218465000,218465000,218465000,218465000,881320000,881320000,35786000,35786000,404842000,107334000,57949000,1429282000,567237000,88192000,24239000,26549000,37404000,655429000,2084711000,288367000,95533000,67412000,125422000,212110000,212110000,500477000,138259000,81911000,138259000,638736000,315893000,1346890000,-216808000,1445975000,1445975000,2084711000,218465000,35369000,7291000,164778000,425903000,-69061000,-76880000,-201262000,17409000,-183853000,165170000,165170000,12543000,177713000,366789000,0,578322000,0.57268,0.28388,0.18713,0.15108,0.10479,2.64721,2.85584,0.44173,0,1.65808,1.65071,8.86062,10.97448,4.38927,0.1379,0.36505,-2.4028,-2.65922
"37","2019_Q2",173.673015873016,"Up",782315000,-360595000,421720000,-292908000,-292908000,128812000,2379000,2379000,131191000,131191000,-34588000,96603000,96603000,96603000,96603000,576241000,576241000,20105000,20105000,443006000,132232000,50032000,1171584000,582738000,708698000,24094000,26312000,658292000,1291436000,2463020000,181821000,88258000,9377000,84186000,321121000,321121000,502942000,593358000,541434000,593358000,1096300000,317819000,1281432000,-232531000,1366720000,1366720000,2463020000,96603000,32823000,5174000,-197403000,-62803000,-68434000,-63908000,-151353000,-18939000,-170292000,-297003000,-297003000,-8076000,-305079000,161635000,0,-69614000,0.53907,0.16465,0.12348,0.07068,0.03922,-0.72062,2.32946,0.80214,0,0.73915,0.73554,5.98585,10.4574,-0.53265,0.04929,-0.03552,-3.56508,-4.4735
"38","2019_Q3",186.8771875,"Up",883352000,-397556000,485796000,-317814000,-317814000,167982000,1850000,1850000,169832000,169832000,-44842000,124990000,124990000,124990000,124990000,623738000,623738000,27659000,27659000,494294000,187322000,74750000,1333013000,617090000,744641000,24184000,26296000,694161000,1361731000,2694744000,225116000,110513000,5090000,109513000,327493000,327493000,552609000,634756000,572416000,634756000,1187365000,330530000,1404866000,-228017000,1507379000,1507379000,2694744000,124990000,37599000,11401000,-61144999.9999999,112845000,-67330000,-68061000,-232000,-461000,-693000,44091000,44091000,3406000,47496999.9999999,205581000,0,121948000,0.54995,0.19016,0.1415,0.08292,0.04638,0.97566,2.41222,0.7877,0,0.95937,0.95571,6.7802,11.56995,0.93602,0.05835,0.05693,-3.03403,-3.71312
