"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2019_Q4",213.1384375,"Up",916138000,-411094000,505044000,-329215000,-329208000,175829000,1925000,1925000,177754000,177754000,-51772000,125982000,125982000,125982000,125982000,586153000,586153000,35744000,35744000,627102000,202677000,75962000,1451676000,656372000,747096000,24478000,26339000,696279000,1403468000,2855144000,237148000,116281000,12351000,108516000,337621000,337621000,574769000,631639000,569223000,631639000,1206408000,343952000,1522921000,-218137000,1648736000,1648736000,2855144000,125982000,44022000,16120000,-141060000,45064000,-78453000,-80506000,-21507000,12937000,-8570000,-44012000,-44012000,6427000,-37585000,219851000,0,52110000,0.55128,0.19192,0.13751,0.07641,0.04412,0.41363,2.52567,0.73172,0,0.96699,0.96313,7.03196,12.65513,0.39998,0.05525,0.02285,-2.66614,-3.33365
"40","2020_Q1",223.732419354839,"Up",1397491000,-586665000,810826000,-394339000,-394317000,416487000,2129000,2129000,418616000,418616000,-120595000,298021000,298021000,298021000,298021000,1093505000,1093505000,40219000,40219000,518513000,155701000,70542000,1807938000,671693000,801723000,241000,31435000,745865000,1473416000,3281354000,359106000,79997000,26436000,252673000,261312000,261312000,620418000,708718000,617060000,708718000,1329136000,356162000,1820637000,-224581000,1952218000,1952218000,3281354000,298021000,47489000,23163000,205537000,574210000,-68831000,-65933000,-307000,2689000,2382000.00000001,510659000,510659000,-3307000,507352000,463976000,0,721277000,0.5802,0.29802,0.21325,0.15266,0.09082,2.42022,2.91406,0.68083,0,2.28698,2.27679,10.72419,14.98111,5.535,0.112,0.27106,-2.35681,-2.62554
"41","2020_Q2",255.734126984127,"Up",651962000,-317560000,334402000,-299606000,-299583000,34796000,1174000,1174000,35970000,33925000,-5293000,28632000,28632000,28632000,28632000,823006000,823006000,48684000,48684000,625849000,197006000,107690000,1694545000,659265000,847976000,24044000,31190000,792742000,1507241000,3201786000,186984000,78940000,28729000,79314999.9999999,444512000,444512000,631496000,734503000,645513000,734503000,1365999000,334825000,1786147000,-285185000,1835787000,1835787000,3201786000,28632000,43532000,459000,-193866000,-121243000,-52101000,-45626000,-63663000,-26924000,-90587000,-257456000,-257456000,-13043000,-270499000,78328000,0,-162346000,0.51292,0.05337,0.04392,0.0156,0.00894,-5.67009,2.68338,0.74409,0,0.21982,0.21889,5.00543,14.09423,-1.24641,0.01114,-0.06316,-10.50717,-23.65232
"42","2020_Q3",333.71734375,"Up",902942000,-413441000,489501000,-353628000,-352881000,135873000,-344000,-344000,135529000,124065000,-37264000,86801000,86801000,86801000,86801000,522998000,522998000,48922000,48922000,672773000,245062000,120043000,1489755000,698514000,1305758000,84471000,31591000,803103000,2004272000,3494027000,491133000,122767000,75153000,293213000,272176000,272176000,763309000,729616000,639565000,729616000,1492925000,359039000,1872948000,-230885000,2001102000,2001102000,3494027000,86801000,40644000,7915000,45945000.0000001,181305000,-52622000,-499697000,0,8430000,8430000,-309962000,-309962000,9954000,-300008000,176517000,0,207104000,0.54212,0.15048,0.09613,0.04338,0.02484,2.38596,1.95171,0.74605,0,0.66644,0.66361,6.93264,15.36414,1.59011,0.03179,0.07584,-2.96288,-3.84917
"43","2020_Q4",347.2678125,"Up",1117426000,-490072000,627354000,-413903000,-411708000,213451000,-580000,-580000,212871000,204340000,-60697000,143643000,143643000,143643000,143643000,481581000,481581000,59772000,59772000,770990000,288470000,120198000,1600813000,719880000,1307227000,82276000,31562000,806757000,2027107000,3627920000,464144000,160779000,5818000,297547000,266734000,266734000,730878000,734089000,643740000,734089000,1464967000,374978000,2016591000,-228616000,2162953000,2162953000,3627920000,143643000,49033000,18883000,-186217000,25342000,-66107000,-71221000,0,753000,753000,-45126000,-45126000,3709000,-41417000,262484000,0,70857000,0.56143,0.19102,0.12855,0.06641,0.03959,0.49329,2.19026,0.6773,0,1.10226,1.09716,8.57468,16.59763,0.54373,0.04958,0.02446,-1.83471,-2.25617
"44","2021_Q1",328.277049180328,"Down",1729549000,-716815000,1012734000,-547026000,-544831000,465708000,-886000,-886000,464822000,457020000,-127183000,329837000,329837000,329837000,329837000,1150517000,1150517000,62399000,62399000,647230000,264233000,125107000,2124379000,745687000,1315149000,80080000,6731000,841461000,2060836000,4185215000,537641000,172246000,8357000,357038000,345537000,345537000,883178000,743471000,641566000,743471000,1626649000,389293000,2346428000,-177155000,2558566000,2558566000,4185215000,329837000,52269000,49237000,286589000,717932000,-58396000,-78988000,0,616000.000000004,616000,639560000,639560000,29376000,668936000,517977000,0,873353000,0.58555,0.26927,0.19071,0.12891,0.07881,2.64783,2.40538,0.63577,0,2.53053,2.51865,13.26921,19.62949,6.70042,0.09989,0.26449,-2.22117,-2.47047
"45","2021_Q2",329.329206349206,"Up",1226465000,-526151000,700314000,-498829000,-496634000,201485000,227000,227000,201712000,194048000,-49092000,144956000,144956000,144956000,144956000,1179739000,1179739000,56956000,56956000,732890000,283867000,144744000,2253452000,774685000,1301694000,77885000,6773000,829921000,2076379000,4329831000,627658000,196934000,7997000,422727000,337156000,337156000,964814000,725162000,626282000,725162000,1689976000,365368000,2408006000,-133519000,2639855000,2639855000,4329831000,144956000,50485000,36447000,-17779000,214109000,-64225000,-85464000,-83831000,-38404000,-122235000,6410000,6410000,22812000,29222000,251970000,0,219058000,0.571,0.16428,0.11819,0.05491,0.03348,1.5112,2.33563,0.64018,0,1.11198,1.10667,9.40844,20.25081,1.68043,0.04308,0.0651,-4.68206,-5.85522
"46","2021_Q3",400.54125,"Up",1450618000,-607932000,842686000,-543512000,-541317000,299174000,96000,96000,299270000,291127000,-83053000,208074000,208074000,208074000,208074000,1170041000,1170041000,56150000,56150000,789836000,259280000,141473000,2275307000,806387000,1323404000,75690000,6564000,854126000,2129791000,4405098000,669960000,203546000,13743000,452671000,311394000,311394000,981354000,752578000,654495000,752578000,1733932000,382360000,2445845000,-157039000,2671166000,2671166000,4405098000,208074000,53638000,38784000,-14832999.9999999,285663000,-80269000,-116029000,-171082000,2549999.99999999,-168532000,1102000,1102000,-10800000,-9698000,352812000,0,340763000,0.58092,0.20624,0.14344,0.0779,0.04723,1.6377,2.31854,0.64913,0,1.60037,1.59444,11.15723,20.5449,2.62093,0.06077,0.09953,-3.31633,-3.9109
"47","2021_Q4",427.351875,"Up",1450421000,-621028000,829393000,-547319000,-545124000,282074000,15000,15000,282089000,257962000,-70174000,187788000,187788000,187788000,187788000,993591000,993591000,75343000,75343000,943900000,298460000,157878000,2311294000,876489000,1384224000,73494000,6804000,916861000,2260713000,4572007000,776561000,227067000,43199000,506295000,341459000,341459000,1118020000,795532000,697085000,795532000,1913552000,407034000,2398186000,-146765000,2658455000,2658455000,4572007000,187788000,57963000,7074000,-94473000,158352000,-122497000,-111945000,-236423000,3993000,-232430000,-186023000,-186023000,9573000,-176450000,340037000,0,193241000,0.57183,0.19448,0.12947,0.07064,0.04107,1.02904,2.06731,0.7198,0,1.44245,1.43632,11.14106,20.42028,1.48433,0.05437,0.05595,-2.92201,-3.52245
"48","2022_Q1",325.462741935484,"Down",2129113000,-892941000,1236172000,-644156000,-641959000,592016000,176000,176000,592192000,590732000,-156228000,434504000,434504000,434504000,434504000,1259871000,1259871000,77001000,77001000,966481000,311500000,192572000,2614853000,927710000,1399915000,71299000,6091000,935645000,2327625000,4942478000,959301000,289728000,133852000,535721000,446033000,446033000,1405334000,797098000,705672000,797098000,2202432000,423123000,2512840000,-195917000,2740046000,2740046000,4942478000,434504000,62120000,-21856000,256216000,730984000,-127511000,-114453000,-321266000,-524000,-321790000,294741000,294741000,-28461000,266280000,654136000,0,939069000,0.5806,0.27806,0.20408,0.15858,0.08791,2.16124,1.86066,0.80379,0,3.33492,3.32009,16.34146,21.03052,7.20758,0.12284,0.26549,-1.92601,-2.1281
"49","2022_Q2",320.456290322581,"Down",1613463000,-743070000,870393000,-610046000,-607851000,260347000,-22000,-22000,260325000,260325000,-70327000,189998000,189998000,189998000,189998000,649016000,649016000,78391000,78391000,1275040000,300793000,184512000,2303240000,974784000,1419188000,69103000,6090000,957158000,2393972000,4697212000,812785000,308086000,22279000,482420000,394106000,394106000,1206891000,822271000,740655000,822271000,2029162000,413327000,2471432000,-216709000,2668050000,2668050000,4697212000,189998000,64470000,7980000,-505704000,-243256000,-111352000,-101328000,-232644000,-26916000,-259560000,-604144000,-604144000,-6711000,-610855000,324817000,0,-221912000,0.53946,0.16136,0.11776,0.07121,0.04045,-1.16797,1.90841,0.76054,0,1.48347,1.47811,12.5976,20.83161,-1.73265,0.05444,-0.06358,-1.9981,-2.49289
"50","2022_Q3",310.04734375,"Down",1868328000,-812852000,1055476000,-664448000,-662253000,391028000,145000,145000,391173000,401353000,-111832000,289521000,289521000,289521000,289521000,498831000,498831000,81784000,81784000,1462076000,344403000,177965000,2387094000,1059859000,1473758000,66908000,6025000,1013957000,2533617000,4920711000,809228000,259927000,50815000,498486000,397982000,397982000,1207210000,855703000,773877000,855703000,2062913000,433704000,2636377000,-212283000,2857798000,2857798000,4920711000,289521000,67971000,12960000,-272814000,97638000.0000002,-144718000,-123616000,-125340000,324000,-125016000,-150994000,-150994000,809000,-150185000,458999000,0,153299000,0.56493,0.20929,0.15496,0.10131,0.05884,0.52949,1.97736,0.72185,0,2.26864,2.26355,14.63989,22.3932,1.20122,0.07796,0.04128,-1.08678,-1.27569
