"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",26.7524193548387,"Down",1039300000,-391900000,647400000,-366800000,-91800000,-2.75e+08,280600000,-34800000,-60900000,17100000,9e+06,245800000,245800000,-89700000,156100000,156100000,156100000,156100000,1.3e+07,1.3e+07,298600000,342100000,431100000,194700000,1084800000,10438800000,408900000,1902200000,441900000,1460300000,12749900000,13834700000,379200000,277700000,834300000,453200000,381100000,173500000,173500000,1.387e+09,4240600000,4029500000,149600000,714100000,1994200000,1171600000,8270100000,9657100000,30400000,4147200000,4147200000,4177600000,4177600000,13834700000,156100000,94400000,-33900000,167100000,383700000,-163500000,-6500000,-8800000,-178800000,-69100000,-114600000,-21300000,0,-2.05e+08,-1e+05,-1e+05,-1e+05,3.75e+08,5074900000,468300000,0.62292,0.26999,0.1502,0.03737,0.01128,3,0.78212,2.31164,0.36682,0.67781,0.67024,4.51281,18.00782,2.03343,0.30004,7,0.01696,0.03526,0.44266,13.4984,18.03956
"12","2013_Q1",28.7276666666667,"Up",1071200000,-427500000,643700000,-442300000,-94500000,-347800000,201400000,-4.9e+07,-66900000,16700000,1200000,152400000,152400000,-53700000,98700000,98700000,98700000,98700000,35600000,35600000,285300000,360700000,5.91e+08,207600000,1272600000,10572200000,413800000,2026400000,441900000,1584500000,13012400000,1.4285e+10,469300000,368400000,806700000,394600000,412100000,165400000,165400000,1441400000,4453800000,4224300000,2.44e+08,709700000,2.117e+09,1153600000,8678100000,10119500000,30400000,4135100000,4135100000,4165500000,4165500000,1.4285e+10,98800000,93500000,7500000,-18300000,181500000,-220800000,-2600000,-14800000,-238200000,-68900000,191200000,-43700000,7e+05,79300000,22600000,22600000,22600000,294900000,5260500000,109500000,0.60091,0.18801,0.09214,0.02369,0.00691,1.10942,0.88289,2.42936,0.36825,0.42988,0.42525,4.66551,18.01002,0.47692,0.30009,6,0.01228,0.00802,0.69807,17.71753,25.9429
"13","2013_Q2",30.7903125,"Up",1275200000,-541100000,734100000,-413100000,-95500000,-317600000,3.21e+08,-43900000,-6.5e+07,16700000,4400000,277100000,277100000,-100400000,176700000,176700000,176700000,176700000,24700000,24700000,3.89e+08,266800000,633300000,3.87e+08,1313800000,10616100000,419800000,1945600000,441900000,1503700000,12981500000,14295300000,328800000,257100000,730200000,316700000,413500000,219100000,219100000,1278100000,4.441e+09,4342200000,233900000,702600000,2275600000,1130100000,8783200000,10061300000,30400000,4203600000,4203600000,4.234e+09,4.234e+09,14295300000,176600000,98200000,99400000,-43900000,330300000,-133600000,-1300000,-10400000,-145300000,-77800000,-86400000,-39200000,7500000,-195900000,-10900000,-10900000,-10900000,419200000,5171200000,342100000,0.57567,0.25173,0.13857,0.04173,0.01236,1.93605,1.02793,2.37631,0.36174,0.77195,0.76427,5.57099,18.36435,1.49454,0.33989,6,0.01851,0.02488,0.44029,12.27696,16.03271
"14","2013_Q3",30.48546875,"Down",1012300000,-391300000,6.21e+08,-391500000,-96700000,-294800000,229500000,-40300000,-63300000,17200000,5800000,189200000,189200000,-70300000,118900000,118900000,118900000,118900000,2.1e+07,2.1e+07,327300000,317900000,604900000,430500000,1271100000,10704500000,428800000,1912600000,441900000,1470700000,13045900000,1.4317e+10,351900000,276400000,750500000,335900000,414600000,178300000,178300000,1280700000,4383200000,4427300000,225200000,689600000,2369700000,1142800000,8810500000,10091200000,30400000,4195400000,4195400000,4225800000,4225800000,1.4317e+10,1.19e+08,99500000,56200000,76500000,351200000,-173700000,-3900000,-13700000,-191300000,-77800000,-32799999.9999999,-55800000,2800000,-163600000,-3700000,-3700000,-3700000,3.29e+08,5133700000,302100000,0.61345,0.22671,0.11746,0.02814,0.0083,2.54079,0.9925,2.388,0.35857,0.52081,0.51606,4.43408,18.3767,1.32326,0.34078,7,0.01427,0.02191,0.65433,15.54012,22.27756
"15","2013_Q4",30.6578125,"Up",1053200000,-400700000,652500000,-394500000,-96900000,-297600000,2.58e+08,-39800000,-6.2e+07,17100000,5100000,218200000,218200000,-80700000,137500000,137500000,137500000,137500000,18500000,18500000,2.99e+08,367600000,553100000,161300000,1238200000,10805200000,433200000,1896200000,441900000,1454300000,13134600000,14372800000,387700000,296900000,732800000,361800000,3.71e+08,170700000,170700000,1291200000,4370900000,4482200000,214500000,676800000,2470300000,1120600000,8853100000,10144300000,30400000,4198100000,4198100000,4228500000,4228500000,14372800000,137500000,99900000,46100000,85300000,368800000,-190400000,-30500000,12700000,-208200000,-86700000,-26800000,-50200000,6e+05,-163100000,-2500000,-2500000,-2500000,357900000,5103700000,333500000,0.61954,0.24497,0.13055,0.03252,0.00957,2.42545,0.95895,2.39903,0.35509,0.60626,0.60096,4.64374,18.51014,1.47046,0.38228,6,0.01623,0.02414,0.63055,14.20844,19.71008
"16","2014_Q1",32.1373770491803,"Up",1178300000,-4.94e+08,684300000,-412700000,-5.1e+07,-361700000,271600000,-39600000,-60600000,17500000,3500000,2.32e+08,2.32e+08,-86500000,145500000,145500000,145500000,144300000,2.6e+07,2.6e+07,4.06e+08,329400000,789700000,158600000,1551100000,10906600000,438800000,1872900000,441900000,1.431e+09,13218300000,14769400000,439500000,342600000,879600000,537400000,342200000,177300000,177300000,1496400000,4363200000,4646400000,173200000,664200000,2.634e+09,1.175e+09,9009600000,1.0506e+10,30400000,4.233e+09,4.233e+09,4263400000,4263400000,14769400000,145500000,98400000,164400000,-226400000,181900000,-2.25e+08,25200000,-1200000,-2.01e+08,-86600000,142600000,-29700000,3e+05,26599999.9999999,7500000,7500000,7500000,3.7e+08,5242800000,5100000,0.58075,0.2305,0.12246,0.03385,0.00977,0.0353400000000001,1.03655,2.46423,0.35498,0.63737,0.63179,5.20451,18.697,0.0225299999999995,0.38251,8,0.01632,0.000359999999999999,0.60014,14.09946,19.20766
"17","2014_Q2",34.9507936507936,"Up",1.695e+09,-910100000,784900000,-406600000,-100600000,-3.06e+08,378300000,-43900000,-62300000,17300000,1100000,334400000,337900000,-130300000,207600000,207600000,207600000,207600000,27600000,27600000,605800000,234900000,676700000,126100000,1.545e+09,10941700000,445400000,1868700000,441900000,1426800000,13255800000,14800800000,508300000,4.35e+08,7.66e+08,422200000,343800000,150300000,150300000,1424600000,4348800000,4.675e+09,169500000,651900000,2.699e+09,1154600000,9023800000,10448400000,30400000,4.322e+09,4.322e+09,4352400000,4352400000,14800800000,207600000,103700000,72600000,1200000,385100000,-129200000,-3900000,-6e+06,-139100000,-88100000,-124100000,-37400000,5200000,-244400000,1600000,1600000,1600000,4.82e+08,5114800000,484300000,0.46307,0.22319,0.12248,0.0477,0.01403,2.33285,1.08451,2.40061,0.34558,0.9194,0.91173,7.50664,19.14083,2.14482,0.39017,8,0.02091,0.03425,0.42437,10.55436,13.44753
"18","2014_Q3",33.69640625,"Down",1043700000,-418400000,625300000,-387700000,-101400000,-286300000,237600000,-33400000,-5.9e+07,17500000,8100000,204200000,207300000,-74300000,1.33e+08,1.33e+08,1.33e+08,1.33e+08,33400000,33400000,404900000,304300000,542900000,168800000,1285500000,1.1024e+10,452100000,1858200000,441900000,1416300000,13334300000,14619800000,358900000,288500000,455200000,410100000,45100000,166700000,166700000,980800000,4587500000,4.654e+09,169300000,639700000,2714600000,1130400000,9241500000,10222300000,30400000,4367100000,4367100000,4397500000,4397500000,14619800000,1.33e+08,102800000,17500000,82900000,336200000,-176300000,-4e+06,6500000,-173800000,-87900000,-64300000,-2300000,-2100000,-156600000,5800000,5800000,5800000,340400000,5042700000,321300000,0.59912,0.22765,0.12743,0.03024,0.0091,2.41579,1.31066,2.32457,0.34492,0.5898,0.58436,4.62838,19.3663,1.42483,0.3898,7,0.01567,0.0228,0.6609,14.71592,21.08291
"19","2014_Q4",37.550625,"Up",1033300000,-407400000,625900000,-373200000,-93200000,-2.8e+08,252700000,-39500000,-60400000,1.8e+07,2900000,213200000,206600000,-80300000,126300000,126300000,126300000,126300000,88700000,88700000,3.39e+08,379300000,467500000,142900000,1274500000,11134900000,455900000,1859600000,441900000,1417700000,13450400000,14724900000,386400000,3.15e+08,523500000,475800000,47700000,155700000,155700000,1065600000,4569600000,4.661e+09,168900000,627200000,2752700000,1112200000,9230600000,10296200000,30400000,4398300000,4398300000,4428700000,4428700000,14724900000,126300000,106400000,31100000,49500000,313300000,-207500000,-20800000,12300000,-2.16e+08,-8.8e+07,54800000,-12800000,4e+06,-4.2e+07,55300000,55300000,55300000,359100000,5093100000,281400000,0.60573,0.24456,0.12223,0.02852,0.00858,2.22803,1.19604,2.32488,0.34588,0.56009,0.55541,4.58226,19.50466,1.24789,0.39024,5,0.01511,0.01984,0.69675,13.93595,19.80372
"20","2015_Q1",40.353606557377,"Up",1225100000,-523500000,701600000,-458100000,-96200000,-361900000,243500000,-44100000,-58600000,13200000,1300000,199400000,199400000,-76800000,122600000,122600000,122600000,121400000,61900000,61900000,643400000,400600000,186800000,186800000,1292700000,11257700000,456900000,1897700000,441900000,1455800000,13612300000,1.4905e+10,458400000,363300000,1041700000,617600000,424100000,168600000,168600000,1668700000,4170700000,4615500000,203800000,614100000,2.664e+09,1133600000,8786200000,10454900000,30400000,302400000,2300000,4450100000,4450100000,1.4905e+10,122600000,104100000,97200000,-159600000,164300000,-234300000,15600000,-9200000,-227900000,-8.8e+07,139500000,-20400000,5700000,36800000,-26800000,-26800000,-26800000,347600000,5212400000,30500000.0000001,0.57269,0.19876,0.09909,0.02728,0.00814,0.25124,0.77467,2.34936,0.34971,0.53812,0.5341,5.43041,19.59087,0.1352,0.39007,6,0.01467,0.00214,0.72488,14.81732,21.15195
