"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",15.3803125,"Up",13299000,-10182000,3117000,-4582000,-3805000,-94000,-1465000,132000,78000,-1333000,-1336000,-1336000,-1336000,-1336000,-1336000,32575939.5915611,17295716.4983446,4546916.08099165,4546916.08099165,3239771.49525864,1506624.15065332,1506624.15065332,41869251.3184647,9712312.8718553,1342015.5617486,913491.063300172,184003.704784063,11054328.4336039,52923579.7520686,2335556.80070044,-1082621.08840334,3418177.88910378,1139101.19012083,1139101.19012083,3474657.99119679,136379.356898945,136379.356898947,136379.358982583,3611037.35017938,154873705.608937,-1008973.44750206,-103898432.405038,49312542.4018892,49312542.4018892,52923579.7520686,-1336000,1061000,968000,-1785000,-1092000,-212000,6445000,-5000,0,2000,5355000,5355000,5355000,-404000,0,0.23438,-0.11016,-0.10046,0.125581929621578,0.103831114635443,8.0328467675764,0.0567044066166888,2.0925804635604e-11,-0.71291,-0.71291,7.09658,25.9270156851867,0.125177526902542,-251.828741593766,2772.71951846659
"2","2011_Q1",17.9622580645161,"Up",14657000,-11049000,3608000,-4242000,-3543000,-102000,-634000,75000,94000,-559000,-559000,-559000,-559000,-559000,-559000,30247000,20459000,7527000,7527000,5432000,861000,861000,44067000,7185000,992000,808000,184000,8177000,52244000,3672000,1694000,1978000,4475000,4475000,8147000,138000,138000,138000,8285000,154787000,-1039000,-109852000,43959000,43959000,52244000,-559000,1030000,-2235000,783000,-981000.000000002,-232000,1272000,-999.999999999985,1000,-2000,289000,289000,289000,396000,0,0.24616,-0.04326,-0.03814,-0.01272,-0.0107,5.40898,0.18847,0,-0.29614,-0.29614,7.76489,23.2883,-0.01268,-76.38131,47.7082
"3","2011_Q2",19.8671428571429,"Up",14175000,-10656000,3519000,-4330000,-3528000,-94000,-811000,260000,195000,-551000,-387000,-387000,-387000,-387000,-387000,30198603.4694796,15666094.5005518,8443777.97300278,8443777.97300278,6161409.50158046,703625.28311556,703625.28311556,45507416.2271784,6098562.37604823,848744.812750468,715586.312233276,183998.765071979,6947307.1887987,52454723.4159771,4425481.06643319,2584873.69613445,1840607.37029874,5123216.26995972,5123216.26995972,9548697.33626774,136873.547700352,136873.547700351,136873.547005806,9685570.88327354,154937848.130354,-1044258.85083265,-111241855.864987,42769152.5327036,42769152.5327036,52454723.4159771,-387000,956000,231000,-262000,538000,-103000,647000,-58000,0,-58000,1127000,1127000,1127000,145000,0,0.24825,-0.05721,-0.0273,-0.0362306432071928,-0.0300912048784811,4.71591941080787,0.22598853112777,-6.97526821186799e-12,-0.20614,-0.20614,7.55034,22.6626997716044,-0.0361125089675141,-31.3475519687447,-488.215060322197
"4","2011_Q3",18.82,"Down",14249000,-10254000,3995000,-4279000,-3483000,-82000,-284000,57000,142000,-227000,-227000,-227000,-227000,-227000,-227000,31140000,9369000,8077000,8077000,6061000,832000,832000,46110000,5860000,816000,632000,184000,6676000,52786000,4707000,2332000,2375000,4370000,4370000,9077000,134000,134000,134000,9211000,155218000,-1039000,-110467000,43575000,43575000,52786000,-227000,898000,-12951000,-1000,-12281000,-223000,27000,28000,0,37000,-12217000,-12217000,-12217000,614000,5.42101086242752e-20,0.28037,-0.01993,-0.01593,-0.00521000000000001,-0.0043,5.07987,0.21138,0,-0.11971,-0.11971,7.51411,22.97896,-0.00519000000000003,-50.71661,109.64789
"5","2011_Q4",15.5896825396825,"Down",13439000,-9289000,4150000,-4202000,-3423000,-77000,-52000,151000,151000,99000,99000,99000,99000,99000,99000,31639000,10258000,7097000,7097000,5867000,1011000,1011000,45614000,5806000,784000,554000,184000,6590000,52204000,4485000,1665000,2820000,3761000,3761000,8246000,130000,130000,130000,8376000,155509000,-1039000,-110367000,43828000,43828000,52204000,99000,622000,46000,-103000,664000,-112000,138000,-15000,0,87000,889000,889000,889000,570000,0,0.3088,-0.00387,0.00737,0.00226,0.0019,5.53165,0.19111,0,0.05187,0.05022,7.04129,22.96343,0.00225,-55.50702,608.44231
"6","2012_Q1",14.8308064516129,"Down",11882000,-8788000,3094000,-5621000,-4929000,-78000,-2527000,-218000,-238000,-2745000,-2745000,-2827000,-2827000,-2827000,-2827000,30452000,24039000,6320000,6320000,6178000,1049000,1049000,43999000,5367000,661000,477000,184000,6028000,50027000,3918000,1330000,2588000,4496000,4496000,8414000,126000,126000,126000,8540000,155706000,-1058000,-113194000,41487000,41487000,50027000,-2827000,620000,807999.999999998,551000,-848000.000000002,-106000,14595000,45000,-19000,34000,13781000,13781000,13781000,-1907000,8.67361737988404e-19,0.26039,-0.21267,-0.23792,-0.06814,-0.05651,5.22926,0.20585,6.46234853557053e-27,-1.4727,-1.52251,6.18983,21.61232,-0.06794,15.96854,12.0506500000001
"7","2012_Q2",16.6331746031746,"Up",12969000,-9297000,3672000,-4954000,-3980000,-77000,-1282000,14000,14000,-1268000,-1268000,-1268000,-1268000,-1268000,-1268000,29113000,23786000,7167000,7167000,6068000,1150000,1150000,43498000,5115000,583000,399000,184000,5698000,49196000,4594000,1784000,2810000,4154000,4154000,8748000,121000,121000,121000,8869000,155931000,-1178000,-114462000,40327000,40327000,49196000,-1268000,579000,208000,-584000,-1065000,-163000,896000,41670.4967203879,-118000,-84000,-253000,-253000,-253000,-703000,0,0.28314,-0.09885,-0.09777,-0.03144,-0.02577,4.97234,0.21993,0,-0.65898,-0.65898,6.73994,20.9578,-0.03135,41.41252,22.70905
"8","2012_Q3",14.9960317460317,"Down",12711000,-9030000,3681000,-4587000,-3482000,-59000,-906000,15000,39000,-891000,-891000,-891000,-891000,-891000,-891000,28533000,19043000,6883000,6883000,6247000,972000,972000,42635000,5031000,525000,341000,184000,5556000,48191000,4515000,1927000,2588000,4289000,4289000,8804000,113000,113000,113000,8917000,156288000,-1655000,-115353000,39274000,39274000,48191000,-891000,548000,-4732000,114000,-4961000,-180000,475999.999999998,0,-479000,-258000,-4743000,-4743000,-4743000,-358000,-1.38777878078145e-17,0.28959,-0.07128,-0.0701,-0.02269,-0.01849,4.84269,0.22705,-1.03397576569128e-25,-0.46132,-0.46132,6.58124,20.33447,-0.02262,79.70112,31.49338
"9","2012_Q4",15.3725806451613,"Up",11817000,-8688000,3129000,-4196000,-3093000,-48000,-1067000,50000,26000,-1017000,-1017000,-906000,-906000,-906000,-906000,27169000,18343000,6864000,6864000,6573000,966000,966000,41572000,5148000,477000,293000,184000,5625000,47197000,4868000,1906000,2962000,4011000,4011000,8879000,164000,164000,164000,9043000,156474000,-2087000,-116259000,38154000,38154000,47197000,-906000,523000,146000,-198000,-435000,-474000,126000,0,-432000,-391000,-7e+05,-7e+05,-7e+05,-544000,0,0.26479,-0.09029,-0.07667,-0.02375,-0.0192,4.68206,0.23701,0,-0.47033,-0.47033,6.13456,19.80688,-0.02364,49.94301,25.46298
"10","2013_Q1",15.8466666666667,"Up",13016000,-10406000,2610000,-4453000,-3686000,-49000,-1843000,18000,18000,-1825000,-1825000,-1859000,-1859000,-1859000,-1859000,27193000,19514000,6329000,6329000,4979000,886000,886000,39387000,4693000,829000,584000,184000,5522000,44909000,4236000,1546000,2690000,4048000,4048000,8284000,176000,176000,176000,8460000,156636000,-2086000,-118118000,36449000,36449000,44909000,-1859000,481000,127000,1793000,542000,-999.999999999942,624000,0,1000,5000,1171000,1171000,1171000,-1362000,-2.22044604925031e-16,0.20052,-0.14159,-0.14282,-0.051,-0.04139,4.75459,0.23211,0,-0.96436,-0.96436,6.75209,18.90803,-0.05076,19.96549,14.75475
