"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q2",18.93109375,"Down",1.736e+09,-1.417e+09,3.19e+08,-1.42e+08,-1.26e+08,-1.6e+07,1.77e+08,-4.2e+07,-6.2e+07,1.7e+07,3e+06,1.35e+08,1.35e+08,-3.2e+07,1.03e+08,1.03e+08,-5e+06,9.8e+07,9.8e+07,4.18e+08,4.18e+08,1.045e+09,1.045e+09,1.065e+09,2.4e+08,2.4e+08,2.768e+09,3.19e+09,4.323e+09,2.649e+09,1.222e+09,7.513e+09,1.0281e+10,1.669e+09,1.115e+09,1.94e+08,2.15e+08,2.078e+09,5.64e+09,1.444e+09,1.444e+09,7.084e+09,9.162e+09,1.119e+09,1.0281e+10,1.03e+08,1.31e+08,1.8e+07,1.8e+07,-6.22e+08,-6.22e+08,-3.7e+08,-1.42e+08,-1.42e+08,-1.42e+08,8e+06,-1.6e+08,4.88e+08,4.88e+08,-69607200.6070294,-4.5e+07,4.43e+08,-8.7e+07,-8.7e+07,1.3e+07,-7.4e+07,3.08e+08,5.834e+09,-4.24e+08,0.18376,0.10196,0.05645,0.08758,0.00953,-4.32653,1.33205,8.18767,0.56745,0.60153,0.59327,10.6556,-2.60252,5,0.01167,-0.05049,17.58442,30.59887
"34","2018_Q3",17.6203174603175,"Down",1.772e+09,-1.426e+09,3.46e+08,-1.43e+08,-1.26e+08,-1.7e+07,2.03e+08,-1.25e+08,-7.4e+07,2.1e+07,-7.2e+07,7.8e+07,7.8e+07,-2.2e+07,5.6e+07,5.5e+07,-6e+06,4.9e+07,4.9e+07,3.65e+08,3.65e+08,1.026e+09,1.026e+09,9.85e+08,2.48e+08,2.48e+08,2.624e+09,3.025e+09,4.169e+09,2.533e+09,1.217e+09,7.194e+09,9.818e+09,1.664e+09,1.088e+09,2.91e+08,2.15e+08,2.17e+09,5.377e+09,1.372e+09,1.372e+09,6.749e+09,8.919e+09,8.99e+08,9.818e+09,5.6e+07,1.23e+08,5e+06,5e+06,36000000.0000001,36000000.0000001,2.19e+08,-1.31e+08,-1.31e+08,-1.31e+08,3e+06,-1.27e+08,-5.1e+07,-5.1e+07,-9.5e+07,2.5e+07,-1.21e+08,-2.9e+07,-2.9e+07,-2.4e+07,-53000000.0000001,3.26e+08,5.668e+09,2.53e+08,0.19526,0.11456,0.02765,0.05451,0.00499,5.16327,1.20922,9.92102,0.57731,0.30456,0.30109,11.0138,1.57251,6,0.00617,0.03187,16.26687,26.12315
"35","2018_Q4",17.1201587301587,"Down",1.734e+09,-1.41e+09,3.24e+08,-1.32e+08,-1.15e+08,-1.7e+07,1.92e+08,-2.4e+07,-6.3e+07,1.9e+07,2e+07,1.68e+08,1.68e+08,-4.1e+07,1.27e+08,1.27e+08,-7e+06,1.2e+08,1.2e+08,4.4e+08,4.4e+08,9.92e+08,9.92e+08,9.73e+08,2.59e+08,2.59e+08,2.664e+09,3.044e+09,4.232e+09,2.549e+09,1.261e+09,7.276e+09,9.94e+09,1.652e+09,1.048e+09,1.52e+08,2.15e+08,2.019e+09,5.487e+09,1.367e+09,1.367e+09,6.854e+09,8.873e+09,1.067e+09,9.94e+09,1.27e+08,1.3e+08,-4.9e+07,-4.9e+07,4.1e+07,4.1e+07,2.49e+08,-1.1e+08,-1.1e+08,-1.1e+08,-1e+06,-1.34e+08,-2.4e+07,-2.4e+07,-1.1e+07,-2e+06,-3.7e+07,7.8e+07,7.8e+07,-3e+06,7.5e+07,3.22e+08,5.639e+09,2.94e+08,0.18685,0.11073,0.0692,0.11246,0.01207,2.45,1.31947,8.31584,0.5673,0.75472,0.74533,10.90566,1.84906,5,0.01486,0.03642,16.14596,27.07812
"36","2019_Q1",19.0414754098361,"Up",1.635e+09,-1.341e+09,2.94e+08,-1.36e+08,-1.16e+08,-2e+07,1.58e+08,-2.62e+08,-6.2e+07,2e+07,-2.2e+08,-1.04e+08,-1.04e+08,-1.3e+07,-1.17e+08,-3000000.00000004,-7e+06,-1e+07,-1e+07,5.12e+08,5.12e+08,5.49e+08,5.49e+08,1.018e+09,2.78e+08,2.78e+08,2.357e+09,3.085e+09,4.257e+09,2.513e+09,6.02e+08,7.342e+09,9.699e+09,1.73e+09,1.321e+09,1.6e+08,3.17e+08,2.207e+09,5.181e+09,1.411e+09,6.36e+08,6.592e+09,8.799e+09,9e+08,9.699e+09,-1.17e+08,4000000.00000001,2.47e+08,2.56e+08,5.6e+08,5.6e+08,6.93e+08,-1.53e+08,-1.53e+08,-1.53e+08,-4.9e+07,-2.77e+08,-2.73e+08,-4.31e+08,-5.2e+07,-1.3e+07,-3.38e+08,7.8e+07,7.8e+07,-6e+06,7.2e+07,1.62e+08,5.341e+09,5.82e+08,0.17982,0.09664,-0.00611999999999999,-0.01111,-0.00103,-58.2,1.06797,9.77667,0.55068,-0.06341,-0.0627299999999998,10.36831,3.69074,5,-0.00131,0.07606,29.80864,30.56329
"37","2019_Q2",17.5395238095238,"Down",1.638e+09,-1.34e+09,2.98e+08,-1.31e+08,-1.15e+08,-1.6e+07,1.67e+08,-5.6e+07,-6.5e+07,1.9e+07,-1e+07,1.11e+08,1.11e+08,-2.7e+07,8.4e+07,8.4e+07,-5e+06,7.9e+07,7.9e+07,3.26e+08,3.26e+08,9.39e+08,9.39e+08,1.038e+09,2.76e+08,2.76e+08,2.579e+09,3.074e+09,4.499e+09,2.507e+09,1.598e+09,7.573e+09,1.0152e+10,1.609e+09,1.065e+09,9.1e+07,1.6e+08,1.86e+09,5.82e+09,1.462e+09,1.462e+09,7.282e+09,9.142e+09,1.01e+09,1.0152e+10,8.4e+07,1.26e+08,-1.08e+08,-1.08e+08,-6.97e+08,-6.97e+08,-5.95e+08,-1.21e+08,-1.21e+08,-1.21e+08,-1.5e+07,-1.35e+08,5.89e+08,5.89e+08,-4.1e+07,4953299.25775545,5.4e+08,-1.9e+08,-1.9e+08,4e+06,-1.86e+08,2.93e+08,5.911e+09,-4.98e+08,0.18193,0.10195,0.04823,0.07822,0.00778,-6.3038,1.38656,9.05149,0.58225,0.51179,0.50436,10.61149,-3.2262,3,0.01038,-0.05941,19.06143,33.44311
"38","2019_Q3",12.730625,"Down",1.755e+09,-1.42e+09,3.35e+08,-1.34e+08,-1.16e+08,-1.8e+07,2.01e+08,-1.03e+08,-6.7e+07,1.9e+07,-5.5e+07,98000000.0000001,98000000.0000001,-2.7e+07,7.1e+07,6.9e+07,-5e+06,6.4e+07,6.4e+07,3.71e+08,3.71e+08,1.275e+09,1.275e+09,1.015e+09,2.82e+08,2.82e+08,2.943e+09,3.216e+09,4.564e+09,2.527e+09,1.615e+09,7.78e+09,1.0723e+10,1.698e+09,1.074e+09,9.6e+07,1.35e+08,1.929e+09,6.235e+09,1.469e+09,1.469e+09,7.704e+09,9.633e+09,1.09e+09,1.0723e+10,7.1e+07,1.27e+08,-22999999.9999999,-2.3e+07,-2.42e+08,-2.42e+08,-6.8e+07,-1.12e+08,-1.12e+08,-1.12e+08,-6e+06,-2.75e+08,3.81e+08,3.81e+08,3e+06,1e+07,3.86e+08,4.3e+07,4.3e+07,2e+06,44999999.9999999,3.28e+08,6.331e+09,1000000.00000024,0.19088,0.11453,0.03647,0.05872,0.00597,0.0156200000000082,1.52566,8.83761,0.59041,0.41199,0.40901,11.29758,0.00643999999999911,4,0.0081,0.000109999999999992,18.17073,29.65174
"39","2019_Q4",9.90328125,"Down",1.67e+09,-1.371e+09,2.99e+08,-1.24e+08,-1.08e+08,-1.6e+07,1.75e+08,-7.1e+08,-8.3e+07,1.7e+07,-6.44e+08,-5.35e+08,-5.35e+08,-3.2e+07,-5.67e+08,-5.66e+08,-7e+06,-5.73e+08,-5.73e+08,2.73e+08,2.73e+08,9.68e+08,9.68e+08,1.015e+09,2.78e+08,2.78e+08,2.534e+09,3.104e+09,3.91e+09,1.893e+09,1.613e+09,7.014e+09,9.548e+09,1.694e+09,1.064e+09,3.76e+08,1.25e+08,2.195e+09,5.512e+09,1.405e+09,1.405e+09,6.917e+09,9.112e+09,4.36e+08,9.548e+09,-5.67e+08,1.27e+08,-8.3e+07,-8.3e+07,9.39e+08,9.39e+08,4.16e+08,-1e+08,-1e+08,-1e+08,4e+06,-9.5e+07,-3.77e+08,-3.77e+08,0,-2.3e+07,-4.08e+08,-8.7e+07,-8.7e+07,-1.1e+07,-9.8e+07,3.02e+08,5.888e+09,1.173e+09,0.17904,0.10479,-0.34311,-1.31422,-0.06001,-2.04712,1.15444,20.89908,0.61667,-3.68382,-3.76629,10.73644,7.54123,3,-0.0731,0.15177,18.59272,32.08571
"40","2020_Q1",10.9116129032258,"Up",1.628e+09,-1.352e+09,2.76e+08,-1.18e+08,-1e+08,-1.8e+07,1.58e+08,-9.3e+07,-9.6e+07,2.3e+07,-2e+07,65000000.0000001,65000000.0000001,-3.2e+07,3.3e+07,31000000.0000001,-1e+06,3e+07,3e+07,5.51e+08,5.51e+08,6.21e+08,6.21e+08,1.045e+09,2.71e+08,2.71e+08,2.488e+09,3.273e+09,3.849e+09,1.934e+09,8.08e+08,7.122e+09,9.61e+09,1.739e+09,1.276e+09,1.24e+08,1.32e+08,1.995e+09,5.435e+09,1.616e+09,8.43e+08,7.051e+09,9.046e+09,5.64e+08,9.61e+09,3.3e+07,9999999.99999997,7.74e+08,7.67e+08,-1.63e+08,-1.63e+08,6.52e+08,-9.3e+07,-9.3e+07,-9.3e+07,1.96e+08,6.8e+07,-3.78e+08,-5.44e+08,-4e+06,-6.1e+07,-4.5e+08,2.7e+08,2.7e+08,8e+06,2.78e+08,1.68e+08,5.559e+09,-5.6e+07,0.16953,0.09705,0.0184299999999999,0.0531899999999998,0.00311999999999999,-1.86667,1.24712,16.03901,0.57846,0.19262,0.192620000000001,10.45258,-0.359550000000001,7,0.00477999999999999,-0.00724000000000002,29.80952,31.6962
"41","2020_Q2",7.73349206349206,"Down",1.561e+09,-1.293e+09,2.68e+08,-1.32e+08,-1.16e+08,-1.6e+07,1.36e+08,-5.5e+07,-5.3e+07,1.5e+07,-1.7e+07,8.1e+07,8.1e+07,-2.6e+07,5.5e+07,5.5e+07,-5e+06,5e+07,5e+07,8.91e+08,8.91e+08,7.67e+08,7.67e+08,1.047e+09,2.57e+08,2.57e+08,2.962e+09,2.987e+09,3.555e+09,1.773e+09,1.47e+09,6.542e+09,9.504e+09,1.541e+09,1.025e+09,2.83e+08,260313565.058427,1.824e+09,6.115e+09,1.489e+09,1.489e+09,7.604e+09,9.428e+09,7.6e+07,9.504e+09,5.5e+07,1.26e+08,-3.5e+07,-3.5e+07,-4.61e+08,-4.61e+08,-3.15e+08,-1.2e+08,-1.2e+08,-1.2e+08,-4.5e+07,-1.65e+08,8.59e+08,8.59e+08,-2e+06,-75414687.1459518,8.49e+08,3.69e+08,3.69e+08,-2.9e+07,3.4e+08,2.62e+08,6.398e+09,-2.93e+08,0.17168,0.08712,0.03203,0.65789,0.00526,-5.86,1.6239,124.05263,0.67319,0.32035,0.31709,10.00122,-1.87723,2,0.00728,-0.0368,21.01908,40.49265
"42","2020_Q3",10.68984375,"Up",1.418e+09,-1.255e+09,1.63e+08,-1.1e+08,-9.7e+07,-1.3e+07,5.3e+07,-1.72e+08,-9.8e+07,1.3e+07,-8.7e+07,-1.19e+08,-1.19e+08,1.8e+07,-1.01e+08,-1.01e+08,-9.31322574615479e-10,-1.01e+08,-1.01e+08,1.067e+09,1.067e+09,6.96e+08,6.96e+08,1.004e+09,2.45e+08,2.45e+08,3.012e+09,2.976e+09,3.591e+09,1.806e+09,1.471e+09,6.567e+09,9.579e+09,1.482e+09,9.16e+08,4.04e+08,445096145.077373,1.886e+09,6.103e+09,1.548e+09,1.548e+09,7.651e+09,9.537e+09,4.2e+07,9.579e+09,-1.01e+08,1.21e+08,1.15e+08,1.15e+08,46000000.0000001,46000000.0000001,1.81e+08,-6.9e+07,-6.9e+07,-6.9e+07,-999999.99999997,-6.8e+07,63000000.0000002,6.3e+07,2e+06,-9999999.99999999,5.5e+07,1.68e+08,1.68e+08,8e+06,1.76e+08,1.74e+08,6.507e+09,1.33e+08,0.11495,0.03738,-0.07123,-2.40476,-0.01054,-1.31683,1.59703,227.07143,0.6793,-0.64418,-0.65083,9.044,0.84827,4,-0.01247,0.01643,31.26437,102.64151
"43","2020_Q4",11.406875,"Up",1.616e+09,-1.339e+09,2.77e+08,-1.11e+08,-9.5e+07,-1.6e+07,1.66e+08,2.11e+08,-6.1e+07,2.1e+07,2.51e+08,3.77e+08,3.77e+08,-4.2e+07,3.35e+08,3.35e+08,-6e+06,3.29e+08,3.29e+08,6.06e+08,6.06e+08,7.24e+08,7.24e+08,7.82e+08,2.72e+08,2.72e+08,2.384e+09,2.675e+09,3.565e+09,1.847e+09,1.407e+09,6.24e+09,8.624e+09,9.1e+08,9.1e+08,2.12e+08,5.75e+08,1.697e+09,5.163e+09,1.499e+09,1.499e+09,6.662e+09,8.359e+09,2.65e+08,8.624e+09,3.35e+08,1.16e+08,-2.02e+08,-2.02e+08,1.3e+07,1.3e+07,2.62e+08,-5.7e+07,-5.7e+07,-5.7e+07,0,3.84e+08,-1.222e+09,-1.222e+09,-1262995.7579127,9.9e+07,-1.123e+09,-4.77e+08,-4.77e+08,1.6e+07,-4.61e+08,2.82e+08,5.375e+09,2.8e+08,0.17141,0.10272,0.20359,1.24151,0.03815,0.85106,1.40483,31.5434,0.62326,2.09447,2.02531,10.28775,1.78253,5,0.04608,0.03922,16.91135,28.72892
"44","2021_Q1",12.8837704918033,"Up",1.496e+09,-1.232e+09,2.64e+08,-1.25e+08,-9.5e+07,-3e+07,1.39e+08,-1.25e+08,-5.3e+07,-1.2e+07,-6e+07,1.4e+07,1.4e+07,-3.9e+07,-25000000.0000001,-25000000.0000001,-4e+06,-2.9e+07,-2.9e+07,5.63e+08,5.63e+08,6.23e+08,6.23e+08,8.41e+08,2.7e+08,2.7e+08,2.297e+09,2.907e+09,3.678e+09,1.951e+09,6.62e+08,6.585e+09,8.882e+09,1.701e+09,1.126e+09,1.97e+08,576079817.978353,1.898e+09,4.945e+09,1.638e+09,8.95e+08,6.583e+09,8.481e+09,4.01e+08,8.882e+09,-25000000.0000001,6e+06,-91000000.0000001,-90999999.9999999,5.18e+08,5.18e+08,4.08e+08,-6.5e+07,-6.5e+07,-6.5e+07,-1e+06,-58000000.0000001,-3.3e+08,-578531675.437018,-3e+06,-5e+06,-3.38e+08,12000000.0000001,24000000.0000001,2.4e+07,4.8e+07,1.45e+08,5.142e+09,6.37e+08,0.17647,0.09291,-0.01939,-0.0723199999999999,-0.00326999999999999,-21.96552,1.21022,21.14963,0.57892,-0.18439,-0.18145,9.51206,4.05026,4,-0.00403999999999999,0.08871,31.57931,32.94245
"45","2021_Q2",16.942380952381,"Up",1.5e+09,-1.256e+09,2.44e+08,-1.2e+08,-1.02e+08,-1.8e+07,1.24e+08,-1.89e+08,-5.1e+07,1.8e+07,-1.56e+08,-6.5e+07,-6.5e+07,-2.6e+07,-9.1e+07,-9.1e+07,-6e+06,-9.7e+07,-9.7e+07,7.42e+08,7.42e+08,7.14e+08,7.14e+08,8.27e+08,2.03e+08,2.03e+08,2.486e+09,2.791e+09,3.548e+09,1.88e+09,1.358e+09,6.339e+09,8.825e+09,9.98e+08,9.98e+08,1.8e+08,5.24e+08,1.702e+09,5.168e+09,1.693e+09,1.693e+09,6.861e+09,8.563e+09,2.62e+08,8.825e+09,-9.1e+07,1.15e+08,1.49e+08,1.49e+08,-2.29e+08,-2.29e+08,-5.6e+07,-9.3e+07,-9.3e+07,-9.3e+07,9376140.40758269,-3.1e+07,2.9e+08,2.9e+08,-2e+06,-50651444.7925524,2.88e+08,2.01e+08,2.01e+08,-2.2e+07,1.79e+08,2.39e+08,5.348e+09,-5.7e+07,0.16267,0.08267,-0.06467,-0.37023,-0.01099,0.58763,1.46063,32.68321,0.60601,-0.6156,-0.6156,9.51952,-0.36174,4,-0.01328,-0.00781,19.27197,37.14516
"46","2021_Q3",14.97609375,"Down",1.661e+09,-1.353e+09,3.08e+08,-1.35e+08,-1.16e+08,-1.9e+07,1.73e+08,2.5e+07,-5.2e+07,2.2e+07,5.5e+07,1.98e+08,1.98e+08,-7.4e+07,1.24e+08,1.24e+08,-6e+06,1.18e+08,1.18e+08,5.31e+08,5.31e+08,8.55e+08,8.55e+08,7.96e+08,2.17e+08,2.17e+08,2.399e+09,2.842e+09,3.633e+09,1.932e+09,1.392e+09,6.475e+09,8.874e+09,1.038e+09,1.038e+09,8.5e+07,5.64e+08,1.687e+09,4.977e+09,1.708e+09,1.708e+09,6.685e+09,8.372e+09,5.02e+08,8.874e+09,1.24e+08,1.17e+08,-4.2e+07,2.7e+07,0,0,1.99e+08,-8.2e+07,-8.2e+07,-8.2e+07,16415080.5537415,-7.8e+07,-3.16e+08,-3.16e+08,-2e+07,-2e+07,-3.56e+08,-2.35e+08,-2.35e+08,2.4e+07,-2.11e+08,2.9e+08,5.062e+09,2.82e+08,0.18543,0.10415,0.07104,0.23506,0.0133,2.38983,1.42205,16.67729,0.57043,0.74887,0.74887,10.54128,1.78967,7,0.01623,0.03878,15.62414,26.19075
"47","2021_Q4",12.6734375,"Down",1.609e+09,-1.307e+09,3.02e+08,-1.27e+08,-1.08e+08,-1.9e+07,1.75e+08,-4.8e+07,-5e+07,2.3e+07,-2.1e+07,1.27e+08,1.27e+08,-4.3e+07,8.4e+07,9.1e+07,-6e+06,8.5e+07,8.5e+07,6.28e+08,6.28e+08,7.93e+08,7.93e+08,8.08e+08,2.13e+08,2.13e+08,2.442e+09,2.785e+09,3.539e+09,1.879e+09,1.366e+09,6.324e+09,8.766e+09,1.062e+09,1.062e+09,7.9e+07,5.97e+08,1.738e+09,4.853e+09,1.605e+09,1.605e+09,6.458e+09,8.196e+09,5.7e+08,8.766e+09,8.3e+07,1.17e+08,-1.23e+08,-1.92e+08,2.29e+08,2.29e+08,3.13e+08,-8.5e+07,-9.3e+07,-9.3e+07,14496480.4230296,-9.3e+07,-9.3e+07,-625384344.908721,-1e+07,0,-1.03e+08,1.17e+08,1.17e+08,-2e+07,9.7e+07,2.92e+08,4.932e+09,4.79e+08,0.18769,0.10876,0.05283,0.14912,0.0097,5.63529,1.40506,14.37895,0.56263,0.53992,0.52968,10.22042,3.04262,8,0.01196,0.0674,14.73973,24.59429
"48","2022_Q1",13.0466129032258,"Up",1.587e+09,-1.35e+09,2.37e+08,-1.33e+08,-1.07e+08,-2.6e+07,1.04e+08,-3.2e+07,-6.3e+07,2.7e+07,4e+06,7.2e+07,7.2e+07,-2.4e+07,4.8e+07,4.8e+07,-5e+06,4.3e+07,4.3e+07,7.25e+08,7.25e+08,6.92e+08,6.92e+08,8.16e+08,2.86e+08,2.37e+08,2.519e+09,2.817e+09,2.853e+09,1.84e+09,5.77e+08,6.313e+09,8.832e+09,1.761e+09,1.21e+09,7.2e+07,1.3e+07,1.846e+09,4.753e+09,1.406e+09,9.14e+08,6.159e+09,8.005e+09,8.27e+08,8.832e+09,-1.23e+08,6999999.99999999,1.6e+08,1.6e+08,4.1e+07,4.1e+07,8.5e+07,-1.38e+08,-1.3e+08,-1.3e+08,-2000000.00000001,-1.8e+07,-6.5e+07,-416435492.214641,-1e+07,-2.7e+07,-1.02e+08,-34999999.9999999,1.27e+08,-1.1e+07,1.16e+08,1.11e+08,4.825e+09,3.8e+07,0.14934,0.06553,0.0271,0.052,0.00487,0.883719999999999,1.36457,9.67956,0.54631,0.2774,0.2677,10.23805,0.24515,7,0.00609,0.00538000000000001,36.93694,39.42308
"49","2022_Q2",14.3754838709677,"Up",1.692e+09,-1.388e+09,3.04e+08,-1.42e+08,-1.19e+08,-2.3e+07,1.62e+08,8e+06,-6.6e+07,2.3e+07,5.1e+07,1.7e+08,1.7e+08,-4.8e+07,1.22e+08,1.22e+08,-3.4e+07,8.8e+07,8.8e+07,5.19e+08,5.19e+08,9e+08,9e+08,8.37e+08,2.34e+08,2.34e+08,2.49e+09,2.833e+09,3.554e+09,1.863e+09,1.408e+09,6.387e+09,8.877e+09,1.169e+09,1.169e+09,6.7e+07,5.14e+08,1.75e+09,4.621e+09,1.404e+09,1.404e+09,6.025e+09,7.775e+09,1.102e+09,8.877e+09,1.22e+08,1.16e+08,-5.2e+07,-5.2e+07,-2.59e+08,-2.59e+08,-7.3e+07,-9.6e+07,-9.6e+07,-9.6e+07,-2e+06,-2e+06,-1.12e+08,-112000000.000001,-1.3e+07,-2.7e+07,-1.52e+08,-2.27e+08,-2.27e+08,2.1e+07,-2.06e+08,2.78e+08,4.688e+09,-2.9e+07,0.17967,0.09574,0.05201,0.07985,0.00991,-0.32955,1.42286,7.05535,0.52811,0.56296,0.55061,10.82409,-0.18552,5,0.01223,-0.00403,14.9964,25.73457
"50","2022_Q3",13.541875,"Down",1.777e+09,-1.453e+09,3.24e+08,-1.43e+08,-1.24e+08,-1.9e+07,1.81e+08,1.47e+08,-4.6e+07,2.4e+07,1.69e+08,3.28e+08,3.28e+08,-7.2e+07,2.56e+08,2.56e+08,-4e+06,2.52e+08,2.52e+08,6.61e+08,6.61e+08,9.57e+08,9.57e+08,7.75e+08,2.24e+08,2.24e+08,2.617e+09,2.758e+09,3.498e+09,1.792e+09,1.434e+09,6.256e+09,8.873e+09,1.19e+09,1.19e+09,6.5e+07,5.3e+08,1.785e+09,4.427e+09,1.402e+09,1.402e+09,5.829e+09,7.614e+09,1.259e+09,8.873e+09,2.56e+08,1.16e+08,-1.88e+08,-1.88e+08,9e+06,9e+06,1.93e+08,-1.03e+08,-1.03e+08,-1.03e+08,1.71e+08,6.8e+07,-1.01e+08,-1.01e+08,-9e+06,1.9e+07,-9.1e+07,1.7e+08,1.7e+08,-2.8e+07,1.42e+08,2.97e+08,4.492e+09,2.75e+08,0.18233,0.10186,0.14181,0.20016,0.0284,1.09127,1.46611,6.04766,0.50625,1.61695,1.58692,11.40206,1.76453,6,0.03523,0.03845,12.89899,21.16575
