"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",33.467619047619,"Down",64363000,-37436000,26927000,-20573000,-19655000,-918000,6354000,192000,192000,6546000,6546000,-2291000,4255000,4255000,4255000,4255000,84914000,42900000,42014000,48836000,48836000,37556000,10540000,6192000,-7608419.75017821,181846000,82748000,22307000,16287000,1478000,3686000,105055000,286901000,29866000,17997000,11869000,31052000,10427000,10427000,-0.0281834681051993,10427000,41479000,0,56453000,-42827000,232116000,-320000,245422000,245422000,286901000,4255000,4551000,1512000,-118000,10200000,-9482000,14286000,4804000,-23183000,793000,-23154000,-8150000,-8150000,-198000,-8348000,10905000,0,3596000,0.41836,0.09872,0.06611,0.01734,0.01483,0.84512,5.85618,0.16901,0,0.30693,0.30154,4.64279,17.70338,0.2594,5,0.01663,0.01406,-7.7867,-13.36387
"2","2010_Q3",35.86359375,"Up",68862000,-36735000,32127000,-20324000,-19372000,-952000,11803000,62999.9999999999,63000.0000000001,11866000,11866000,-4153000,7713000,7713000,7713000,7713000,83074000,57602000,25472000,48745000,48745000,41158000,11348000,6389000,781000,184325000,80548000,21801000,15816000,1478000,3651000,102349000,286674000,31230000,17483000,13747000,31336000,10452000,10452000,-0.0150311829894396,10452000,41788000,0,57348000,-47464000,239829000,-4827000,244886000,244886000,286674000,7713000,4051000,1249000,-5674000,7339000,-910000,16182000,15272000,-4615000,56999.9999999995,-4586000,18025000,18025000,-3323000,14702000,15854000,0,13423000,0.46654,0.1714,0.11201,0.0315,0.02691,1.74031,5.88221,0.17064,0,0.57265,0.56477,5.11263,18.18145,0.99658,5,0.03021,0.05257,-5.23994,-7.03838
"3","2010_Q4",36.84703125,"Up",75737000,-41705000,34032000,-19408000,-18341000,-1067000,14624000,-215000,-215000,14409000,14409000,-5434000,8975000,8975000,8975000,8975000,81896000,65671000,16225000,55796000,55796000,43625000,14049000,6748000,2994000,195366000,83777000,21280000,15256000,1478000,3690000,105057000,300423000,26247000,12056000,14191000,26623000,11523000,11523000,-0.00563669362103986,11523000,38146000,0,58597000,-45533000,248804000,409000,262277000,262277000,300423000,8975000,4194000,1555000,-13443000,1281000,-6466000,9049000,3205000,1629000,1629000,2279000,6765000,6765000,1304000,8069000,18818000,0,4343000,0.44934,0.19309,0.1185,0.03422,0.02987,0.4839,7.33824,0.14544,0,0.66536,0.65263,5.61472,19.44377,0.32197,5,0.03278,0.01586,-4.352,-5.60011
"4","2011_Q1",40.4645161290323,"Up",73997000,-38113000,35884000,-21009000,-19268000,-1741000,14875000,88999.9999999999,89000,14964000,14964000,-5984000,8980000,8980000,8980000,8980000,93357000,78850000,14507000,50941000,50941000,44056000,16897000,9574000,2270000,205251000,83545000,20848000,14806000,1478000,4564000,104393000,309644000,25508000,10879000,14629000,25762000,12178000,12178000,0,12178000,37940000,1.23259516440783e-32,57988000,-41428000,256208000,-1064000,271704000,271704000,309644000,8980000,4549000,1028000,-281999.999999998,14275000,-5420000,1771000,-3649000,1614000,1614000,2586000,13212000,13212000,-32999.9999999995,13179000,19424000,0,19706000,0.48494,0.20102,0.12136,0.03305,0.029,2.19443,7.9672,0.13964,2.46519032881566e-32,0.65918,0.64604,5.43177,19.94451,1.44652,8,0.03163,0.06942,-4.80627,-6.2761
"5","2011_Q2",43.3961904761905,"Up",71471000,-36845000,34626000,-24915000,-22863000,-2052000,9711000,403000,403000,10114000,12614000,-4541000,8073000,8073000,8073000,8073000,106827000,71114000,35713000,50587000,50587000,51198000,14340000,9401000,2020528.15667324,222952000,85863000,20380000,14285000,1478000,4617000,106243000,329195000,27554000,13753000,13801000,27631000,12142000,12142000,0.00187889787367995,12142000,39773000,0,58708000,-38954000,266863000,2805000,289422000,289422000,329195000,8073000,4500000,1205000,1389000,15167000,-4942000,-21226000,-26168000,1936000,1936000,2216000,-8785000,-8785000,1049000,-7736000,14211000,0,15199000,0.48448,0.13587,0.11295,0.02789,0.02452,1.8827,8.06891,0.13742,0,0.58961,0.57435,5.21991,21.13804,1.11006,8,0.02677,0.0504,-7.5172,-11.00062
"6","2011_Q3",40.659375,"Down",77796000,-41595000,36201000,-22221000,-19730000,-2491000,13980000,431000,431000,14411000,14411000,-4918000,9493000,9493000,9493000,9493000,120812000,87368000,33444000,51789000,51789000,49372000,16902000,7443000,4468000,238875000,87561000,19893000,13780000,1478000,4635000,107454000,346329000,26779000,12308000,14471000,26779000,12445000,12445000,0,12445000,39224000,1.97215226305253e-31,57863000,-31126000,276356000,4012000,307105000,307105000,346329000,9493000,4552000,1554000,-5303000,10296000,-4813000,1890000,-142000,3545000,3545000,5982000,16136000,16136000,118000,16254000,18532000,8.470329472543e-22,13334000,0.46533,0.1797,0.12202,0.03091,0.02741,1.40461,8.92024,0.12772,-3.94430452610506e-31,0.68532,0.66585,5.61623,22.17044,0.9626,6,0.02971,0.04173,-6.5191,-8.64177
"7","2011_Q4",41.558253968254,"Up",76458000,-40884000,35574000,-22288000,-20411000,-1877000,13286000,132000,132000,13418000,13418000,-4157000,9261000,9261000,9261000,9261000,119092000,66939000,52153000,53081000,53081000,43363000,23477000,8005000,8478000,239013000,86718000,17776000,11712000,1478000,4586000,104494000,343507000,24086000,11209000,12877000,24086000,12479000,12479000,0,12479000,36565000,0,57912000,-36734000,285617000,147000,306942000,306942000,343507000,9261000,4635000,1492000,-4800000,10588000,-4006000,-20059000,-24065000,-7543000,2449000,-6578000,-20055000,-20055000,-374000,-20429000,17921000,0,13272000,0.46528,0.17377,0.12113,0.03017,0.02696,1.43311,9.92332,0.11913,0,0.66473,0.65246,5.48794,22.03144,0.95263,5,0.02899,0.04155,-6.64539,-8.96372
"8","2012_Q1",46.2935483870968,"Up",76470000,-40517000,35953000,-24451000,-22283000,-2168000,11502000,235000,235000,11737000,25979000,-8137000,17842000,17842000,17842000,17842000,159985000,99590000,60395000,43571000,43571000,40423000,16429000,6759000,5589000,260408000,83048000,17656000,11419000,1478000,4759000,100704000,361112000,29310000,13251000,16059000,29310000,11225000,11225000,-1.73472347597681e-18,11225000,40535000,3.15544362088405e-30,58282000,-35348000,300877000,-3234000,320577000,320577000,361112000,17842000,4607000,-12577000,18564000,28436000,14138000,-9497000,4640999.99999999,-92000,1872000,513999.999999998,33591000,33591000,-940000,32651000,16109000,-1.35525271560688e-20,56948000,0.47016,0.15041,0.23332,0.05566,0.04941,3.19179,8.88461,0.12644,-6.3108872417681e-30,1.28693,1.26208,5.51572,23.12298,4.10762,5,0.05377,0.17163,-9.9314,-13.90932
"9","2012_Q2",51.4714285714286,"Up",75511000,-40546000,34965000,-23583000,-20890000,-2693000,11382000,135000,135000,11517000,11517000,-3916000,7601000,7601000,7601000,7601000,183585000,122103000,61482000,41728000,41728000,37290000,13388000,5913000,3677000,275991000,83183000,17310000,11065000,1478000,4767000,100493000,376484000,25387000,11825000,13562000,25387000,11208000,11208000,-0.0544880383367186,11208000,36595000,0,59592000,-27034000,308478000,-1147000,339889000,339889000,376484000,7601000,4777000,1664000,4294000,18336000,-3909000,-982000,-4891000,6765000,6765000,8391000,21836000,21836000,677000,22513000,16159000,0,20460000,0.46305,0.15073,0.10066,0.02236,0.02019,2.69175,10.87135,0.10767,0,0.54464,0.53087,5.41065,24.35433,1.46604,4,0.02165,0.05827,-11.36116,-16.12941
"10","2012_Q3",55.5231746031746,"Up",77281000,-38199000,39082000,-25535000,-22806000,-2729000,13547000,145000,145000,13692000,13692000,-4543000,9149000,9149000,9149000,9149000,193491000,121560000,71931000,43839000,43839000,36535000,19573000,5849000,9257000,293438000,82175000,16978000,10749000,1478000,4751000,99153000,392591000,29825000,12277000,17548000,29825000,11241000,11241000,0,11241000,41066000,-5.04870979341448e-29,61686000,-22537000,317627000,-5251000,351525000,351525000,392591000,9149000,4756000,2485000,-3254000,13136000,-4923000,-11922000,-16845000,3649000,3649000,4781000,1072000,1072000,-1615000,-543000,18303000,1.0842021724855e-19,14669000,0.50571,0.1753,0.11839,0.02603,0.0233,1.60334,9.83866,0.11682,1.0097419586829e-28,0.64525,0.62579,5.45038,24.79195,1.03456,5,0.02522,0.04044,-10.57155,-14.28294
