"","YQ","p","d","revenue","total_claims_losses","claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","other_assets","total_assets","short_term_debt","other_short_term_liabilities","long_term_debt","pension_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_investments","increase_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.7996825396825,"Up",2.635e+09,-1.575e+09,-1.575e+09,-6.35e+08,4.25e+08,-4.8e+07,-5.6e+07,8e+06,3.77e+08,3.77e+08,-1.03e+08,2.74e+08,2.52e+08,-4e+06,2.48e+08,2.48e+08,1.167e+09,2.935e+09,9.2e+08,9.94e+09,1.4962e+10,5.58e+08,2.616e+09,3.032e+09,1.163e+09,1.579e+09,8.948e+09,1.67e+09,5.61e+08,1.109e+09,-5.09e+08,7.062e+09,-2.246e+09,5.977e+09,3.7e+07,6.014e+09,1.4962e+10,2.52e+08,9.7e+07,1.83e+08,6e+06,1e+08,7.7e+07,-7.83e+08,-2.51e+08,-1.66e+08,-2.77e+08,1.9e+07,1.9e+07,5e+06,-1.42e+08,-1.09e+08,-2e+06,-2e+06,-2e+06,1e+07,1e+07,-5.5e+07,-1.56e+08,-5.49e+08,-5.49e+08,-6.1e+07,-6.1e+08,5.22e+08,3.59e+09,-3.24e+08,0.16129,0.09412,0.04124,0.01658,-1.30645,1.48786,0.23994,0.46529,0.46269,4.94371,11.21388,-0.60788,0.2045,0.02892,-0.02624,0.43952,4.64176,5.70118
"2","2010_Q3",18.30515625,"Up",2.606e+09,-1.614e+09,-1.614e+09,-1.042e+09,-5e+07,-3.9e+07,-5.7e+07,1.8e+07,-8.9e+07,-8.9e+07,6e+07,-2.9e+07,2.42e+08,-6e+06,2.36e+08,2.36e+08,1.475e+09,3.215e+09,8.15e+08,1.0116e+10,1.5621e+10,5.58e+08,3.287e+09,3.03e+09,1.136e+09,1.567e+09,9.578e+09,1.71e+09,5.61e+08,1.149e+09,-4.91e+08,7.187e+09,-2.406e+09,6e+09,4.3e+07,6.043e+09,1.5621e+10,2.42e+08,9.3e+07,-5.9e+07,5e+06,-7.8e+07,1.4e+07,2.47e+08,5.23e+08,-48000000.0000002,-6.4e+07,3.8e+07,3.8e+07,-1e+06,-10999999.9999998,-1.12e+08,-2000000.00000012,-2000000.00000012,-1999999.99999988,7999999.99999999,8e+06,-3e+06,-1.09e+08,4.03e+08,4.03e+08,-6e+07,3.43e+08,43000000.0000001,3.588e+09,1.82e+08,-0.01919,0.09056,0.03905,0.01511,0.771189999999999,1.58497,0.22969,0.43623,0.43223,4.81701,11.09057,0.33641,0.20702,0.02821,0.01476,0.47458,49.13953,-42.26
"3","2010_Q4",19.98203125,"Up",2.524e+09,-1.586e+09,-1.586e+09,-6.99e+08,2.39e+08,-5.6e+07,-5.4e+07,-2e+06,1.83e+08,1.83e+08,-5.5e+07,1.28e+08,1.71e+08,-3e+06,1.68e+08,1.68e+08,1.695e+09,3.055e+09,8.16e+08,9.337e+09,1.4903e+10,9e+06,2.938e+09,3.028e+09,9.45e+08,1.568e+09,8.488e+09,1.72e+09,5.61e+08,1.159e+09,-4.48e+08,7.236e+09,-2.138e+09,6.37e+09,4.5e+07,6.415e+09,1.4903e+10,1.71e+08,8.4e+07,-1.4e+08,3e+06,-6.2e+07,-8.1e+07,-3.37e+08,-2.22e+08,9.7e+08,-1e+08,1e+06,1e+06,-1e+06,9.7e+08,-1.12e+08,-5.53e+08,-5.53e+08,-5.53e+08,1e+07,1e+07,-1.1e+07,-6.66e+08,8.2e+07,8.2e+07,1.03e+08,1.85e+08,3.23e+08,3.037e+09,1.011e+09,0.09469,0.06656,0.02619,0.01127,6.01786,1.32315,0.20378,0.30939,0.30713,4.64825,11.73112,1.86188,0.20626,0.0234,0.0845,0.66667,4.1548,5.61506
"4","2011_Q1",22.7711290322581,"Up",2.785e+09,-1.69e+09,-1.69e+09,-7.7e+08,3.25e+08,-2.7e+07,-4.6e+07,1.9e+07,2.98e+08,2.98e+08,-1.06e+08,1.92e+08,2.06e+08,-3e+06,2.03e+08,2.03e+08,1.894e+09,3.035e+09,8.22e+08,9.559e+09,1.531e+10,8e+06,3.097e+09,3.026e+09,1.211e+09,1.553e+09,8.895e+09,1.746e+09,5.61e+08,1.185e+09,-5.14e+08,7.436e+09,-2.3e+09,6.368e+09,4.7e+07,6.415e+09,1.531e+10,2.06e+08,8.3e+07,7.2e+07,4e+06,5.6e+07,1.2e+07,3.11e+08,6.72e+08,-3.11e+08,-3.22e+08,1.8e+07,1.8e+07,-4e+06,-2.97e+08,-1.19e+08,-2000000.00000012,-1999999.99999988,-2000000.00000012,-7.3e+07,1.3e+07,1e+07,-1.84e+08,1.91e+08,1.91e+08,8000000.00000001,1.99e+08,4.08e+08,3.034e+09,5.14e+08,0.1167,0.07289,0.03164,0.01326,2.53202,1.38659,0.19817,0.37385,0.37112,5.12891,11.72744,0.94659,0.21915,0.02637,0.04209,0.58621,2.79412,3.50769
"5","2011_Q2",23.8393650793651,"Up",2.884e+09,-1.721e+09,-1.721e+09,-6.91e+08,4.72e+08,-2.5e+07,-4.4e+07,1.9e+07,4.47e+08,4.47e+08,-1.28e+08,3.19e+08,3.31e+08,-6e+06,3.25e+08,3.25e+08,1.33e+09,3.212e+09,8.28e+08,9.703e+09,1.5073e+10,2.61e+08,2.628e+09,2.771e+09,1.22e+09,1.506e+09,8.386e+09,1.611e+09,5.61e+08,1.05e+09,-3.27e+08,7.528e+09,-2.183e+09,6.629e+09,5.8e+07,6.687e+09,1.5073e+10,3.31e+08,8.3e+07,2.9e+07,7e+06,1.1e+08,-8.8e+07,-8.19e+08,-3.76e+08,-1.69e+08,-1.71e+08,0,0,1e+06,-1.68e+08,-1.17e+08,-2e+06,-2e+06,-2e+06,8.9e+07,8.9e+07,-9.8e+07,-1.28e+08,-6.72e+08,-6.72e+08,1.08e+08,-5.64e+08,5.55e+08,3.032e+09,-3.05e+08,0.16366,0.11269,0.0486,0.02156,-0.93846,1.25408,0.20115,0.59743,0.58877,5.30147,12.18566,-0.56066,0.21507,0.03552,-0.02451,0.36,3.06667,3.60593
"6","2011_Q3",23.05546875,"Down",2.928e+09,-1.728e+09,-1.728e+09,-7.35e+08,4.65e+08,-5e+07,-4.4e+07,-6e+06,4.15e+08,4.15e+08,-1.29e+08,2.86e+08,2.89e+08,-7e+06,2.82e+08,2.82e+08,1.659e+09,3.111e+09,8.23e+08,9.858e+09,1.5451e+10,2.6e+08,2.982e+09,2.773e+09,1.178e+09,1.478e+09,8.671e+09,1.653e+09,5.61e+08,1.092e+09,-5.36e+08,7.688e+09,-2.078e+09,6.727e+09,5.3e+07,6.78e+09,1.5451e+10,2.89e+08,8.2e+07,-2.7e+07,5e+06,-3.7e+07,5e+06,3.62e+08,7.06e+08,-8.4e+07,-8.4e+07,3.3e+07,3.3e+07,-2e+06,-52999999.9999999,-1.18e+08,-4e+06,-3999999.99999997,-4e+06,-2.12e+08,2.3e+07,-9e+06,-3.43e+08,3.1e+08,3.1e+08,1.9e+07,3.29e+08,5.47e+08,3.033e+09,9.54e+08,0.15881,0.09631,0.04159,0.01825,3.38298,1.27891,0.1963,0.51554,0.50811,5.35283,12.29799,1.74406,0.21572,0.03208,0.07651,0.41844,2.51188,2.95484
"7","2011_Q4",24.0168253968254,"Up",2.806e+09,-1.753e+09,-1.753e+09,-7.43e+08,3.1e+08,-4e+07,-4e+07,0,2.7e+08,1.98e+08,-6.5e+07,1.33e+08,1.35e+08,-5e+06,1.3e+08,1.3e+08,1.714e+09,2.925e+09,8.04e+08,9.678e+09,1.5121e+10,2.6e+08,3.124e+09,2.67e+09,1.148e+09,1.454e+09,8.656e+09,1.684e+09,5.61e+08,1.123e+09,-6.4e+08,7.696e+09,-2.333e+09,6.407e+09,5.8e+07,6.465e+09,1.5121e+10,1.35e+08,8.5e+07,1.26e+08,4e+06,1.8e+07,1.04e+08,3.19e+08,6.65e+08,-8.1e+07,-8.4e+07,3.1e+07,3.1e+07,-2e+06,-5.2e+07,-1.23e+08,4.94e+08,4.94e+08,-2e+06,-1.15e+08,1.1e+07,-6.76e+08,-4.2e+08,1.93e+08,1.93e+08,-1.38e+08,5.5e+07,3.95e+08,2.93e+09,6.98e+08,0.11048,0.04633,0.02011,0.0086,5.36923,1.3389,0.19377,0.24074,0.23679,5.1963,11.86481,1.29259,0.22778,0.02109,0.05818,0.94615,3.07848,3.92258
"8","2012_Q1",25.9103225806452,"Up",2.908e+09,-1.767e+09,-1.767e+09,-7.5e+08,3.91e+08,-4.7e+07,-4.3e+07,-4e+06,3.44e+08,3.44e+08,-1e+08,2.44e+08,2.6e+08,-4e+06,2.56e+08,2.56e+08,2.113e+09,2.906e+09,8.04e+08,9.631e+09,1.5454e+10,2.6e+08,3.479e+09,2.668e+09,1.655e+09,1.452e+09,9.514e+09,1.717e+09,5.61e+08,1.156e+09,-5.95e+08,7.949e+09,-3.188e+09,5.883e+09,5.7e+07,5.94e+09,1.5454e+10,2.6e+08,8.2e+07,1.58e+08,5e+06,8.7e+07,6.6e+07,2.1e+08,7.1e+08,-1.8e+08,-1.78e+08,-2.3e+07,-2.3e+07,-2e+06,-2.05e+08,-1.22e+08,-2999999.99999988,-3e+06,-3e+06,3.9e+07,3.9e+07,-9e+06,-9.5e+07,4.1e+08,4.1e+08,-1.1e+07,3.99e+08,4.73e+08,2.928e+09,6.03e+08,0.13446,0.08803,0.0431,0.01657,2.35547,1.60168,0.18947,0.47672,0.46715,5.41527,10.95531,1.12291,0.22719,0.03157,0.05035,0.47656,1.72304,2.0844
"9","2012_Q2",26.4068253968254,"Up",3.051e+09,-1.796e+09,-1.796e+09,-7.28e+08,5.27e+08,-2e+07,-4e+07,2e+07,5.07e+08,5.07e+08,-1.53e+08,3.54e+08,3.54e+08,-7e+06,3.47e+08,3.47e+08,1.41e+09,3.008e+09,7.95e+08,9.797e+09,1.501e+10,2.59e+08,2.773e+09,2.664e+09,1.606e+09,1.443e+09,8.745e+09,1.579e+09,5.61e+08,1.018e+09,-4.11e+08,8.053e+09,-3.023e+09,6.198e+09,6.7e+07,6.265e+09,1.501e+10,3.54e+08,8.3e+07,1.8e+07,1.1e+07,3.5e+07,-2.8e+07,-9.58e+08,-5.03e+08,-1.1e+08,-1.11e+08,-5e+06,-5e+06,-1e+06,-1.16e+08,-1.21e+08,-4e+06,-4e+06,-2.52e+08,7.7e+07,7.7e+07,-9.7e+07,-1.45e+08,-7.64e+08,-7.64e+08,6.1e+07,-7.03e+08,6.1e+08,2.923e+09,-3.05e+08,0.17273,0.11373,0.05539,0.02312,-0.87896,1.39585,0.19474,0.64022,0.62976,5.62915,11.43542,-0.56273,0.22325,0.03824,-0.02492,0.3487,2.48033,2.87097
"10","2012_Q3",27.5785714285714,"Up",3.026e+09,-1.776e+09,-1.776e+09,-7.32e+08,5.18e+08,-3.5e+07,-3.9e+07,4e+06,4.83e+08,4.83e+08,-1.44e+08,3.39e+08,3.37e+08,-8e+06,3.29e+08,3.29e+08,1.504e+09,3.102e+09,8e+08,9.796e+09,1.5202e+10,2.59e+08,2.911e+09,2.663e+09,1.574e+09,1.451e+09,8.858e+09,1.614e+09,5.61e+08,1.053e+09,-4.83e+08,8.257e+09,-3.115e+09,6.273e+09,7.1e+07,6.344e+09,1.5202e+10,3.37e+08,8.4e+07,3.4e+07,9e+06,-9999999.99999999,3.5e+07,1.14e+08,5.69e+08,-1.65e+08,-1.67e+08,-3e+06,-3e+06,-1.16415321826935e-10,-1.68e+08,-1.21e+08,-2e+06,-2e+06,-1999999.99999994,-8.2e+07,1.8e+07,-1e+07,-2.15e+08,1.86e+08,1.86e+08,-9.2e+07,9.4e+07,6.02e+08,2.922e+09,6.95e+08,0.17118,0.10872,0.05186,0.02164,2.11246,1.39628,0.19221,0.60256,0.59494,5.54212,11.48901,1.27289,0.22161,0.03661,0.05655,0.36778,2.35548,2.73745
"11","2012_Q4",28.656935483871,"Up",2.845e+09,-1.76e+09,-1.76e+09,-7.07e+08,3.78e+08,-4.2e+07,-3.8e+07,-4e+06,3.36e+08,3.36e+08,-9e+07,2.46e+08,2.47e+08,-6e+06,2.41e+08,2.41e+08,2.044e+09,3.059e+09,8.07e+08,9.826e+09,1.5736e+10,2.59e+08,3.247e+09,2.66e+09,1.594e+09,1.396e+09,9.156e+09,1.637e+09,5.61e+08,1.076e+09,-4.93e+08,8.371e+09,-3.005e+09,6.51e+09,7e+07,6.58e+09,1.5736e+10,2.47e+08,8.7e+07,-6.6e+07,3e+06,-7e+06,-6.2e+07,4.16e+08,6.84e+08,-1.21e+08,-1.24e+08,3.4e+07,3.4e+07,2e+06,-8.5e+07,-1.27e+08,-3e+06,-3e+06,-3e+06,-2.4e+07,5.6e+07,-1e+07,-1.64e+08,4.35e+08,4.35e+08,1.05e+08,5.4e+08,4.65e+08,2.919e+09,8.5e+08,0.13286,0.08471,0.03663,0.01532,3.52697,1.39149,0.1855,0.44301,0.43659,5.22978,11.96691,1.5625,0.23346,0.02947,0.06806,0.52697,1.88172,2.31481
"12","2013_Q1",30.145,"Up",3.002e+09,-1.802e+09,-1.802e+09,-7.94e+08,4.06e+08,-3.6e+07,-4e+07,4e+06,3.7e+08,3.7e+08,-1.05e+08,2.65e+08,2.63e+08,-4e+06,2.59e+08,2.59e+08,2.301e+09,3.058e+09,8.09e+08,1.012e+10,1.6288e+10,2.6e+08,3.304e+09,2.658e+09,2.094e+09,1.366e+09,9.682e+09,1.668e+09,5.61e+08,1.107e+09,-4.47e+08,8.628e+09,-3.307e+09,6.542e+09,6.4e+07,6.606e+09,1.6288e+10,2.63e+08,9.5e+07,9.8e+07,1.54e+08,7.8e+07,-1.34e+08,1.16e+08,5.72e+08,-2.1e+08,-2.1e+08,-5999999.99999999,-5999999.99999999,2e+06,-2.14e+08,-1.28e+08,-1999999.99999999,-1999999.99999999,-2e+06,4.7e+07,9.7e+07,-2.6e+07,-1.09e+08,2.49e+08,2.49e+08,8e+06,2.57e+08,5.01e+08,2.918e+09,5.12e+08,0.13524,0.08628,0.03921,0.0159,1.97683,1.46564,0.17915,0.4761,0.4692,5.51838,12.02574,0.94118,0.23529,0.02981,0.03943,0.49421,1.23154,1.5197
