"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",20.6007936507937,"Up",43304000,-32283000,11021000,-4681000,-3387000,-1432000,-1955000,-1294000,6340000,-1161000,-1164000,3000,5179000,5179000,-57866172.7782874,5179000,5179000,-5179000,0,0,32752293.0870548,32752293.0870548,89289629.288646,89289629.288646,91150386.8181858,-13988532.6276842,-10892503.9268085,199203776.566202,-3197999.22544342,393653178.738862,-29295699.9337783,-111952.803285683,423423197.327283,2325421.05174015,390455179.513418,589658956.079621,799671456.94448,192396641.962552,16635185.6797251,-342362900.278134,121567609.387085,375707746.898603,402152472.463996,273421518.042928,394989127.430013,595414.776334082,42062971.7890856,46127789.070036,93869390.454151,100800438.195456,194669828.649607,589658956.079621,5179000,1590000,636000,335000,7740000,-878000,-878000,40655000,-58777000,-18122000,-11260000,-11260000,-11260000,7930000,0,373823387.116722,0.2545,0.14641,0,2.88712411777458,1.06723268080777,49.1996690015406,3.88200690648836,-12.7212933644721,-0.702207964107967,0,0,2.84779,6.06598485172195,24.561761400162,2.15353682548559,8.05986023066888,-117.492176498436,-295.283908453186
"2","2014_Q3",19.745,"Down",43938000,-32242000,11696000,-5873000,-4578000,-1510000,-3068000,-1295000,5823000,-603000,-609000,6000,5220000,5220000,-17326724.2594291,5220000,5220000,-5220000,2.3283064365387e-10,2.3283064365387e-10,8786097.69568492,8786097.69568492,32400543.0962153,32400543.0962153,40323128.9393953,-3357510.87589472,-2664834.6422695,78152258.8554008,5178333.59151886,135482726.246287,-3458899.97792611,10763349.0655714,128220065.775761,817768.42069606,140661059.837806,218813318.693207,247676818.981493,68283213.9875173,9515592.83986254,-107134587.6043,43440869.7956951,112854915.632868,120590824.154665,85426172.6809761,128867042.476671,243804.925444694,27590323.9296952,15296929.690012,44438463.484717,45507812.7318188,89946276.2165358,218813318.693207,5220000,1681000,49000,-1404000,5546000,-1402000,-1402000,-834000.000000015,-3475999.99999999,-4310000,-165999.999999998,-165999.999999998,-166000,7504000,0,108827795.705574,0.26619,0.13253,3.46944695195361e-18,0.83986470592486,0.316264226935923,18.1515963338469,2.22554563549612,-4.36652778815737,-0.187352654702656,-1.38777878078145e-17,1.38777878078145e-17,2.88948,2.88370828390731,7.14951046672067,0.639255608495196,2.36471341022296,-35.9566521661453,-103.984682817729
"3","2014_Q4",18.07828125,"Down",50293000,-36892000,13401000,-13105000,-11811000,-1512000,-10299000,-1294000,296000,-1207000,-1207000,0,-911000,-911000,-76000,-987000,-987000,617000,-370000,-370000,5321000,5321000,8999000,8999000,17346000,1567000,1239000,33233000,9354000,38038000,5718000,13652000,18634000,34000,47392000,80625000,26700000,15135000,4831197.61328752,11565000,26714000,13773000,13773000,13773000,40487000,110000,22720000,-370000,22460000,17678000,40138000,80625000,-987000,1739000,2726000,-2518000,960000,-1548000,-1548000,-63396000,-34738000,1378000,790000,790000,790000,2035000,14000,-1955000,0.26646,0.00589,-0.00736,-0.00922,-0.00459,5.28378,1.24403,1.0087,0.00017,-0.02433,-0.02433,3.3074,1.4698,-0.12857,-0.00686,-0.03625,-2.60786,-17.92905
"4","2015_Q1",20.7829508196721,"Up",53400000,-38724000,14676000,-27590000,-26296000,-1644000,-24652000,-1294000,-12914000,17999.9999999998,2989000,-2971000,-12896000,-12896000,2296000,-10600000,-10600000,6294000,-4306000,-4306000,12173000,12173000,6475000,6475000,12890000,2772000,2272000,34310000,10963000,39528000,5718000,12358000,21452000,-211584.21034803,50491000,84801000,9282000,7161000,2121000,47984362.5347667,41966000,14765000,13770000,14765000,56731000,110000,23835000,-4676000,19269000,8801000,28070000,84801000,-10600000,1767000,18103000,249000,9519000,-2078000,-2078000,-14000,-574999.999999993,-589000,6852000,6852000,6852000,-11147000,0,-15272000,0.27483,-0.24184,-0.08064,-0.1534,-0.05078,3.54668,0.81757,2.02105,-1.73472347597681e-17,-0.28317,-0.28317,3.51173,1.25995,-1.00433,-0.10053,-0.35653,1.09204,0.942619999999994
"5","2015_Q2",21.6396825396825,"Up",47659000,-35566000,12093000,-8788000,-8064000,-1638000,-6426000,-724000,3305000,-9000,-9000,-2511800.19544088,3296000,3296000,-907000,2389000,2389000,-1009000,1380000,1380000,17810000,17810000,10213000,10213000,17352000,2335000,1884000,47710000,11885000,76114000,5718000,11634000,58762000,-104684.21034803,87999000,135709000,53641000,16345000,924000,36372000,53641000,47795000,47795000,47795000,101436000,153000,27859000,-3296000,24716000,9557000,34273000,135709000,2389000,1267000,1714000,2727000,8097000,-1465000,-1465000,42463783.3890252,-77831000,-995000,5637000,5637000,5637000,4572000,0,6741000,0.25374,0.06935,0.02896,0.04026,0.01017,4.88478,0.88943,2.95965,0,0.09075,0.09075,3.13418,1.61533,0.44331,0.01682,0.08214,-3.89545,-5.3888
"6","2015_Q3",18.00265625,"Down",55484000,-41320000,14164000,-7166000,-6571000,-2031000,-4540000,-595000,6998000,-147000,-147000,281604.95350321,6851000,6851000,-1275000,5576000,5576000,-2313000,3263000,3263000,12048000,12048000,7603000,7603000,21403000,2243000,1528000,43297000,13754000,86005000,13201000,15284000,57351000,169000,99759000,143056000,32318000,16896000,1068000,14354000,32318000,49166000,47919000,69166000,101484000,155000,31175000,-33000,30136000,11436000,41572000,143056000,5576000,1221000,-18521000,-770000,-12494000,-1387000,-13050000,2e+07,-276000,19724000,-5820000,-5820000,-5762000,8219000,2e+07,7337000,0.25528,0.12613,0.05881,0.07849,0.02281,2.24854,1.33972,2.44116,0.13981,0.21458,0.21458,3.64878,1.97163,0.4825,0.02947,0.06626,0.967510000000001,1.13632
"7","2015_Q4",15.06359375,"Down",64762000,-46865000,17897000,-8374000,-7781000,-1657000,-6124000,-593000,9523000,1534000,-116000,1650000,11057000,11057000,-3414000,7643000,7643000,-3278000,4365000,4365000,7285000,7285000,11923000,11923000,21571000,2307000,1892000,43086000,14587000,82561000,12772000,14461000,55053000,275000,97148000,140234000,33369000,16224000,2092000,15053000,33369000,49047000,47917000,59047000,92416000,155000,31551000,4332000,34019000,13799000,47818000,140234000,7643000,1215000,2942000,-4668000,7132000,-1517000,-1517000,-1e+07,-448000,-10448000,-4833000,-4833000,-4763000,10738000,1e+07,7967000,0.27635,0.14705,0.0674,0.09128,0.03113,1.8252,1.2912,1.93266,0.07131,0.26641,0.26634,3.95258,2.0668,0.48625,0.04085,0.07455,0.25284,0.2851
"8","2016_Q1",14.6031147540984,"Down",60716000,-44441000,16275000,-4951000,-4400000,-1681000,-2719000,-551000,11324000,-682000,-682000,0,10642000,10642000,-3067000,7575000,7575000,-1922000,5653000,5653000,8387000,8387000,9482000,9482000,20393000,1370000,1370000,39632000,14946000,145736000,12665000,13995000,118974000,102000,160682000,200314000,24070000,9151000,784000,14135000,33539000,94648000,93776000,165490000,199029000,178000,45529000,-46239000,-2613000,3898000,1285000,200314000,7575000,1187000,23581000,-22526000,9817000,-997000,-1097000,68500000,-61159000,-7539000,1181000,1181000,1102000,12511000,77342000,-7945000,0.26805,0.18651,0.09311,4.39922,0.02822,-1.40545,1.18167,154.88638,0.3861,0.3504,0.34975,3.76346,-0.173,-0.49247,0.03262,-0.04585,5.51155,6.08928
"9","2016_Q2",14.595,"Down",57240000,-42530000,14710000,-7435000,-6888000,-2262000,-4626000,-547000,7275000,-1309000,-1316000,7000,5966000,5966000,-1986000,3980000,3980000,-422000,3558000,3558000,10859000,10859000,11253000,11253000,23966000,2021000,1431000,48099000,15376000,131830000,12049000,13136000,105512000,1133000,147206000,195305000,28440000,14643000,921000,12876000,38409000,95400000,94442000,165400000,203809000,178000,33359000,-42719000,-12520000,4016000,-8504000,195305000,3980000,1322000,1580000,-1331000,5551000,-1287000,-1287000,-1500000,-188000,-1688000,2576000,2576000,2472000,8597000,7.7e+07,7965000,0.25699,0.1271,0.06216,-0.41839,0.01822,2.23862,1.25228,-23.96625,0.39426,0.19806,0.19746,3.18632,-0.70685,0.44338,0.02171,0.0486,7.6935,9.09155
"10","2016_Q3",13.67125,"Down",60506000,-44627000,15879000,-6900000,-6355000,-2162000,-4193000,-545000,8979000,-345000,-362000,17000,8634000,8634000,-2916000,5718000,5718000,-614000,5104000,5104000,14917000,14917000,9207000,9207000,24357000,3544000,2994000,52025000,17185000,130705000,12341000,12736000,104549000,1079000,147890000,199915000,27851000,12687000,468000,14696000,38320000,95037000,94066000,163037000,201357000,179000,34523000,-37652000,-5680000,4238000,-1442000,199915000,5718000,1386000,1320000,-403999.999999996,8020000,-2244000,-2244000,-1500000,-301000.000000007,-1801000,3975000,3975000,4058000,10365000,75500000,10633000,0.26244,0.1484,0.08436,-3.53953,0.02553,2.08327,1.35765,-139.63731,0.37766,0.28412,0.28326,3.36812,-0.32615,0.5919,0.03018,0.06288,5.84496,6.74719
