"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","raw_materials","work_in_process","finished_goods","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.7312698412698,"Up",159992000,-109388000,50604000,-35885000,-35885000,14719000,-4444000,-2213000,-2231000,10275000,-1968000,8307000,-757000,7550000,7550000,-224000,7326000,7326000,104470791.039923,104470791.039923,69996052.8753733,69996052.8753733,110228181.184238,25322140.0082373,12376831.1939118,39439103.369698,9459665.96922139,5933078.62686527,294154691.068757,95690551.0108921,184210752.180244,-88520201.1693522,213423369.814214,63894745.9635883,136553804.307994,12974713.2069156,309113920.825106,603268611.893862,19463536.1611007,-24509760.3940526,-17603356.9835407,61576653.538694,-6026942.0820419,13436644.1997453,146937356.613271,104924935.225529,95609443.184663,2032975.91786716,7282516.1229993,251862291.838801,265298936.038546,133692970.266276,302319764.772804,-104020034.008845,331992701.030236,5976974.82508083,337969675.855316,603268611.893862,7550000,6379000,1319000,-27881000,-12633000,-408000,69861611.1784179,-408000,-2892000,-96000,214000,214000,0,-2548000,-15589000,-15589000,-1586000,-17175000,21098000,0,-6434000,0.31629,0.092,0.04579,-0.0122752983839436,-0.00653971690520121,-0.87824,5.32208586614402,0.797301810542377,0.227415750355038,0.15857,0.15721,3.46303,7.72019579025511,-0.13926,0.0626,-0.00758797474402235,0.107777335531537,0.39476,0.990120813362674,1.37993997301161
"2","2010_Q3",13.84703125,"Up",190419000,-125782000,64637000,-43119000,-43119000,21518000,-1876000,-2278000,402000,19642000,-2823000,16819000,-5366000,11453000,11453000,-316000,11137000,11137000,92938000,92938000,90614000,90614000,135911000,56323000,13852000,80400000,28664000,13120000,348127000,132195000,266765000,-134570000,254870000,84327000,158563000,11980000,387065000,735192000,107887000,43804000,5365000,58718000,487000,108374000,150974000,79328000,66054000,5424000,7850000,230302000,338676000,126978000,293981000,-33158000,387801000,8715000,396516000,735192000,11453000,6339000,4004000,12974000,34770000,-3136000,0,-3136000,-3026000,-240000,-2017000,1499000,-3516000,-4901000,26733000,26733000,-3495000,23238000,27857000,151461000,43061000,0.33945,0.113,0.05849,0.02809,0.01515,3.86648,3.21227,0.85413,0.20602,0.23899,0.23899,4.08624,8.32191,0.92406,0.06494,0.02258,0.06864,0.27171,2.10084,2.71972
"3","2010_Q4",16.5675,"Up",188409000,-128969000,59440000,-39595000,-39595000,19845000,-1491000,-2254000,763000,18354000,-752000,17602000,-5015000,12587000,12587000,-253000,12334000,12334000,122149000,122149000,78807000,78807000,139971000,57932000,13231000,83640000,30867000,14744000,371794000,143614000,291767000,-148153000,267163000,90300000,165162000,11701000,410777000,782571000,122329000,49761000,7990000,64578000,2112000,124441000,151820000,83217000,63008000,12014000,8195000,235037000,359478000,128089000,302268000,-16629000,413728000,9365000,423093000,782571000,12587000,5920000,7854000,20722000,47083000,-6191000,-11771000,-17962000,-3393000,-376000,-674000,2e+05,-874000,-4717000,24404000,24404000,4807000,29211000,25765000,153932000,45311000,0.31548,0.10533,0.06546,0.02915,0.01576,3.67367,2.98771,0.84964,0.1967,0.26243,0.26243,4.0087,8.80272,0.96406,0.07219,0.02382,0.06863,0.27509,1.23357,1.60156
"4","2011_Q1",18.7182258064516,"Up",174972000,-119456000,55516000,-42265000,-42265000,13251000,-2180000,-2947000,767000,11071000,1176000,12247000,-3919000,8328000,8328000,-211000,8117000,8117000,140070000,140070000,70829000,70829000,140232000,51468000,12461000,76303000,27969000,14787000,379100000,143076000,293262000,-150186000,266383000,89011000,165193000,12179000,409459000,788559000,108066000,39084000,4268000,64714000,1241000,109307000,151245000,92167000,65967000,17887000,8313000,243412000,352719000,132031000,313905000,-19442000,426494000,9346000,435840000,788559000,8328000,5402000,1229000,10436000,25395000,-2644000,-14000,-2658000,-3023000,-506000,250000,3102000,-2852000,-2292000,20445000,20445000,-2524000,17921000,18653000,152486000,30364000,0.31729,0.07573,0.04639,0.01862,0.01029,3.74079,3.46821,0.80929,0.19337,0.17494,0.1727,3.77095,9.19168,0.6544,0.06515,0.01637,0.04462,0.37243,0.66563,0.93699
"5","2011_Q2",19.4592063492064,"Up",185331000,-124800000,60531000,-44150000,-44150000,16381000,-587000,-2206000,1619000,15794000,-839000,14955000,-4053000,10902000,10902000,-223000,10679000,10679000,102790000,102790000,98930000,98930000,153017000,55955000,13590000,83472000,30627000,16791000,385364000,144251000,303974000,-159723000,270242000,88832000,167618000,13792000,414493000,799857000,108588000,52801000,7262000,48525000,1256000,109844000,151207000,85717000,57202000,19505000,9010000,236924000,346768000,134381000,317403000,-9233000,442551000,10538000,453089000,799857000,10902000,5840000,2666000,-50535000,-31127000,-3242000,-1.86264514923096e-09,-3242000,-3024000,-43000,-2986000,1082000,-4068000,-5949000,-40318000,-40318000,3038000,-37280000,22221000,152463000,-27503000,0.32661,0.08839,0.05762,0.02357,0.01335,-2.57543,3.50828,0.76534,0.19061,0.23015,0.2253,3.9942,9.53774,-0.59274,0.06517,0.01982,-0.03979,0.28317,2.23541,3.03235
"6","2011_Q3",18.6059375,"Down",224118000,-146908000,77210000,-43927000,-43927000,33283000,-1457000,-2406000,949000,31826000,-1438000,30388000,-8380000,22008000,22008000,-357000,21651000,21651000,94173000,94173000,121708000,121708000,164760000,55696000,17146000,91918000,29695000,16171000,410336000,155948000,321070000,-165122000,297477000,102845000,175729000,18903000,453425000,863761000,123283000,57102000,11180000,55001000,11848000,135131000,154384000,94399000,55638000,21497000,17264000,248783000,383914000,138116000,329144000,-5012000,462248000,17599000,479847000,863761000,22008000,6889000,361000,7735000,36993000,-4664000,-24869000,-39496000,-3143000,-9000,-4220000,2341000,-6561000,-6817000,-9320000,-9320000,702999.999999999,-8617000,40172000,166232000,51623000,0.34451,0.14851,0.09661,0.04512,0.02507,2.38432,3.03658,0.80008,0.19245,0.46662,0.45677,4.83013,9.96224,1.11256,0.06774,0.03348,0.06972,0.14517,1.79376,2.16504
"7","2011_Q4",19.635873015873,"Up",224392000,-150673000,73719000,-44838000,-44838000,28881000,-1375000,-2917000,1542000,27506000,-1107000,26399000,-7098000,19301000,19301000,-77000,19224000,19224000,128055000,128055000,101654000,101654000,154087000,52966000,15620000,85501000,26074000,11725000,409870000,148558000,312757000,-164199000,286244000,95963000,170594000,19687000,434802000,844672000,117471000,49853000,7499000,60119000,11374000,128845000,154199000,89950000,50484000,24153000,15313000,244149000,372994000,140034000,345040000,-30247000,454827000,16851000,471678000,844672000,19301000,6548000,4457000,16273000,46579000,-5377000,-273999.999999996,-5482000,-3127000,874000,823000,823000,0,-1159000,39938000,39938000,-6056000,33882000,35429000,165573000,53423000,0.32853,0.12871,0.08567,0.04076,0.02276,2.77897,3.18111,0.79078,0.19602,0.41431,0.40557,4.83603,9.80231,1.15136,0.06739,0.03074,0.07346,0.16266,1.05896,1.29905
"8","2012_Q1",22.4662903225806,"Up",187236000,-126391000,60845000,-44405000,-44405000,16440000,-1422000,-2973000,1551000,15018000,375000,15393000,-3881000,11512000,11512000,33000.0000000001,11545000,11545000,153337000,153337000,78435000,78435000,141693000,49615000,16047000,76031000,27018000,15165000,400483000,146409000,309539000,-163130000,282638000,94538000,168846000,19254000,429047000,829530000,110119000,45481000,5946000,58692000,13978000,124097000,1.5e+08,99588000,68746000,15348000,15494000,249588000,373685000,146942000,350457000,-49264000,448135000,7710000,455845000,829530000,11512000,6018000,2261000,27685000,47476000,-9455000,0,-10479000,-3596000,-898000,1383000,4664000,-3281000,-8602000,28395000,28395000,-3113000,25282000,22458000,163978000,44569000,0.32496,0.0878,0.06166,0.02533,0.01392,3.86046,3.22718,0.81976,0.19768,0.24881,0.24357,4.03526,9.65808,0.96054,0.0775,0.02105,0.06195,0.31148,0.47382,0.64726
"9","2012_Q2",21.9757142857143,"Down",201924000,-135652000,66272000,-45347000,-45347000,20925000,10946000,-2588000,13534000,31871000,-225000,31646000,-8485000,23161000,23161000,-115000,23046000,23046000,98936000,98936000,119511000,119511000,186538000,72270000,18450000,95818000,31110000,19050000,436095000,152322000,323619000,-171297000,343297000,139744000,195258000,8295000,495619000,931714000,121444000,68516000,2050000,50878000,20381000,141825000,151254000,146969000,67684000,39929000,39356000,298223000,440048000,151213000,370321000,-37415000,484119000,7547000,491666000,931714000,23161000,6158000,-6193000,-52109000,-28983000,-2966000,-27862000,-30828000,-3152000,2020000,2583000,2613000,-30000,2182000,-57629000,-57629000,3228000,-54401000,27083000,171635000,-19507000,0.3282,0.10363,0.11413,0.04687,0.02474,-0.84644,3.07488,0.89501,0.18421,0.49244,0.48213,4.31462,10.34442,-0.41682,0.06735,0.03233,-0.02407,0.13677,2.6843,3.47427
"10","2012_Q3",25.175873015873,"Up",246695000,-162354000,84341000,-46774000,-46774000,37567000,-1910000,-2363000,452999.999999998,35657000,-416000,35241000,-10001000,25240000,25240000,-435000,24805000,24805000,86250000,86250000,127092000,127092000,193900000,73074000,18686000,102140000,30243000,17842000,437485000,149004000,319251000,-170247000,335265000,133659000,193282000,8324000,484269000,921754000,116233000,59578000,2455000,54200000,21181000,137414000,150827000,144070000,64767000,40269000,39034000,294897000,432311000,156158000,383090000,-57489000,481759000,7684000,489443000,921754000,25240000,6727000,2597000,-24762000,9802000,-7341000,-1702000,-8824000,-3397000,1540000,-6688000,1969000,-8657000,-7631000,-6652999.99999999,-6652999.99999999,-6033000,-12686000,44294000,172008000,22192000,0.34188,0.15228,0.10055,0.05068,0.02691,0.894660000000001,3.1837,0.88327,0.18661,0.53002,0.51893,5.27126,10.294,0.47419,0.07259,0.03501,0.02755,0.13695,1.93611,2.2828
