"","YQ","p","d","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2017_Q2",105.126984126984,"Up",-715293,-655208,-60085,-711092,-211803,-211803,-922895,-922895,-922895,-922895,-922895,-922895,4024315,4024315,4080621,3384265,4905563,8986184,738574,750684,260130,0,1593464,2344148,8061905,6642036,6642036,8986184,1333334,-0.13895,-0.1027,5.43587,0.35293,0.14838,-2.54119,-2.54119,18.28882,-0.11206,3.78429
"2","2017_Q3",148.116129032258,"Up",-1822301,-1708966,-113335,-1820422,-71803,-71803,-1892225,-1892225,-1892225,-1892225,-1892225,-1892225,1050246,1050246,2612720,3373015,5406348,8019068,1262093,1295572,10809,10809,1383768,2679340,8601822,5339728,5339728,8019068,1372959,-0.35437,-0.23597,2.01665,0.50177,0.17121,-3.54931,-3.54931,10.01589,-0.28143,-0.17727
"3","2017_Q4",120.828888888889,"Down",-2455319,-2326042,-129277,-2227301,-90202,-90202,-2317503,-2317503,-2317503,-2317503,-2317503,-2317503,656220,656220,2519385,3361765,5528091,8047476,1920541,3430815,21736,21736,1436673,4867488,8759585,3179988,3179988,8047476,2925211,-0.72878,-0.28798,0.73434,1.53066,0.36349,-4.93596,-4.93596,6.77293,-0.37825,-1.01872
"4","2018_Q1",91.1147540983606,"Down",-3262553,-2896783,-365770,-3218542,-222158,-222158,-3440700,-3440700,-3440700,-3440700,-3440700,-3440700,9170652,9170652,12891305,1900693,5261525,18152830,1213170,2294763,32665,32665,1492075,3786838,23385289,14365992,14365992,18152830,2541003,-0.2395,-0.18954,5.61771,0.2636,0.13998,-5.57016,-5.57016,23.25714,-0.20312,2.05983
"5","2018_Q2",97.9278125,"Up",-4086259,-3880492,-205767,-3527355,-86521,-86521,-3613876,-3613876,-3613876,-3613876,-3613876,-3613876,5378282,5378282,9260482,1896572,5259601,14520083,1349664,1934736,0,0,1506524,3441260,23711996,11078823,11078823,14520083,2091596,-0.3262,-0.24889,4.78643,0.31062,0.14405,-5.59054,-5.59054,17.13855,-0.27439,0.93177
"6","2018_Q3",148.028571428571,"Up",-5763337,-5545509,-217828,-4498508,-237819,-237819,-4736327,-4736327,-4736327,-4736327,-4736327,-4736327,5527811,5527811,11820863,1953235,5567747,17388610,1906032,5521323,-7.27595761418343e-12,0,4998517,10519840,24238270,6868770,6868770,17388610,8613808,-0.68955,-0.27238,2.14095,1.53155,0.49537,-7.28255,-7.28255,10.56139,-0.30591,-0.686
"7","2018_Q4",133.707936507936,"Down",-8679229,-8431560,-247669,-6672795,-333448,-333448,-7006243,-7006243,-7006243,-7006243,-7006243,-7006243,11831602,11831602,18133356,1953235,6098672,24232028,1932534,6282280,0,0,4653708,10935988,37671783,13296040,13296040,24232028,9003454,-0.52694,-0.28913,2.88643,0.8225,0.37155,-9.37782,-9.37782,17.79669,-0.31419,0.42383
"8","2019_Q1",112.619672131148,"Down",-17508598,-17195856,-312742,-8702474,-1122897,-1122897,-9825371,-9825371,-9825371,-9825371,-9825371,-9825371,9134902,9134902,77539180,26209324,31387201,108926381,10760950,69315956,5.82076609134674e-11,5.82076609134674e-11,8792919,78108875,65017303,30817506,30817506,108926381,67347925,-0.31882,-0.0902,1.11863,2.53456,0.61829,-10.64814,-10.64814,33.3967,-0.10009,-6.68925
"9","2019_Q2",94.1428571428571,"Down",-20822241,-20440016,-382225,-6831172,-1445133,-1445133,-8276305,-8276305,-8276305,-8276305,-8276305,-8276305,4268125,4268125,77718628,32189731,37824595,115543223,16748293,81247635,2430492,2430492,4047946,85295581,72728701,30247642,30247642,115543223,66116796,-0.27362,-0.07163,0.95656,2.81991,0.57223,-8.08059,-8.08059,29.53234,-0.08377,-9.05389
"10","2019_Q3",75.7890625,"Down",-25435003,-25007565,-427438,-9817491,-1874858,-1874858,-11692349,-13001599,-13001599,-13001599,-13001599,-13001599,12513801,12513801,100480189,32220803,38467969,138948158,14236269,81655514,3363919,2223919,22714213,104369727,90061089,34578431,34578431,138948158,86769539,-0.376,-0.09357,1.23054,3.01835,0.62447,-11.68901,-11.68901,31.08753,-0.10425,-7.56362
