"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"1","2011_Q1",8.98903225806452,"Up",31916000,54294000,-9516000,-3873000,67683000,1123000,432000,1000,1555000,1555000,-511000,1044000,1044000,40000,1084000,1084000,1943000,1146000,15382000,12136000,37000,4813000,6149000,1137000,36249000,51631000,10261000,390000,3677000,4067000,23107000,22554000,45669000,1895000,47564000,51631000,1044000,981000,-769000,1096000,2352000,-1137000,16000,-3554000,-53000,1000,-912000,-2114000,-2114000,-2114000,2104000,302000,2574000,0.03519,0.03396,0.02279,0.021,2.37454,39.44103,0.08551,0.00585,0.3106,0.30874,9.14499,13.08567,0.73754,0.03803,0.05001
"2","2011_Q2",10.1452380952381,"Up",32541000,-28981000,-16925367.2242088,-1150000,-27831000,-618000,69000,-1000,-549000,-549000,31000,-518000,-518000,309000,-209000,-209000,4228464.98887508,2198533.06714819,47255107.2388887,41929892.8483099,1457642.53442995,15106695.734611,20036169.6342236,5329485.98906165,122769073.483588,170024180.722476,38032246.1339427,4611187.9394865,12366267.0385105,16977454.977997,73186641.9990246,64417287.4733737,137642260.369718,15404465.3747614,153046725.744479,170024180.722476,96000,1150000,156000,-1883000,-481000,-1274000,656000,806000,-54000,-1e+05,-1015000,-690000,-690000,-690000,532000,0,-2656000,-0.01899,-0.00642000000000002,30.3755403363641,21.4003158300797,12.70813,21.0548869876157,-0.553261750032243,0.0327457540465957,-0.05985,-0.0598499999999999,9.31873,39.5048527697361,-0.7606,162.127928194936,120.872119293471
"3","2011_Q3",9.25328125,"Down",28625000,-32791000,-14971397.6322783,1150000,-33941000,12000,230000,22000,242000,242000,33000,275000,-488000,-1068000,-1556000,-1556000,3464892.98887508,1777455.06714819,40081263.7388887,35397647.3483099,1281457.03442995,12702602.234611,16744496.1342236,4669192.98906165,104121547.483588,144202811.222476,32691223.6339427,4853904.4394865,10164288.0385105,15018192.477997,61596615.9990246,53580551.4733737,115207237.869718,13977380.8747614,129184618.74448,144202811.222476,-1031000,867000,33000,-239000,-370000,-274000,38000,3206000,-56000,-575000,-1485000,1351000,1351000,1351000,879000,0,333000,0.00042,-0.05436,23.2989633363641,16.4176968300797,-0.21401,11.3371419876157,-0.383977750032243,0.0234327540465957,-0.44533,-0.44533,8.19262,33.0341007697361,0.09531,124.284056194936,92.6770862934707
"4","2011_Q4",8.79857142857143,"Down",38749000,-35311000,-7913098.22420876,587176.11437071,-35311000,3438000,120000,-2000,3558000,3558000,-457000,3101000,2827000,-521000,2306000,2306000,1382000,720000,15683000,13232000,431000,4813000,6149000,1839000,39791999.9999999,55475000,12773000,2814000,3486000,6300000,23348000,20128000,43481000,5694000,49175000.0000001,55475000,2827000,922000,53000,650000,4452000,-784000,-233000,-842000,-56000,-568000,-1480000,2130000,2130000,2130000,4360000,136000,4683000,0.08872,0.05951,0.0468900000000113,0.0415699999999922,2.03079,5.57321,0.12811,0.00244999999999996,0.65961,0.64198,11.08381,12.43736,1.33953,0.0602300000002254,0.088700000000031
"5","2012_Q1",10.0466129032258,"Up",-99778104,97033201,-9476,-3969,97046646,-2826241,-418511,-18997,-3244752,-3244752,391527,-2853225,-1818696,1279111,-539585,-539585,656,244,16713,14309,629,4813,7253,1614,37548,54261,12555,12633,3442,16075,23348,20128,33355,4831,38186,54261,-1889696,-2934509,-240261,1471996,-3592470,2329228,-460139,-3167377,165776,1241285,3974616,-2785231,-2785231,-2785231,-5760750,78,-2351053,0.02833,0.00541,-14.13044,-9.94425,4.35715,1.32296,0.42097,0.00144,-0.15443,-0.1532,-28.55698,0.00955,-0.67288,-75.65079,-56.37206
"6","2012_Q2",10.0698412698413,"Up",32861000,-31587000,2781000,938000,-35306000,1274000,34000,1000,1308000,1308000,-378000,930000,1057000,28999.9999999998,1086000,1086000,905000,387000,12838000,14493000,827000,4813000,7253000,1600000,38958000,51796000,11345000,-1767000,5503000,3736000,23348000,20403000,43755000,4305000,48060000,51796000,1115000,957000,456000,-1830000,698000,-2389000,-220000,-2590000,-58000,-555000,-2424000,-4316000,-4316000,-4316000,2231000,2144000,-1610000,0.03877,0.03305,0.0225999999999971,0.0209700000000002,-1.4825,-7.26542,0.0777399999999999,0.04139,0.31643,0.31487,9.57488000000001,12.74913,-0.46911,0.0353399999999908,-0.029999999999994
"7","2012_Q3",10.6777777777778,"Up",29891000,-29493000,-2781000,-938000,-25774000,398000,372000,-20000,770000,770000,-159000,611000,48000,-451000,-403000,-403000,1116000,597000,10789000,14695000,1025000,4813000,7253000,1604000,41762000,52551000,12548000,-318000,6096000,5778000,23348000,19188000,42536000,4237000,46773000,52551000,260000,923000,1059000,-476000,1766000,-3874000,-227000,-1499000,-20000,-461000,-481000,-214000,-214000,-214000,1321000,2125000,-2870000,0.01332,-0.01348,-0.00862,-0.00767,7.12159,-33.92767,0.12353,0.04044,-0.12423,-0.1229,9.21424,13.11221,-0.88471,-0.00757,-0.05392
"8","2012_Q4",11.5629032258065,"Up",39194000,-34680000,4720783.01558366,2376384.82422798,-34680000,4514000,28000,0,4542000,4542000,-1304000,3238000,3279000,-315000,2964000,2964000,1617000,1149000,12348000,13057000,1023000,4813000,5559000,1662000,40595000,52943000,11361000,-1239000,5721000,4482000,23377000,21341000,44718000,3743000,48461000,52943000,3279000,1096000,1614000,-763000,5226000,-1565000,-34000,-1599000,1.45519152283669e-11,-809000,-2432000,1195000,1195000,1195000,5610000,2125000,4586000,0.11517,0.07562,0.0611600000000002,0.05598,1.54723,-9.9661,0.09249,0.04014,0.91341,0.90449,12.07827,13.78059,1.41325,0.0837000000000015,0.0836800000000026
"9","2013_Q1",13.7528333333333,"Up",36082000,-884000,9368000,4110000,-14362000,41000,-490000,-37000,-449000,-70000,-1172000,-1242000,-555000,2398000,1843000,1843000,2072000,985000,16548000,12422000,1021000,4813000,4960000,1628000,38616000,55164000,11602000,-733000,5890000,5157000,23456000,22372000,45828000,4179000,50007000,55164000,2766000,1134000,1491000,342000,5733000,-167000,-7000,-174000,0,-488000,-1299000,4260000,4260000,4260000,1175000,2125000,2522000,0.00114,0.05108,0.03685,0.03341,1.36842,-22.57572,0.10313,0.03852,0.5676,0.55798,11.11241,14.11395,0.77672,0.04674,0.04442
"10","2013_Q2",15.2428125,"Up",31336000,-23305000,-2410000,-1176000,-19719000,282000,79000.0000000001,-31019.7341009054,361000,361000.000000001,-114000,247000.000000001,247000,-239000,8000,8000,1760000,858000,11695000,13440000,1019000,4813000,5980000,1628000,38704000,50399000,10039000,-2118000,5539000,3421000,21871000,21569000,43440000,3538000,46978000,50399000,247000,1176000,251000,-170000,1504000,-409000,-2965000,-3374000,-88000,-6e+05,-1499000,-3369000,-3369000,-3369000,1458000,2037000,993000,0.00900000000000001,0.000259999999999996,0.00017000000000001,0.00016,124.125,-5.52172,0.07282,0.04042,0.00246999999999986,0.00241000000000013,9.6567,13.38675,0.30601,0.01529,0.01853
