"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"22","2016_Q1",10.9150819672131,"Up",55326000,-47195000,8131000,-14708000,-12196000,-2512000,-6577000,-316000,-22000,-294000,-6893000,14010000,7117000,-3785000,3332000,3332000,3332000,3332000,95122000,95122000,44877000,44877000,59734000,19949000,19949000,219682000,146913000,3097000,136464000,20569000,114702000,286474000,506156000,23142000,13959000,9183000,44880000,44880000,81333000,213400000,63702000,149698000,213400000,294733000,139280000,129742000,-57599000,211423000,211423000,506156000,12011000,-2255000,-2237000,-2237000,47000,-2197000,-1880000,7934000,7934000,-239000,7695000,13311000,0.14697,-0.11888,0.06022,0.01576,0.00658,2.70102,1.39404,0.0263,0.31913,0.31766,5.29892,20.24931,0.0119,12.43895
"23","2016_Q2",14.88890625,"Up",63578000,-51105000,12473000,-17433000,-13508000,-3925000,-4960000,967000,-197000,1164000,-3993000,169000,-3824000,850000,-2974000,-2974000,-2890000,-2890000,60141000,60141000,67971000,67971000,93978000,29102000,29102000,251192000,213064000,3069000,196297000,30529000,112339000,412430000,663622000,56377000,37890000,18487000,69049000,69049000,144790000,247779000,102228000,145551000,276027000,420817000,161758000,125672000,-56209000,231221000,242805000,663622000,-5039000,-555000,-562000,-562000,-53000,-27639000,-1879000,-34557000,-34557000,-424000,-34981000,47612000,0.19618,-0.07801,-0.04546,-0.0119,-0.00435,1.73487,1.73315,0.07175,-0.26258,-0.26258,5.77667,21.00863,-0.00188,2.52601
"24","2016_Q3",11.4534375,"Down",93301000,-77452000,15849000,-20717000,-15187000,-5530000,-4868000,-601000,-129000,-472000,-5469000,-49000,-5518000,-875000,-6393000,-6393000,-6486000,-6486000,46455000,46455000,73424000,73424000,88040000,27966000,27966000,235885000,211634000,3065000,184182000,25620000,109773000,398881000,634766000,52022000,32661000,19361000,65266000,65266000,136376000,240062000,99191000,140871000,265407000,401783000,162591000,119255000,-60462000,221384000,232983000,634766000,-9452000,-2051000,-2055000,-2055000,27000,-2024000,-2436000,-13912000,-13912000,226000,-13686000,44433000,0.16987,-0.05218,-0.06952,-0.02784,-0.01022,1.72967,1.72452,0.07,-0.52947,-0.52947,7.61641,18.07216,-0.01037,0.41537
"25","2016_Q4",13.6049206349206,"Up",82861000,-67267000,15594000,-20535000,-15045000,-5490000,-4941000,-1001000,-636000,-365000,-5942000,4000,-5938000,-21602000,-27540000,-27540000,-27382000,-27382000,43525000,43525000,67674000,67674000,83924000,30347000,30347000,225470000,208276000,2815000,151046000,4337000,105526000,362137000,587607000,52388000,34065000,18323000,61707000,61707000,133239000,230308000,94567000,135741000,255896000,389135000,162967000,89645000,-55974000,196638000,198472000,587607000,1326000,-2902000,-2902000,-2902000,26000,-2876000,-1386000,-2936000,-2936000,6000,-2930000,44732000,0.18819,-0.05963,-0.33046,-0.13796,-0.0466,1.69222,1.96065,0.07613,-2.23053,-2.23053,6.74984,16.01808,-0.05549,-0.24428
"26","2017_Q1",14.7883870967742,"Up",92126000,-80672000,11454000,-19953000,-14435000,-5518000,-8499000,-2355000,-954000,-1401000,-10854000,-30963000,-41817000,-1085000,-42902000,-42902000,-43062000,-43062000,38579000,38579000,72233000,72233000,83579000,27073000,27073000,221464000,214408000,2019000,127998000,4824000,111573000,344425000,565889000,57270000,37104000,20166000,60197000,60197000,144292000,246374000,91947000,153836000,271763000,416055000,163360000,45443000,-60885000,147918000,149834000,565889000,7531000,-5058000,-5047000,-5047000,-16000,-8339000,-3175000,-3983000,-3983000,-963000,-4946000,52214000,0.12433,-0.09225,-0.46743,-0.2874,-0.0761,1.53483,2.77677,0.09227,-3.50896,-3.50876,7.50701,12.05329,-0.09357,-1.60431
"27","2017_Q2",14.9906349206349,"Up",103516000,-84781000,18735000,-21299000,-15377000,-5922000,-2564000,-2013000,-1128000,-885000,-4577000,50000,-4527000,-135000,-4662000,-4662000,-4783000,-4783000,21021000,21021000,75088000,75088000,92273000,28627000,28627000,217009000,213179000,2080000,124328000,4940000,107992000,339587000,556596000,62057000,42162000,19895000,61252000,61252000,142195000,241239000,91591000,149066000,266934000,409129000,163782000,39555000,-57910000,145427000,147467000,556596000,-5489000,-3126000,-3126000,-3126000,65000,-3061000,-9182000,-17732000,-17732000,174000,-17558000,44581000,0.18099,-0.02477,-0.04621,-0.03243,-0.00859,1.52614,2.77438,0.0801,-0.38978,-0.38978,8.43582,11.85128,-0.00849,-9.18877
"28","2017_Q3",15.0761904761905,"Up",110550000,-92052000,18498000,-20699000,-15053000,-5646000,-2201000,-136000,-706000,570000,-2337000,485999.999999996,-1851000,102000,-1749000,-1749000,-1913000,-1913000,21525000,21525000,81198000,81198000,96355000,29301000,29301000,228379000,214478000,2098000,117286000,3699000,102201000,333862000,562241000,64766000,42388000,22378000,59242000,59242000,142944000,233382000,91241000,141537000,267842000,410786000,164726000,37653000,-53159000,149220000,151455000,562241000,-5073000,-3103000,-3103000,-3103000,-34000,-2137000,7104000,-106000,-106000,610000,504000,53396000,0.16733,-0.01991,-0.0173,-0.01263,-0.0034,1.59768,2.71226,0.09497,-0.15519,-0.15519,8.96812,12.10514,-0.00178000000000001,-14.48024
"29","2017_Q4",15.0857142857143,"Up",103886000,-87346000,16540000,-19669000,-14218000,-5451000,-3129000,-468000,-744000,276000,-3597000,-110000,-3707000,1804000,-1903000,-1903000,-2202000,-2202000,25367000,25367000,83839000,83839000,102234000,34152000,34152000,245592000,215685000,2175000,111556000,1087000,99147000,329416000,575008000,69780000,47881000,21899000,56689000,56689000,145885000,228264000,90448000,137189000,275128000,421013000,165155000,35451000,-49183000,151423000,153995000,575008000,-5384000,-3515000,-3515000,-3515000,131000,-3384000,12305000,3537000,3537000,305000,3842000,66280000,0.15921,-0.03012,-0.0212,-0.0143,-0.00383,1.68346,2.73394,0.11527,-0.17813,-0.17813,8.40366,12.24907,-0.00491,-13.07542
"30","2018_Q1",12.0049180327869,"Down",67203000,-52804000,14399000,-19873000,-15516000,-4357000,-5474000,-1056000,-374000,-682000,-6530000,209000,-6321000,-416000,-6737000,-2988000,-3191000,-3191000,18656000,18656000,81462000,81462000,93452000,46677000,24319000,240247000,204133000,2175000,119044000,1590000,95001000,325352000,565599000,57771000,35443000,22328000,67565000,67565000,144671000,212349000,79750000,132166000,259167000,403838000,165353000,38348000,-44760000,158941000,161761000,565599000,-3101000,-3267000,-3267000,-3267000,56000,-2711000,-1302000,-7114000,-5070000,403000,-4667000,66153000,0.21426,-0.08145,-0.04748,-0.01973,-0.00564,1.66064,2.49651,0.11696,-0.25817,-0.25814,5.43714,12.8593,-0.00725,-8.67684
"31","2018_Q2",10.05546875,"Down",106415000,-87653000,18762000,-20456000,-14856000,-5600000,-1694000,2772000,-849000,3621000,1078000,-83000,995000,463000,1458000,1389000,941000,941000,22954000,22954000,90949000,90949000,118180000,26154000,26154000,258237000,212959000,2175000,104357000,3186000,90429000,319491000,577728000,72452000,52642000,19810000,52576000,52576000,170253000,204742000,77430000,127084000,242189000,412442000,165797000,39921000,-43851000,161867000,165286000,577728000,-9600000,-1453000,-1453000,-1453000,39000,-1414000,13618000,2604000,2112000,142000,2254000,82672000,0.17631,-0.01592,0.00884,0.00569,0.00163,1.51678,2.49532,0.1431,0.07612,0.07602,8.60823,13.09392,0.00208,-35.25266
"32","2018_Q3",8.53412698412698,"Down",118371000,-98840000,19531000,-19721000,-14273000,-5448000,-190000,-256000,-977000,721000,-446000,999.999999999767,-444999.999999999,-546000,-990999.999999999,-2700000,-2994000,-2994000,22148000,22148000,97178000,97178000,111956000,26844000,26844000,258126000,206990000,2175000,95585000,2993000,82517000,304750000,562876000,71450000,50404000,21046000,53207000,53207000,169737000,193967000,75123000,118491000,235212000,404949000,166676000,36926000,-49203000,154399000,157927000,562876000,4394000,-2868000,-2868000,-2868000,56000,-2812000,-1124000,457999.999999998,139000,-945000,-806000.000000002,86325000,0.165,-0.00161,-0.02529,-0.01896,-0.00532,1.52074,2.56415,0.15336,-0.24068,-0.241,9.51535,12.4115,-0.00675,-337.77368
"33","2018_Q4",4.19825396825397,"Down",98824000,-82007000,16817000,-19360000,-13999000,-5361000,-2543000,634000,-621000,1255000,-1909000,-304000,-2213000,-8e+05,-3013000,-6456000,-7039000,-7039000,14778000,14778000,85567000,85567000,107202000,33636000,26507000,241183000,201670000,2175000,91017000,2490000,78964000,294862000,536045000,70973000,51324000,19649000,50341000,50341000,167477000,185894000,73099000,112410000,217785000,385262000,167145000,29888000,-50218000,146815000,150783000,536045000,6761000,-2894000,-2894000,-2894000,50000,-2844000,-10848000,-6931000,-7388000,18000,-7370000,78054000,0.17017,-0.02573,-0.07123,-0.04668,-0.01313,1.4401,2.55508,0.14561,-0.56339,-0.56339,7.90972,11.75084,-0.01697,-24.88242
"34","2019_Q1",3.80196721311475,"Down",95822000,-83339000,12483000,-19910000,-14940000,-4970000,-7427000,-2065000,-1150000,-915000,-9492000,-32152000,-41644000,615000,-41029000,-59709000,-60243000,-60243000,19713000,19713000,69448000,69448000,94196000,44509000,24271000,227866000,185661000,2175000,155417000,3188000,143004000,343253000,571119000,59280000,38900000,20380000,62445000,62445000,167453000,278816000,72658000,205994000,310697000,478150000,167384000,-30355000,-49434000,87595000,92969000,571119000,5155000,-1899000,-2504000,-2504000,-145000,5850000,-5067000,5938000,6286000,-227000,6059000,77609000,0.13027,-0.07751,-0.6287,-0.64799,-0.10548,1.36078,5.14311,0.13589,-4.82098,-4.82111,7.66821,7.00984,-0.13413,-7.79533999999999
