"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",44.174375,"Up",1295680000,-969108000,326572000,-228838000,-228838000,97734000,-31635000,-31099000,-536000,66099000,-19380000,46719000,-8830000,464000,38353000,38353000,164000,38517000,38517000,585722000,585722000,867211000,867211000,220927000,48599000,26504000,80408000,1673860000,196749000,58122000,719436000,295260000,271733000,41141000,111302000,974307000,2648167000,736187000,708583000,27604000,141000,502399000,459569000,42830000,1238727000,2045142000,162186000,8362000,153824000,2207328000,3446055000,505074000,-1284946000,-18186000,-798058000,-797888000,2648167000,38353000,24986000,-5029000,-35467000,22843000,-28445000,-291000,1530000,-27206000,-350521000,489941000,317000,139737000,135374000,135374000,-3945000,131429000,122720000,2045283000,67638000,0.25205,0.07543,0.02973,-0.04827,0.01454,1.75606,1.35127,-4.31897,0.77234,0.31389,0.30429,10.55896,-6.50366,0.55121,0.02733,0.04798,11.89342,14.93401
"2","2013_Q4",43.80046875,"Down",1195839000,-863806000,332033000,-199573000,-199573000,132460000,-30861000,-27637000,-3224000,101599000,-7201000,94398000,-27459000,-355000,66584000,66584000,185000,66769000,66769000,609710000,609710000,895345000,895345000,212131000,42116000,16373000,84090000,1717186000,197393000,61431000,866011000,412459000,310191000,32434000,110927000,1124835000,2842021000,784495000,758641000,25854000,4091000,545797000,510997000,34800000,1334383000,2042029000,177581000,16606000,160975000,2219610000,3553993000,510102000,-1218177000,-3892000,-711967000,-711972000,2842021000,66584000,27324000,4606000,78012000,176526000,-14695000,-146246000,349000,-160592000,-981999.99999994,-380999.99999994,-153000.000000015,-1516000.00000003,14418000,14418000,9570000,23988000,159784000,2046120000,250560000,0.27766,0.11077,0.05583,-0.09378,0.02349,3.75264,1.28688,-4.99176,0.71995,0.5179,0.50102,9.27561,-5.52242,1.94349,0.04417,0.16574,8.9897,10.8441
"3","2014_Q1",50.3859016393443,"Up",1379185000,-1017202000,361983000,-232797000,-232797000,129186000,-23682000,-25245000,1563000,105504000,-5462000,100042000,-27558000,450000,72934000,72934000,62000,72996000,72996000,778143000,778143000,924205000,924205000,243340000,42801000,16171000,92253000,1945688000,199578000,63276000,858255000,409626000,298054000,32864000,117711000,1121109000,3066797000,897583000,100616000,35778000,10433000,574231000,538585000,35646000,1482247000,2035586000,216449000,37541000,178908000,2252035000,3734282000,478144000,-1145181000,-376000,-667413000,-667485000,3066797000,72934000,30554000,-15389000,127361000,215460000,-12386000,-1409000,1611000,-12184000,-1850000,29006000,-60461000,-33305000,169971000,169971000,-1538000,168433000,159740000,2046019000,302273000,0.26246,0.09367,0.05293,-0.10936,0.0238,4.14095,1.31266,-5.59456,0.66715,0.56504,0.54941,10.67588,-5.16626,2.33981,0.04577,0.18951,7.93712,9.81435
"4","2014_Q2",50.4738095238095,"Up",1307846000,-946280000,361566000,-219242000,-219242000,142324000,-18604000,-23448000,4844000,123720000,-1008000,122712000,-37389000,4891000,90214000,90214000,-31000,90183000,90183000,741381000,741381000,948453000,948453000,257986000,52893000,16444000,95793000,1947820000,195852000,66700000,851520000,409519000,289094000,33430000,119477000,1114072000,3061892000,815565000,768868000,46697000,15572000,545339000,511441000,33898000,1376476000,2031247000,213694000,35565000,178129000,2244941000,3621417000,495917000,-1054998000,-393000,-559474000,-559525000,3061892000,90214000,29088000,-8770000,-138969000,-28437000,-17706000,4637000,-910000,-13979000,-334000,-100153351.01564,3341000,3007000,-39409000,-39409000,2647000,-36762000,171412000,2046819000,52126000,0.27646,0.10882,0.06896,-0.16118,0.02945,0.577999999999999,1.41508,-6.47231,0.66848,0.69426,0.67786,10.06825,-4.30703,0.40128,0.05302,0.03064,7.61579,9.1723
"5","2014_Q3",55.8809375,"Up",1341030000,-980068000,360962000,-219014000,-219014000,141948000,-26861000,-23805000,-3056000,115087000,-948000,114139000,-32400000,3371000,85110000,85110000,10000,85120000,85120000,636468000,636468000,964346000,964346000,263893000,56837000,16885000,97329000,1864707000,196382000,67423000,850125000,410333000,282499000,33687000,123606000,1113930000,2978637000,784461000,751649000,32812000,20715000,547884000,516076000,31808000,1353060000,2026909000,220278000,33899000,186379000,2247187000,3600247000,346085000,-969878000,2244000,-621549000,-621610000,2978637000,85110000,29845000,4423000,-52244000,67134000,-18126000,-1112000,209000,-19029000,-132000,-165131000,8170000,-157093000,-108988000,-108988000,4075000,-104913000,171793000,2047624000,133823000,0.26917,0.10585,0.06347,-0.13693,0.02858,1.57217,1.37814,-5.79181,0.68744,0.65995,0.64464,10.39727,-4.81899,1.03756,0.0517,0.08129,8.21428,9.94136
"6","2014_Q4",57.06046875,"Up",1400034000,-1030072000,369962000,-219027000,-219027000,150935000,-16672000,-24448000,7776000,134263000,-1793000,132470000,-41260000,1523000,92733000,92733000,-79000,92654000,92654000,645034000,645034000,1032553000,1032553000,261016000,51534000,17394000,97913000,1938603000,190863000,68460000,908789000,468620000,288266000,31278000,120625000,1168112000,3106715000,849607000,830388000,19219000,20681000,556492000,5.26e+08,30492000,1426780000,2022595000,193572000,25578000,167994000,2216167000,3642947000,368010000,-877224000,-27045000,-536259000,-536232000,3106715000,92733000,30180000,-7378000,21565000,137100000,-21950000,-92002000,1033000,-112919000,-6263000,0,15972000,9709000,33890000,33890000,-25324000,8566000,181115000,2043276000,221990000,0.26425,0.10781,0.06618,-0.17279,0.02982,2.3959,1.35873,-6.7936,0.6577,0.72691,0.70931,10.98393,-4.20721,1.74162,0.05448,0.13054,7.72019,9.26387
"7","2015_Q1",63.0473770491803,"Up",1411090000,-1002580000,408510000,-244717000,-123717000,163793000,-26863000,-25299000,-1564000,136930000,-5251000,131679000,-37951000,-4785000,88943000,88943000,1e+05,89043000,89043000,867358000,867358000,975255000,975255000,303470000,44628000,45357000,94970000,2146083000,190297000,66011000,893562000,464434000,280243000,35972000,112913000,1149870000,3295953000,898081000,108743000,55694000,826000,572993000,543305000,29688000,1471900000,2282612000,245453000,61797000,183656000,2528065000,3999965000,143828000,-788798000,-59091000,-704061000,-704012000,3295953000,88943000,31887000,12725000,123648000,257203000,-25218000,-1523000,-332000,-27073000,248729000,-249869000,15517000,14377000,244507000,244507000,-21398000,223109000,195680000,2283438000,332061000,0.2895,0.11608,0.0631,-0.12648,0.02702,3.72922,1.45804,-5.68167,0.6928,0.7086,0.69191,11.22934,-5.60286,2.64251,0.04879,0.18196,7.23671,8.64555
"8","2015_Q2",68.5568253968254,"Up",1347593000,-979446000,368147000,-219606000,-219606000,148541000,-21609000,-24470000,2861000,126932000,-5324000,121608000,-36088000,911000,86431000,86431000,-33000,86398000,86398000,779068000,779068000,1006425000,1006425000,313330000,59834000,44156000,91407000,2098823000,179490000,69161000,889177000,462991000,270535000,35635000,120016000,1137828000,3236651000,759737000,722871000,36866000,5940000,555020000,527684000,27336000,1320697000,2288229000,240032000,58947000,181085000,2528261000,3848958000,178966000,-702400000,-88953000,-612387000,-612307000,3236651000,86431000,30329000,379000,-181471000,-64332000,-16432000,-2541999.99999999,666000,-18308000,-1210000.00000003,-399608865.044367,27552000,26342000,-56297999.9999999,-56297999.9999999,-31992000,-88289999.9999999,178870000,2294169000,17054999.9999999,0.27319,0.11023,0.06411,-0.1411,0.02669,0.1974,1.58918,-6.28599,0.70881,0.69394,0.67788,10.82369,-4.91861,0.13698,0.04495,0.00886999999999999,8.4704,10.19988
"9","2015_Q3",74.83609375,"Up",1443527000,-1053006000,390521000,-225898000,-225898000,164623000,-35687000,-24028000,-11659000,128936000,-14014000,114922000,-31700000,1725000,84947000,84947000,4000,84951000,84951000,803615000,803615000,1089439000,1089439000,326788000,57454000,64550000,88822000,2219842000,176773000,71703000,873466000,463610000,263217000,34694000,111945000,1121942000,3341784000,791069000,758407000,32662000,48510000,514229000,502477000,11752000,1353808000,2440972000,248682000,57925000,190757000,2689654000,4043462000,28520000,-661434000,-68842000,-701756000,-701678000,3341784000,84947000,30011000,-5150000,-59046000,50762000,-15492000,-889000,-10777000,-27158000,214659000,-2.5e+08,25464000,-9877000,13727000,13727000,10820000,24547000,194634000,2489482000,151796000,0.27053,0.11404,0.05885,-0.12107,0.02542,1.78687,1.6397,-5.76256,0.74496,0.68601,0.67136,11.65695,-5.66691,1.2258,0.04171,0.07454,8.66173,10.24077
"10","2015_Q4",68.346875,"Down",1424769000,-1014347000,410422000,-231415000,-231415000,179007000,-23354000,-24288000,934000.000000002,155653000,-11984000,143669000,-40192000,5362000,108839000,108839000,2447000,111286000,111286000,1081804000,1081804000,1128899000,1128899000,309476000,51470000,56184000,89975000,2520179000,194744000,77187000,1241626000,724014000,374419000,34516000,108677000,1513557000,4033736000,897180000,871206000,25974000,48505000,578290000,558826000,19464000,1523975000,2430034000,259653000,89556000,170097000,2689687000,4213662000,239588000,-550148000,-95461000,-406021000,-179926000,4033736000,108839000,32884000,25882000,115341000,282946000,-24768000,29592000,1241000,6065000,-13160000,0,18423000,5263000.00000003,294274000,294274000,-16085000,278189000,211891000,2478539000,342656000,0.28806,0.12564,0.07811,-0.61851,0.02759,3.07906,1.65369,-23.41886,0.61445,0.90588,0.88788,11.59782,-3.30507,2.78927,0.0435,0.13394,6.59176,7.80268
