"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",27.3579365079365,"Down",444327000,-140051000,304276000,-172341000,-39473000,-132868000,131935000,-120402000,-120781000,379000,11533000,-141272000,-129739000,10339000,-119400000,-119400000,-119275000,-124476000,397496000,397496000,41265000,41265000,375308000,65788000,198991000,814069000,4842394000,4904046000,1984823000,2385930000,533293000,9746440000,10560509000,79760000,24771000,54989000,19553000,528063000,171710000,627376000,6684649000,6684649000,561375000,381071000,7246024000,7873400000,5595163000,2912000,5592251000,-2752812000,-155112000,2687239000,2687109000,10560509000,-119400000,132868000,155478000,-84689000,84257000,-35121000,0,-21800000,-56921000,-4969000,-253884000,-101901000,-35282000,-396036000,-368700000,-368700000,50000,-368650000,264803000,6704202000,134654000,0.6848,0.29693,-0.28015,-0.04632,-0.01179,-1.08177,1.29758,2.93006,0.63484,-0.43153,-0.43153,1.54039,9.3161,0.46682,0.01723,31.3620162849882,-0.01201,0.01353,-0.03992,23.8166,47.80161
"2","2010_Q3",29.42546875,"Up",456127000,-145392000,310735000,-174982000,-40556000,-134426000,135753000,-120586000,-120345000,-241000,15167000,-117467000,-102300000,4686000,-97614000,-97614000,-97529000,-102731000,242087000,242087000,49054000,49054000,381078000,68352000,229440000,672219000,4786553000,4893642000,1984779000,2351513000,557350000,9680195000,10352414000,90776000,26074000,64702000,20775000,460916000,180925000,572467000,6684273000,6684273000,613804000,385260000,7298077000,7870544000,5568457000,2903000,5565554000,-2855543000,-230843000,2482071000,2481870000,10352414000,-97614000,134426000,136806000,-9667999.99999999,163950000,-54670000,-629000,0,-55299000,-4971000,-4453999.99999997,-36586000,-217212000,-263223000,-154572000,-154572000,-837000,-155409000,270179000,6705048000,201155000,0.68125,0.29762,-0.22522,-0.04139,-0.00992,-1.95807,1.17425,3.17122,0.64768,-0.3591,-0.3591,1.5944,8.67611,0.70314,0.01738,18.326408685327,-0.00997,0.02052,-0.04839,23.92103,47.60824
"3","2010_Q4",31.013125,"Up",481890000,-1.43e+08,338890000,-177638000,-41420000,-136218000,161252000,-122349000,-123196000,847000,38903000,-181650000,-142747000,7597000,-135150000,-135150000,-135009000,-140210000,303979000,303979000,55201000,55201000,395125000,69273000,233174000,754305000,4897340000,5001597000,2029139000,2338517000,633941000,9898937000,10653242000,82646000,28100000,54546000,22039000,565106000,232940000,669791000,6910415000,6910415000,692039000,604150000,7602454000,8272245000,5584388000,2909000,5581479000,-2995753000,-207241000,2381394000,2380997000,10653242000,-135150000,136218000,199424000,-41044000,159448000,-58483000,-126343000,-1412000,-186238000,-4969000,148744000,7889000,-63638000,88026000,61236000,61236000,656000,61892000,297470000,6932454000,190346000,0.70325,0.33462,-0.29096,-0.05889,-0.01316,-1.35758,1.12618,3.47428,0.65074,-0.49004,-0.49004,1.68424,8.32315,0.66527,0.01737,10.6224032569976,-0.01352,0.01902,-0.03544,22.28284,41.10631
"4","2011_Q1",30.6574193548387,"Down",496314000,-152934000,343380000,-181166000,-43907000,-137259000,162214000,-125331000,-123743000,-1588000,36883000,-202000,36681000,4224000,40905000,40905000,40873000,35671000,112531000,112531000,59912000,59912000,372702000,65856000,247748000,545145000,4893651000,5030733000,2029296000,116551000,2884886000,9924384000,10469529000,104840000,39649000,65191000,28687000,307358000,202123000,440885000,7066788000,7066788000,516862000,450176000,7583650000,8024535000,5584433000,2908000,5581525000,-2960082000,-178978000,2445373000,2444994000,10469529000,40905000,137259000,43436000,-25825000,195775000,-79784000,-12186000,-521000,-92491000,-4970000,148884000,-10310000,-428995000,-295391000,-192107000,-192107000,659000,-191448000,299473000,7095475000,189640000,0.69186,0.32684,0.07187,0.01459,0.00341,5.31636,1.23648,3.28203,0.67773,0.12455,0.12455,1.7329,8.5381,0.66213,0.01735,7,0.00404,0.01886,0.13933,23.31744,43.04773
"5","2011_Q2",30.4033333333333,"Down",499039000,-145639000,353400000,-182017000,-44744000,-137273000,171383000,-127121000,-126515000,-606000,44262000,-4955000,39307000,817000,40124000,40124000,40017000,34816000,82320000,82320000,53671000,53671000,380080000,65126000,254531000,516071000,4854182000,5026941000,2029316000,2274152000,723473000,9881123000,10397194000,84752000,30231000,54521000,29562000,278415000,198521000,392729000,7019606000,7019606000,521863000,455856000,7541469000,7934198000,5552355000,2907000,5549448000,-2925266000,-164197000,2462892000,2462996000,10397194000,40124000,137273000,37866000,-87749000,127514000,-52650000,-435000,293000,-52792000,-4969000,-58521000,-41574000,-526000,-105590000,-30868000,-30868000,657000,-30211000,308656000,7049168000,167440000,0.70816,0.34343,0.06977,0.01414,0.00335,4.80928,1.31406,3.22136,0.67799,0.12131,0.12047,1.73882,8.58157,0.58342,0.01731,6.20919891433412,0.00397,0.01669,0.14272,22.57156,40.65075
"6","2011_Q3",30.640625,"Up",500336000,-147049000,353287000,-179450000,-41259000,-138191000,173837000,-130373000,-126275000,-4098000,43464000,-6695000.00000001,36769000,-5755000,31014000,31014000,30871000,25669000,108116000,108116000,57093000,57093000,346733000,75452000,219295000,511942000,4828564000,5044814000,2030585000,2246507000,767722000,9873378000,10385320000,98028000,32691000,65337000,30708000,252837000,176008000,381573000,7102595000,7102595000,532360000,470244000,7634955000,8016528000,5409881000,2871000,5407010000,-2899597000,-141746000,2368538000,2368792000,10385320000,31014000,138191000,48330000,-61240000,156295000,-64040000,-11940000,536000,-75444000,-4970000,72729000,-150232000,27532000.0000001,-54941000,25910000,25910000,-114000,25796000,312028000,7133303000,192503000,0.7061,0.34744,0.0513,0.01084,0.00247,7.49944,1.34166,3.38423,0.68686,0.08998,0.08931,1.75384,8.3025,0.67479,0.01742,7,0.00305,0.01918,0.19362,22.5146,40.4125
"7","2011_Q4",30.764126984127,"Up",513883000,-146842000,367041000,-181445000,-42922000,-138523000,185596000,-127681000,-126944000,-737000,57915000,-3707000,54208000,-2825000,51383000,51383000,51278000,43737000,75524000,75524000,64762000,64762000,381994000,77926000,250723000,522280000,4864400000,5056535000,2031949000,2211643000,812943000,9920935000,10443215000,84921000,29655000,55266000,33612000,258301000,174906000,376834000,7207884000,7207884000,544845000,477232000,7752729000,8129563000,5309524000,2845000,5306679000,-2855860000,-140602000,2313062000,2313652000,10443215000,51383000,138523000,41190000,-59631000,171465000,-148425000,-5622000,-15204000,-169251000,-4774000,107766000,-123042000,-14935000,-34985000,-32771000,-32771000,179000,-32592000,324119000,7241496000,118888000,0.71425,0.36116,0.08511,0.0189,0.00419,2.71825,1.38597,3.51374,0.69342,0.15508,0.15406,1.82208,8.20145,0.42154,0.01693,8,0.0048,0.01177,0.10915,22.10908,38.6106
"8","2012_Q1",36.4833870967742,"Up",519471000,-148855000,370616000,-183532000,-44568000,-138964000,187084000,-127323000,-127187000,-136000,59761000,-10238000,49523000,-584000,48939000,48939000,48911000,43915000,80120000.0000001,80120000.0000001,77258000,77258000,441774000,80529000,275860000,599152000,4861227000,5084717000,2035390000,103200000,2946127000,9945944000,10545096000,97447000,32055000,65392000,32517000,272142000,167238000,402106000,7158214000,7158214000,597912000,500350000,7756126000,8158232000,5315186000,2844000,5312342000,-2811945000,-116996000,2386245000,2386864000,10545096000,48939000,138964000,39200000,-38923000,188180000,-82827000,-19554000,3000,-102378000,-4774000,-63319000,-2011000,-10092000,-80195999.9999999,5606000,5605999.99999994,-1010000,4595999.99999994,326048000,7190731000,204882000,0.71345,0.36014,0.08454,0.0184,0.00416,4.66542,1.49003,3.41797,0.6819,0.1563,0.15493,1.84882,8.49273,0.72918,0.01699,8,0.00478,0.02013,0.10871,21.80848,38.00758
"9","2012_Q2",40.2928571428571,"Up",551745000,-154392000,397353000,-190401000,-51001000,-139400000,206952000,-138195000,-137118000,-1077000,68757000,-11792000,56965000,-6695000,50270000,50270000,50031000,47402000,1063684000,1063684000,79872000,79872000,504453000,99212000,317979000,1648009000,4836152000,5640495000,2114624000,2243389000,1282482000,10476647000,12124656000,87168000,31909000,55259000,77776000,260898000,174176000,425842000,8343156000,8343156000,618992000,514702000,8962148000,9387990000,5594120000,2929000,5591191000,-2764543000,-93043000,2736534000,2736666000,12124656000,50270000,139400000,48429000,-75887000,162212000,-65052000,-221316000,1195000,-285173000,-2481000,1181984000,-35281000,-39289000,1104933000,981972000,981972000,1592000,983564000,346352000,8420932000,212108000,0.72018,0.37509,0.08591,0.01732,0.00391,4.47466,3.87,3.43045,0.69453,0.16637,0.16583,1.93654,9.60481,0.74447,0.00871,8,0.00424,0.01801,0.05234,21.24211,35.5505
"10","2012_Q3",45.2442857142857,"Up",585511000,-171833000,413678000,-199560000,-47078000,-152482000,214118000,-146807000,-144558000,-2249000,67311000,-18659000,48652000,68432000,117084000,117084000,116013000,116013000,96175000.0000002,96175000.0000002,124154000,124154000,518781000,101063000,323829000,739110000,5347867000,6510699000,2776121000,2391292000,1343286000,11858566000,12597676000,110441000,46279000,64162000,79303000,299380000,195330000,489124000,8307783000,8307783000,934771000,853106000,9242554000,9731678000,5602036000,2930000,5599106000,-2648530000,-89065000,2864441000,2865998000,12597676000,117084000,152482000,-26853000,-80583000,162130000,-94645000,-9.78e+08,-7000,-1072652000,0,-67214000.0000002,-154000,11672000,-55696000,-966218000,-966218000,-1291000,-967509000,366600000,8387086000,122940000,0.70652,0.36569,0.19814,0.04048,0.00921,1.05971,1.51109,3.39556,0.66576,0.39915,0.39839,2.0145,9.85533,0.42298,-1.73472347597681e-18,8,0.00952,0.01009,6.93889390390723e-18,22.61569,38.72122
"11","2012_Q4",49.0953225806452,"Up",621337000,-185343000,435994000,-210729000,-55862000,-154867000,225265000,-145290000,-144658000,-632000,79975000,-4497000,75478000,-32300000,43178000,43178000,42045000,42045000,118903000,118903000,141399000,141399000,517074000,104646000,333491000,777376000,5380541000,6578502000,2801161000,2368650000,1408691000,11959043000,12736419000,102960000,48373000,54587000,88093000,340764000,220744000,531817000,8295071000,8295071000,966726000,869991000,9261797000,9793614000,5618195000,2932000,5615263000,-2606485000,-71633000,2940077000,2942805000,12736419000,43178000,154867000,73975000,-71904000,200116000,-123689000,-36922000,56000,-160555000,0,-24835000,-310000,6895000,-18250000,21311000,21311000,1417000,22728000,380132000,8383164000,216839000,0.7017,0.36255,0.06767,0.01429,0.0033,5.15731,1.46174,3.32799,0.6582,0.1446,0.14394,2.13692,10.11159,0.74576,0,6,0.00342,0.01764,0,21.7405,36.68684
