"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",23.9775806451613,"Up",34715000,-26235000,8480000,-9080000,-9080000,-6e+05,-239000,31000,2000,-272000,-839000,-988000,-174000,-1162000,-1162000,-1162000,-1162000,48255000,48255000,20114000,20114000,55866000,9506000,905000,3508000,133741000,11752000,25176000,-13424000,14853000,6042000,8811000,26605000,160346000,40117000,28715000,11402000,2123000,2123000,42240000,3366000,1031000,3366000,45606000,52788000,63824000,-1872000,114740000,114740000,160346000,-1162000,993000,-3847000,6860000,2844000,-197000,-417000,-614000,0,2230000,2230000,836000,3066000,393000,0,7230000,0.24427,-0.01728,-0.03347,-0.01013,-0.00725,-6.22203,3.16622,0.39747,0,-0.18041,-0.18041,5.38969,17.814,1.1225,-0.00984,0.06122,-122.78626,80.425
"2","2011_Q2",27.1112698412698,"Up",39680000,-27989000,11691000,-8830000,-8830000,2861000,-416000,35000,5000,-456000,2445000,2445000,-899000,1546000,1546000,1546000,1546000,53348905.0532336,53348905.0532336,34080584.2821292,34080584.2821292,57673045.9664067,15858905.4346006,850243.799971903,6058542.1432626,160961440.73637,10932655.522887,25696563.963,-14763908.440113,14212108.1664392,5844235.49372295,8369005.29448016,25144763.6893262,186106204.425696,56419141.6847305,49553368.0681747,6865773.6165558,2150164.64002198,2150164.64002198,59499078.12283,4234912.93609342,1106223.30519318,4234912.93609342,63733991.0589235,52914589.2542383,68139398.5126033,1318225.59993124,122372213.366773,122372213.366773,186106204.425696,1546000,1067000,370000,-626000.000000001,2357000,-168000,-385000,-553000,737937.263209796,1804000,1804000,230000,2034000,3928000,5.82076609134674e-11,4033000,0.29463,0.0721,0.03896,0.0512478795394919,0.033349260366815,2.60867,2.78008529246528,0.519305848911013,0.00471801148182208,0.24002,0.23921,6.16053,18.9991515753076,0.62615,0.0492910418498752,0.127583759992861,-48.649649870768,33.3631640837302
"3","2011_Q3",23.98578125,"Down",41576000,-28925000,12651000,-9254000,-9254000,3397000,2000,23000,2000,-23000,3399000,3399000,-1050000,2349000,2349000,2349000,2349000,52819505.0532336,52819505.0532336,35337084.2821292,35337084.2821292,65382745.9664067,14785805.4346006,545243.799971903,6385742.1432626,168325140.73637,10908255.522887,26114363.963,-15206108.440113,14211308.1664392,5583635.49372295,8628805.29448016,25119563.6893262,193444704.425696,61434641.6847305,51791768.0681747,9642873.6165558,2146564.64002198,2146564.64002198,64642278.12283,4148612.93609342,1127623.30519318,4148612.93609342,68790891.0589235,53015989.2542383,70549998.5126033,1087825.59993124,124653813.366773,124653813.366773,193444704.425696,2349000,1079000,-3773000,-2114000,-2459000,-207000,-251000,-458000,637000,-2280000,-2280000,669000,-1611000,4476000,0,3205000,0.30429,0.08171,0.0565,0.0577818795394919,0.037741260366815,1.36441,2.62523329246528,0.552513848911013,0.00544601148182208,0.36469,0.362,6.4549,19.3533805753076,0.49759,0.0556580418498752,0.0953547599928608,-14.657224870768,5.65104108373019
"4","2011_Q4",20.6333333333333,"Down",50573000,-34723000,15850000,-9317000,-9317000,6533000,-252000,-12000,2000,-242000,6281000,6281000,-1706000,4575000,4575000,4575000,4575000,49139000,49139000,30407000,30407000,75105000,10527000,381000,5763000,165178000,11270000,26462000,-15192000,14287000,5274000,9013000,25557000,190735000,59560000,44332000,15228000,2017000,2017000,62431000,3589000,1124000,3589000,66020000,53120000,72294000,-699000,124715000,124715000,190735000,4575000,1081000,1597000,-6071000,1182000,-480000,-279000,-759000,202000,625000,625000,-164000,461000,7614000,854000,2769000,0.31341,0.12918,0.09046,0.03668,0.02399,0.60525,2.64577,0.52937,0.00448,0.71029,0.70711,7.85173,19.36268,0.4299,0.03542,0.02144,-6.34161,-7.39094000000001
"5","2012_Q1",21.6141935483871,"Up",48571000,-32889000,15682000,-11092000,-11092000,4590000,-1149000,-57000,4000,-1096000,3441000,3494000,-840000,2654000,2654000,2654000,2654000,44961000,44961000,27057000,27057000,81127000,8237000,1197000,5598000,161382000,11544000,26742000,-15198000,13619000,4928000,8691000,25163000,186545000,54754000,36335000,18419000,1609000,1609000,57228000,3105000,1123000,3105000,60333000,53258000,74948000,-1994000,126212000,126212000,186545000,2654000,1073000,3297000,-9299000,-2275000,-890000,-216000,-1106000,4999.99999999994,-3376000,-3376000,-802000,-4178000,5663000,865000,-3686000,0.32287,0.0945,0.05464,0.02103,0.01423,-1.38885,2.81998,0.47803,0.00464,0.41205,0.41045,7.54091,19.59509,-0.57227,0.02039,-0.02831,-7.78669,-9.60697
"6","2012_Q2",20.7533333333333,"Down",51126000,-34642000,16484000,-9730000,-9730000,6754000,142000,-1999.99999999999,6000,138000,6896000,6896000,-2263000,4633000,4633000,4633000,4633000,42667000,42667000,31189000,31189000,80470000,11699000,3160000,7097000,166025000,11354000,27002000,-15648000,11772000,4560000,7212000,23126000,189151000,51632000,36573000,15059000,856000,856000,53994000,3145000,1154000,3145000,57139000,53456000,79581000,-1025000,132012000,132012000,189151000,4633000,1087000,2375000,-9962000,-1867000,-341000,-235000,-576000,632000,-1811000,-1811000,-483000,-2294000,7841000,1506000,-199000.000000001,0.32242,0.1321,0.09062,0.0351,0.02449,-0.0429500000000005,3.07488,0.43283,0.00796,0.7193,0.71652,7.93759,20.49558,-0.0309,0.0339,-0.00146,-5.24946,-6.09431
"7","2012_Q3",19.0984126984127,"Down",45965000,-32572000,13393000,-9288000,-9288000,4105000,-40000,-19000,-4000,-17000,4065000,4065000,-1103000,2962000,2962000,2962000,2962000,40113000,40113000,29841000,29841000,92889000,11806000,1734000,8808000,174649000,11404000,27592000,-16188000,11562000,4166000,7396000,22966000,197615000,55910000,43184000,12726000,575000,575000,58476000,3189000,1212000,3189000,61665000,53681000,82543000,-274000,135950000,135950000,197615000,2962000,1153000,333000,-6760000,-2312000,-553000,-211000,-764000,477000,-2599000,-2599000,45000,-2554000,5258000,1991000,-952000,0.29137,0.08931,0.06444,0.02179,0.01499,-0.3214,2.98668,0.45359,0.01008,0.45972,0.45717,7.1341,21.10042,-0.14776,0.02099,-0.00675,-7.25029,-9.28672
"8","2012_Q4",20.633064516129,"Up",49959000,-33875000,16084000,-10272000,-10272000,5812000,-214000,-27000,3000,-190000,5598000,5598000,-1641000,3957000,3957000,3957000,3957000,35095000,35095000,30514000,30514000,95717000,13407000,3104000,9048000,174733000,11687000,28119000,-16432000,10576000,4040000,6536000,22263000,196996000,51637000,38544000,13093000,447000,447000,55227000,3277000,1173000,3277000,58504000,53905000,86500000,-1913000,138492000,138492000,196996000,3957000,955000,4316000,-13489000,-4261000,-1034000,-265000,-1299000,1182000,-4378000,-4378000,-640000,-5018000,6767000,3143000,-6115000,0.32194,0.11634,0.0792,0.02857,0.02009,-1.54536,3.16391,0.42244,0.01595,0.61377,0.61206,7.74919,21.48162,-0.9485,0.02731,-0.0422,-4.72174,-5.49759
"9","2013_Q1",24.4673333333333,"Up",56067000,-38847000,17220000,-11870000,-11870000,5350000,-321000,-51000,2000,-272000,5029000,5305000,-1219000,4086000,4086000,4086000,4086000,35770000,35770000,35297000,35297000,91320000,9812000,708000,7645000,172199000,12079000,29012000,-16933000,11034000,4906000,5895000,23113000,195312000,45597000,28621000,16976000,569000,569000,49372000,2147000,1244000,2147000,51519000,54060000,90586000,-853000,143793000,143793000,195312000,4086000,931000,-1283000,-2281000,1453000,-826000,-308000,-1134000,3000,322000,322000,353000,675000,6281000,3206000,4393000,0.30713,0.09542,0.07288,0.02842,0.02092,1.07513,3.48779,0.35829,0.01641,0.63359,0.63153,8.69391,22.29695,0.68119,0.0274,0.02945,-5.18452,-6.08673
"10","2013_Q2",23.94625,"Down",44085000,-31169000,12916000,-8920000,-8920000,3996000,-297000,-49000,11000,-259000,3699000,3699000,-1445000,2254000,2254000,2254000,2254000,39108000,39108000,31748000,31748000,91513000,10071000,132000,8521000,172440000,12040000,29427000,-17387000,12350000,3921000,8429000,24390000,196830000,42930000,29741000,13189000,2883000,2883000,49029000,2237000,1327000,2237000,51266000,54308000,92840000,-1584000,145564000,145564000,196830000,2254000,917000,-1125000,2043000,4089000,-531000,-335000,-866000,0,3223000,3223000,115000,3338000,4913000,3216000,7870000,0.29298,0.09064,0.05113,0.01548,0.01145,3.49157,3.5171,0.35219,0.01634,0.34962,0.34762,6.83806,22.57856,1.22072,0.01493,0.05211,-7.30552,-8.98198
