"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",14.0425,"Down",68817000,-18858000,49959000,-39629000,-17348000,-7976000,-14305000,10330000,-8371000,-6556000,-1815000,1959000,9000,1968000,-1230000,738000,738000,-4631000,-3893000,-3893000,28461000,28461000,2775000,18675000,18675000,59801000,54335000,587007000,278986000,176981000,120792000,10248000,641342000,701143000,30278000,14695000,15583000,5170000,25560000,12362000,13198000,61008000,502832000,151505000,12033000,139472000,654337000,715345000,132000,-17376000,-1888000,-19132000,4930000,-14202000,701143000,738000,7976000,5006000,6217000,19937000,-5283000,-5283000,-1360000,-16893000,-18253000,-3599000,-3599000,-88000,-3687000,18306000,508002000,20470000,0.72597,0.15011,-0.05657,0.27412,-0.00555,-5.25816,0.98022,-50.36931,0.72453,-0.10917,-0.03944,1.92976,-0.5365,0.57402,-0.00603,0.03172,26.19584,46.42217
"2","2016_Q1",12.9726229508197,"Down",105845000,-43388000,62457000,-33862000,-11733000,-7998000,-14131000,28595000,-4325000,-6677000,2352000,24270000,197000,24467000,-7227000,17240000,17240000,-14755000,2485000,2485000,31430000,31430000,4557000,17879000,12727000,72945000,56139000,570093000,273619000,176981000,117358000,2135000,626232000,699177000,40636000,23950000,16686000,5100000,20516000,14717000,5799000,66252000,484333000,149672000,12016000,137656000,634005000,700257000,362000,-14032000,-1710000,-15380000,14300000,-1080000,699177000,17240000,7998000,4532000,-4680000,25090000,-5407000,-5407000,-11308000,134615000,-16693000,2990000,2990000,-21000,2969000,36593000,489433000,33733000,0.59008,0.27016,0.02348,-2.30093,0.00355,13.57465,1.10102,-648.38611,0.70001,0.06541,0.06856,2.78591,-0.40481,0.88787,0.22332,0.05287,12.51614,16.01689
"3","2016_Q2",14.80484375,"Up",83343000,-23639000,59704000,-34280000,-11845000,-7703000,-14732000,25424000,-5974000,-6367000,393000,19450000,186000,19636000,-3291000,16345000,16345000,-12977000,3368000,3368000,38268000,38268000,1476000,18623000,18623000,68813000,54302000,562551000,268679000,176981000,115523000,1368000,616853000,685666000,25813000,10090000,15723000,5100000,20983000,15477000,5506000,51896000,483540000,142969000,10277000,132692000,626509000,678405000,587000,-11805000,-2387000,-13605000,20866000,7261000,685666000,16345000,7703000,2296000,-11082000,15262000,-845000,-845000,-1287000,-6411000,-7698000,6719000,6719000,119000,6838000,33127000,488640000,24491000,0.71636,0.30505,0.04041,0.46385,0.00491,7.27167,1.32598,93.43135,0.71265,0.09203,0.09203,2.27726,-0.37174,0.66919,0.00527,0.03833,13.59531,17.71444
"4","2016_Q3",18.0796875,"Up",91472000,-27801000,63671000,-35820000,-12381000,-7679000,-15760000,27851000,-6320000,-6161000,-159000,21531000,-21000,21510000,-3418000,18092000,18092000,-13959000,4133000,4133000,55664000,55664000,893000,20255000,20255000,88387000,54931000,636093000,263739000,176981000,194240000,1133000,691024000,779411000,28481000,11992000,16489000,5100000,29417000,20619000,8798000,62998000,482768000,215054000,8456000,205431000,697822000,760820000,7991000,-7673000,-1067000,-749000.000000002,19340000,18591000,779411000,18092000,7679000,6375000,2678000,34824000,-3500000,-3500000,-1288000,-12644000,-13932000,17392000,17392000,4000,17396000,35530000,487868000,38126000,0.69607,0.30448,0.04518,0.22231,0.0053,9.22478,1.40301,40.9240999999999,0.62594,0.1124,0.11239,2.48758,-0.0203699999999999,1.03684,0.00573000000000003,0.05284,12.16448,15.51844
"5","2016_Q4",19.3590476190476,"Up",87007000,-25925000,61082000,-35170000,-12244000,-7745000,-15181000,25912000,-6495000,-6291000,-204000,19417000,241000,19658000,-4795000,14863000,14863000,-11438000,3425000,3425000,65954000,65954000,759000,21972000,21972000,103120000,56577000,692641000,258799000,176981000,255729000,1132000,749218000,852338000,33538000,14415000,19123000,5100000,27705000,17084000,10621000,66343000,481945000,275392000,8472000,265645000,757337000,823680000,14835000,-4248000,-1123000,9464000,19194000,28658000,852338000,14863000,7745000,5331000,-2287000,25652000,-4519000,-4519000,-1287000,-9599000,-10807000,10326000,10326000,-36000,10290000,33657000,487045000,31646000,0.70204,0.29782,0.03936,0.11951,0.00402,9.23971,1.55435,28.74171,0.57142,0.07643,0.07642,1.94153,0.21119,0.70617,0.00433,0.04,12.51125,16.25081
"6","2017_Q1",20.6416129032258,"Up",116419000,-44952000,71467000,-36361000,-13538000,-8375000,-14448000,35106000,-6965000,-8306000,1341000,28141000,963000,29104000,-7157000,21947000,21947000,-11373000,10574000,10574000,40393000,40393000,1802000,22157000,13873000,91225000,61238000,848979000,253862000,176981000,410407000,7729000,910217000,1001442000,55769000,28507000,27262000,7185000,20319000,17780000,2539000,83273000,707111000,425813000,8351000,416224000,1132924000,1216197000,34477000,-164062000,-1174000,-130759000,-83996000,-214755000,1001442000,21947000,8375000,9289000,-6532000,33079000,-5830000,-5830000,228241000,-10033000,-52746000,-25497000,-25497000,-64000,-25561000,43481000,714296000,38276000,0.61388,0.30155,0.09083,-0.04924,0.01056,3.61982,1.09549,-5.66318,0.71327,0.19219,0.19216,2.11601,-2.37665,0.6957,0.3043,0.04136,15.49879,19.19623
"7","2017_Q2",20.9685714285714,"Up",91102000,-21124000,69978000,-36955000,-13820000,-7951000,-15184000,33023000,-8081000,-8763000,682000,24942000,32000,24974000,-7108000,17866000,17866000,-9024000,8842000,8842000,60236000,60236000,1331000,23036000,23036000,99591000,61104000,995657000,249148000,176981000,561342000,8186000,1056761000,1156352000,34824000,13278000,21546000,7185000,29501000,18226000,11275000,71510000,705885000,566981000,8445000,557484000,1272866000,1344376000,23097000,-155288000,-1274000,-133465000,-54559000,-188024000,1156352000,17866000,7951000,6155000,-1500000,30472000,-5336000,-5336000,-1796000,-3508000,-5324000,19812000,19812000,31000,19843000,40974000,713070000,41246000,0.76813,0.36248,0.09706,-0.04703,0.00765,4.66478,1.39269,-7.15002,0.61665,0.1379,0.13783,1.42079,-2.08147,0.64326,0.00812,0.03777,15.93288,19.76907
"8","2017_Q3",24.3025396825397,"Up",107316000,-31452000,75864000,-37266000,-14768000,-7894000,-14604000,38598000,-9961000,-9028000,-933000.000000004,28637000,-348000,28289000,-10285000,18004000,18004000,-5592000,12412000,12412000,78521000,78521000,1447000,21664000,21664000,117353000,67564000,1169724000,244437000,176981000,737953000,10353000,1237288000,1354641000,55234000,18532000,36702000,7185000,28396000,20271000,8125000,90815000,704341000,716240000,7746000,707352000,1420581000,1511396000,10639000,-142864000,-1332000,-133557000,-23198000,-156755000,1354641000,18004000,7894000,11790000,-5162000,32526000,-8791000,-8791000,-1796000,-3728000,-5617000.00000001,18118000,18118000,167000,18285000,46492000,711526000,42824000,0.70692,0.35967,0.11566,-0.07918,0.00916,3.45021,1.29222,-9.64177,0.52525,0.15664,0.15657,1.35436,-1.68553,0.54045,0.00985999999999996,0.03369,13.61535,16.39994
"9","2017_Q4",29.5852380952381,"Up",97496000,-25819000,71677000,-37759000,-14071000,-8137000,-15551000,33918000,-8512000,-8920000,408000,25406000,36000,25442000,-6540000,18902000,18902000,-3557000,15345000,15345000,93267000,93267000,550000,25389000,25389000,135564000,72426000,1158030000,239741000,176981000,731131000,10177000,1230456000,1366020000,50670000,12826000,37844000,7185000,28691000,17124000,11567000,86546000,703165000,715948000,8180000,707017000,1419113000,1505659000,11703000,-127513000,-1013000,-116823000,-22816000,-139639000,1366020000,18902000,8137000,8696000,-5705000,30030000,-8936000,-8936000,-1796000,-3716000,-6549000,14545000,14545000,201000,14746000,42055000,710350000,33954000,0.73518,0.34789,0.15739,-0.10989,0.01123,2.21271,1.56638,-10.78251,0.52001,0.17881,0.17868,1.13611,-1.36132,0.39566,0.01285,0.02639,14.67324,18.19338
"10","2018_Q1",35.0468852459016,"Up",134028000,-50871000,83157000,-40807000,-17710000,-7779000,-15318000,42350000,308199000,-8572000,316771000,350549000,-73000,350476000,-349647000,829000,829000,-4282000,-3453000,-3453000,113080000,113080000,2692000,23957000,13081000,177001000,83327000,832137000,235657000,176981000,407782000,11717000,915464000,1092465000,78300000,28648000,49652000,7185000,26545000,19083000,7462000,112030000,702703000,414669000,8440000,404600000,1117372000,1229402000,12128000,-130966000,-648000,-119486000,-17451000,-136937000,1092465000,829000,7779000,35904000,-6519000,37993000,-13979000,-13979000,-1797000,-2072000,-4213000,19801000,19801000,12000,19813000,50129000,709888000,379278000,0.62044,0.31598,-0.02576,0.02522,-0.00316,-109.84014,1.57994,-8.97787,0.6498,-0.03993,-0.03988,1.55003,-1.38186,4.38635,-0.00284,0.38403,11.90544,14.09228
"11","2018_Q2",41.02859375,"Up",121333000,-26500000,94833000,-54905000,-28084000,-8465000,-18356000,39928000,-8542000,-8734000,192000,31386000,-1010000,30376000,-6883000,23493000,23493000,-3613000,19880000,19880000,127146000,127146000,4056000,31690000,27639000,181512000,84545000,849796000,241105000,191038000,409216000,8437000,934341000,1115853000,61513000,15664000,45849000,7185000,35696000,20842000,14854000,104394000,702171000,431722000,22942000,407401000,1133893000,1238287000,13021000,-120245000,-370000,-107594000,-14840000,-122434000,1115853000,23493000,8465000,7269000,8907000,48134000,-1996000,-30499000,-1807000,-1734000,-3319000,14316000,14316000,-250000,14066000,48393000,709356000,62187000,0.78159,0.32908,0.16385,-0.16237,0.01782,3.12812,1.73872,-10.11391,0.63571,0.22737,0.22669,1.3877,-1.23057,0.71124,0.01954,0.06105,12.03087,14.5815
"12","2018_Q3",49.661746031746,"Up",140549000,-36744000,103805000,-55033000,-28367000,-8619000,-18047000,48772000,-9129000,-8627000,-502000,39643000,39000,39682000,-9263000,30419000,30419000,-4544000,25875000,25875000,147784000,147784000,3193000,34776000,30980000,200685000,87570000,836466000,237092000,191038000,406699000,1637000,924036000,1124721000,56561000,16268000,40293000,7185000,32696000,23186000,9510000,96442000,701657000,417870000,23255000,393226000,1119527000,1215969000,14754000,-94348000,-385000,-79979000,-11269000,-91248000,1124721000,30419000,8619000,10858000,-19536000,30360000,-6006000,-6006000,-1808000,-1769000,-3536999.99999999,20817000,20817000,-179000,20638000,57391000,708842000,41112000,0.73857,0.34701,0.1841,-0.28357,0.02301,1.58886999999999,2.08089,-13.32598,0.63024,0.29505,0.29348,1.60269,-0.91201,0.4688,0.0251,0.0397,9.77606,11.50369
"13","2018_Q4",51.285873015873,"Up",136656000,-36870000,99786000,-56226000,-28612000,-8863000,-18751000,43560000,-15912000,-15884000,-28000,27648000,13000,27661000,-7189000,20472000,20472000,-3001000,17471000,17471000,572731000,572731000,6142000,60457000,56644000,665475000,97240000,858724000,237896000,199513000,416707000,4608000,955964000,1621439000,75742000,23400000,52342000,1.2e+07,37282000,21959000,15323000,125024000,1172009000,434554000,25916000,406908000,1606563000,1731587000,17247000,-118964000,256000,-101461000,-8687000,-110148000,1621439000,20472000,8863000,14281000,21776000,65392000,-10403000,-27652000,494111000,-71147000,422927000,460667000,460667000,195000,460862000,52423000,1184009000,70985000,0.7302,0.31876,0.12785,-0.15861,0.01077,4.06302,5.32278,-15.72055,0.73022,0.19842,0.19779,1.55199,-1.15229,0.80617,0.01207,0.04706,11.66049,14.03301
