"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.4244444444444,"Up",605550000,-335464000,270086000,-238252000,-72560000,-27191000,-138501000,31834000,-25084000,-27316000,2232000,6750000,3173000,-1619000,4611000,7772000,7772000,7772000,-939936204.154055,-939936204.154055,155150156.05088,155150156.05088,-75770484.7870556,339566568.25391,-76918583.60052,-520989964.636321,335069015.807506,1204490982.45503,1539861377.31178,112975263.903426,219772880.117652,1539559998.26253,1018570033.62621,100579499.578446,-372157586.901722,472737086.480168,-679752451.501061,200915934.802019,457779245.963846,457779245.963846,658695180.765865,-21057270.7351956,362445870.212991,959756025.84232,-282574591.693904,1039627304.36141,1039627304.36141,1018570033.62621,7772000,27191000,-2826000,6387000,38524000,-12627000,2007000,12593000,53124000,53124000,4967000,58091000,59025000,0,54404000,0.44602,0.05257,0.01283,0.34809556783978,0.19320544839319,7,4.41853605244757,0.0327729504732348,-0.192048788473345,0.14355,0.14344,11.18427,18.7929702601184,1.00482,0.213866876807892,-0.434357755450265,42.0878007070855,-18.1426743137318
"2","2010_Q3",15.9375,"Down",575365000,-311232000,264133000,-232095000,-72611000,-27510000,-131974000,32038000,-7658000,-9069000,1411000,24380000,24405000,-8908000,18154000,18154000,18154000,18154000,-360286602.077027,-360286602.077027,79196078.0254401,79196078.0254401,47403257.6064722,233394284.126955,-10203791.80026,-292982.318160295,351755007.903753,1143758991.22751,1064249188.65589,117279631.951713,134093440.058826,1495513999.13127,1495221016.81311,176594749.789223,-128634293.450861,305229043.240084,-132611225.75053,310526467.40101,327116122.981923,327116122.981923,637642590.382933,505031364.632402,344903935.106496,750198012.92116,-104912295.846952,990189652.180703,990189652.180703,1495221016.81311,18154000,27510000,1320000,-8187000,38797000,-11687000,-10906000,-14568000,13323000,13323000,532000,13855000,59548000,2.98023223876953e-08,48582000,0.45907,0.05568,0.03155,0.15282278391989,0.0844027241965951,2.6761,2.68823302622379,0.550461475236617,0.0520256057633275,0.32253,0.26867,10.22199,17.7329901300592,0.86311,0.094453438403946,-0.189433877725132,23.5130703535428,-3.19077715686591
"3","2010_Q4",18.08984375,"Up",587571000,-317629000,269942000,-233481000,-72741000,-26552000,-134188000,36461000,-5914000,-9039000,3125000,30547000,-4730000,525000,-1525000,-1525000,-1525000,-1525000,-14760200.6923425,-14760200.6923425,38998026.00848,38998026.00848,119532419.202157,153651094.708985,24389069.3999133,297421339.22728,358844002.634584,1124929997.07584,820687729.551964,118685877.317238,92482813.3529421,1483773999.71042,1781195338.9377,211284583.263074,4375902.1830464,206908681.080028,159884924.749823,368923822.467003,264423707.660641,264423707.660641,633347530.127644,793232454.877467,336740311.702165,653007670.97372,-1785098.61565067,987962884.060234,987962884.060234,1781195338.9377,-1525000,26552000,40992000,7746000,73765000,-12407000,-13689000,-5186000,54890000,54890000,-469000,54421000,63013000,0,57827000,0.45942,0.06205,-0.0026,0.05301426130663,0.0288709080655317,-37.91934,1.83643767540793,0.813340491745539,0.181998535254442,-0.02709,-0.02709,10.43624,17.5675067100197,1.0271,0.0334378128013153,-0.0442146259083774,11.4429167845143,5.2757042810447
"4","2011_Q1",16.7491935483871,"Down",589948000,-315278000,274670000,-240363000,-74079000,-27511000,-138773000,34307000,-5348000,-8990000,3642000,28959000,30366000,-15575000,18339000,18339000,18339000,18339000,151871000,151871000,24312000,24312000,153380000,99302000,36203000,428865000,359250000,1131457000,736989000,118070000,80612000,1490707000,1919572000,218480000,57683000,160797000,270109000,388400000,247770000,247770000,636170000,906279000,335250000,631011000,47032000,1013293000,1013293000,1919572000,18339000,21083000,9989000.00000001,-8274000,41137000,-21030000,-21992000,-31972000,-12827000,-12827000,-4207000,-17034000,55390000,440029000,41661000,0.46558,0.05815,0.03109,0.0181,0.00955,2.27172,1.58775,0.89439,0.22923,0.32462,0.20616,10.44285,17.93661,0.73745,0.01213,0.02449,5.20235,8.39939
"5","2011_Q2",15.2185714285714,"Down",578245000,-310576000,267669000,-234235000,-74074000,-26044000,-134117000,33434000,-8146000,-8923000,777000,25288000,25288000,-9647000,18320000,18320000,18320000,18320000,194835000,194835000,24894000,24894000,161709000,69312000,34581000,450750000,355887000,1146793000,740965000,116308000,84152000,1502680000,1953430000,212012000,62097000,149915000,270434000,381247000,255223000,255223000,636470000,906904000,337728000,647034000,61764000,1046526000,1046526000,1953430000,18320000,26044000,3530000,16290000,64184000,-15992000,-4853000,-20566000,38765000,38765000,4199000,42964000,59478000,439669000,69423000,0.4629,0.05782,0.03168,0.01751,0.00938,3.78947,1.66677,0.86659,0.22508,0.32351,0.26957,10.21111,18.48039,1.22593,0.01184,0.03987,4.11638,7.3229
"6","2011_Q3",13.93359375,"Down",574372000,-313631000,260741000,-237877000,-75848000,-26197000,-135832000,22864000,-6134000,-8738000,2604000,16730000,16730000,-5345000,14505000,14505000,14505000,14505000,174290000,174290000,29277000,29277000,160497000,71446000,29951000,435510000,351159000,1151863000,745676000,114568000,88279000,1503022000,1938532000,209554000,53883000,155671000,242254000,371445000,259713000,259713000,631158000,873412000,341395000,659236000,64489000,1065120000,1065120000,1938532000,14505000,26197000,5970000,-8023000,38649000,-14652000,-18897000,-40867000,-21115000,-21115000,570000.000000001,-20545000,49061000,404145000,31731000,0.45396,0.03981,0.02525,0.01362,0.00748,2.18759,1.79774,0.82001,0.20848,0.25589,0.21288,10.13288,18.79049,0.55979,0.00972,0.01835,4.68509,10.05314
"7","2011_Q4",15.8155555555556,"Up",581267000,-318442000,262825000,-248229000,-86390000,-26926000,-134913000,14596000,-8988000,-8337000,-651000,5608000,-68492000,44670000,-25335000,-25335000,-25335000,-25335000,145464000,145464000,27217000,27217000,162507000,104669000,31656000,439857000,347980000,1130120000,678934000,113726000,78664000,1478100000,1917957000,224937000,63851000,161086000,257942000,371286000,239308000,239308000,610594000,868536000,343546000,630443000,75432000,1049421000,1049421000,1917957000,-25335000,26926000,64930000,-8060000,58461000,-17365000,-25555000,-63698000,-30792000,-30792000,1966000,-28826000,41522000,404291000,-28573000,0.45216,0.02511,-0.04359,-0.02414,-0.01321,1.12781,1.70526,0.82763,0.21079,-0.44679,-0.44679,10.2509,18.507,-0.5039,-0.01292,-0.01688,6.23349,17.73273
"8","2012_Q1",16.825,"Up",446297000,-255436000,190861000,-201937000,-49533000,-12984000,-139420000,-11076000,-6383000,-8376000,1993000,-17459000,-17459000,-13345000,-28429000,-16395000,-16395000,-16395000,96263000,96263000,27149000,27149000,150804000,72346000,32118000,346562000,347811000,1111380000,680512000,111328000,58400000,1459191000,1805753000,222428000,55107000,167321000,254680000,281159000,237295000,237295000,518454000,773134000,344076000,610597000,77946000,1032619000,1032619000,1805753000,-16395000,19261000,43238000,21780000,67884000,-22834000,-22724000,-95601000,-50441000,-50441000,1240000,-49201000,8185000.00000001,313411000,20476000,0.42765,-0.02482,-0.03674,-0.01588,-0.00908,-1.24892,1.36077,0.74871,0.17356,-0.28865,-0.48199,7.85748,18.18023,0.3605,-0.00817,0.01293,26.52999,-19.60527
"9","2012_Q2",17.5331746031746,"Up",531346000,-288688000,242658000,-233654000,-65870000,-30797000,-136987000,9004000,-6043000,-7360000,1317000,2961000,2961000,-1209000,5622000,8337000,8337000,8337000,75673000,75673000,28040000,28040000,173699000,66361000,30464000,343773000,330084000,1098363000,680588000,108612000,57269000,1428447000,1772220000,225736000,66695000,159041000,254553000,275198000,2.22e+08,2.22e+08,497198000,751751000,346330000,616300000,57839000,1020469000,1020469000,1772220000,8337000,34106000,-2986000,-26002000,13455000,-16458000,-17245000,-13163000,-16953000,-16953000,-3637000,-20590000,43110000,304015000,1859000,0.45669,0.01695,0.01569,0.00817,0.0047,0.22298,1.3505,0.73667,0.17154,0.14665,0.14601,9.34662,17.95052,0.0327,0.00765,0.0012,5.29673,25.36006
"10","2012_Q3",17.4849206349206,"Down",526138000,-288399000,237739000,-225803000,-62642000,-28446000,-134715000,11936000,-4551000,-7203000,2652000,7385000,7385000,-543000.000000004,11901000,-57427000,-57427000,-57427000,83099000,83099000,31944000,31944000,170551000,62085000,29681000,347679000,327381000,1021901000,604097000,106411000,59820000,1349282000,1696961000,227646000,52541000,175105000,256645000,263882000,216077000,216077000,479959000,736604000,348710000,555986000,55661000,960357000,960357000,1696961000,-57427000,31695000,73082000,1142000,48492000,-26150000,-25632000,-15779000,7081000,7081000,345000,7426000,43631000,292881000,19166000,0.45186,0.02269,-0.10915,-0.0598,-0.03384,-0.333750000000001,1.35471,0.76701,0.17259,-1.01003,-0.83937,9.25371,16.89074,0.33709,-0.03673,0.01304,4.8081,17.57557
"11","2012_Q4",16.9670967741935,"Down",535901000,-296277000,239624000,-216674000,-60256000,-23465000,-132953000,22950000,-6669000,-6790000,121000,16281000,16281000,-4946000,-3878000,-1369000,-1369000,-1369000,97583000,97583000,32424000,32424000,161123000,79422000,52447000,370552000,326345000,968625000,605171000,104372000,59452000,1294970000,1665522000,223913000,55076000,168837000,252790000,263430000,185580000,185580000,449010000,701800000,349811000,551299000,62612000,963722000,963722000,1665522000,-1369000,26709000,21001000,-5244000,41097000,-22606000,-22247000,-5264000,13586000,13586000,898000,14484000,49659000,292307000,26755000,0.44714,0.04283,-0.00255,-0.00142000000000001,-0.000819999999999987,-19.54346,1.46585,0.72822,0.1755,-0.024,-0.024,9.39304,16.8917,0.46895,0.00145,0.01856,3.92122,8.48471
"12","2013_Q1",17.5391666666667,"Up",528842000,-289942000,238900000,-217273000,-60866000,-22262000,-134145000,21627000,-5884000,-6892000,1008000,15743000,-51941000,11128000,-65388000,-63634000,-63634000,-63634000,111943000,111943000,28954000,28954000,142276000,101504000,55903000,384677000,305799000,881370000,462279000,23395000,234709000,1187169000,1571846000,204916000,47890000,157026000,251973000,258737000,171979000,171979000,430716000,682689000,349814000,484229000,55114000,889157000,889157000,1571846000,-63634000,18925000,95087000,277999.999999996,50656000,-20053000,-10735000,-24342000,15579000,15579000,-1219000,14360000,40552000,287674000,9649000,0.45174,0.0409,-0.12033,-0.07157,-0.04048,-0.151630000000001,1.52666,0.76779,0.18302,-1.10114,-1.38395,9.15126,15.38627,0.16697,-0.04462,0.00715,4.33347,8.12554
"13","2013_Q2",17.7496875,"Up",505360000,-285660000,219700000,-210427000,-55872000,-20709000,-133846000,9273000,27783000,-6829000,34612000,37056000,37056000,-2986000,34647000,38424000,38424000,38424000,222458000,222458000,32424000,32424000,155990000,70130000,24233000,481002000,303150000,784230000,463917000,23375000,237028000,1087380000,1568382000,197993000,63428000,134565000,242835000,251178000,176657000,176657000,427835000,670670000,350284000,519141000,28287000,897712000,897712000,1568382000,38424000,21161000,-23652000,-27467000,8466000,-18056000,112225000,-12273000,108418000,108418000,2097000,110515000,30434000,280061000,-12103000,0.43474,0.01835,0.07603,0.0428,0.0245,-0.31499,1.98078,0.74709,0.17857,0.67077,0.56021,8.82216,15.67153,-0.21128,0.03091,-0.00894,1.89272,6.21191
"14","2013_Q3",16.45828125,"Down",506165000,-289329000,216836000,-208113000,-55795000,-21891000,-130427000,8723000,-6047999.99999999,-6649000,601000,2674999.99999999,2674999.99999999,-1085000,-16119000,-12266000,-12266000,-12266000,218343000,218343000,24597000,24597000,153864000,70154000,21486000,466958000,302756000,771189000,463470000,22893000,242656000,1073945000,1540903000,199599000,59277000,140322000,245087000,240033000,189038000,189038000,429071000,674158000,337184000,503452000,26109000,866745000,866745000,1540903000,-12266000,18569000,28640000,15560000,50503000,-24992000,-24219000,-30798000,-4514000,-4514000,399000,-4114999.99999999,27292000,268983000,18945000,0.42839,0.01723,-0.02423,-0.01415,-0.00796,-1.54451,1.90527,0.7778,0.17456,-0.21594,-0.26863,8.91088,15.25879,0.33352,-0.00665,0.0143,1.85549,5.80534
"15","2013_Q4",15.00734375,"Down",504937000,-287597000,217340000,-214032000,-56800000,-22734000,-134498000,3308000,-6418000,-6356000,-62000,-3110000,-3110000,2850000,896000,2361000,2361000,2361000,180309000,180309000,32734000,32734000,148493000,102410000,47939000,463946000,307295000,770551000,462333000,22154000,242756000,1077846000,1541792000,200986000,67721000,133265000,248533000,239593000,192608000,192608000,432201000,680734000,336756000,502452000,21850000,861058000,861058000,1541792000,2361000,21058000,7967000,-8615000,22771000,-29286000,-53786000,-5092000,-36107000,-36107000,-1927000,-38034000,24366000,268637000,-16385000,0.43043,0.00655,0.00468,0.00274000000000002,0.00153000000000001,-6.93986,1.86674,0.79058,0.17424,0.0419,0.04176,8.96152,15.28189,-0.2908,0.00436,-0.01239,3.62505,26.70133
"16","2014_Q1",13.6965573770492,"Down",502251000,-296958000,205293000,-213238000,-58273000,-26421000,-128544000,-7945000,-16895000,-17110000,214999.999999999,-24840000,-24840000,10874000,-13946000,1987000,1987000,1987000,200488000,200488000,33062000,33062000,139607000,115389000,57898000,488546000,313460000,588486000,460885000,21496000,62786000,901946000,1390492000,203297000,66071000,137226000,376812000,1255000,155011000,155011000,156266000,533078000,337098000,499760000,20556000,857414000,857414000,1390492000,1987000,23230000,-3231000,-33930000,-11944000,130393000,130920000,-98636000,20340000,20340000,487000,20827000,15285000,174770000,100874000,0.40875,-0.01582,0.00396,0.00232,0.00143,50.76699,1.29652,0.62173,0.12569,0.03524,0.0351100000000001,8.90753,15.20642,1.78902,0.00454,0.08497,-1.68256,3.237
