"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",47.4730158730159,"Up",1280067000,-661720000,618347000,-449902000,-449902000,168445000,-9969000,-10483000,-10879000,396000,514000,158476000,158476000,-6.1e+07,97476000,97476000,97476000,97476000,29872000,29872000,187191000,123539000,1903108000,111387000,37331000,2231558000,1784301000,2448289000,-663988000,822006000,743824000,78182000,2606307000,4837865000,863164000,794676000,68488000,285850000,250790000,1254804000,596710000,186033000,23726000,162307000,782743000,2037547000,1059786000,1058407000,1747599000,2800318000,2800318000,4837865000,97476000,39935000,24136000,4114000,18287000,1735000,9099000,-17424000,10110000,-23509000,39922000,170646000,-90343000,382000,382000,-90725000,-90725000,86000,-90257000,8836000,8836000,0,-688000,-77452000,2937000,2937000,2937000,208380000,702500000,188136000,0.48306,0.13159,0.07615,0.03481,0.02015,1.93008,1.77841,0.72761,0.14521,0.70849,0.69819,9.30396,20.35366,1.36744,0.02642,0.051,3.22789,3.99316
"2","2010_Q3",48.9634375,"Up",1381241000,-708608000,672633000,-476469000,-476469000,196164000,-9719000,-10643000,-11146000,503000,924000,186445000,171445000,-71850000,99595000,99595000,99595000,99595000,31611000,31611000,196592000,129769000,1932479000,96815000,34227000,2257497000,1830745000,2532342000,-701597000,828277000,743780000,84497000,2659022000,4916519000,924883000,854659000,70224000,279071000,255436000,1309104000,479233000,197730000,26582000,171148000,676963000,1986067000,1088724000,1087337000,1847194000,2930452000,2930452000,4916519000,99595000,40002000,16754000,4324000,14961000,-2531000,28746000,-8252000,-29371000,59807000,6562000,185097000,-90223000,1324000,1324000,-91547000,-91547000,-114000,-90337000,18921000,18921000,0,3958000.00000001,-93021000,1739000,1739000,1739000,236166000,584383000,246539000,0.48698,0.14202,0.07211,0.03399,0.02026,2.47542,1.72446,0.67773,0.11886,0.72049,0.70523,9.99212,21.19937,1.7835,0.02683,0.06641,2.34061,2.81791
"3","2010_Q4",58.22375,"Up",1425887000,-732472000,693415000,-488484000,-488484000,204931000,-8839000,-9246000,-9756000,510000,407000,196092000,190192000,-73650000,116542000,116542000,116542000,116542000,43193000,43193000,194159000,125906000,1997718000,74526000,32530000,2309596000,1891560000,2629835000,-738275000,822263000,743921000,78342000,2713823000,5023419000,997827000,943147000,54680000,280737000,280737000,1383262000,326554000,239332000,57446000,181886000,565886000,1949148000,1114630000,1113237000,1963736000,3074271000,3074271000,5023419000,116542000,40794000,56783000,4354000,52575000,-146000,22701000,1927000,-65239000,88611000,-2598000,236820000,-94031000,160000,160000,-94191000,-94191000,-90000,-94121000,17832000,17832000,0,3351000,-131117000,11582000,11582000,11582000,245725000,431252000,248045000,0.4863,0.14372,0.08173,0.03791,0.0232,2.12837,1.66967,0.63402,0.08585,0.83939,0.82196,10.26993,22.14239,1.78654,0.03112,0.06624,1.57924,1.89361
"4","2011_Q1",56.6941935483871,"Down",1310330000,-673733000,636597000,-472461000,-472461000,164136000,-6515000,-6960000,-7492000,532000,445000,157621000,169260000,-63500000,105760000,105760000,105760000,105760000,29721000,29721000,183652000,121807000,2023488000,64391000,30514000,2301252000,1930095000,2705434000,-775339000,816480000,743975000,72505000,2746575000,5047827000,946928000,895736000,51192000,280599000,275772000,1228958000,357273000,251911000,68736000,183175000,609184000,1838142000,1143159000,1141749000,2069496000,3209685000,3209685000,5047827000,105760000,40711000,3076000.00000001,4181000,13434000,-14539000,-38423000,2001000,-25771000,-42335000,27682000,111124000,-88698000,258000,258000,-88956000,-88956000,12136000,-76562000,17527000,17527000,0,-96561000,-48034000,-13472000,-13472000,-13472000,204847000,358704000,141226000,0.48583,0.12526,0.08071,0.03295,0.02095,1.33534,1.87252,0.57269,0.07106,0.75565,0.72764,9.36224,22.93304,1.00905,0.02768,0.03697,1.60599,2.00433
"5","2011_Q2",59.6350793650794,"Up",1382738000,-712957000,669781000,-473344000,-473344000,196437000,-4400000,-4695000,-5237000,542000,295000,192037000,166174000,-63700000,102474000,102474000,102474000,102474000,230048000,230048000,196865000,128224000,2001314000,39184000,29166000,2467411000,1972420000,2785032000,-812612000,808255000,743895000,64360000,2780675000,5248086000,1031479000,977627000,53852000,285287000,254417000,1317974000,497641000,244621000,63083000,181538000,742262000,2060236000,1139636000,1138249000,2048214000,3187850000,3187850000,5248086000,102474000,38791000,44342000,5136000,16331000,22875000,108506000,-9503000,22175000,81907000,13927000,294113000,-94152000,252000,252000,-94404000,-94404000,1906000,-92246000,-136379000,8685000,-145064000,-5646000,-1540000,200327000,200327000,200327000,235228000,498849000,313282000,0.48439,0.14206,0.07411,0.03215,0.01953,3.05719,1.87212,0.64628,0.09505,0.72894,0.71727,9.83602,22.67657,2.22851,0.02607,0.07969,1.14273,1.36838
"6","2011_Q3",64.09140625,"Up",1479318000,-760657000,718661000,-496293000,-496293000,222368000,-5386000,-5695000,-6257000,562000,309000,216982000,216982000,-83210000,133772000,133772000,133772000,133772000,268792000,268792000,203991000,136184000,2035282000,46119000,29881000,2554184000,2008594000,2860595000,-852001000,803124000,744028000,59096000,2811718000,5365902000,1167619000,1115252000,52367000,289619000,264187000,1458243000,497547000,256727000,73701000,183026000,754274000,2212517000,1137095000,1135735000,2016290000,3153385000,3153385000,5365902000,133772000,41323000,7296000.00000001,5397000,4398000,-2498999.99999999,84964000,-10332000,-33968000,137639000,-8375000,267355000,-55876000,369000,369000,-56245000,-56245000,1342000,-54534000,-178925000,14041000,-192966000,4848000.00000001,-174077000,38744000,38744000,38744000,263691000,498552000,375989000,0.48581,0.15032,0.09043,0.04242,0.02493,2.81067,1.75155,0.70163,0.09291,0.9737,0.95748,10.76768,22.95291,2.73675,0.03422,0.09619,0.87132,1.03324
"7","2011_Q4",75.4680952380952,"Up",1535453000,-781243000,754210000,-513160000,-513160000,241050000,-6021000,-6696000,-7212000,516000,675000,235029000,235029000,-86590000,148439000,148439000,148439000,148439000,276717000,276717000,201555000,136520000,2009407000,48835000,28012000,2536514000,2057875000,2951367000,-893492000,802394000,743943000,58451000,2860269000,5396783000,1243737000,1190842000,52895000,261506000,249380000,1506047000,796962000,263226000,76919000,186307000,1060188000,2566235000,1099301000,1098017000,1731247000,2830548000,2830548000,5396783000,148439000,42627000,-1034000,5352000,-1367000,-5019000,88649000,-2282000,25875000,75605000,-10549000,278681000,-92533000,129000,129000,-92662000,-92662000,1341000,-91192000,-483455000,18771000,-502226000,4413000,-179564000,7925000,7925000,7925000,283677000,797766000,366383000,0.4912,0.15699,0.09667,0.05244,0.02751,2.46824,1.68422,0.90662,0.14782,1.11843,1.09978,11.56903,21.32705,2.76055,0.03814,0.09415,1.83677,2.16158
"8","2012_Q1",85.4170967741936,"Up",1391307000,-696610000,694697000,-490584000,-490584000,204113000,-9323000,-8834000,-9459000,625000,-489000,194790000,197588000,-74600000,122988000,122988000,122988000,122988000,361552000,361552000,203753000,135149000,1985748000,56557000,56557000,2607610000,2093767000,3026996000,-933229000,799124000,743907000,55217000,2892891000,5500501000,1332449000,1279294000,53155000,246899000,244909000,1580010000,796912000,278728000,88864000,189864000,1075640000,2655650000,1111377000,1110105000,1733474000,2844851000,2844851000,5500501000,122988000,43139000,32825000,4694000,34758000,-6627000,79890000,898000.000000001,23658000,88481000,-33147000,278842000,-83043000,1965000,1965000,-85008000,-85008000,1362000,-81681000,-120311000,16065000,-136376000,7985000,-112326000,84835000,84835000,84835000,247252000,797574000,318699000,0.49931,0.14671,0.0884,0.04323,0.02236,2.5913,1.65038,0.93349,0.145,0.96097,0.94328,10.87103,22.22835,2.49017,0.03137,0.08128,1.76347,2.13618
"9","2012_Q2",97.1931746031746,"Up",1529392000,-767712000,761680000,-514179000,-514179000,247501000,-7709000,-8504000,-9131000,627000,795000,239792000,239792000,-92300000,147492000,147492000,147492000,147492000,575196000,575196000,213198000,144822000,2004917000,37071000,37071000,2830382000,2126599000,3101720000,-975121000,797144000,744031000,53113000,2923743000,5754125000,1526115000,1469310000,56805000,274916000,234099000,1801656000,796863000,283759000,92316000,191443000,1080622000,2882278000,1129207000,1127947000,1742640000,2871847000,2871847000,5754125000,147492000,43833000,1279000,5224000,5132000,-9077000,221924000,-11360000,-19169000,190034000,62419000,414528000,-74970000,487000,487000,-75457000,-75457000,1071000,-73899000,-137584000,16429000,-154013000,10599000,-126985000,213644000,213644000,213644000,291334000,797488000,530588000,0.49803,0.16183,0.09644,0.05136,0.02563,3.5974,1.57099,1.00363,0.13859,1.16163,1.14046,12.0453,22.61831,4.17885,0.03731,0.13422,0.76301,0.89815
"10","2012_Q3",86.1322222222222,"Down",1562849000,-782988000,779861000,-536258000,-536258000,243603000,-8533000,-8482000,-9140000,658000,-51000,235070000,235070000,-88950000,146120000,146120000,146120000,146120000,367717000,367717000,213645000,151936000,2145339000,37291000,37291000,2763992000,2152785000,3166389000,-1013604000,793315000,744131000,49184000,2946100000,5710092000,1755712000,1699817000,55895000,256664000,255148000,2012898000,796884000,287658000,93713000,193945000,1084542000,3097440000,1123234000,1122014000,1489418000,2612652000,2612652000,5710092000,146120000,44397000,-4793000,5667000,-757000.000000004,-9703000,91206000,-9442000,-140422000,230520000,10550000,276930000,-74286000,1584000,1584000,-75870000,-75870000,1029000,-73257000,-423878000,16559000,-440437000,12726000,-411152000,-207479000,-207479000,-207479000,2.88e+08,797406000,393870000,0.499,0.15587,0.0935,0.05593,0.02559,2.69552,1.37314,1.18555,0.13965,1.17018,1.14879,12.51581,20.92298,3.15424,0.03952,0.10652,1.49198,1.76389
