"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_receivables","other_long_term_assets","prepaid_expense","investments_in_affiliates","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",48.7890476190476,"Up",138324000,-29904000,108420000,-49438000,-5489000,-28861000,-15088000,58982000,-25587000,-25780000,193000,33395000,30594000,30594000,30554000,-1334000,29220000,-135000,29085000,97120099.4337038,97120099.4337038,47674550.4951034,144794649.928807,2768152584.88239,3726022002.81379,-957869417.931402,41950923.9572207,41950923.9572207,112141699.45599,50805544.242089,52880734.4271797,2922245208.2956,3067039858.22441,82948256.3396975,85340904.3128728,38531415.4236833,-40924063.3968586,1706398078.05598,1706398078.05598,1789346334.39567,58509456.1004862,66494340.0329288,66494340.0329288,125003796.133415,1914350130.52909,9996999.99999991,1355608026.62475,602885.104259383,1355005141.5205,-487072593.58761,878532433.037145,274157294.658175,1152689727.69532,3067039858.22441,30554000,28932000,3567000,-5092000,57961000,-11474000,-13761000,-25235000,-104700000,1367000,-42188000,-145521000,-112795000,-112795000,-112795000,87914000,0,0.78381,0.4264,0.21027,0.0407870896993379,0.0152932972188488,0.080850568487965,1.66171266594929,0.573768214441414,0.48715,0.48613,2.31683,14.3239675184628,0.015974102200728,15.1335860102819,23.7167742174831
"2","2010_Q3",51.82515625,"Up",132693000,-25400000,107293000,-51715000,-6016000,-30932000,-14767000,55578000,-25197000,-25385000,188000,30381000,30791000,30791000,32368000,-1254000,31114000,-136000,30978000,23557000,23557000,72814000,96371000,2818210000,3805528000,-987318000,42289000,42289000,146775000,86887000,51930000,3007274000,3103645000,168676000,106771000,40908000,20997000,1614507000,1614507000,1783183000,61634000,64423000,64423000,126057000,1909240000,9997000,1660510000,614000,1659896000,-507389000,1163118000,31287000,1194405000,3103645000,32368000,31178000,-1539000,9377000.00000001,71384000,-17439000,-2551000,-36710000,6253999.99999997,2122000,-42087000,-33711000,963000,963000,963000,86756000,1676141000,0.80858,0.41885,0.23346,0.02594,0.00998,0.05404,1.59849,0.54006,0.50676,0.50563,2.1707,18.86373,0.01055,19.04864,29.7345
"3","2010_Q4",53.2984375,"Up",133446000,-27030000,106416000,-50520000,-5904000,-29431000,-15185000,55896000,-25156000,-25281000,125000,30740000,30740000,30740000,31010000,-1370000,29640000,-135000,29505000,9174000,9174000,74443000,83617000,2834890000,3846865000,-1011975000,43828000,43828000,164824000,105625000,51769000,3043542000,3127159000,201984000,112490000,41554000,47940000,1611943000,1611943000,1813927000,61306000,65050000,65050000,126356000,1940283000,9997000,1664549000,615000,1663934000,-519050000,1155496000,31380000,1186876000,3127159000,31010000,29591000,411000,-10672000,50340000,-45317000,-3833000,-49360000,24061000,2508000,-41932000,-15363000,-14383000,-14383000,-14383000,85487000,1673249000,0.79745,0.41887,0.2211,0.02486,0.00944,0.0461,1.63478,0.53507,0.48198,0.48086,2.17992,18.71241,0.01009,19.46583,29.77091
"4","2011_Q1",54.0956451612903,"Up",137334000,-28185000,109149000,-50057000,-6780000,-29654000,-13623000,59092000,-24626000,-25180000,554000,34466000,34136000,34136000,34305000,-1489000,32816000,-135000,32681000,15797000,15797000,68997000,84794000,2860738000,3895942000,-1035204000,44813000,44813000,169208000,110686000,51606000,3074759000,3159553000,242056000,102574000,41601000,97881000,1609328000,1609328000,1851384000,59940000,67099000,67099000,127039000,1978423000,9997000,1612321000,615000,1611706000,-527582000,1094736000,86394000,1181130000,3159553000,34305000,30116000,1741000,10888000,77050000,-71998000,-3785000,-75783000,47002000,613000.000000002,-42259000,5356000,6623000,6623000,6623000,89208000,1669268000,0.79477,0.43028,0.23797,0.02767,0.01034,0.0458,1.67503,0.52832,0.53353,0.53222,2.24204,17.70887,0.0112,18.53501,27.9813
"5","2011_Q2",57.5115873015873,"Up",137649000,-29402000,108247000,-51874000,-6051000,-30416000,-15407000,56373000,-24706000,-25029000,323000,31667000,31963000,31963000,32384000,-1198000,31186000,-135000,31051000,10001000,10001000,71408000,81409000,2927851000,3988069000,-1060218000,44925000,44925000,163276000,105632000,51270000,3136052000,3217461000,335401000,80537000,42047000,212817000,1531639000,1531639000,1867040000,59599000,69153000,69153000,128752000,1995792000,9997000,1718619000,622000,1717997000,-538200000,1190416000,31253000,1221669000,3217461000,32384000,30569000,378000,-17332000,45999000,-49371000,-3452000,-52908000,-5299000,49012000,-42600000,1113000,-5796000,-5796000,-5796000,86942000,1591238000,0.7864,0.40954,0.22558,0.02542,0.00965,0.0436,1.63366,0.49456,0.50513,0.50384,2.23925,19.20286,0.01077,18.18726,28.04954
"6","2011_Q3",59.10734375,"Up",136280000,-25133000,111147000,-53813000,-6395000,-31871000,-15547000,57334000,-23441000,-23885000,444000,33893000,33893000,33893000,36471000,-1714000,34757000,-136000,34621000,19848000,19848000,73917000,93765000,2908191000,3992997000,-1084806000,56619000,56619000,162093000,98339000,57864000,3126903000,3220668000,338306000,86552000,42452000,209302000,1491738000,1491738000,1830044000,59252000,67476000,67476000,126728000,1956772000,9997000,1768157000,628000,1767529000,-545589000,1232565000,31331000,1263896000,3220668000,36471000,32063000,-1835000,6e+06,72699000,-24827000,7837000,-23852000,-43722000,47775000,-43053000,-3.9e+07,9847000,9847000,9847000,89397000,1550990000,0.81558,0.42071,0.25404,0.02739,0.01075,0.05124,1.54821,0.48157,0.55646,0.55487,2.1904,19.65006,0.01201,17.12744,26.70565
"7","2011_Q4",60.0233333333333,"Up",137664000,-26595000,111069000,-54312000,-7197000,-32068000,-15047000,56757000,-23225000,-23659000,434000,33532000,33532000,33532000,48302000,-1249000,47053000,-135000,46918000,22070000,22070000,78503000,100573000,2921626000,4024623000,-1102997000,56076000,56076000,176573000,109421000,57828000,3154275000,3254848000,312050000,89623000,44195000,178232000,1489188000,1489188000,1801238000,63455000,67028000,67028000,130483000,1931721000,9997000,1824889000,635000,1824254000,-542480000,1292406000,30721000,1323127000,3254848000,48302000,32083000,-14164000,-11968000,54253000,-41448000,16895000,-24553000,-38093000,57006000,-46391000,-27478000,2222000,2222000,2222000,88840000,1552643000,0.80681,0.41229,0.34082,0.03546,0.01441,0.05584,1.45997,0.47702,0.74689,0.74485,2.19147,20.41467,0.01594,17.22842,26.96712
"8","2012_Q1",66.0417741935484,"Up",139510000,-28234000,111276000,-55278000,-9342000,-31533000,-14403000,55998000,-25067000,-25674000,607000,30931000,30931000,30931000,32455000,-1534000,30921000,-135000,30786000,67806000,67806000,75921000,143727000,3298856000,4426444000,-1127588000,55967000,55967000,167660000,121492000,34352000,3522483000,3666210000,444048000,104660000,44229000,295159000,1752158000,1752158000,2196206000,63093000,80982000,80982000,144075000,2340281000,9997000,1765576000,636000,1764940000,-559481000,1216092000,109837000,1325929000,3666210000,32455000,31853000,287000.000000002,7165000,71760000,-130373000,35317000,-95056000,111196000,1127999.99999999,-43292000,69032000,45736000,45736000,45736000,87851000,1815251000,0.79762,0.40139,0.22067,0.02322,0.0084,0.06544,1.76501,0.49513,0.48677,0.4856,2.20583,19.0699,0.00955,19.89101,31.20549
"9","2012_Q2",69.3452380952381,"Up",146289000,-26110000,120179000,-59632000,-7004000,-36571000,-16057000,60547000,-28285000,-28586000,301000,32262000,44122000,44122000,44122000,-1136000,42986000,-135000,42851000,69182000,69182000,75871000,145053000,3301613000,4452011000,-1150398000,56076000,56076000,166106000,120911000,34163000,3523795000,3668848000,431510000,92352000,44473000,294685000,1748881000,1748881000,2180391000,71708000,68211000,68211000,139919000,2320310000,9997000,1791099000,639000,1790460000,-559365000,1241731000,106807000,1348538000,3668848000,44122000,36571000,-10040000,-1196000,69457000,-37039000,-2243000,-39282000,-3292000,22402000,-47909000,-28799000,1376000,1376000,1376000,97118000,1820589000,0.82152,0.41389,0.29292,0.03178,0.01168,0.06653,1.72061,0.49623,0.67577,0.67392,2.307,19.42461,0.01324,18.0338,28.9264
"10","2012_Q3",75.3069841269841,"Up",147560000,-26906000,120654000,-58875000,-7139000,-35199000,-16537000,61779000,-28183000,-28621000,438000,33596000,33596000,33596000,33596000,-993000,32603000,-136000,32467000,82774000,82774000,76601000,159375000,3306974000,4476252000,-1169278000,55887000,55887000,158693000,114302000,34055000,3521554000,3680929000,455463000,110786000,44588000,300089000,1738529000,1738529000,2193992000,71703000,66918000,66918000,138621000,2332613000,9997000,1.811e+09,641000,1810359000,-578916000,1242081000,106235000,1348316000,3680929000,33596000,35199000,579000,11064000,80438000,-31027000,-3039000,-34066000,-4579000,17227000,-45428000,-32780000,13592000,13592000,13592000,96978000,1810232000,0.81766,0.41867,0.22003,0.02408,0.00882,0.07264,1.73002,0.49179,0.50969,0.50826,2.31648,19.34198,0.01007,17.81289,27.9619
