"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"25","2016_Q4",71.2460317460317,"Down",66281000,-39409000,26872000,-34681000,-34681000,-7809000,-127000,-178000,-7936000,-7936000,-483000,-483000,-483000,-483000,4708000,4708000,157827000,13903000,13903000,176438000,41902000,94909000,26372000,136811000,313249000,71072000,61956000,9116000,7813000,84821000,39308000,39308000,39308000,124129000,338082000,-230144000,81840000,-658000,189120000,189120000,313249000,5936000,0.40543,-0.11782,-0.00729,-0.00255,-0.00154,2.08012,0.65635,0.01895,-0.30731,-0.30731,42.17153,120.32831,-0.00206,-0.15725
"26","2017_Q1",53.1806451612903,"Down",147111000,-96851000,50260000,-42276000,-42276000,7984000,-239000,-252000,7745000,8909000,8324000,8324000,8324000,8324000,27974000,27974000,126004000,8271000,8271000,169334000,45097000,93379000,26331000,138476000,307810000,61505000,52307000,9198000,9228000,70733000,39141000,39141000,39141000,109874000,338718000,-230144000,90164000,-802000,197936000,197936000,307810000,1.86264514923096e-09,0.34165,0.05427,0.05658,0.04205,0.02704,2.39399,0.5551,6.93889390390723e-18,4.61803,4.55897,81.61498,109.81193,0.03511,-3.50376
"27","2017_Q2",34.8912698412698,"Down",101967000,-65662000,36305000,-41512000,-41512000,-5207000,-41000,-56000,-5248000,3587000,3533000,3533000,3533000,3533000,15803000,15803000,127509000,21622000,8621000,170884000,45002000,84171000,18094000,129173000,300057000,52002000,40778000,11224000,8190000,60192000,37624000,37624000,37624000,97816000,339485000,-230144000,93697000,-797000,202241000,202241000,300057000,0,0.35605,-0.05107,0.03465,0.01747,0.01177,2.83898,0.48366,0,1.95317,1.95118,56.37118,111.8064,0.01473,3.03495
"28","2017_Q3",36.7042857142857,"Up",102479000,-67309000,35170000,-40539000,-40539000,-5369000,-17000,-59000,-5386000,-5515000,-5566000,-5566000,-5566000,-5566000,13985000,13985000,126687000,8526000,7024000,155643000,43876000,83820000,18715000,127696000,283339000,46857000,37169000,9688000,7732000,54589000,31290000,31290000,31290000,85879000,340267000,-230145000,88131000,-793000,197460000,197460000,283339000,0,0.34319,-0.05239,-0.05431,-0.02819,-0.01964,2.85118,0.43492,0,-3.07692,-3.07692,56.6511,109.15725,-0.02433,2.60477
"29","2017_Q4",34.9944444444444,"Down",9.3e+07,-61419000,31581000,-39674000,-39674000,-8093000,-51000,-85000,-8144000,-8117000,-8052000,-8052000,-8052000,-8052000,3924000,3924000,144754000,8616000,7113000,163365000,43472000,82109000,17978000,125581000,288946000,55183000,45378000,9805000,7231000,67414000,31351000,31351000,31351000,98765000,341034000,-230144000,80079000,-788000,190181000,190181000,288946000,5e+06,0.33958,-0.08702,-0.08658,-0.04234,-0.02787,2.42331,0.51932,0.0173,-4.44985,-4.44985,51.39541,105.10141,-0.03554,-0.13295
"30","2018_Q1",33.8185245901639,"Down",145410000,-104623000,40787000,-46199000,-46199000,-5412000,8658000,-132000,3246000,-32807000,-32468000,-32468000,-32468000,-32468000,31326000,31326000,109377000,8481000,6976000,153653000,13546000,80972000,17814000,94518000,248171000,52818000,41780000,11038000,8464000,61282000,29131000,29131000,29131000,90413000,341746000,-230145000,47155000,-998000,157758000,157758000,248171000,-1.86264514923096e-09,0.2805,-0.03722,-0.22329,-0.20581,-0.13083,2.50731,0.57311,0,-17.92921,-17.94754,80.29709,87.1158,-0.17373,5.78825
"31","2018_Q2",23.29171875,"Down",96603000,-64915000,31688000,-40079000,-40079000,-8391000,15000,-64000,-8376000,-8143000,-8147000,-8147000,-8147000,-8147000,14509000,14509000,110677000,11531000,7418000,143337000,13138000,75300000,13114000,88438000,231775000,46794000,36894000,9900000,7473000,54267000,27059000,27059000,27059000,81326000,342589000,-230145000,39008000,-1003000,150449000,150449000,231775000,0,0.32802,-0.08686,-0.08433,-0.05415,-0.03515,2.64133,0.54056,0,-4.49651,-4.49651,53.31733,83.03612,-0.0459,1.72911
"32","2018_Q3",18.3292063492063,"Down",102174000,-70001000,32173000,-41330000,-41330000,-9157000,-52999.9999999991,-102000,-9210000,-9443000,-9510000,-9510000,-9510000,-9510000,4477000,4477000,114920000,13053000,8937000,138959000,12648000,73480000,12266000,86128000,225087000,43708000,34200000,9508000,6810000,56859000,26533000,26533000,26533000,83392000,343354000,-230149000,29498000,-1008000,141695000,141695000,225087000,6341000,0.31488,-0.08962,-0.09308,-0.06712,-0.04225,2.44392,0.58853,0.02817,-0.134360000000002,-5.24878,1.44353999999999,2.00190000000002,-0.05448,-0.20356
"33","2018_Q4",18.7288888888889,"Up",91984000,-64598000,27386000,-41141000,-41141000,-13755000,-235000,-278000,-13990000,-13990000,-14055000,-14055000,-14055000,-14055000,4497000,4497000,131285000,13349000,9227000,154790000,12177000,72094000,11851000,84271000,239061000,50896000,42272000,8624000,6454000,84790000,25853000,25853000,25853000,110643000,344155000,-230167000,15443000,-1013000,128418000,128418000,239061000,27440000,0.29773,-0.14954,-0.1528,-0.10945,-0.05879,1.82557,0.86158,0.11478,-7.74466,-7.74466,50.68547,70.76152,-0.07735,-1.66798
"34","2019_Q1",11.0318032786885,"Down",127429000,-90602000,36827000,-42672000,-42672000,-5845000,-223000,-279000,-6068000,-65726000,-65670000,-65670000,-65670000,-65670000,4355000,4355000,94842000,10783000,6657000,115363000,7529000,15121000,11453000,22650000,138013000,42461000,34329000,8132000,6955000,49416000,24867000,24867000,24867000,74283000,344858000,-230166000,-50227000,-735000,63730000,63730000,138013000,0,0.289,-0.04587,-0.51535,-1.03044,-0.47582,2.33453,1.16559,0,-36.20176,-36.13205,70.24752,35.1323,-0.74122,0.74508
