"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.0788888888889,"Down",3.1177e+10,-2.4158e+10,-2.4079e+10,7.019e+09,-3.978e+09,-2.967e+09,-6.81e+08,-3.3e+08,3.041e+09,-1.99e+08,2.842e+09,-3.8e+07,2.804e+09,-5.54e+08,2.25e+09,2.25e+09,2.25e+09,2.25e+09,1.3607e+10,1.3547e+10,1.4503e+10,1.4503e+10,6.63e+09,1.6957e+10,1.6957e+10,5.1697e+10,1.1164e+10,5.0757e+10,3.3068e+10,6.1921e+10,1.13618e+11,1.6402e+10,1.3557e+10,-5426713861.16909,2.4471e+10,1.8059e+10,4.0873e+10,1.4009e+10,1.6845e+10,1.6845e+10,3.0854e+10,7.1727e+10,1.4181e+10,3.0391e+10,-2.944e+09,4.1628e+10,4.1891e+10,1.13618e+11,2.25e+09,1.162e+09,4e+07,5.3e+07,-1.92e+08,1.79e+08,-1.045e+09,1.875e+09,-5.43e+08,-1.268e+09,-1.109e+09,2.407e+09,-7.09e+08,-8.21e+08,-8.21e+08,-9e+06,-225927445.214278,-7.11e+08,-1.89e+08,2.7e+07,7.8e+07,-5.1e+07,-8e+07,2.9e+07,-1.394e+09,-2.713e+09,1.28e+08,-1.428e+09,2.68e+08,2.68e+08,2.68e+08,4.203e+09,1.4009e+10,3.003e+09,0.22513,0.09754,0.07217,0.05371,0.0198,1.33467,1.26482,1.71223,0.1233,0.9542,0.92707,13.2218,17.65394,1.27354,0.08015,-55.6769117185246,0.03353,0.04128,0.084,0.09565,0.13219
"2","2010_Q3",14.70296875,"Down",3.0849e+10,-2.3749e+10,-2.3676e+10,7.1e+09,-4.165e+09,-3.096e+09,-7.22e+08,-3.47e+08,2.935e+09,-9.1e+07,2.844e+09,-7.7e+07,2.767e+09,-5.67e+08,2.2e+09,2.2e+09,2.2e+09,2.2e+09,1.417e+10,1.4131e+10,1.4753e+10,1.4753e+10,6.436e+09,1.6336e+10,1.6336e+10,5.1695e+10,1.1242e+10,5.3057e+10,3.4312e+10,6.4299e+10,1.15994e+11,1.4393e+10,1.335e+10,3.934e+09,2.3944e+10,1.7418e+10,4.2271e+10,1.3728e+10,1.6183e+10,1.6183e+10,2.9911e+10,7.2182e+10,1.4636e+10,3.1631e+10,-2.756e+09,4.3511e+10,4.3812e+10,1.15994e+11,2.2e+09,1.184e+09,1.34e+08,6.5e+07,-9.4e+07,1.63e+08,-4.27e+08,-165999999.999999,3.53e+08,-2.8e+08,-3.34e+08,3.091e+09,-7.94e+08,-9.5e+08,-9.5e+08,8.4e+07,1.03e+08,-3.229e+09,-1.96e+08,1.634e+09,1.777e+09,-1.43e+08,-1.64e+08,2.1e+07,-8.51e+08,-1.798e+09,1.35e+08,7.22e+08,5.84e+08,5.84e+08,5.84e+08,4.119e+09,1.7662e+10,3.465e+09,0.23015,0.09514,0.07132,0.05021,0.01897,1.575,1.22294,1.64754,0.15227,0.93817,0.91438,13.15522,18.5548,1.47761,0.08358,-24.7093953991803,0.03085,0.04462,0.08909,0.84778,1.18978
"3","2010_Q4",14.7471875,"Up",3.0729e+10,-2.3963e+10,-2.3888e+10,6.766e+09,-4.316e+09,-3.191e+09,-7.42e+08,-3.83e+08,2.45e+09,-1.34e+08,2.316e+09,-1.27e+08,2.189e+09,-4.16e+08,1.773e+09,1.773e+09,1.773e+09,1.773e+09,1.4723e+10,1.4718e+10,1.5621e+10,1.5621e+10,7.206e+09,1.6815e+10,1.6815e+10,5.4365e+10,1.1477e+10,5.4175e+10,3.5409e+10,6.5652e+10,1.20017e+11,1.5832e+10,1.4885e+10,7.842e+09,2.5614e+10,1.9031e+10,4.9288e+10,1.2204e+10,1.569e+10,1.569e+10,2.7894e+10,7.7182e+10,1.3691e+10,3.1784e+10,-2.94e+09,4.2535e+10,4.2835e+10,1.20017e+11,1.773e+09,1.21e+09,3.41e+08,1.46e+08,9.5e+07,1e+08,-5.1e+07,-8.64e+08,-7.91e+08,1.42e+09,1.84e+08,3.273e+09,-1.045e+09,-1.13e+09,-1.13e+09,7.2e+07,9.4e+07,-2.353e+09,-2.05e+08,2.179e+09,3.138e+09,-9.59e+08,-1.03e+09,7.1e+07,-2.327e+09,-2.568e+09,2e+07,-3.33e+08,5.87e+08,5.87e+08,5.87e+08,3.66e+09,2.0046e+10,2.98e+09,0.22018,0.07973,0.0577,0.04139,0.01477,1.68077,1.10301,1.80184,0.16703,0.76357,0.74621,13.23385,18.31826,1.28338,0.08829,-4.88375815967212,0.02517,0.03793,0.11562,1.45437,2.17265
"4","2011_Q1",15.5827419354839,"Up",3.3278e+10,-2.5126e+10,-2.5051e+10,8.152e+09,-4.806e+09,-3.568e+09,-8.14e+08,-4.24e+08,3.346e+09,-8.1e+07,3.265e+09,-5.1e+07,3.214e+09,-6.76e+08,2.538e+09,2.538e+09,2.538e+09,2.538e+09,1.0929e+10,1.0929e+10,1.8481e+10,1.8481e+10,6.466e+09,1.8308e+10,1.8308e+10,5.4184e+10,1.1763e+10,5.8556e+10,3.8483e+10,7.0319e+10,1.24503e+11,1.5167e+10,1.4365e+10,7.046e+09,2.719e+10,2.0463e+10,4.9403e+10,1.5258e+10,1.9061e+10,1.9061e+10,3.4319e+10,8.3722e+10,1.1591e+10,3.2695e+10,-3.837e+09,4.0449e+10,4.0781e+10,1.24503e+11,2.538e+09,1.264e+09,5.7e+08,1.1e+08,3.88e+08,7.2e+07,-1.221e+09,-3.243e+09,7.11e+08,-5.7e+08,1.881e+09,3.151e+09,-9.83e+08,-1.232e+09,-1.232e+09,2e+06,3e+06,-5.066e+09,-1.81e+08,2.149e+09,-8.37e+08,2.986e+09,-4.9e+07,3.035e+09,-3.853e+09,-3.963e+09,1.1e+07,-1.874e+09,-3.789e+09,-3.789e+09,-3.789e+09,4.61e+09,2.2304e+10,3.082e+09,0.24497,0.10055,0.07627,0.06223,0.02039,1.21434,1.09678,2.05297,0.17914,1.1275,1.11365,14.78365,17.96935,1.36917,0.08041,6,0.0331,0.03752,0.07132,2.46746,3.39958
"5","2011_Q2",13.3260317460317,"Down",3.2302e+10,-2.4539e+10,-2.4464e+10,7.763e+09,-4.34e+09,-3.117e+09,-7.98e+08,-4.25e+08,3.423e+09,-9.7e+07,3.326e+09,-2.9e+07,3.297e+09,-6.92e+08,2.605e+09,2.605e+09,2.605e+09,2.605e+09,9.934e+09,9.934e+09,1.6552e+10,1.6552e+10,6.747e+09,1.8171e+10,1.8171e+10,5.1404e+10,1.1575e+10,5.6954e+10,3.8506e+10,6.8529e+10,1.19933e+11,1.4242e+10,1.3453e+10,3.381e+09,2.5987e+10,1.906e+10,4.361e+10,1.7022e+10,1.7754e+10,1.7754e+10,3.4776e+10,7.8386e+10,1.0899e+10,3.4005e+10,-3.698e+09,4.1206e+10,4.1547e+10,1.19933e+11,2.605e+09,1.255e+09,7.3e+08,1.16e+08,6.32e+08,-1.8e+07,-1.52e+09,1.752e+09,-3.33e+08,-9.12e+08,-2.027e+09,3.07e+09,-3.83e+08,-9.26e+08,-9.26e+08,3.4e+07,5.3e+07,-3.63e+08,-1.75e+08,-1.731e+09,-3.71e+09,1.979e+09,-1.38e+08,2.117e+09,-1.86e+09,-2.29e+09,6.4e+07,-3.702e+09,-9.95e+08,-9.95e+08,-9.95e+08,4.678e+09,2.0403e+10,3.467e+09,0.24033,0.10597,0.08065,0.0627,0.02172,1.3309,1.17872,1.88668,0.17012,1.19386,1.17026,14.80385,18.88451,1.58891,0.0802,10.1418790798361,0.03488,0.0435,0.06718,2.23792,3.05843
"6","2011_Q3",10.3359375,"Down",3.1632e+10,-2.399e+10,-2.3916e+10,7.642e+09,-4.653e+09,-3.425e+09,-8.15e+08,-4.13e+08,2.989e+09,-7.6e+07,2.913e+09,-2.1e+07,2.892e+09,-5.88e+08,2.304e+09,2.304e+09,2.304e+09,2.304e+09,1.2738e+10,1.2738e+10,1.8621e+10,1.8621e+10,6.778e+09,1.7938e+10,1.7938e+10,5.6075e+10,1.189e+10,5.7162e+10,3.8762e+10,6.9052e+10,1.25127e+11,1.507e+10,1.4222e+10,8.406e+09,2.7894e+10,2.0497e+10,5.137e+10,1.4512e+10,1.745e+10,1.745e+10,3.1962e+10,8.3332e+10,9.863e+09,3.5152e+10,-3.592e+09,4.1423e+10,4.1795e+10,1.25127e+11,2.304e+09,1.242e+09,4.1e+07,5.7e+07,9e+06,-2.5e+07,3.75e+08,-2.36e+09,-8.2e+07,7.69e+08,2.048e+09,3.962e+09,-1.01e+09,-1.1e+09,-1.1e+09,2.3e+07,4e+06,-1.219e+09,-1.82e+08,2.495e+09,2.712e+09,-2.17e+08,-3.16e+08,9.9e+07,-2.342e+09,-2.686e+09,9e+07,6.1e+07,2.804e+09,2.804e+09,2.804e+09,4.231e+09,2.2918e+10,4.184e+09,0.24159,0.09449,0.07284,0.05513,0.01841,1.81597,1.09159,1.99383,0.18316,1.07163,1.05495,14.71256,19.26651,1.94605,0.08465,9.74187907983606,0.03026,0.05092,0.07899,2.40605,3.40582
"7","2011_Q4",9.27761904761905,"Down",3.1189e+10,-2.4051e+10,-2.3971e+10,7.138e+09,-4.6e+09,-3.43e+09,-8.12e+08,-3.58e+08,2.538e+09,-1.21e+08,2.417e+09,-1.8e+07,2.399e+09,-4.73e+08,1.926e+09,1.926e+09,1.926e+09,1.926e+09,1.2953e+10,1.2953e+10,1.8121e+10,1.8121e+10,7.427e+09,1.7778e+10,1.7778e+10,5.6279e+10,1.1959e+10,5.6679e+10,3.8772e+10,6.8638e+10,1.24917e+11,1.5277e+10,1.4489e+10,6.666e+09,2.6995e+10,1.9605e+10,4.8938e+10,1.903e+10,1.7731e+10,1.7731e+10,3.6761e+10,8.5699e+10,6.998e+09,3.5099e+10,-3.274e+09,3.8823e+10,3.9218e+10,1.24917e+11,1.926e+09,1.225e+09,3.54e+08,1.42e+08,1.63e+08,4.9e+07,-2.98e+08,3.88e+08,-7.24e+08,2.65e+08,-2.27e+08,3.207e+09,-9.79e+08,-1.128e+09,-1.128e+09,2e+06,2e+06,-9.11e+08,-2.48e+08,2.731e+09,-5.34e+08,3.265e+09,-1.817e+09,5.082e+09,-4.57e+09,-4.641e+09,6e+06,-2.081e+09,2.15e+08,2.15e+08,2.15e+08,3.763e+09,2.5696e+10,2.959e+09,0.22886,0.08137,0.06175,0.04911,0.01542,1.53634,1.15001,2.1852,0.2057,0.93768,0.92596,15.18452,18.90117,1.4406,0.12074,7,0.02631,0.0358,0.12876,3.38639,5.02088
"8","2012_Q1",9.39193548387097,"Up",3.2122e+10,-2.5483e+10,-2.5406e+10,6.639e+09,-4.845e+09,-3.605e+09,-8.29e+08,-4.11e+08,1.794e+09,-4.01e+08,1.393e+09,-9.99e+08,3.94e+08,-1.55e+08,2.39e+08,2.39e+08,2.39e+08,2.39e+08,8.043e+09,8.043e+09,1.8224e+10,1.8224e+10,7.49e+09,1.7264e+10,1.7264e+10,5.1021e+10,1.2292e+10,6.6204e+10,4.4551e+10,7.8496e+10,1.29517e+11,1.5798e+10,1.475e+10,8.083e+09,2.6561e+10,1.9112e+10,5.0442e+10,2.2551e+10,1.752e+10,1.752e+10,4.0071e+10,9.0513e+10,6.857e+09,3.5266e+10,-3.498e+09,3.8625e+10,3.9004e+10,1.29517e+11,2.39e+08,1.262e+09,7e+08,2.07e+08,-6.38e+08,1.131e+09,1.99e+08,-7e+06,-1.13e+08,1.53e+08,1.66e+08,2.4e+09,-1.168e+09,-1.385e+09,-1.385e+09,-8.7e+07,9e+06,-1.1466e+10,-2.39e+08,4.841e+09,2.62e+08,4.579e+09,-64999999.9999998,4.644e+09,-449000000.000001,-5e+08,3e+06,4.156e+09,-4.91e+09,-4.91e+09,-4.91e+09,3.056e+09,3.0634e+10,2.242e+09,0.20668,0.05585,0.00744,0.00613,0.00185,9.38075,1.01148,2.32061,0.23652,0.1201,0.1182,16.14171,19.40955,1.12663,0.1201,4,0.00548,0.02572,1,7.39234,12.59253
"9","2012_Q2",8.07253968253968,"Down",3.0036e+10,-2.3353e+10,-2.3275e+10,6.683e+09,-4.619e+09,-3.367e+09,-7.86e+08,-4.66e+08,2.064e+09,-2.21e+08,1.843e+09,-2.2e+07,1.821e+09,-3.53e+08,1.468e+09,1.468e+09,1.468e+09,1.468e+09,8.113e+09,8.113e+09,1.5892e+10,1.5892e+10,7.271e+09,1.7473e+10,1.7473e+10,4.8749e+10,1.2122e+10,6.5725e+10,4.4639e+10,7.7847e+10,1.26596e+11,1.3304e+10,1.2375e+10,5.438e+09,2.5551e+10,1.8021e+10,4.4293e+10,2.5462e+10,1.7269e+10,1.7269e+10,4.2731e+10,8.7024e+10,6.486e+09,3.6183e+10,-3.507e+09,3.9162e+10,3.9572e+10,1.26596e+11,1.468e+09,1.303e+09,1.5e+08,1.64e+08,-1.1e+08,9.6e+07,-1.728e+09,2.311e+09,1.8e+08,-2.376e+09,-1.843e+09,1.193e+09,-7.87e+08,-8.83e+08,-8.83e+08,9.6e+07,9.6e+07,-7.51e+08,-2.44e+08,3.28e+08,-2.607e+09,2.935e+09,-1e+08,3.035e+09,-4.67e+08,-7.8e+08,1.1e+07,-3.72e+08,7e+07,7e+07,7e+07,3.367e+09,3.09e+10,1.205e+09,0.2225,0.06872,0.04887,0.0371,0.0116,0.82084,1.1006,2.19913,0.24408,0.74104,0.73473,15.16204,19.7688,0.60828,0.12317,3,0.01951,0.01373,0.16621,6.76775,11.04021
"10","2012_Q3",6.59253968253968,"Down",3.0693e+10,-2.3594e+10,-2.3514e+10,7.099e+09,-4.86e+09,-3.54e+09,-8.5e+08,-4.7e+08,2.239e+09,-2.43e+08,1.996e+09,-16999999.9999995,1.979e+09,-3.86e+08,1.593e+09,1.593e+09,1.593e+09,1.593e+09,8.311e+09,8.311e+09,1.6609e+10,1.6609e+10,7.306e+09,1.7463e+10,1.7463e+10,4.9689e+10,1.2236e+10,6.5764e+10,4.4938e+10,7.8e+10,1.27689e+11,1.3771e+10,1.29e+10,4.252e+09,2.4776e+10,1.7194e+10,4.2799e+10,2.5825e+10,1.7368e+10,1.7368e+10,4.3193e+10,8.5992e+10,6.596e+09,3.7758e+10,-3.066e+09,4.1288e+10,4.1697e+10,1.27689e+11,1.593e+09,1.285e+09,4.14e+08,1.68e+08,-4.5e+07,2.91e+08,-8.19e+08,-8.32e+08,-9.1e+07,5.25e+08,-4.21e+08,2.473e+09,-9.52e+08,-1.08e+09,-1.08e+09,-3.15e+08,2.5e+08,-1.267e+09,-2.51e+08,-7.29e+08,-1.85e+08,-5.44e+08,-2.561e+09,2.017e+09,-2.9e+07,-3.5e+08,1e+06,-1.008e+09,1.98e+08,1.98e+08,1.98e+08,3.524e+09,3.0077e+10,2.139e+09,0.23129,0.07295,0.0519,0.0382,0.01248,1.34275,1.16099,2.06231,0.23555,0.80495,0.80171,15.50935,20.86306,1.08085,0.12683,5,0.02069,0.024,0.15756,6.1765,9.7213
